backbone,redundancy_max_steps,half_life_k,seed,run,max_step,window_low,window_high,event_file,coverage_auc,coverage_auc__n,unique_cells,unique_cells__n,coverage_entropy,coverage_entropy__n,dg_density,dg_density__n,dg_silent_fraction,dg_silent_fraction__n,dg_usage_entropy,dg_usage_entropy__n,dg_behavior_event_fraction,dg_behavior_event_fraction__n,target_hit_lift,target_hit_lift__n,action_sensitivity,action_sensitivity__n,option_success_fraction,option_success_fraction__n,known_edge_fraction,known_edge_fraction__n,node_coverage_fraction,node_coverage_fraction__n,connected_fraction,connected_fraction__n,isolated_fraction,isolated_fraction__n,redundant_pair_count,redundant_pair_count__n,eligible_vertex_count,eligible_vertex_count__n,birth_protected_count,birth_protected_count__n,isolated_assignments_per_rollout,isolated_assignments_per_rollout__n,redundant_assignments_per_rollout,redundant_assignments_per_rollout__n,repeat_assignments_per_rollout,repeat_assignments_per_rollout__n,passive_graph_density,passive_graph_density__n,passive_updates_per_rollout,passive_updates_per_rollout__n,passive_stale_per_rollout,passive_stale_per_rollout__n,passive_over_gap_per_rollout,passive_over_gap_per_rollout__n,exploration_selection_fraction,exploration_selection_fraction__n,forced_exploration_fraction,forced_exploration_fraction__n,frontier_selection_rate,frontier_selection_rate__n,frontier_yield,frontier_yield__n,frontier_reached_fraction,frontier_reached_fraction__n,recruitment_total,recruitment_total__step,repeat_total,repeat_total__step,tiny_residual_total,tiny_residual_total__step
C05,8,10,99,GSR_C05_D8_H10K_S99,96337920,86337920,96337920,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S99_/00_GSR_C05_D8_H10K_S99/.summary/0/events.out.tfevents.1788398444.n4515,65.68875754818427,419,102.45680184011528,419,3.691424314048239,419,0.027283342777456275,243,0.0,243,0.9725308536011495,243,0.3031322337962963,243,1.1283745571909618,243,0.022077256503204506,243,0.22144947608802545,243,0.19008916536721673,243,1.0,243,1.0,243,0.0,243,2.8230452674897117,243,2.0,243,0.0,243,0.0,243,0.0,243,0.0,243,0.9635802443625996,243,1375.7695473251028,243,0.0,243,0.0,243,0.0,243,0.0,243,,0,,0,,0,0.0,96337920,0.0,96337920,0.0,96337920
C05,8,10,123,GSR_C05_D8_H10K_S123,94699520,84699520,94699520,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C05_D8_H10K_S123_/00_GSR_C05_D8_H10K_S123/.summary/0/events.out.tfevents.1788398443.n4601,16.82625938043362,410,18.89504878346513,410,2.475951736147811,410,0.028993178044121697,227,0.0,227,0.9746455082809348,227,0.37516132640418504,227,0.9735063275051538,227,0.008227839897743668,227,0.6407894212506416,227,0.17611967644239837,227,1.0,227,1.0,227,0.0,227,0.0,227,0.0,227,0.0,227,0.0,227,0.0,227,0.0,227,0.7957782726981041,227,1559.0,227,0.0,227,0.0,227,0.0,227,0.0,227,,0,,0,,0,0.0,94699520,0.0,94699520,0.0,94699520
C13,4,5,8,GSR_C13_D4_H5K_S8,95518720,85518720,95518720,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H5K_S8_/00_GSR_C13_D4_H5K_S8/.summary/0/events.out.tfevents.1788398442.n4602,33.47160695254148,455,41.410395515358054,455,2.633101791863913,455,0.0247283935546875,230,0.0,230,0.9706207731495733,230,0.33076596467391306,230,1.1146137071692426,230,0.009037232295731487,230,0.5759405725028204,230,0.09827898708374604,230,1.0,230,1.0,230,0.0,230,0.0,230,0.0,230,0.0,230,0.0,230,0.0,230,0.0,230,0.9112681142661883,230,1355.2652173913043,230,0.0,230,0.0,230,0.34392497157273083,230,0.7734645272078722,230,,0,,0,,0,0.0,95518720,0.0,95518720,0.0,95518720
C13,4,5,99,GSR_C13_D4_H5K_S99,92962816,82962816,92962816,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H5K_S99_/00_GSR_C13_D4_H5K_S99/.summary/0/events.out.tfevents.1788398442.n4613,61.48573143195674,441,91.82303859857745,441,3.557066385978474,441,0.024659599354064542,306,0.0,306,0.9746437736975602,306,0.2967968111723856,306,0.8788653538118001,306,0.012452821012927232,306,0.5482982389288011,306,0.07945261625390426,306,1.0,306,1.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.0,306,0.9052832288290161,306,1255.9771241830065,306,0.0,306,0.0,306,0.3428716132161664,306,0.7899806313460169,306,,0,,0,,0,0.0,92962816,0.0,92962816,0.0,92962816
C13,4,5,123,GSR_C13_D4_H5K_S123,95223808,85223808,95223808,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H5K_S123_/00_GSR_C13_D4_H5K_S123/.summary/0/events.out.tfevents.1788398442.n4613,39.98010744367327,420,56.05811906542097,420,3.0415067326454888,420,0.025568570491772344,207,0.0,207,0.9758528021798618,207,0.35261454559178745,207,0.8888748112508065,207,0.011906029161623711,207,0.5537352802384878,207,0.1682367143423661,207,1.0,207,1.0,207,0.0,207,0.0,207,0.0,207,0.0,207,0.0,207,0.0,207,0.0,207,0.8898953251216722,207,1476.657004830918,207,0.0,207,0.0,207,0.3527190136016855,207,0.7817193315800838,207,,0,,0,,0,0.0,95223808,0.0,95223808,0.0,95223808
C13,4,10,8,GSR_C13_D4_H10K_S8,92995584,82995584,92995584,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H10K_S8_/00_GSR_C13_D4_H10K_S8/.summary/0/events.out.tfevents.1788398442.n4122,44.676200443843626,424,55.41801882689854,424,2.841848478002368,424,0.025837793890035377,265,0.0,265,0.9721242742718391,265,0.3479915978773585,265,0.8385760896610763,265,0.010144393583583945,265,0.5120961266306211,265,0.1851729558323914,265,1.0,265,1.0,265,0.0,265,0.0,265,0.0,265,0.0,265,0.0,265,0.0,265,0.0,265,0.9625943303108215,265,1456.9811320754718,265,0.0,265,0.0,265,0.3654997170533774,265,0.8146762634223362,265,,0,,0,,0,0.0,92995584,0.0,92995584,0.0,92995584
C13,4,10,99,GSR_C13_D4_H10K_S99,97452032,87452032,97452032,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H10K_S99_/00_GSR_C13_D4_H10K_S99/.summary/0/events.out.tfevents.1788398442.n4122,21.67613645735241,420,25.132428596133277,420,2.480221215883891,420,0.02638263012989458,249,0.0,249,0.9759199662380907,249,0.38695602723393574,249,0.9349244461959625,249,0.008491826449412418,249,0.5524313655124611,249,0.09180053547922387,249,1.0,249,1.0,249,0.0,249,0.0,249,0.0,249,0.0,249,0.0,249,0.0,249,0.0,249,0.8279953069954991,249,1586.5341365461848,249,0.0,249,0.0,249,0.35077491995081844,249,0.7973536624008393,249,,0,,0,,0,0.0,97452032,0.0,97452032,0.0,97452032
C13,4,10,123,GSR_C13_D4_H10K_S123,97812480,87812480,97812480,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H10K_S123_/00_GSR_C13_D4_H10K_S123/.summary/0/events.out.tfevents.1788398442.n4122,54.660749645279786,409,76.63887523846988,409,3.3936092871034056,409,0.026276795760444973,184,0.0,184,0.9775282057083171,184,0.30735977836277173,184,0.9330353902085967,184,0.009514373332343024,184,0.6428684459432311,184,0.1507246362288361,184,1.0,184,1.0,184,0.0,184,0.0,184,0.0,184,0.0,184,0.0,184,0.0,184,0.0,184,0.9533514480875886,184,1342.1358695652175,184,0.0,184,0.0,184,0.31489470746854076,184,0.7585227011662462,184,,0,,0,,0,0.0,97812480,0.0,97812480,0.0,97812480
C13,8,5,8,GSR_C13_D8_H5K_S8,92241920,82241920,92241920,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H5K_S8_/00_GSR_C13_D8_H5K_S8/.summary/0/events.out.tfevents.1788398443.n4125,29.791294642235044,438,38.667191792840825,438,2.708812414783321,438,0.02609330894303148,274,0.0,274,0.9723272708645703,274,0.35888493670164234,274,0.8982947627558325,274,0.008706676744835546,274,0.5173999501840911,274,0.12239963379110733,274,1.0,274,1.0,274,0.0,274,0.0,274,0.0,274,0.0,274,0.0,274,0.0,274,0.0,274,0.8232055965566287,274,1469.0839416058395,274,0.0,274,0.0,274,0.36663753958079065,274,0.8057368642439807,274,,0,,0,,0,0.0,92241920,0.0,92241920,0.0,92241920
C13,8,5,99,GSR_C13_D8_H5K_S99,98172928,88172928,98172928,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H5K_S99_/00_GSR_C13_D8_H5K_S99/.summary/0/events.out.tfevents.1788398442.n4126,36.72572441750779,411,50.994793151706965,411,3.2384278756858658,411,0.02548591458067602,196,0.0,196,0.9750281304729228,196,0.33653539540816324,196,0.9121950949941363,196,0.01597143739594945,196,0.43721351247965073,196,0.09647108903344796,196,1.0,196,1.0,196,0.0,196,0.0,196,0.0,196,0.0,196,0.0,196,0.0,196,0.0,196,0.7940688765778834,196,1402.9183673469388,196,0.0,196,0.0,196,0.3952838884932654,196,0.8408001889379657,196,,0,,0,,0,0.0,98172928,0.0,98172928,0.0,98172928
