backbone,redundancy_max_steps,half_life_k,seed,run,max_step,window_low,window_high,event_file,coverage_auc,coverage_auc__n,unique_cells,unique_cells__n,coverage_entropy,coverage_entropy__n,dg_density,dg_density__n,dg_silent_fraction,dg_silent_fraction__n,dg_usage_entropy,dg_usage_entropy__n,dg_behavior_event_fraction,dg_behavior_event_fraction__n,target_hit_lift,target_hit_lift__n,action_sensitivity,action_sensitivity__n,option_success_fraction,option_success_fraction__n,known_edge_fraction,known_edge_fraction__n,node_coverage_fraction,node_coverage_fraction__n,connected_fraction,connected_fraction__n,isolated_fraction,isolated_fraction__n,redundant_pair_count,redundant_pair_count__n,eligible_vertex_count,eligible_vertex_count__n,birth_protected_count,birth_protected_count__n,isolated_assignments_per_rollout,isolated_assignments_per_rollout__n,redundant_assignments_per_rollout,redundant_assignments_per_rollout__n,repeat_assignments_per_rollout,repeat_assignments_per_rollout__n,passive_graph_density,passive_graph_density__n,passive_updates_per_rollout,passive_updates_per_rollout__n,passive_stale_per_rollout,passive_stale_per_rollout__n,passive_over_gap_per_rollout,passive_over_gap_per_rollout__n,exploration_selection_fraction,exploration_selection_fraction__n,forced_exploration_fraction,forced_exploration_fraction__n,frontier_selection_rate,frontier_selection_rate__n,frontier_yield,frontier_yield__n,frontier_reached_fraction,frontier_reached_fraction__n,recruitment_total,recruitment_total__step,repeat_total,repeat_total__step,tiny_residual_total,tiny_residual_total__step
C13,4,5,123,GSR_C13_D4_H5K_S123,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H5K_S123_/00_GSR_C13_D4_H5K_S123/.summary/0/events.out.tfevents.1788398442.n4613,27.546310915011112,428,37.696728924724546,428,2.8297700408463164,428,0.026809180342911073,298,0.0,298,0.9764754714181759,298,0.3792994966442953,298,0.9256455952289121,298,0.008773206612845296,298,0.5889516507319156,298,0.1419183461358083,298,1.0,298,1.0,298,0.0,298,0.0,298,0.0,298,0.0,298,0.0,298,0.0,298,0.0,298,0.7957214759100204,298,1575.476510067114,298,0.0,298,0.0,298,0.34128634126594404,298,0.7719726086462904,298,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C13,4,10,8,GSR_C13_D4_H10K_S8,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H10K_S8_/00_GSR_C13_D4_H10K_S8/.summary/0/events.out.tfevents.1788398442.n4122,31.85432115897605,434,36.4047005121609,434,2.480149040573753,434,0.026021588434938524,305,0.0,305,0.9738738417625428,305,0.3652583888319672,305,0.9957711452343425,305,0.009861272298654572,305,0.5069586717080875,305,0.10319671914225718,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.9290163939116431,305,1506.6360655737706,305,0.0,305,0.0,305,0.3707461392293211,305,0.8081149986532868,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C13,4,10,99,GSR_C13_D4_H10K_S99,100007936,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H10K_S99_/00_GSR_C13_D4_H10K_S99/.summary/0/events.out.tfevents.1788398442.n4122,24.082612264503553,412,29.43655341342815,412,2.5778708278554157,412,0.02707399462090164,305,0.0,305,0.9754584261628448,305,0.4013976050204918,305,0.8867326077867727,305,0.007670647541030509,305,0.6529054576744798,305,0.12930327741826167,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.8203551880648878,305,1658.527868852459,305,0.0,305,0.0,305,0.3087416907802957,305,0.7473913626592668,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C13,4,10,123,GSR_C13_D4_H10K_S123,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D4_H10K_S123_/00_GSR_C13_D4_H10K_S123/.summary/0/events.out.tfevents.1788398442.n4122,17.32271849098852,413,20.0042372765899,413,2.386077547766106,413,0.027205370293288934,305,0.0,305,0.9718471728387427,305,0.38646420338114756,305,0.8981638433503323,305,0.007824579870603124,305,0.6411515674141587,305,0.13344262281402214,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.8170628420642165,305,1590.27868852459,305,0.0,305,0.0,305,0.3171891632138706,305,0.7462082214042789,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C13,8,5,8,GSR_C13_D8_H5K_S8,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H5K_S8_/00_GSR_C13_D8_H5K_S8/.summary/0/events.out.tfevents.1788398443.n4125,29.270492041876558,436,36.253486296452515,436,2.591537953516759,436,0.02546596839779713,305,0.0,305,0.9695509599857643,305,0.3676149462090164,305,0.8808980199157215,305,0.005849159782233297,305,0.3883968115585749,305,0.06666667014360428,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.8146584688640032,305,1502.8852459016393,305,0.0,305,0.0,305,0.4170786456495035,305,0.8341706281802693,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C13,8,5,99,GSR_C13_D8_H5K_S99,100007936,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H5K_S99_/00_GSR_C13_D8_H5K_S99/.summary/0/events.out.tfevents.1788398442.n4126,34.381330685976955,409,45.12207824968184,409,2.8838246055220624,409,0.02488373303022541,305,0.0,305,0.9758775189274648,305,0.32929207223360657,305,0.9393621679212226,305,0.011906023918971664,305,0.49081506020710114,305,0.06666667014360428,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.8323360656128556,305,1362.2131147540983,305,0.0,305,0.0,305,0.37912749828862363,305,0.8112388890297686,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C13,8,5,123,GSR_C13_D8_H5K_S123,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H5K_S123_/00_GSR_C13_D8_H5K_S123/.summary/0/events.out.tfevents.1788398442.n4126,35.18548839848216,410,48.11885366672423,410,2.8636460280999905,410,0.02622290439293033,305,0.0,305,0.9778183708425428,305,0.35739946209016393,305,0.9240768719892033,305,0.011726229088228258,305,0.43063503687010435,305,0.11053278685593214,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.9111202238035984,305,1489.0,305,0.0,305,0.0,305,0.3977578881822649,305,0.8300863828815398,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C13,8,10,8,GSR_C13_D8_H10K_S8,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H10K_S8_/00_GSR_C13_D8_H10K_S8/.summary/0/events.out.tfevents.1788398463.n4205,30.335271285040747,409,36.34936417577319,409,2.6460523745250004,409,0.025135978323514344,305,0.0,305,0.9745880472855489,305,0.3362913037909836,305,0.9940437486914337,305,0.0053784719973680424,305,0.5919311184619294,305,0.125,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.9514344184125056,305,1372.7409836065574,305,0.0,305,0.0,305,0.3352404219693825,305,0.7715622642001168,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C13,8,10,99,GSR_C13_D8_H10K_S99,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H10K_S99_/00_GSR_C13_D8_H10K_S99/.summary/0/events.out.tfevents.1788398463.n4205,24.861374380507907,414,32.27734301746755,414,2.7265271990771454,414,0.027052482229764346,305,0.0,305,0.9777155291838724,305,0.38600633965163933,305,1.0204822643858487,305,0.008731990844988432,305,0.7799721171621417,305,0.11954917788016992,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.8107923497919176,305,1579.9606557377049,305,0.0,305,0.0,305,0.24648969850090682,305,0.6510267537636835,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
C13,8,10,123,GSR_C13_D8_H10K_S123,100040704,65000000,75000000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_graph_stabilized_recruitment_20260903/GSR_C13_D8_H10K_S123_/00_GSR_C13_D8_H10K_S123/.summary/0/events.out.tfevents.1788398463.n4205,34.97842224419554,409,44.98073350304788,409,2.7783893763581813,409,0.02560364770107582,305,0.0,305,0.9760911404109393,305,0.3331470927254098,305,0.8701681524026589,305,0.006704562384879491,305,0.6659254733656274,305,0.14443988707221922,305,1.0,305,1.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.0,305,0.9270355226563626,305,1378.2131147540983,305,0.0,305,0.0,305,0.3038677012822667,305,0.7352846595107532,305,,0,,0,,0,0.0,74973184,0.0,74973184,0.0,74973184
