condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,mean_lifetime_hoyer_sparsity,mean_active_unit_lifetime_hoyer_sparsity,mean_population_hoyer_sparsity,mean_lifetime_kurtosis,mean_active_unit_lifetime_kurtosis,best_corr_to_latent_probs,best_corr_to_latent_values,best_corr_to_latent_samples,best_weight_alignment_to_latent_vectors,mean_weight_row_entropy_to_latents,mean_weight_row_effective_latents,mean_weight_row_participation_latents,mean_weight_col_entropy_over_rows,mean_weight_col_effective_rows,mean_weight_col_participation_rows
no_learning,0.5,0,0.320068359375,0.3193359375,0.010308980630233111,2.560546875,1.438941564459007,1.0,0.091796875,1.7318361955085866,1.5084766825942915,0.5787992064946794,0.5787992064946794,0.7827998285263373,8.44049970480369,8.44049970480369,0.2848616746200153,0.3623980511644723,0.3642613983209248,0.3729848877551139,0.8823493521147747,6.321604563690584,5.635439110421628,0.8937513092780072,6.429191809777689,5.801243473206157
encourage,0.5,0,0.348388671875,0.34765625,0.004360490991086853,2.787109375,3.6405364586537394,1.0,0.5859375,1.7573891625615763,1.6702867596309279,0.5069687490608936,0.5069687490608936,0.6754336013013736,3.534938620396731,3.534938620396731,0.2271151037860129,0.598577952126202,0.5953547295988538,0.9172688571059782,0.7331261406051582,4.611405891792481,3.5978257144472523,0.9255140379842747,6.959143047574563,6.514944468083471
punish,0.5,0,0.287109375,0.28515625,0.004580484140452568,2.296875,3.5709535119313722,1.0,0.693359375,1.4482758620689655,1.6471591150564362,0.6406629137797654,0.6406629137797654,0.7234023532765224,13.255148595391198,13.255148595391198,0.10797121644710606,0.2794360100624501,0.4041113602053259,0.4483606190928566,0.988482379278509,7.810675498131214,7.627395165257829,0.9999877133151922,7.999795609492405,7.999591055965212
no_learning,0.5,1,0.309814453125,0.3056640625,0.02024895926732809,2.478515625,1.4985433499338148,1.0,0.06640625,1.692,1.6382769567657456,0.5776420030223198,0.5776420030223198,0.7960516289703792,7.929679699089809,7.929679699089809,0.29323797833247356,0.3999525204246899,0.3710218551309902,0.40551138049139535,0.8530956747328733,5.941631070276976,5.131089567758505,0.8646370092030193,6.069700973767816,5.32261471721888
encourage,0.5,1,0.296142578125,0.2763671875,0.037453909205699985,2.369140625,2.18626412493427,1.0,0.2578125,2.0806174957118353,1.6817609473950363,0.553856262825825,0.553856262825825,0.747141518634706,4.539387667644351,4.539387667644351,0.5133717780683923,0.6218141760336322,0.6954642700325178,0.8455721388209315,0.8766759238407233,6.270545402639012,5.2689359385069885,0.9312423236994786,6.972211757122739,6.465403917555118
punish,0.5,1,0.284912109375,0.2841796875,0.0018105953337635896,2.279296875,3.57264469694584,1.0,0.703125,1.4336609336609336,1.6491392022877216,0.6402459077186157,0.6402459077186157,0.7226238161917179,13.011584549607036,13.011584549607036,0.10950230983259265,0.275701717793127,0.3994676840972371,0.4487893145148108,0.9881190456679696,7.8047763719653815,7.616117438037327,0.9999892845605558,7.9998217514219405,7.999643670141605
no_learning,0.5,2,0.322998046875,0.3212890625,0.027132581292992557,2.583984375,1.3053291250699417,1.0,0.033203125,1.8198074277854195,1.5570948220343896,0.5773605500355256,0.5773605500355256,0.7852892618685405,9.49039284444287,9.49039284444287,0.28771044708743787,0.3560894897002297,0.3335410317150627,0.37211819354945963,0.8585806406847887,6.010912979151064,5.267931476811093,0.8597224623466028,6.034373262320681,5.293827342767251
encourage,0.5,2,0.353759765625,0.3466796875,0.011614013566666305,2.830078125,3.2698363386256024,1.0,0.439453125,1.8226415094339623,1.617532383180635,0.5090129512912364,0.5090129512912364,0.6939056118143331,3.8745269409816108,3.8745269409816108,0.28505616199238903,0.5583424588672552,0.5584909733418992,0.8552850834168532,0.7467706650989951,4.781711211565039,3.8869231762316225,0.830934186528018,6.026871650973491,5.553178320387563
punish,0.5,2,0.284912109375,0.28515625,0.002663259793612235,2.279296875,3.5649828373521286,1.0,0.697265625,1.4389642416769421,1.651561051979899,0.6401689125822627,0.6401689125822627,0.7236074601520501,12.95701940525223,12.95701940525223,0.10570130573403089,0.27850433664328544,0.3994569824082361,0.44965171282626604,0.9878488109588544,7.8003916670098645,7.6079734454715995,0.9999907772821988,7.999846578398718,7.999693286814286
no_learning,0.5,3,0.301025390625,0.298828125,0.014759911132999844,2.408203125,1.6427430059934007,1.0,0.12890625,1.8159057437407953,1.6503998930263775,0.5854172164812004,0.5854172164812004,0.7994105146352262,8.03339453475268,8.03339453475268,0.3679089731785934,0.4284282636328902,0.41848229916773905,0.3770052404528596,0.8611075957198211,6.016888931979762,5.305404026005434,0.8534376865978206,6.003409186841954,5.2533942181313495
