backbone,redundancy_max_steps,half_life_k,visited_cells__mean,active_units__mean,silent_units__mean,mean_active_fraction__mean,active_unit_mean_si_bits__mean,active_map_cosine_mean__mean,active_unique_peak_bins__mean,active_peak_bin_entropy__mean,active_pairwise_peak_distance_bins__mean,prethreshold_map_cosine_mean__mean,prethreshold_unique_peak_bins__mean,prethreshold_peak_bin_entropy__mean,prethreshold_pairwise_peak_distance_bins__mean,visited_cells__sd,active_units__sd,silent_units__sd,mean_active_fraction__sd,active_unit_mean_si_bits__sd,active_map_cosine_mean__sd,active_unique_peak_bins__sd,active_peak_bin_entropy__sd,active_pairwise_peak_distance_bins__sd,prethreshold_map_cosine_mean__sd,prethreshold_unique_peak_bins__sd,prethreshold_peak_bin_entropy__sd,prethreshold_pairwise_peak_distance_bins__sd,visited_cells__n,active_units__n,silent_units__n,mean_active_fraction__n,active_unit_mean_si_bits__n,active_map_cosine_mean__n,active_unique_peak_bins__n,active_peak_bin_entropy__n,active_pairwise_peak_distance_bins__n,prethreshold_map_cosine_mean__n,prethreshold_unique_peak_bins__n,prethreshold_peak_bin_entropy__n,prethreshold_pairwise_peak_distance_bins__n
C05,4,5,266.3333333333333,16.0,0.0,0.0270722927707229,0.10632681969499609,0.14145408755555164,16.0,1.0,9.673174006284716,0.007124070905623333,15.333333333333334,0.9791666666666666,10.243222564304446,20.40424792373718,0.0,0.0,0.0022077459795675153,0.02667604781887449,0.021434527496425652,0.0,0.0,0.12346148513382428,0.012478718858270012,0.5773502691896258,0.018042195912175797,0.23634561604998286,3,3,3,3,3,3,3,3,3,3,3,3,3
C05,4,10,238.33333333333334,16.0,0.0,0.0256599340065993,0.10119105866883771,0.1375980889118794,15.666666666666666,0.9895833333333334,11.353499694719597,0.014502575733030534,15.666666666666666,0.9895833333333334,10.29315287287198,33.85754470326124,0.0,0.0,0.0030531699060135416,0.02062492619264916,0.08279148634831913,0.5773502691896258,0.018042195912175797,0.5118728546121606,0.03293336867490649,0.5773502691896258,0.018042195912175797,0.8918885211240315,3,3,3,3,3,3,3,3,3,3,3,3,3
C05,8,5,263.0,16.0,0.0,0.026076559010765537,0.11328314579080485,0.14336309406044337,14.0,0.9335682942595653,10.32608361524044,0.017536495432712566,14.333333333333334,0.943984960926232,9.914623154817967,44.67661580737735,0.0,0.0,0.0035082119929502925,0.027358067835514834,0.04988519611479637,2.6457513110645907,0.08937619744420415,0.23382798371443694,0.03708811859626155,2.081665999466133,0.07168128342978757,0.3562503231227,3,3,3,3,3,3,3,3,3,3,3,3,3
C05,8,10,288.3333333333333,16.0,0.0,0.027690980901909763,0.13965014109002646,0.09188277327399492,15.666666666666666,0.9895833333333334,10.300294768605935,-0.017453981195539967,16.0,1.0,10.504345816403978,17.61628034896508,0.0,0.0,0.0014680445786730855,0.05758680312684489,0.04063098277227481,0.5773502691896255,0.01804219591217582,0.26627609383678646,0.034568047391217174,0.0,0.0,0.1915082910837947,3,3,3,3,3,3,3,3,3,3,3,3,3
C13,4,5,242.0,16.0,0.0,0.02536413025364123,0.1521936968498854,0.08648997475692789,16.0,1.0,10.224229388920637,-0.02687591842227757,16.0,1.0,9.056727750066297,37.04051835490427,0.0,0.0,0.0004444238729438737,0.023380498329588585,0.014060481887135245,0.0,0.0,0.8348624230394487,0.010687956989791457,0.0,0.0,0.6587710590293668,3,3,3,3,3,3,3,3,3,3,3,3,3
C13,4,10,186.66666666666666,16.0,0.0,0.02752224777522243,0.19995522065554303,0.05149405084152664,16.0,1.0,8.670668788204624,-0.039902286258310694,16.0,1.0,8.766115623935967,10.785793124908956,0.0,0.0,0.003047100692482227,0.028880866646087345,0.0024302817281128806,0.0,0.0,1.3208928021046662,0.0033077883799239897,0.0,0.0,1.811705053485181,3,3,3,3,3,3,3,3,3,3,3,3,3
C13,8,5,230.66666666666666,16.0,0.0,0.0253662133786621,0.18899003509532356,0.057711512980307,15.666666666666666,0.9895833333333334,10.500584052240885,-0.0355200771088098,15.666666666666666,0.9895833333333334,10.604838105652838,41.669333248005465,0.0,0.0,0.0005878400168135483,0.016965104237707106,0.015155170470711092,0.5773502691896258,0.018042195912175797,1.0950035057797967,0.0038614118529174337,0.5773502691896255,0.01804219591217582,1.4583433749715389,3,3,3,3,3,3,3,3,3,3,3,3,3
C13,8,10,216.33333333333334,16.0,0.0,0.02623071026230703,0.17657757426846374,0.059057510506986766,15.666666666666666,0.9895833333333334,9.284568580895922,-0.03886667715384396,16.0,1.0,9.337186407765856,6.110100926607787,0.0,0.0,0.0006837951089378755,0.026929705187576834,0.01873839012530363,0.5773502691896255,0.01804219591217582,1.0888784814767196,0.011528112284806916,0.0,0.0,1.3783067498938235,3,3,3,3,3,3,3,3,3,3,3,3,3
C15,4,5,273.0,16.0,0.0,0.0284804852848048,0.1493490495031574,0.09516393710880793,15.0,0.96875,9.92408774423246,-0.0310283236574756,14.666666666666666,0.9583333333333334,9.777151344889896,45.31004303683677,0.0,0.0,0.0006884909401279298,0.020556048551829954,0.041813570174588595,1.0,0.03125,1.286729494588719,0.002932559395490577,0.5773502691896255,0.01804219591217582,1.0094408427115693,3,3,3,3,3,3,3,3,3,3,3,3,3
C15,4,10,280.3333333333333,16.0,0.0,0.028253424657534165,0.12725825105922042,0.12981223925470703,15.666666666666666,0.9895833333333334,10.2233209397263,-0.03664328746316283,15.333333333333334,0.9791666666666666,9.862116243749748,45.938364504337045,0.0,0.0,0.0020136665690578576,0.017509356485437323,0.062288459625726184,0.5773502691896258,0.018042195912175797,1.2298011370212905,0.002296966252077918,0.5773502691896258,0.018042195912175797,1.0001426955437551,3,3,3,3,3,3,3,3,3,3,3,3,3
C15,8,5,266.3333333333333,16.0,0.0,0.027216028397160235,0.1313853248562648,0.12407097448656061,14.333333333333334,0.9479166666666666,10.281494210323265,-0.013984720423116168,15.666666666666666,0.9895833333333334,10.130131037740616,54.784426010804694,0.0,0.0,0.002228294404619003,0.013495019549761966,0.037928402773872404,0.5773502691896255,0.01804219591217582,0.8415300108016466,0.014040338239104366,0.5773502691896258,0.018042195912175797,0.3434336088761623,3,3,3,3,3,3,3,3,3,3,3,3,3
C15,8,10,265.0,16.0,0.0,0.027872212778722066,0.12222378252057736,0.1227044926113184,15.0,0.96875,9.480951198074237,-0.03493062947681006,15.333333333333334,0.9791666666666666,9.522265894307726,19.974984355438178,0.0,0.0,0.0010177851258142267,0.002660393625370746,0.02601158469277486,0.0,0.0,1.3478747612283957,0.0098379241082378,0.5773502691896255,0.01804219591217582,0.45309058106469513,3,3,3,3,3,3,3,3,3,3,3,3,3
