backbone,metric,effect,mean,sd,n,seed_8,seed_99,seed_123
C05,visited_cells,D8_minus_D4,23.333333333333332,34.79343807865692,3,11.5,62.5,-4.0
C05,visited_cells,H10k_minus_H5k,-1.3333333333333333,41.01930439845773,3,-23.5,-26.5,46.0
C05,visited_cells,interaction,53.333333333333336,35.16153201061258,3,93.0,41.0,26.0
C05,active_units,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,active_units,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,active_units,interaction,0.0,0.0,3,0.0,0.0,0.0
C05,silent_units,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C05,silent_units,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C05,silent_units,interaction,0.0,0.0,3,0.0,0.0,0.0
C05,mean_active_fraction,D8_minus_D4,0.0005176565676765499,0.002726905934874307,3,0.0020685431456854003,-0.0026309869013099,0.0021154134586541494
C05,mean_active_fraction,H10k_minus_H5k,0.00010103156351031622,0.002252521190882975,3,-0.0019060593940606017,0.002537246275372499,-0.00032809219078094864
C05,mean_active_fraction,interaction,0.003026780655267833,0.0008925965870048244,3,0.0024622537746225998,0.0025622437756223984,0.0040558444155585
C05,active_unit_mean_si_bits,D8_minus_D4,0.022707704258498763,0.029573950655746455,3,-0.00667439584777136,0.022327666016578054,0.0524698426066896
C05,active_unit_mean_si_bits,H10k_minus_H5k,0.010615617136531605,0.04848721516770575,3,-0.019514780748774448,-0.015186400331702148,0.06654803249007141
C05,active_unit_mean_si_bits,interaction,0.03150275632538001,0.07299320348306444,3,0.07756149212205492,-0.05265722908439048,0.06960400593847559
C05,active_map_cosine_mean,D8_minus_D4,-0.021903154566496368,0.021049349162036806,3,-0.0461242121837646,-0.011547725775259844,-0.008037525740464659
C05,active_map_cosine_mean,H10k_minus_H5k,-0.027668159715060325,0.056588962483236964,3,0.022908100887599606,-0.01712554801293644,-0.08878703201984414
C05,active_map_cosine_mean,interaction,-0.04762432214277621,0.15642658604816298,3,-0.18368686255587924,0.12328802331541168,-0.08247412718786107
C05,active_unique_peak_bins,D8_minus_D4,-1.0,1.8027756377319946,3,-0.5,0.5,-3.0
C05,active_unique_peak_bins,H10k_minus_H5k,0.6666666666666666,1.2583057392117916,3,0.5,-0.5,2.0
C05,active_unique_peak_bins,interaction,2.0,1.7320508075688772,3,1.0,1.0,4.0
C05,active_peak_bin_entropy,D8_minus_D4,-0.033215852870217354,0.059615595867925184,3,-0.015625,0.015625,-0.09964755861065205
C05,active_peak_bin_entropy,H10k_minus_H5k,0.022799186203550686,0.04246821516890635,3,0.015625,-0.015625,0.06839755861065205
C05,active_peak_bin_entropy,interaction,0.06643170574043471,0.06093650183937053,3,0.03125,0.03125,0.1367951172213041
C05,active_pairwise_peak_distance_bins,D8_minus_D4,-0.20014765857896943,0.39309010207053297,3,-0.08581092962110404,0.12309843862071723,-0.6377304847365215
C05,active_pairwise_peak_distance_bins,H10k_minus_H5k,0.8272684209001886,0.11824731317596558,3,0.7182353594437938,0.8106072113901668,0.9529626918666052
C05,active_pairwise_peak_distance_bins,interaction,-1.7061145350693874,0.5462931530198483,3,-1.2631138425350201,-1.538707438817248,-2.316522323855894
C05,prethreshold_map_cosine_mean,D8_minus_D4,-0.010772066200740634,0.021596608092322046,3,0.014143810171190598,-0.022328444872681097,-0.0241315639007314
C05,prethreshold_map_cosine_mean,H10k_minus_H5k,-0.013805985900422669,0.025566116687438738,3,0.015171317166541399,-0.023409634598724402,-0.033179640269085
C05,prethreshold_map_cosine_mean,interaction,-0.04236898145565973,0.07791801418329701,3,-0.013041856305983602,0.0166299072734732,-0.1306949953344688
C05,prethreshold_unique_peak_bins,D8_minus_D4,-0.3333333333333333,1.2583057392117918,3,1.0,-0.5,-1.5
C05,prethreshold_unique_peak_bins,H10k_minus_H5k,1.0,1.3228756555322954,3,0.0,0.5,2.5
C05,prethreshold_unique_peak_bins,interaction,1.3333333333333333,1.5275252316519468,3,0.0,1.0,3.0
C05,prethreshold_peak_bin_entropy,D8_minus_D4,-0.012382519536884037,0.042105021654612454,3,0.03125,-0.015625,-0.05277255861065211
C05,prethreshold_peak_bin_entropy,H10k_minus_H5k,0.03321585287021737,0.044688098722102096,3,0.0,0.015625,0.08402255861065211
C05,prethreshold_peak_bin_entropy,interaction,0.045598372407101406,0.05421577063331631,3,0.0,0.03125,0.10554511722130422
C05,prethreshold_pairwise_peak_distance_bins,D8_minus_D4,-0.05870323297724056,0.3905941683392846,3,-0.47447339106200115,-0.0021957813283668415,0.3005594734586463
C05,prethreshold_pairwise_peak_distance_bins,H10k_minus_H5k,0.3198264850767713,0.5477110851309399,3,0.5526878511444684,0.7126296588514878,-0.3058380547656423
C05,prethreshold_pairwise_peak_distance_bins,interaction,0.539792353018477,0.8667444360321769,3,-0.4536238943621367,0.9311959802572982,1.1418049731602693
C13,visited_cells,D8_minus_D4,9.166666666666666,36.82843104631711,3,3.5,-24.5,48.5
C13,visited_cells,H10k_minus_H5k,-34.833333333333336,4.041451884327381,3,-32.5,-32.5,-39.5
C13,visited_cells,interaction,41.0,86.53323061113575,3,17.0,137.0,-31.0
C13,active_units,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,active_units,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,active_units,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,silent_units,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C13,silent_units,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C13,silent_units,interaction,0.0,0.0,3,0.0,0.0,0.0
C13,mean_active_fraction,D8_minus_D4,-0.0006447271939472662,0.0013304211089699043,3,-0.0001437356264373489,0.00036246375362464917,-0.002152909709029099
C13,mean_active_fraction,H10k_minus_H5k,0.0015113072026130669,0.0013566914450112906,3,0.0002499750024997499,0.0013373662633736488,0.002946580341965802
C13,mean_active_fraction,interaction,-0.0012936206379362675,0.002907732879040247,3,-0.00039996000399970116,0.001062393760623899,-0.004543295670433
C13,active_unit_mean_si_bits,D8_minus_D4,0.006709345929179447,0.029268569017903066,3,0.0026484737707140465,0.0377962979788482,-0.02031673396202391
C13,active_unit_mean_si_bits,H10k_minus_H5k,0.017674531489398886,0.03200049022350033,3,0.053733464797137045,0.006634082726150001,-0.007343953055090391
C13,active_unit_mean_si_bits,interaction,-0.06017398463251744,0.019292404626340322,3,-0.06265373322106452,-0.07810661699412061,-0.0397616036823672
C13,active_map_cosine_mean,D8_minus_D4,-0.010607501055580384,0.010772724981952283,3,-0.0104650309011942,-0.021450754524333652,9.328225878670049e-05
C13,active_map_cosine_mean,H10k_minus_H5k,-0.016824963194360748,0.01836696637651851,3,-0.03594614636427129,-0.015209855830849047,0.0006811126120380984
C13,active_map_cosine_mean,interaction,0.03634192144208103,0.03543607535150116,3,-0.0009823782820894134,0.0695260520193609,0.04048209058897159
C13,active_unique_peak_bins,D8_minus_D4,-0.3333333333333333,0.2886751345948129,3,-0.5,0.0,-0.5
C13,active_unique_peak_bins,H10k_minus_H5k,0.0,0.5,3,0.5,0.0,-0.5
C13,active_unique_peak_bins,interaction,0.0,1.0,3,1.0,0.0,-1.0
C13,active_peak_bin_entropy,D8_minus_D4,-0.010416666666666666,0.009021097956087904,3,-0.015625,0.0,-0.015625
C13,active_peak_bin_entropy,H10k_minus_H5k,0.0,0.015625,3,0.015625,0.0,-0.015625
C13,active_peak_bin_entropy,interaction,0.0,0.03125,3,0.03125,0.0,-0.03125
C13,active_pairwise_peak_distance_bins,D8_minus_D4,0.4451272280057726,1.7350743869591438,3,-0.4658861873578575,2.445957217739686,-0.6446893463645109
C13,active_pairwise_peak_distance_bins,H10k_minus_H5k,-1.384788036030488,1.2906176559888913,3,-2.496572066832864,-1.6883412693740212,0.03054922811542138
C13,active_pairwise_peak_distance_bins,interaction,0.3375451293710494,0.22726243958108092,3,0.08488192422856322,0.40248296173969855,0.5252705021448865
C13,prethreshold_map_cosine_mean,D8_minus_D4,-0.0038042747910327474,0.013214860739345264,3,-0.009731802878766647,-0.013017573300882646,0.011336551806551052
C13,prethreshold_map_cosine_mean,H10k_minus_H5k,-0.00818648394053365,0.009440649844097595,3,-0.006629108711823348,-0.01830898267651415,0.0003786395667365501
C13,prethreshold_map_cosine_mean,interaction,0.009679767790998965,0.0038565575191907057,3,0.014123692124444105,0.007209434354224897,0.007706176894327892
C13,prethreshold_unique_peak_bins,D8_minus_D4,-0.16666666666666666,0.2886751345948129,3,0.0,0.0,-0.5
C13,prethreshold_unique_peak_bins,H10k_minus_H5k,0.16666666666666666,0.2886751345948129,3,0.0,0.0,0.5
C13,prethreshold_unique_peak_bins,interaction,0.3333333333333333,0.5773502691896258,3,0.0,0.0,1.0
C13,prethreshold_peak_bin_entropy,D8_minus_D4,-0.005208333333333333,0.009021097956087904,3,0.0,0.0,-0.015625
C13,prethreshold_peak_bin_entropy,H10k_minus_H5k,0.005208333333333333,0.009021097956087904,3,0.0,0.0,0.015625
C13,prethreshold_peak_bin_entropy,interaction,0.010416666666666666,0.018042195912175808,3,0.0,0.0,0.03125
C13,prethreshold_pairwise_peak_distance_bins,D8_minus_D4,1.0595905697082144,2.04208444016354,3,0.21771668353200013,3.388024598138513,-0.42696957254587
C13,prethreshold_pairwise_peak_distance_bins,H10k_minus_H5k,-0.7791319120086574,1.5127887266558653,3,-1.7328058696370436,-1.5697369312374247,0.9651470648484963
C13,prethreshold_pairwise_peak_distance_bins,interaction,-0.9770395717566535,1.9771266134410832,3,-3.242853162223719,-0.08619934901520487,0.3979337959689637
C15,visited_cells,D8_minus_D4,-11.0,44.710177812216315,3,-58.0,-6.0,31.0
C15,visited_cells,H10k_minus_H5k,3.0,50.269274910227224,3,34.0,-55.0,30.0
C15,visited_cells,interaction,-8.666666666666666,101.92807921928743,3,58.0,42.0,-126.0
C15,active_units,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C15,active_units,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C15,active_units,interaction,0.0,0.0,3,0.0,0.0,0.0
C15,silent_units,D8_minus_D4,0.0,0.0,3,0.0,0.0,0.0
C15,silent_units,H10k_minus_H5k,0.0,0.0,3,0.0,0.0,0.0
C15,silent_units,interaction,0.0,0.0,3,0.0,0.0,0.0
C15,mean_active_fraction,D8_minus_D4,-0.000822834383228333,0.0012549280937789794,3,-0.0022716478352164515,-0.00012186281371864838,-7.49925007498993e-05
C15,mean_active_fraction,H10k_minus_H5k,0.00021456187714560064,0.0013610599921837154,3,0.0004968253174682507,-0.001265498450155049,0.0014123587641236002
C15,mean_active_fraction,interaction,0.0008832450088324661,0.003471382062902806,3,0.004055844415558497,0.001418608139186102,-0.0028247175282472003
C15,active_unit_mean_si_bits,D8_minus_D4,-0.01149909659276783,0.004934634989326926,3,-0.014318470233506443,-0.014377646202834792,-0.005801173341962257
C15,active_unit_mean_si_bits,H10k_minus_H5k,-0.015626170389812198,0.020373517428425546,3,-0.03728445668345925,0.003157165897938616,-0.012751220383915962
C15,active_unit_mean_si_bits,interaction,0.01292925610824953,0.03145829396817148,3,0.02371985140222968,-0.022504292974019596,0.037572209896538505
C15,active_map_cosine_mean,D8_minus_D4,0.010899645367182015,0.006675868836444785,3,0.012610187636590345,0.0035349381140540592,0.016553810350901643
C15,active_map_cosine_mean,H10k_minus_H5k,0.01664091013532844,0.05545001762878516,3,0.05152657600330575,-0.04729866669265205,0.04569482109533163
C15,active_map_cosine_mean,interaction,-0.03601478402114129,0.12270284583815819,3,0.01829213614894311,0.0501633807520743,-0.17649986896444128
C15,active_unique_peak_bins,D8_minus_D4,-0.6666666666666666,0.5773502691896258,3,-1.0,-1.0,0.0
C15,active_unique_peak_bins,H10k_minus_H5k,0.6666666666666666,0.5773502691896258,3,0.0,1.0,1.0
C15,active_unique_peak_bins,interaction,0.0,2.0,3,2.0,0.0,-2.0
C15,active_peak_bin_entropy,D8_minus_D4,-0.020833333333333332,0.018042195912175808,3,-0.03125,-0.03125,0.0
C15,active_peak_bin_entropy,H10k_minus_H5k,0.020833333333333332,0.018042195912175808,3,0.0,0.03125,0.03125
C15,active_peak_bin_entropy,interaction,0.0,0.0625,3,0.0625,0.0,-0.0625
C15,active_pairwise_peak_distance_bins,D8_minus_D4,-0.1924816377806288,1.3379870431115166,3,1.3260187491677655,-0.7051010167516862,-1.1983626457579657
C15,active_pairwise_peak_distance_bins,H10k_minus_H5k,-0.2506549083775935,1.1115439386668626,3,0.21445767657470505,-1.519204752994047,0.5527823512865613
C15,active_pairwise_peak_distance_bins,interaction,-1.0997762077428674,2.5531222486490295,3,1.443669370605548,-1.0805316623064751,-3.662466331527675
C15,prethreshold_map_cosine_mean,D8_minus_D4,0.0093781306103561,0.011861946553432244,3,0.022832995139860847,0.0048712256266767,0.0004301710645307523
C15,prethreshold_map_cosine_mean,H10k_minus_H5k,-0.013280436429690566,0.0029060823256903336,3,-0.013484718016714747,-0.010277603260453,-0.01607898801190395
C15,prethreshold_map_cosine_mean,interaction,-0.015330945248006664,0.009085582239806692,3,-0.025802136971341302,-0.009535516771920598,-0.010655182000758094
C15,prethreshold_unique_peak_bins,D8_minus_D4,0.5,1.0,3,0.5,-0.5,1.5
C15,prethreshold_unique_peak_bins,H10k_minus_H5k,0.16666666666666666,0.5773502691896258,3,-0.5,0.5,0.5
C15,prethreshold_unique_peak_bins,interaction,-1.0,0.0,3,-1.0,-1.0,-1.0
C15,prethreshold_peak_bin_entropy,D8_minus_D4,0.015625,0.03125,3,0.015625,-0.015625,0.046875
C15,prethreshold_peak_bin_entropy,H10k_minus_H5k,0.005208333333333333,0.018042195912175808,3,-0.015625,0.015625,0.015625
C15,prethreshold_peak_bin_entropy,interaction,-0.03125,0.0,3,-0.03125,-0.03125,-0.03125
C15,prethreshold_pairwise_peak_distance_bins,D8_minus_D4,0.0065646717043490455,0.2684656828314643,3,0.20576632179416965,0.11266472125476934,-0.29873702793589185
C15,prethreshold_pairwise_peak_distance_bins,H10k_minus_H5k,-0.2614501222865207,1.065622404863872,3,-1.4101229480683317,-0.06916627676126463,0.6949388579700342
C15,prethreshold_pairwise_peak_distance_bins,interaction,-0.6928300422927413,2.043542128026082,3,0.7386261312367726,0.216023154370804,-3.0331394124858004
