condition	family	schedule	feedback	half_life	seed	target_frames	checkpoint_frames	checkpoint	run_dir	label_suffix
DGN_BASE	hit_stop_film		existing		99	262144	262144	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_BASE_S99/checkpoint_p0/milestones/checkpoint_000000016_262144.pth	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_BASE_S99	DGN_BASE__s99__f262144
DGN_BASE	hit_stop_film		existing		99	500000	557056	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_BASE_S99/checkpoint_p0/checkpoint_000000034_557056.pth	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_BASE_S99	DGN_BASE__s99__f557056
DGN_SELF	hit_stop_film		none		99	262144	262144	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_SELF_S99/checkpoint_p0/milestones/checkpoint_000000016_262144.pth	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_SELF_S99	DGN_SELF__s99__f262144
DGN_SELF	hit_stop_film		none		99	500000	557056	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_SELF_S99/checkpoint_p0/checkpoint_000000034_557056.pth	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_SELF_S99	DGN_SELF__s99__f557056
DGN_TEMP	hit_stop_film		temporal		99	262144	262144	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_TEMP_S99/checkpoint_p0/milestones/checkpoint_000000016_262144.pth	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_TEMP_S99	DGN_TEMP__s99__f262144
DGN_TEMP	hit_stop_film		temporal		99	500000	557056	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_TEMP_S99/checkpoint_p0/checkpoint_000000034_557056.pth	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_TEMP_S99	DGN_TEMP__s99__f557056
DGN_PHYS	hit_stop_film		physical		99	262144	262144	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_PHYS_S99/checkpoint_p0/milestones/checkpoint_000000016_262144.pth	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_PHYS_S99	DGN_PHYS__s99__f262144
DGN_PHYS	hit_stop_film		physical		99	500000	557056	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_PHYS_S99/checkpoint_p0/checkpoint_000000034_557056.pth	/scratch/lin/IntrMotiv/train_dir/intrmotiv_dg_neighborhood_preflight_20260914_r4/DGN_PHYS_S99	DGN_PHYS__s99__f557056
