run,goal,scale_rms,shift_rms,centered_scale_rms,centered_shift_rms
SCR_C15_ARR_DIRS_S123,0,0.04805576126924924,0.08205732195858949,0.03185719023575144,0.04852089362071355
SCR_C15_ARR_DIRS_S123,1,0.019777043843271974,0.03908960075568085,0.02252503548929292,0.02869900716284992
SCR_C15_ARR_DIRS_S123,2,0.050288850480523103,0.09560201032038025,0.03868396287757006,0.06613650790316097
SCR_C15_ARR_DIRS_S123,3,0.038029857259574223,0.07355812998576018,0.021091843155039786,0.035137900291925026
SCR_C15_ARR_DIRS_S123,4,0.0394448034485234,0.058402402201825986,0.03394435709888535,0.0437179709636946
SCR_C15_ARR_DIRS_S123,5,0.04237455560552164,0.05585054713773677,0.024380856293034815,0.026332632404974004
SCR_C15_ARR_DIRS_S123,6,0.04337977037798282,0.06557541095203212,0.03196455949628687,0.04157535207776055
SCR_C15_ARR_DIRS_S123,7,0.037235120213611805,0.05585008878293684,0.024003590599788606,0.03682139396771977
SCR_C15_ARR_DIRS_S123,8,0.020398339759530107,0.047301716393385915,0.01572342314784903,0.01538247380629189
SCR_C15_ARR_DIRS_S123,9,0.0271327300370526,0.06975177071415321,0.017636022457294787,0.036688899719416364
SCR_C15_ARR_DIRS_S123,10,0.026437378823315292,0.03672572551916668,0.01574424225671804,0.019841002842963425
SCR_C15_ARR_DIRS_S123,11,0.02773179286069757,0.052232826185603945,0.017245086919101787,0.023021854621080275
SCR_C15_ARR_DIRS_S123,12,0.03811174523546543,0.05959923691107025,0.02260052119582015,0.028990589848868598
SCR_C15_ARR_DIRS_S123,13,0.03524582185316026,0.04652028228403717,0.017663663828496677,0.013104006357489909
SCR_C15_ARR_DIRS_S123,14,0.030268625233155974,0.05521770053364999,0.027462332108338792,0.04458746326855494
SCR_C15_ARR_DIRS_S123,15,0.026606488440435026,0.0662497729113827,0.01645099798122364,0.033858661877819274
SAT_C15_ARR_DIRO_FILM_S8,0,0.045024381185719047,0.06209256459948947,0.03435732859507829,0.033950634350112106
SAT_C15_ARR_DIRO_FILM_S8,1,0.02614472109954887,0.04486507107105576,0.015375110606838613,0.014501433179152161
