run,unit,ca3_weight_rms,depth_weight_rms,instruction_weight_rms,dimension_normalized_depth_share,total_energy_depth_share,scale_sd_across_goals,shift_sd_across_goals
SCR_C15_ARR_DIRS_S123,0,0.02976724938268287,0.02559717247284655,0.015833776682535657,0.42510437878510027,0.0064671136527947775,0.011716200357162738,0.037950470527266626
SCR_C15_ARR_DIRS_S123,1,0.030686638123444947,0.056853916156421276,0.016792743814863547,0.774398349338005,0.0293302201714571,0.04644143975330075,0.041073081478001094
SCR_C15_ARR_DIRS_S123,2,0.03097466302320057,0.025179683819408577,0.011524446750887814,0.3978900992346783,0.005783490191914354,0.01657233378906648,0.028787256379298177
SCR_C15_ARR_DIRS_S123,3,0.031089645671555727,0.021191768903546383,0.03727285575452877,0.31723152269450094,0.004073351570121737,0.02348716432226951,0.07750556034477232
SCR_C15_ARR_DIRS_S123,4,0.030414549923956747,0.01748195654740685,0.019671269603828822,0.24833658187421845,0.002899864653831274,0.004930624758497899,0.07458345925517282
SCR_C15_ARR_DIRS_S123,5,0.030475012390330538,0.05017498572082175,0.046371409970872454,0.7305114607105044,0.023305957004907903,0.01494909211894904,0.03728933787723961
SCR_C15_ARR_DIRS_S123,6,0.030921733790463944,0.07067127593430075,0.039571509299207726,0.8393176529668638,0.04395982957567415,0.03304155854588753,0.043338156974285995
SCR_C15_ARR_DIRS_S123,7,0.02988740040702266,0.027281534850628522,0.019267292337460627,0.45451266406105506,0.007281304368825273,0.010966912466764508,0.017650662466768063
SCR_C15_ARR_DIRS_S123,8,0.029835724952064425,0.04703530183550085,0.03749495958882429,0.7130787032029295,0.0214090571509696,0.03520719208713594,0.042613005837311
SCR_C15_ARR_DIRS_S123,9,0.028792044331630424,0.03750544070197803,0.06285499945090679,0.6291970736660233,0.014717230699930691,0.037641111951656876,0.019899588820210146
SCR_C15_ARR_DIRS_S123,10,0.030560060279598237,0.03737666294121586,0.01869906731889099,0.5993374335315732,0.012996694512184114,0.016593375234879217,0.05148708383239464
SCR_C15_ARR_DIRS_S123,11,0.030697564733934257,0.03688292002721322,0.011177779865815389,0.5907654221946661,0.012548168286298395,0.022646624066179705,0.0250408141022703
SCR_C15_ARR_DIRS_S123,12,0.03030842172459876,0.031448411574076005,0.0373878360013637,0.5184530435402954,0.00938849163559038,0.008292378268786765,0.06759122743423088
SCR_C15_ARR_DIRS_S123,13,0.030703214394537843,0.04448300829128598,0.026011408838423886,0.6773193750218818,0.01814223783430043,0.018818736821487898,0.023858845169731836
SCR_C15_ARR_DIRS_S123,14,0.03070817509648467,0.03325031226010761,0.03783784275232268,0.5396839815884654,0.010215177060135286,0.023639031467921897,0.0285058386391483
SCR_C15_ARR_DIRS_S123,15,0.03115092642189642,0.034711432455072924,0.010088196716837671,0.5539022739334233,0.010811941128371567,0.01203107142915645,0.01739938855238914
SCR_C15_ARR_DIRS_S123,16,0.030271782543330635,0.02658411066174545,0.006098922978620049,0.43541173475504524,0.006742975720773551,0.01264108341060069,0.05102093018513652
SCR_C15_ARR_DIRS_S123,17,0.03261809984156621,0.03581467005919341,0.03498706260197349,0.5466094054619056,0.010501262311074162,0.038699506271335636,0.01810347810580059
SCR_C15_ARR_DIRS_S123,18,0.030302259441825182,0.029851299694163176,0.033792553042098654,0.49250361224410233,0.00847039801671114,0.013701571567005301,0.02285061678978965
SCR_C15_ARR_DIRS_S123,19,0.029947537318074532,0.0248120733405998,0.04190792146916311,0.4070356600987203,0.006006329734157406,0.010818404796936923,0.044952492655579476
SCR_C15_ARR_DIRS_S123,20,0.029947589193847945,0.04658794520101209,0.01601901199930251,0.7076061560602944,0.02085884944920807,0.03527242768516866,0.0295145813854656
SCR_C15_ARR_DIRS_S123,21,0.030509625333649273,0.045175599784192846,0.03627892671105741,0.6867631349865213,0.018934497293313857,0.004334343271675034,0.01978741476014572
SCR_C15_ARR_DIRS_S123,22,0.029969457087537617,0.029165028466116117,0.02323187288826317,0.4863991412042353,0.008267671216798248,0.012214801504426743,0.03082655087118717
