window_low,window_high,worker_outcome,ppo_dg_gradient,goal_conditioning,coverage_auc_mean,coverage_auc_std,dg_density_mean,dg_density_std,silent_fraction_mean,silent_fraction_std,usage_entropy_mean,usage_entropy_std,option_success_mean,option_success_std,action_tv_mean,action_tv_std,action_sensitivity_mean,action_sensitivity_std,target_rate_mean,target_rate_std,shuffle_rate_mean,shuffle_rate_std,target_advantage_mean,target_advantage_std,correct_mean,correct_std,wrong_mean,wrong_std,timeout_mean,timeout_std,command_entropy_mean,command_entropy_std,pair_coverage_mean,pair_coverage_std,candidate_pairs_mean,candidate_pairs_std,candidate_sources_mean,candidate_sources_std,candidate_count_mean,candidate_count_std,behavior_candidate_count_mean,behavior_candidate_count_std,first_commanded_rate_mean,first_commanded_rate_std,first_shuffle_rate_mean,first_shuffle_rate_std,first_advantage_mean,first_advantage_std,largest_scc_mean,largest_scc_std,reachable_pairs_mean,reachable_pairs_std,top3_incoming_mean,top3_incoming_std,ppo_dg_norm_mean,ppo_dg_norm_std,encoder_dg_norm_mean,encoder_dg_norm_std,gradient_ratio_mean,gradient_ratio_std,gradient_cosine_mean,gradient_cosine_std,row_conflict_mean,row_conflict_std
1000000,5000000,FIRST,JOINT,FILM,82.36824284699453,5.370307207059111,0.028268866229508194,0.0012306479360546252,0.00819672131147541,0.006892225433951696,0.9729566303005465,0.004258735943813405,0.06743927628961749,0.001804134471281682,0.0007040664992076502,0.00021393418319542735,0.0016828597469125683,0.0002433976127958912,0.0201629461884077,0.0007340520393344233,0.01969881266106625,0.0008969850435690906,0.02390692487602612,0.01571536000786912,16.956284153005466,0.25937583139466186,244.31147540983605,5.432756957484568,0.08469945355191257,0.08609809429829908,0.9740862306830601,0.0005783096336689839,0.9996559346994536,0.0003153973343547824,239.94535519125682,0.05757187843089009,1.0,0.0,14.996584699453551,0.0035982424019306305,14.996266418032787,0.003284219928583671,0.06490928459409283,0.0009268508020160872,0.06718735213428592,0.0020563188752987733,-0.033435959786203985,0.025818705672808927,1.0,0.0,0.0006489071530054644,0.0006380308472016085,0.1366120216939891,0.148976020625472,0.29369186047540985,0.09506129976721892,0.17563765740437157,0.015839040706236783,1.5765371911748634,0.3514357510886926,-0.014720247957967211,0.014053571540765638,0.5183857040983607,0.02980347180134275
1000000,5000000,FIRST,JOINT,LEG,78.77306714480875,3.3563106348465896,0.030494314661202185,0.0005072352080472682,0.00034153005464480874,0.0005915474069565839,0.9828829699726777,0.005767390708217799,0.06752132651092897,0.0006679543422909696,0.0005919799203278689,0.00019954850771988121,0.0015001560707923495,0.0005118629273289441,0.02200169528327507,0.0014802987980233454,0.021859033230029173,0.0017223736420246525,0.007160384406995179,0.015063936007510055,17.26502732240437,0.5623173855284461,249.948087431694,8.784301726468804,0.07103825136612023,0.06152093032348472,0.9753325964754099,0.00010631686122785573,0.9992054778415301,0.0012305171379949369,239.9071038251366,0.12707121261457202,1.0,0.0,14.994193989071038,0.007941950788410751,14.995182088797813,0.004482571476976714,0.0646159702242956,0.00043511905998619513,0.0663529505934331,0.0011043927443019454,-0.02600094832800337,0.01721055301065199,1.0,0.0,0.002948542969945355,0.0028988506740182333,0.38748245,0.20863339978965198,0.2783948514125683,0.06272010533439702,0.17749594497267762,0.013367108492900116,1.5072269153551912,0.371669945443459,0.00472225298489071,0.011686856232909087,0.49556824103825137,0.025572682567533766
1000000,5000000,FIRST,STOP,FILM,80.696163,5.793437011974307,0.03393829850819672,0.0005289570248424712,0.0,0.0,0.9901897809016393,0.0028767115251384255,0.06774399032240437,0.001065258604373438,0.0008375617412295081,0.0001293906539428241,0.0020908894811202186,0.00026902530392842056,0.0240523738608998,0.0007389814306648797,0.024372239361181974,0.0007428248863440637,-0.012977563838078207,0.020656795987790313,18.663934426229506,0.33305327301491794,272.4972677595629,2.4763912576978377,0.06284153005464481,0.061520930323484706,0.9707752775683058,0.000712173262619687,0.9994865104371584,0.00030497365492049755,239.99180327868854,0.014197137766958346,1.0,0.0,14.999487704918034,0.0008873211104348966,14.999280439890711,0.0007207817787917952,0.06410950383456808,0.00161054770901174,0.06687737218185617,0.0008291566056941464,-0.04123052969114319,0.029908412478140554,1.0,0.0,0.0029030056885245904,0.0018793466536097092,0.4371584699453552,0.17509803245914882,0.0,0.0,0.1521040678442623,0.011616543636163167,0.0,0.0,0.0,0.0,0.0,0.0
1000000,5000000,FIRST,STOP,LEG,75.02319540710381,13.424505159239876,0.03359851945355191,0.0008247951709176427,0.0,0.0,0.9885496203005465,0.004163736767112986,0.06793345993442623,0.0027182298446262253,0.0005042057357923498,0.00010873369922797788,0.0017134205133606556,0.0005383395779332684,0.023525314565085113,0.0010806245920468465,0.023316332532314382,0.0009084785853527261,0.00914419285175816,0.03357287246420163,18.3551912568306,0.24000209022948413,268.87158469945354,12.667465509447322,0.06557377049180328,0.024590163934426233,0.9707955301366119,0.0026426888931590747,0.9996011673770493,0.0001288997890619878,239.95628415300544,0.07571806809044998,1.0,0.0,14.99726775956284,0.004732379255653124,14.996102875683059,0.006750017320351923,0.06398312995880627,0.0027893433896489963,0.0664568281752438,0.0008094508907941945,-0.03682693267263178,0.05261139114139813,1.0,0.0,0.006591530289617485,0.007394816010929178,0.5246193994535518,0.26387653949322215,0.0,0.0,0.14670114789890712,0.011654017466141718,0.0,0.0,0.0,0.0,0.0,0.0
1000000,5000000,HIT,JOINT,FILM,78.96993430327869,8.549632287776392,0.029465805622950817,0.0008991715242542412,0.0005122950819672131,0.0008873211104348756,0.9819304666120218,0.0036563403893477894,0.5166324346721312,0.038945166896933614,0.00022905226235519127,8.903030161967533e-05,0.000488199821057377,0.0001041968732027878,0.018295757098407812,0.003520847943131089,0.018351169753914865,0.0036212627898030603,-0.0023995753621284255,0.005489919916618519,15.795081967213115,1.5251849712256424,0.0,0.0,14.945355191256832,0.9655561429732403,0.9699926241803278,0.0030804750013608377,0.9735358510928962,0.004325998931351495,239.9153005464481,0.1467037569252417,1.0,0.0,14.994706284153006,0.009168984807827607,14.994484086065574,0.00765200148343538,1.0,0.0,0.0,0.0,,,15.259562841530055,0.5403208392560922,0.9540642071038251,0.033541329533543836,0.35797447426229506,0.05193925485021808,0.27253155453551914,0.055167444093901834,0.169970372852459,0.016064245142329184,1.5533108237704916,0.4192511115899994,-0.0010760796626775977,0.008978335206148512,0.5062077157923497,0.012568553351119633
1000000,5000000,HIT,JOINT,LEG,78.74500674863388,5.479846345021659,0.0297210359863388,0.0009880844309810251,0.006147540983606557,0.005704676601260269,0.9718451204644808,0.005553871334516608,0.5108104532513661,0.009496255586840405,0.00011441055405191258,3.140557156086194e-05,0.0002888841177459016,0.00010369267445614861,0.018675547492546515,0.00043481376645288205,0.018562832660719595,0.0004970620118319065,0.006137733809098582,0.004689068300596102,15.737704918032788,0.12803687993289525,0.0,0.0,15.30327868852459,0.4431539013414201,0.9650037652732241,0.005015074266630067,0.96263222715847,0.009957349891618814,239.46721311475412,0.8597184591935858,1.0,0.0,14.966700819672132,0.05373240369959911,14.979195394808743,0.027776733479135292,1.0,0.0,0.0,0.0,,,14.281420765027322,0.851131269473237,0.8948315096994536,0.05145962014236074,0.3606999645355191,0.020194549151905532,0.29993703740437155,0.07988111656357057,0.17413345780327869,0.025093772990106702,1.7124831345081966,0.630420607464797,0.00015613948568305995,0.0001997436342843334,0.4964090575136612,0.00784452747458839
1000000,5000000,HIT,STOP,FILM,77.94538711202186,9.65806232679378,0.03335004293442623,0.000507840088597474,0.0005122950819672131,0.0008873211104348756,0.9880576680327868,0.00552309939463963,0.567386588442623,0.005877202410964507,0.00020484651545901638,3.622268225987045e-05,0.0006045861268688525,0.000186731552200823,0.02346918780130243,0.0011773503225118366,0.02349483297077176,0.0011684743220549507,-0.001097765368980282,0.004424969354539016,18.19945355191257,0.3996549618191602,0.0,0.0,14.226775956284152,0.3852749669305433,0.9635213176229508,0.0031681380143579584,0.9591260713387978,0.004655269896790105,239.97267759562843,0.04732379255652304,1.0,0.0,14.998292349726777,0.00295773703478269,14.99864455191257,0.001657610841779892,1.0,0.0,0.0,0.0,,,15.404371584699453,0.37394780570329333,0.962989525136612,0.02322636341278534,0.2979366540163934,0.019573763965871797,0.0,0.0,0.15230419242349727,0.006866182987756542,0.0,0.0,0.0,0.0,0.0,0.0
1000000,5000000,HIT,STOP,LEG,83.54570640710382,3.7241807728136154,0.032103658377049184,0.0007078360002131959,0.0,0.0,0.9848196528961749,0.000784694185410721,0.5530535029508196,0.01938029568819011,0.00010732193542076504,3.6204194291508054e-05,0.0002563999806557377,9.226977221797333e-05,0.021166319438782905,0.0008734743547729635,0.02116239360977862,0.0008851648599482366,0.00020089010886755373,0.001727822234245212,17.434426229508194,0.5447583163381395,0.0,0.0,14.363387978142077,0.7024993452725723,0.9596490358469945,0.0013225614743737754,0.9592475388797813,0.005997715982465212,239.9153005464481,0.10697689590411256,1.0,0.0,14.994706284153006,0.006686055994007035,14.991231314207651,0.008323421226718884,1.0,0.0,0.0,0.0,,,15.079234972677595,0.4069846159861297,0.9417577404644808,0.02680404614085226,0.31927147087431695,0.002378196113768513,0.0,0.0,0.15356495192896177,0.00537089893528298,0.0,0.0,0.0,0.0,0.0,0.0
5000000,10000000,FIRST,JOINT,FILM,70.43757206971678,9.383783946368368,0.03528111277777778,0.00126321795423449,0.0,0.0,0.9864147121568627,0.0020711239947726083,0.066579708708061,0.001553297297662901,0.0016698231940958607,0.0009968863336991941,0.007521097609150327,0.00048248818746897745,0.026937562604957218,0.0011488558153306622,0.027163001904674845,0.0013271869410584718,-0.0074436110648524,0.044084161518488554,19.941176470588236,0.4799362026323073,304.61655773420483,12.790895316768967,0.09368191721132897,0.06865338238165024,0.96730324124183,0.0029201302510307794,1.0,0.0,240.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0,0.06150122918984455,0.002696342842488529,0.06581990958273089,0.0008903192177384781,-0.06573869099497694,0.03448420746770848,1.0,0.0,0.006327160838779956,0.0055634487094257425,0.6485376604357298,0.312745353777155,0.24928319417211328,0.02533304916013849,0.1367687075925926,0.020904185731727136,1.8556256914814815,0.32023872486906324,0.007991200736056645,0.009634733273521772,0.49863834422657954,0.006239890652172985
5000000,10000000,FIRST,JOINT,LEG,65.97470653812637,18.904222489553753,0.03666125194553377,0.0011413876753678328,0.0,0.0,0.9907394315250544,0.0013499391803657326,0.06654883420915032,0.0017670692546662783,0.0006725153799564269,0.00026692891165246293,0.0029851880026143794,0.0006724002816222823,0.02813839178853983,0.00016310213410621334,0.02859707185070554,0.001061233599416891,-0.015255331695978888,0.03172114105320238,20.36165577342048,0.1766318959364666,311.57952069716777,21.299799565867485,0.23965141612200436,0.15051612592083552,0.9661008316339869,0.007221395061845774,1.0,0.0,240.0,0.0,1.0,0.0,15.0,0.0,15.0,0.0,0.06148656978625718,0.0033718471979288065,0.06571867704377816,0.0015872581438914966,-0.06419280922555566,0.05264197451129019,1.0,0.0,0.012844953148148147,0.012604147610156565,0.8289916715032678,0.17310916736457746,0.19983856477559914,0.033707925329669826,0.13870744440740743,0.006840732022505864,1.4452018781263618,0.27886954469869024,0.002662307085551199,0.007430490898277433,0.49278322440087147,0.012134026241129716
