window_low,window_high,worker_outcome,ppo_dg_gradient,coverage_auc,dg_density,silent_fraction,usage_entropy,option_success,action_tv,action_sensitivity,target_rate,shuffle_rate,target_advantage,correct,wrong,timeout,command_entropy,pair_coverage,candidate_pairs,candidate_sources,candidate_count,behavior_candidate_count,first_commanded_rate,first_shuffle_rate,first_advantage,largest_scc,reachable_pairs,top3_incoming,ppo_dg_norm,encoder_dg_norm,gradient_ratio,gradient_cosine,row_conflict
1000000,5000000,FIRST,JOINT,80.57065499590165,0.029381590445355193,0.00426912568306011,0.9779198001366121,0.06748030140027324,0.0006480232097677595,0.001591507908852459,0.021082320735841386,0.02077892294554771,0.01553365464151065,17.110655737704917,247.129781420765,0.07786885245901638,0.974709413579235,0.9994307062704918,239.9262295081967,1.0,14.995389344262295,14.995724253415299,0.06476262740919421,0.06677015136385951,-0.029718454057103678,1.0,0.0017987250614754098,0.2620472358469945,0.28604335594398905,0.1765668011885246,1.5418820532650273,-0.004998997486538251,0.5069769725683061
1000000,5000000,FIRST,STOP,77.8596792035519,0.03376840898087432,0.0,0.989369700601093,0.06783872512841531,0.0006708837385109289,0.0019021549972404372,0.023788844212992457,0.023844285946748176,-0.0019166854931600235,18.509562841530055,270.68442622950823,0.06420765027322405,0.9707854038524589,0.9995438389071039,239.974043715847,1.0,14.998377732240437,14.997691657786886,0.06404631689668717,0.06666710017854999,-0.03902873118188749,1.0,0.004747267989071038,0.48088893469945354,0.0,0.1494026078715847,0.0,0.0,0.0
1000000,5000000,HIT,JOINT,78.85747052595629,0.029593420804644808,0.0033299180327868855,0.9768877935382513,0.5137214439617487,0.00017173140820355193,0.0003885419694016393,0.018485652295477165,0.01845700120731723,0.001869079223485078,15.76639344262295,0.0,15.124316939890711,0.967498194726776,0.968084039125683,239.6912568306011,1.0,14.980703551912569,14.986839740437157,1.0,0.0,,14.770491803278688,0.9244478584016393,0.35933721939890706,0.2862342959699454,0.17205191532786887,1.6328969791393442,-0.0004599700884972689,0.5013083866530055
1000000,5000000,HIT,STOP,80.74554675956284,0.03272685065573771,0.00025614754098360657,0.9864386604644809,0.5602200456967213,0.0001560842254398907,0.00043049305376229507,0.02231775362004267,0.02232861329027519,-0.00044843763005636417,17.816939890710383,0.0,14.295081967213115,0.9615851767349727,0.9591868051092897,239.94398907103826,1.0,14.996499316939891,14.99493793306011,1.0,0.0,,15.241803278688524,0.9523736328005464,0.30860406244535515,0.0,0.15293457217622952,0.0,0.0,0.0
5000000,10000000,FIRST,JOINT,68.20613930392157,0.03597118236165577,0.0,0.9885770718409587,0.06656427145860566,0.0011711692870261436,0.005253142805882353,0.027537977196748525,0.027880036877690195,-0.011349471380415643,20.15141612200436,308.0980392156863,0.16666666666666666,0.9667020364379084,1.0,240.0,1.0,15.0,15.0,0.06149389948805087,0.06576929331325453,-0.0649657501102663,1.0,0.009586056993464051,0.7387646659694989,0.2245608794738562,0.13773807600000001,1.6504137848039218,0.005326753910803922,0.49571078431372545
5000000,10000000,FIRST,STOP,63.784645377995645,0.03457993986056645,0.0,0.9943309092374727,0.06770427992156863,0.0009000318967973857,0.004609084396296296,0.026715210288087612,0.027257263723040052,-0.019779713848504205,19.92156862745098,296.7352941176471,0.15250544662309368,0.9695532777886711,1.0,240.0,1.0,15.0,15.0,0.06294913643644795,0.06643294631821266,-0.05143458264606162,1.0,0.00980846084204793,0.769718650882353,0.0,0.12253594745533769,0.0,0.0,0.0
5000000,10000000,HIT,JOINT,68.43982669281046,0.035128857302832245,0.0,0.991388622832244,0.5300262137145969,0.0004047367829678649,0.001471007478845316,0.02393469182676569,0.023871037659096678,0.0028890330631833328,18.483660130718956,0.0,16.82897603485839,0.9950174324074075,1.0,240.0,1.0,15.0,15.0,1.0,0.0,,15.703703703703704,0.9816766518954249,0.2841508833769063,0.18323619760348583,0.14004353599891067,1.318067908453159,-0.004461612540141611,0.5003404139433552
5000000,10000000,HIT,STOP,66.71144874618737,0.034064033174291936,0.0,0.9929947329847494,0.5180433389106753,0.00025138252805337693,0.001358795892973856,0.023442486258370948,0.02337718177394958,0.0033907419433970207,18.72875816993464,0.0,17.879084967320264,0.9948022566448801,1.0,240.0,1.0,15.0,15.0,1.0,0.0,,15.564270152505445,0.9727668845315903,0.27106745271241833,0.0,0.12923992213071894,0.0,0.0,0.0
10000000,15000000,FIRST,JOINT,48.07557099451754,0.035476182684210524,0.0,0.9903541576644738,0.06906530620942983,0.0009868085825372808,0.008502631930153508,0.029173831942845976,0.030160043753051438,-0.03258410392943804,20.75877192982456,310.3815789473684,0.1513157894736842,0.9648772502302632,1.0,240.0,1.0,15.0,15.0,0.06269291673567,0.06786463087832754,-0.07560589167269958,1.093201754385965,0.013057383540570176,0.9156862428837719,0.1807337660416667,0.12582712524122808,1.4533224988048243,-0.010753629798316885,0.5217242324561403
10000000,15000000,FIRST,STOP,48.04456389364035,0.03232159532127193,0.0,0.9936816793969299,0.06738930512609649,0.000671975178245614,0.007146378317105263,0.02571724257566822,0.026797748538189673,-0.040592878193538795,19.87828947368421,304.47587719298247,0.14035087719298245,0.966434068256579,1.0,240.0,1.0,15.0,15.0,0.06133499591691407,0.0677495582304743,-0.09428116621981004,1.0,0.01769005908991228,0.9008451191885966,0.0,0.12241836975657895,0.0,0.0,0.0
10000000,15000000,HIT,JOINT,51.320030489035084,0.0348813910372807,0.0,0.9915507105701754,0.5028683292763158,0.00039225866698925434,0.0030817409358223683,0.022738725853585717,0.022685298229929495,0.002900004325566604,18.389254385964914,0.0,18.56578947368421,0.9953190946381579,1.0,240.0,1.0,15.0,15.0,1.0,0.0,,15.653508771929824,0.9797514617982456,0.287907480877193,0.17621387966557014,0.1309579951151316,1.3484372536293858,-0.008994244387600877,0.49671052631578955
10000000,15000000,HIT,STOP,53.054079492324554,0.03264202990350877,0.0,0.9937389211184211,0.500762723629386,0.00027739454064473686,0.002636557603245614,0.021299865425142842,0.021125393870945277,0.008233844725645903,18.18969298245614,0.0,18.63377192982456,0.9949006457127193,1.0,240.0,1.0,15.0,15.0,1.0,0.0,,15.486842105263158,0.9680372805372807,0.29340742106359646,0.0,0.12717716270723686,0.0,0.0,0.0
15000000,20000000,FIRST,JOINT,44.40821701416122,0.033492842519607845,0.0,0.9927056662091504,0.0663178687701525,0.0009407244346427016,0.010385580437472767,0.027408912792087067,0.02849432641098547,-0.03795439338341983,20.340958605664486,313.5882352941176,0.14705882352941177,0.965156534912854,1.0,240.0,1.0,15.0,15.0,0.06097522847574435,0.06698758332040797,-0.0890651841253855,1.0130718954248366,0.01652596274727669,0.7754679760239651,0.17105412538671025,0.12415025780174294,1.3855071415904139,-0.013370703845291938,0.5131399782135077
15000000,20000000,FIRST,STOP,42.45814840087146,0.03073130090522876,0.0,0.994222929956427,0.06846355440958606,0.0006454921826318082,0.009122304392374728,0.025462648702793366,0.026539962541053803,-0.04136210884880209,19.796296296296294,304.43464052287584,0.14705882352941177,0.965384834204793,1.0,240.0,1.0,15.0,15.0,0.061116316814657325,0.06638587884901458,-0.07882377031022388,1.0,0.020701707250544665,0.8908992952178649,0.0,0.1288111954477124,0.0,0.0,0.0
15000000,20000000,HIT,JOINT,45.499834469498914,0.03232104063507626,0.0,0.991821578714597,0.4963696325490196,0.0003020245162440087,0.004230107197766884,0.020479244480385485,0.020350286521071972,0.006065367116581381,17.80392156862745,0.0,18.453159041394333,0.9949271883006537,1.0,240.0,1.0,15.0,15.0,1.0,0.0,,15.778867102396513,0.9866421568191721,0.3028858103812636,0.1609648908976035,0.13093283946732026,1.2419604795315904,-0.01445412836957516,0.5156953522440088
15000000,20000000,HIT,STOP,49.9449903496732,0.03080363887690632,0.0,0.9934557977886711,0.5048750130065359,0.0003051040060326798,0.0036227073319934637,0.02097126415939198,0.020810968329144548,0.007692138831891349,18.18082788671024,0.0,18.3082788671024,0.9947720643572985,1.0,240.0,1.0,15.0,15.0,1.0,0.0,,15.608932461873637,0.9756989830718954,0.2940705485076253,0.0,0.13518541881917212,0.0,0.0,0.0
20000000,23000000,FIRST,JOINT,42.78618287179487,0.03233605685164835,0.0,0.9935456405494505,0.06746335043772894,0.000907512145576923,0.012233724485897437,0.027120251780161447,0.028155023679992588,-0.03697213005468528,20.353479853479854,312.0164835164835,0.1703296703296703,0.9652339002380952,1.0,240.0,1.0,15.0,15.0,0.0613680358442632,0.06714816859367666,-0.08572707498656224,1.0293040293040294,0.021581197098901096,0.7305907959157509,0.21377079920146522,0.13515723748717948,1.579641761794872,-0.016871014053443222,0.5108745421245421
20000000,23000000,FIRST,STOP,41.53511018131868,0.029624463858974357,0.0,0.9944941131318682,0.06779747451391942,0.0006779734353278389,0.010138243697252749,0.024237792061178876,0.025061785478547306,-0.03353106013028867,19.44322344322344,305.8827838827839,0.15201465201465203,0.9653114365018315,1.0,240.0,1.0,15.0,15.0,0.059870117044843324,0.06753341806751346,-0.11227976263491317,1.0,0.02435897481318681,0.8651598876556776,0.0,0.13346493986446886,0.0,0.0,0.0
20000000,23000000,HIT,JOINT,45.1571628058608,0.030395843181318678,0.0,0.9924299232783883,0.4980166434249084,0.00031635152018315017,0.004722190558424908,0.020117520404646674,0.020066122079860565,0.0024394859833662776,17.63919413919414,0.0,18.2014652014652,0.9947595045238095,1.0,240.0,1.0,15.0,15.0,1.0,0.0,,15.238095238095239,0.9600885223443223,0.30909602948717946,0.18753993734798535,0.1399958672948718,1.3518934354578753,-0.02221288371760073,0.5255265567765568
20000000,23000000,HIT,STOP,46.01513874908425,0.02982964706043956,0.0,0.9936844055128203,0.49174626,0.0002613912724404762,0.003919883084304029,0.019789975863259892,0.019603533746961586,0.00957987166476676,17.8003663003663,0.0,18.913919413919412,0.9944110383333333,1.0,240.0,1.0,15.0,15.0,1.0,0.0,,15.293040293040292,0.9581501801831501,0.3013054662820513,0.0,0.14116176553663004,0.0,0.0,0.0
