run_name,worker_outcome,ppo_dg_gradient,goal_conditioning,seed,window_low,window_high,samples,run_state,max_env_steps,coverage_auc,dg_density,silent_fraction,usage_entropy,option_success,action_tv,action_sensitivity,target_num,target_count,shuffle_num,shuffle_count,correct,wrong,timeout,command_entropy,pair_coverage,candidate_pairs,candidate_sources,candidate_count,behavior_candidate_count,commanded_num,commanded_count,first_shuffle_num,first_shuffle_count,largest_scc,reachable_pairs,top3_incoming,ppo_dg_norm,encoder_dg_norm,gradient_ratio,gradient_cosine,row_conflict,target_rate,shuffle_rate,target_advantage,first_commanded_rate,first_shuffle_rate,first_advantage
DGP_C15_FIRST_JOINT_FILM_S8,FIRST,JOINT,FILM,8,1000000,5000000,122,running,29687808.0,78.90526066393443,0.029372418565573766,0.013831967213114754,0.9761542166393443,0.06641357613114754,0.0006344860429508196,0.0014380450881967212,19.81967213114754,975.6311475409836,19.16393442622951,949.6967213114754,17.18032786885246,250.58196721311475,0.0,0.9746696755737705,1.0,240.0,1.0,15.0,15.0,17.18032786885246,267.76229508196724,17.37704918032787,267.76229508196724,1.0,6.830601639344261e-05,0.01639344262295082,0.210353178147541,0.15757361032786885,1.3098227159836067,-0.030487411770491805,0.5524590218032788,0.0203147185092458,0.020179004513951822,0.006725504977222574,0.06416261058560627,0.06489729696635749,-0.01132075471698124
DGP_C15_FIRST_JOINT_FILM_S99,FIRST,JOINT,FILM,99,1000000,5000000,122,running,31064064.0,79.64484726229509,0.02849241162295082,0.010245901639344262,0.9745933298360656,0.0663818220737705,0.0005335843355737705,0.0016857190312295084,21.24590163934426,1020.983606557377,20.172131147540984,995.983606557377,16.672131147540984,241.3360655737705,0.1721311475409836,0.9735131968852458,0.999587293442623,239.95081967213116,1.0,14.996926229508198,14.994975278688525,16.672131147540984,258.0081967213115,17.770491803278688,258.0081967213115,1.0,0.001331967319672131,0.30327868852459017,0.39722919606557383,0.18714816090163933,1.9747616194262294,-0.003512469602459014,0.4971653032786885,0.020809248554913295,0.020253477080075712,0.0274407931359264,0.06461861041395305,0.06887568700956254,-0.06180811808118081
DGP_C15_FIRST_JOINT_FILM_S123,FIRST,JOINT,FILM,123,1000000,5000000,122,running,30670848.0,88.5546206147541,0.026941768499999998,0.0005122950819672131,0.9681223444262295,0.06952243066393443,0.0009441291190983606,0.0019248151213114755,19.39344262295082,1001.4754098360655,18.21311475409836,975.844262295082,17.016393442622952,241.01639344262296,0.08196721311475409,0.9740758195901641,0.9993805106557377,239.88524590163934,1.0,14.992827868852459,14.993823975409835,17.016393442622952,258.0327868852459,17.491803278688526,258.0327868852459,1.0,0.0005464481229508197,0.09016393393442623,0.2734932072131147,0.18219120098360658,1.445027238114754,-0.010160862500950817,0.5055327872131148,0.019364871501064005,0.018663956389171208,0.03755447651492938,0.06594663278271919,0.06778907242693774,-0.027179006560449914
DGP_C15_FIRST_JOINT_LEG_S8,FIRST,JOINT,LEG,8,1000000,5000000,122,running,30769152.0,82.49949751639343,0.031070896688524592,0.0,0.9874986946721311,0.067107785647541,0.0008102257909016395,0.0019186101991803277,21.737704918032787,917.4672131147541,21.18032786885246,890.7950819672132,17.901639344262296,259.3196721311475,0.07377049180327869,0.9752203936065575,1.0,240.0,1.0,15.0,15.0,17.901639344262296,277.22131147540983,18.040983606557376,277.22131147540983,1.0,0.0017759564180327872,0.4016393442622951,0.2147684753032787,0.17690436221311479,1.1656675609836067,0.004260604151639345,0.4994877049180328,0.02369316811249788,0.023776880112627328,-0.0035207310518838852,0.06457526388929954,0.06507791017415215,-0.007723761926397121
DGP_C15_FIRST_JOINT_LEG_S99,FIRST,JOINT,LEG,99,1000000,5000000,122,running,30670848.0,77.83186529508198,0.030295200049180324,0.0010245901639344263,0.9847325238524591,0.06829192401639346,0.0004188557200819672,0.0009294379787704918,20.729508196721312,989.8196721311475,19.71311475409836,964.2459016393443,16.83606557377049,241.9016393442623,0.00819672131147541,0.9754318390983607,0.9977880582786885,239.7622950819672,1.0,14.98514344262295,14.991134766393442,16.83606557377049,258.73770491803276,17.327868852459016,258.73770491803276,1.0,0.0008196721967213115,0.1721311475409836,0.34016759237704924,0.1644344495081967,1.9030431538524593,0.016633093192377046,0.46826210016393444,0.020942711870021034,0.020444074193712917,0.024390328052197097,0.06507001203826902,0.06697079135779002,-0.02838221381267736
DGP_C15_FIRST_JOINT_LEG_S123,FIRST,JOINT,LEG,123,1000000,5000000,122,running,29818880.0,75.98783862295083,0.030116847245901638,0.0,0.9764176913934427,0.06716426986885246,0.00054685825,0.0016524200344262296,20.885245901639344,977.3524590163935,20.31967213114754,951.4672131147541,17.057377049180328,248.62295081967213,0.13114754098360656,0.9753455567213114,0.9998283752459017,239.95901639344262,1.0,14.997438524590164,14.994411499999998,17.057377049180328,265.6803278688525,17.80327868852459,265.6803278688525,1.0,0.006250000295081967,0.5886768581967213,0.28024848655737705,0.19114902319672133,1.4529700312295082,-0.006726938389344259,0.5189549180327869,0.021369205867306288,0.021356145383747277,0.0006115562206723268,0.06420263474531823,0.06701015024835714,-0.04189686924493563
DGP_C15_FIRST_STOP_FILM_S8,FIRST,STOP,FILM,8,1000000,5000000,122,running,30736384.0,75.45196126229507,0.033328447172131154,0.0,0.9878668306557377,0.06759900682786886,0.0008186118165573771,0.002131644136065574,21.188524590163933,892.8032786885246,21.33606557377049,865.9262295081967,18.385245901639344,274.0081967213115,0.06557377049180328,0.9715862136885245,0.9998292351639344,240.0,1.0,15.0,15.0,18.385245901639344,292.39344262295083,19.40983606557377,292.39344262295083,1.0,0.004747268114754098,0.5655737704918032,0.0,0.15701547381967212,0.0,0.0,0.0,0.023732579276913756,0.024639588046534083,-0.03681103628467164,0.06287844808252971,0.06638259699484189,-0.05278716216216228
DGP_C15_FIRST_STOP_FILM_S99,FIRST,STOP,FILM,99,1000000,5000000,122,running,30834688.0,86.91516163114753,0.03427249096721312,0.0,0.9892949496721312,0.06675864903278689,0.0007186910118032785,0.0018038121204098363,21.057377049180328,895.0245901639345,20.42622950819672,867.9918032786885,18.57377049180328,273.844262295082,0.0,0.9702515821311474,0.9993852462295082,240.0,1.0,15.0,14.99928287704918,18.57377049180328,292.41803278688525,19.83606557377049,292.41803278688525,1.0,0.000990437237704918,0.23770491803278687,0.0,0.13883852422131143,0.0,0.0,0.0,0.023527149176229247,0.02353274469993862,-0.0002377760767270365,0.06351786965662229,0.06783461807988787,-0.06363636363636349
DGP_C15_FIRST_STOP_FILM_S123,FIRST,STOP,FILM,123,1000000,5000000,122,running,29884416.0,79.72136610655738,0.0342139573852459,0.0,0.9934075623770491,0.06887431510655737,0.0009753823953278689,0.002337212186885246,21.778688524590162,874.7377049180328,21.139344262295083,847.4590163934427,19.0327868852459,269.6393442622951,0.12295081967213115,0.9704880368852459,0.9992450499180329,239.97540983606558,1.0,14.998463114754099,14.99855844262295,19.0327868852459,288.672131147541,19.172131147540984,288.672131147541,1.0,0.0029713117131147542,0.5081967213114754,0.0,0.1604582054918033,0.0,0.0,0.0,0.0248973931295564,0.02494438533707322,-0.0018838791528359433,0.06593219376455221,0.06641490147083877,-0.007268063274903813
DGP_C15_FIRST_STOP_LEG_S8,FIRST,STOP,LEG,8,1000000,5000000,122,running,30244864.0,83.51409302459015,0.033519807491803284,0.0,0.9859427093442624,0.07031493527868853,0.0006218283960655738,0.0017739644999999998,21.729508196721312,881.7622950819672,20.19672131147541,854.7622950819672,18.57377049180328,261.172131147541,0.06557377049180328,0.9720073201639343,0.9996584704098361,240.0,1.0,15.0,15.0,18.57377049180328,279.74590163934425,18.33606557377049,279.74590163934425,1.0,0.0030054645819672134,0.4426229508196721,0.0,0.14614976150819675,0.0,0.0,0.0,0.024643272135719266,0.023628465396380933,0.0429484827860962,0.06639514782150077,0.06554543057224062,0.012963790791238106
