base,recruitment,goal_conditioning,coverage_auc__mean,coverage_auc__sd,coverage_auc__n,dg_density__mean,dg_density__sd,dg_density__n,dg_silent_fraction__mean,dg_silent_fraction__sd,dg_silent_fraction__n,dg_usage_entropy__mean,dg_usage_entropy__sd,dg_usage_entropy__n,recruitment_total__mean,recruitment_total__sd,recruitment_total__n,repeat_assignments__mean,repeat_assignments__sd,repeat_assignments__n,bad_source_assignments__mean,bad_source_assignments__sd,bad_source_assignments__n,duplicate_assignments__mean,duplicate_assignments__sd,duplicate_assignments__n,predictive_assignments__mean,predictive_assignments__sd,predictive_assignments__n,attempt_coverage__mean,attempt_coverage__sd,attempt_coverage__n,fully_tested_count__mean,fully_tested_count__sd,fully_tested_count__n,zero_outdegree_count__mean,zero_outdegree_count__sd,zero_outdegree_count__n,untested_zero_outdegree_count__mean,untested_zero_outdegree_count__sd,untested_zero_outdegree_count__n,bad_source_count__mean,bad_source_count__sd,bad_source_count__n,reliable_out_degree_mean__mean,reliable_out_degree_mean__sd,reliable_out_degree_mean__n,predictive_event_count__mean,predictive_event_count__sd,predictive_event_count__n,predictive_context_groups__mean,predictive_context_groups__sd,predictive_context_groups__n,predictive_eligible_count__mean,predictive_eligible_count__sd,predictive_eligible_count__n,predictive_reliability_gap__mean,predictive_reliability_gap__sd,predictive_reliability_gap__n,largest_scc__mean,largest_scc__sd,largest_scc__n,reachable_pair_fraction__mean,reachable_pair_fraction__sd,reachable_pair_fraction__n,reciprocal_fraction__mean,reciprocal_fraction__sd,reciprocal_fraction__n,top3_incoming_share__mean,top3_incoming_share__sd,top3_incoming_share__n,target_hit_lift__mean,target_hit_lift__sd,target_hit_lift__n,target_action_sensitivity__mean,target_action_sensitivity__sd,target_action_sensitivity__n,target_value_span__mean,target_value_span__sd,target_value_span__n,decoder_parameter_count__mean,decoder_parameter_count__sd,decoder_parameter_count__n,film_modulation_norm_mean__mean,film_modulation_norm_mean__sd,film_modulation_norm_mean__n,film_modulation_norm_max__mean,film_modulation_norm_max__sd,film_modulation_norm_max__n,behavior_replay_mismatch__mean,behavior_replay_mismatch__sd,behavior_replay_mismatch__n,option_success_fraction__mean,option_success_fraction__sd,option_success_fraction__n
C05,directional,legacy,39.819740640039555,7.352966311859016,3,0.024456760339569627,0.0026333537935143325,3,0.00027412280701754384,0.0004747946292677843,3,0.9578301786330709,0.016457401826438865,3,0.2543859649122807,0.4406094159605039,3,0.0,0.0,3,0.0,0.0,3,0.0021929824561403508,0.0037983570341422745,3,0.0,0.0,3,0.2078124978334496,0.04190951855063905,3,0.0,0.0,3,12.013157894736842,3.1973751895098386,3,12.013157894736842,3.1973751895098386,3,0.0,0.0,3,0.31606359649122806,0.2576988035902666,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.155701754385965,0.13805342750471175,3,0.024250731616599585,0.020093900361286665,3,0.03855123995035364,0.033588672295513086,3,0.6767945388952891,0.501821588473899,3,3.2240405717309106,3.7677756889842864,3,0.016915250869810973,0.009224909774357751,3,0.0029732810153769895,0.0029379985344947135,3,165760.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.21023509842792953,0.09637764125562161,3
C05,directional,target_id_film,41.16813011703362,13.727040765383117,3,0.02662692153662966,0.0010635084601038328,3,0.0,0.0,3,0.9707734595265305,0.0042488554339461864,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.1936403508379794,0.005615705108856043,3,0.0,0.0,3,12.625,0.9090619880189376,3,12.625,0.9090619880189376,3,0.0,0.0,3,0.25671600877192985,0.06324266244108757,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.0767543859649125,0.13294249619497966,3,0.017434210937241453,0.003854619098518272,3,0.035087719494313524,0.06077371288587598,3,0.9991407955163404,0.001488184461391366,3,0.9933609201719887,0.1648518537758992,3,0.029694985460976073,0.02020045782488441,3,0.008980401017317107,0.0044624726944620585,3,167808.0,0.0,3,0.21118762837559504,0.02050988981934093,3,0.7771702646686319,0.18796367551597545,3,0.0,0.0,3,0.2193070392496067,0.08164465524484846,3
C05,monitor,legacy,44.50793121130757,12.202959216744782,3,0.025704233269942433,0.0019796232282727395,3,0.0,0.0,3,0.9602664859409918,0.0013094181402491705,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.19199561425729803,0.05164592340397657,3,0.0,0.0,3,12.93640350877193,3.094101632506712,3,12.93640350877193,3.094101632506712,3,0.0,0.0,3,0.20970394736842105,0.220124155755191,3,429.8684210526315,71.87039549264148,3,136.83771929824562,40.76049179070726,3,6.758771929824562,3.0650999714068665,3,0.6014358570570485,0.11955277485325325,3,1.125,0.21650635094610965,3,0.017452485883902562,0.02056793232005121,3,0.030649540749819654,0.053086561807340345,3,0.9244940654750455,0.096488303097205,3,1.0791739558703022,0.07089247382015446,3,0.018313405340896885,0.006952692941687146,3,0.0022873988044713705,0.0007110219824791341,3,165760.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.2664071461512593,0.10264969291162665,3
C05,monitor,target_id_film,33.76497345956362,4.4319787248538685,3,0.02296648527446546,0.005345506648971559,3,0.0,0.0,3,0.9648305610345121,0.01875560764285276,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.17193896048947385,0.016806351046351614,3,0.0,0.0,3,11.11842105263158,3.0226021264728917,3,11.11842105263158,3.0226021264728917,3,0.0,0.0,3,0.3441611842105263,0.24605209560964003,3,310.9429824561403,17.45260987065609,3,87.73684210526316,18.900443308860993,3,3.0548245614035086,0.6226873186184511,3,0.6263936307738748,0.09116760146365427,3,1.394736842105263,0.5322039056883339,3,0.027457968487093847,0.021690188495291418,3,0.09652147429031238,0.10133384412362897,3,0.9829716219713814,0.02949401421805916,3,1.1389338448643684,0.29682794162072673,3,0.050716380586667935,0.025267987660573053,3,0.015089201660246769,0.00936746470687749,3,167808.0,0.0,3,0.270393251784538,0.0771863705276294,3,1.0113157369849974,0.35112960767596246,3,0.0,0.0,3,0.24640609718565096,0.09602418299127344,3
C05,predictive,legacy,57.383317065891625,32.839959385162956,3,0.026650679738898026,0.0019649086231433143,3,0.0,0.0,3,0.9738928318807952,0.007094856879879257,3,0.3333333333333333,0.5773502691896257,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.18913560020819045,0.007066858911257453,3,0.0,0.0,3,12.942982456140351,2.8729015988180366,3,12.942982456140351,2.8729015988180366,3,0.0,0.0,3,0.21025219298245612,0.18920744693656302,3,366.21271929824564,85.08191332040738,3,133.6578947368421,27.11534767052838,3,7.2368421052631575,0.9463399022160676,3,0.6357443772517798,0.13396704986220545,3,1.2258771929824561,0.3912307745166543,3,0.017653509354619148,0.017739813016841893,3,0.0735797840579037,0.1274439243982357,3,0.6775898507289719,0.5583223498303624,3,0.9639187615952993,0.048525212638835157,3,0.012394801776839845,0.009081843673705653,3,0.0027037035424176507,0.0012406821132953615,3,165760.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.2823229409313123,0.14477673843693892,3
C05,predictive,target_id_film,31.409056587760134,1.4819168195004604,3,0.02367688390751427,0.0018396759108726818,3,0.0,0.0,3,0.9644714296206661,0.010503502034664021,3,0.3333333333333333,0.5773502691896257,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.17739280734821947,0.007490697198626829,3,0.0,0.0,3,9.487810042347247,4.998806226774027,3,9.487810042347247,4.998806226774027,3,0.0,0.0,3,0.4486785390199637,0.37497075683850856,3,312.64649122807015,153.74325619363955,3,97.15161826981246,50.49210448019483,3,3.8014367816091954,4.311026457789404,3,0.4646143135113818,0.15646129715805782,3,1.3333333333333333,0.5773502691896257,3,0.032610973294179814,0.02901087288286463,3,0.05035635250571527,0.08721976102374719,3,1.0000000066726191,5.436823702253836e-09,3,1.005542220873899,0.036392388366695796,3,0.03456955494709016,0.008405810378404517,3,0.010500651221045987,0.0024223715442110876,3,167808.0,0.0,3,0.23432851007407676,0.10168547757037258,3,1.0201011066374026,0.36470877185999984,3,0.0,0.0,3,0.24332317804672043,0.14346538724019844,3
C13,directional,legacy,47.52340642001226,10.121364911908355,3,0.014192480789987664,0.0004936854790230675,3,0.30290570175438597,0.04969775427444051,3,0.7229907364960303,0.022892096024101805,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.17542946028212705,0.041152510584114524,3,0.0,0.0,3,15.410087719298247,0.3956312965464402,3,15.410087719298247,0.3956312965464402,3,0.0,0.0,3,0.03686951754385965,0.024726956034152533,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.0,0.0,3,0.002457967962407948,0.0016607258548951517,3,0.0,0.0,3,0.581140350877193,0.39965864358759357,3,20.476284472696612,17.687038008194136,3,0.01088438219308604,0.009246856995349927,3,0.005532386163395131,0.0032937936946485103,3,165760.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.019962422901012918,0.005472254182556741,3
C13,directional,target_id_film,44.06130927186425,12.839083663653795,3,0.015545627527069629,0.0018177184165510728,3,0.28741776315789475,0.04955409504994351,3,0.7469710013584087,0.026350273411358323,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.12346491183301338,0.006480730381569721,3,0.0,0.0,3,15.971491228070176,0.043804790253154126,3,15.971491228070176,0.043804790253154126,3,0.0,0.0,3,0.0017817982456140348,0.0027377993908221186,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.0,0.0,3,0.00010964912852566494,0.0001667424026189421,3,0.0,0.0,3,0.02631578947368421,0.04001817454143566,3,46.8397719154886,28.868473433878528,3,0.021176379687651143,0.007899665908379937,3,0.022536935658488227,0.0015965601066654555,3,167808.0,0.0,3,0.4689287019141934,0.020579200183978474,3,1.683240147536261,0.4248168771897465,3,0.0,0.0,3,0.017386428080499172,0.01107131836158233,3
C13,monitor,legacy,32.7528669504728,7.988186112663293,3,0.01826856289690698,0.0031972464657274717,3,0.23346125730994152,0.0707652862251039,3,0.7525903775590902,0.05914015305704713,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.1408016576665884,0.02887275676223079,3,0.0,0.0,3,15.942982456140351,0.09875728288769887,3,15.942982456140351,0.09875728288769887,3,0.0,0.0,3,0.0035635964912280704,0.006172330180481197,3,7.165204678362573,2.1722089926539048,3,5.891812865497076,1.7978100848989924,3,0.0029239766081871343,0.0050644760455230324,3,0.0007309941520467836,0.0012661190113807581,3,1.0,0.0,3,0.0002284356844284686,0.00039566221169187824,3,0.0,0.0,3,0.054824561403508776,0.09495892585355688,3,14.392550858380327,24.137010846091066,3,0.015364562702495933,0.008783811429145295,3,0.01124309305998916,0.0032670467984155863,3,165760.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.02863293458103088,0.009105618867986713,3
C13,monitor,target_id_film,41.21519653777177,5.156434088780666,3,0.01615872299462034,0.0037267084090780093,3,0.30290570175438597,0.1070519757003867,3,0.7104462135517807,0.06662290830974052,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.18612938586687833,0.07070668294496531,3,0.0,0.0,3,15.892543859649123,0.12418943100673466,3,15.892543859649123,0.12418943100673466,3,0.0,0.0,3,0.006716008771929825,0.0077618394379209265,3,6.4035087719298245,2.32094534203237,3,5.105263157894737,1.522695911643287,3,0.05482456140350877,0.08932198181761535,3,0.014839181398744123,0.02429175637895882,3,1.0,0.0,3,0.0004477339414797985,0.0004997262290552714,3,0.0,0.0,3,0.10307017543859649,0.1128693792320857,3,17.268784724633424,15.86613702402995,3,0.01821676168790937,0.006876367458801236,3,0.01865401184145492,0.006411718439573968,3,167808.0,0.0,3,0.4201933506288027,0.016600711462214195,3,1.3359790807753278,0.16075581754424115,3,0.0,0.0,3,0.053732961514278456,0.06858343555414283,3
