base,seed,contrast,metric,value
C05,123,DIR_minus_MON_LEG,predictive_context_groups,-98.45394736842105
C05,123,DIR_minus_MON_LEG,predictive_eligible_count,-5.651315789473684
C05,123,DIR_minus_MON_LEG,predictive_reliability_gap,-0.7125780725557553
C05,123,DIR_minus_MON_LEG,largest_scc,-0.11184210526315796
C05,123,DIR_minus_MON_LEG,reachable_pair_fraction,-0.0034265350182785814
C05,123,DIR_minus_MON_LEG,reciprocal_fraction,-0.030440684996153176
C05,123,DIR_minus_MON_LEG,top3_incoming_share,0.04230727804334533
C05,123,DIR_minus_MON_LEG,target_hit_lift,-0.03475870780254664
C05,123,DIR_minus_MON_LEG,target_action_sensitivity,0.012200886463305275
C05,123,DIR_minus_MON_LEG,target_value_span,0.0032587409782296934
C05,123,DIR_minus_MON_LEG,decoder_parameter_count,0.0
C05,123,DIR_minus_MON_LEG,film_modulation_norm_mean,0.0
C05,123,DIR_minus_MON_LEG,film_modulation_norm_max,0.0
C05,123,DIR_minus_MON_LEG,behavior_replay_mismatch,0.0
C05,123,DIR_minus_MON_LEG,option_success_fraction,-0.030154707988626073
C13,8,DIR_minus_MON_LEG,coverage_auc,8.910111984121627
C13,8,DIR_minus_MON_LEG,dg_density,-0.0014167919493558116
C13,8,DIR_minus_MON_LEG,dg_silent_fraction,-0.016995614035087758
C13,8,DIR_minus_MON_LEG,dg_usage_entropy,0.04669831863097984
C13,8,DIR_minus_MON_LEG,recruitment_total,0.0
C13,8,DIR_minus_MON_LEG,repeat_assignments,0.0
C13,8,DIR_minus_MON_LEG,bad_source_assignments,0.0
C13,8,DIR_minus_MON_LEG,duplicate_assignments,0.0
C13,8,DIR_minus_MON_LEG,predictive_assignments,0.0
C13,8,DIR_minus_MON_LEG,attempt_coverage,-0.026023388954631077
C13,8,DIR_minus_MON_LEG,fully_tested_count,0.0
C13,8,DIR_minus_MON_LEG,zero_outdegree_count,-1.0
C13,8,DIR_minus_MON_LEG,untested_zero_outdegree_count,-1.0
C13,8,DIR_minus_MON_LEG,bad_source_count,0.0
C13,8,DIR_minus_MON_LEG,reliable_out_degree_mean,0.0625
C13,8,DIR_minus_MON_LEG,predictive_event_count,-5.192982456140351
C13,8,DIR_minus_MON_LEG,predictive_context_groups,-4.12280701754386
C13,8,DIR_minus_MON_LEG,predictive_eligible_count,-0.008771929824561403
C13,8,DIR_minus_MON_LEG,predictive_reliability_gap,-0.0021929824561403508
C13,8,DIR_minus_MON_LEG,largest_scc,0.0
C13,8,DIR_minus_MON_LEG,reachable_pair_fraction,0.004166666883975267
C13,8,DIR_minus_MON_LEG,reciprocal_fraction,0.0
C13,8,DIR_minus_MON_LEG,top3_incoming_share,1.0
C13,8,DIR_minus_MON_LEG,target_hit_lift,-0.08956858463454664
C13,8,DIR_minus_MON_LEG,target_action_sensitivity,0.015350395274397573
C13,8,DIR_minus_MON_LEG,target_value_span,0.0017166335489029036
C13,8,DIR_minus_MON_LEG,decoder_parameter_count,0.0
C13,8,DIR_minus_MON_LEG,film_modulation_norm_mean,0.0
C13,8,DIR_minus_MON_LEG,film_modulation_norm_max,0.0
C13,8,DIR_minus_MON_LEG,behavior_replay_mismatch,0.0
C13,8,DIR_minus_MON_LEG,option_success_fraction,-0.008098385027168612
C13,99,DIR_minus_MON_LEG,coverage_auc,25.597590399859516
C13,99,DIR_minus_MON_LEG,dg_density,-0.00384882876747533
C13,99,DIR_minus_MON_LEG,dg_silent_fraction,0.07935855263157893
C13,99,DIR_minus_MON_LEG,dg_usage_entropy,-0.04239324245013687
C13,99,DIR_minus_MON_LEG,recruitment_total,0.0
C13,99,DIR_minus_MON_LEG,repeat_assignments,0.0
C13,99,DIR_minus_MON_LEG,bad_source_assignments,0.0
C13,99,DIR_minus_MON_LEG,duplicate_assignments,0.0
C13,99,DIR_minus_MON_LEG,predictive_assignments,0.0
C13,99,DIR_minus_MON_LEG,attempt_coverage,0.07075109519064426
C13,99,DIR_minus_MON_LEG,fully_tested_count,0.0
C13,99,DIR_minus_MON_LEG,zero_outdegree_count,-0.21052631578947434
C13,99,DIR_minus_MON_LEG,untested_zero_outdegree_count,-0.21052631578947434
C13,99,DIR_minus_MON_LEG,bad_source_count,0.0
C13,99,DIR_minus_MON_LEG,reliable_out_degree_mean,0.013157894736842105
C13,99,DIR_minus_MON_LEG,predictive_event_count,-9.493421052631579
C13,99,DIR_minus_MON_LEG,predictive_context_groups,-7.717105263157895
C13,99,DIR_minus_MON_LEG,predictive_eligible_count,0.0
C13,99,DIR_minus_MON_LEG,predictive_reliability_gap,0.0
C13,99,DIR_minus_MON_LEG,largest_scc,0.0
C13,99,DIR_minus_MON_LEG,reachable_pair_fraction,0.0008497807460739032
C13,99,DIR_minus_MON_LEG,reciprocal_fraction,0.0
C13,99,DIR_minus_MON_LEG,top3_incoming_share,0.20394736842105263
C13,99,DIR_minus_MON_LEG,target_hit_lift,27.440790521275055
C13,99,DIR_minus_MON_LEG,target_action_sensitivity,-0.01926260752684596
C13,99,DIR_minus_MON_LEG,target_value_span,-0.010703231756212373
C13,99,DIR_minus_MON_LEG,decoder_parameter_count,0.0
C13,99,DIR_minus_MON_LEG,film_modulation_norm_mean,0.0
C13,99,DIR_minus_MON_LEG,film_modulation_norm_max,0.0
C13,99,DIR_minus_MON_LEG,behavior_replay_mismatch,0.0
C13,99,DIR_minus_MON_LEG,option_success_fraction,-0.01343679891311024
C13,123,DIR_minus_MON_LEG,coverage_auc,9.803916024637246
C13,123,DIR_minus_MON_LEG,dg_density,-0.006962625603926811
C13,123,DIR_minus_MON_LEG,dg_silent_fraction,0.14597039473684212
C13,123,DIR_minus_MON_LEG,dg_usage_entropy,-0.09310399937002278
C13,123,DIR_minus_MON_LEG,recruitment_total,0.0
C13,123,DIR_minus_MON_LEG,repeat_assignments,0.0
C13,123,DIR_minus_MON_LEG,bad_source_assignments,0.0
C13,123,DIR_minus_MON_LEG,duplicate_assignments,0.0
C13,123,DIR_minus_MON_LEG,predictive_assignments,0.0
C13,123,DIR_minus_MON_LEG,attempt_coverage,0.05915570161060284
C13,123,DIR_minus_MON_LEG,fully_tested_count,0.0
C13,123,DIR_minus_MON_LEG,zero_outdegree_count,-0.3881578947368425
C13,123,DIR_minus_MON_LEG,untested_zero_outdegree_count,-0.3881578947368425
