run_name,condition,base,seed,recruitment,goal_conditioning,project,training_steps,preflight_steps,family,max_step,window_low,window_high,run_dir,coverage_auc,coverage_auc__n,dg_density,dg_density__n,dg_silent_fraction,dg_silent_fraction__n,dg_usage_entropy,dg_usage_entropy__n,recruitment_total,recruitment_total__n,repeat_assignments,repeat_assignments__n,bad_source_assignments,bad_source_assignments__n,duplicate_assignments,duplicate_assignments__n,predictive_assignments,predictive_assignments__n,attempt_coverage,attempt_coverage__n,fully_tested_count,fully_tested_count__n,zero_outdegree_count,zero_outdegree_count__n,untested_zero_outdegree_count,untested_zero_outdegree_count__n,bad_source_count,bad_source_count__n,reliable_out_degree_mean,reliable_out_degree_mean__n,predictive_event_count,predictive_event_count__n,predictive_context_groups,predictive_context_groups__n,predictive_eligible_count,predictive_eligible_count__n,predictive_reliability_gap,predictive_reliability_gap__n,largest_scc,largest_scc__n,reachable_pair_fraction,reachable_pair_fraction__n,reciprocal_fraction,reciprocal_fraction__n,top3_incoming_share,top3_incoming_share__n,target_hit_lift,target_hit_lift__n,target_action_sensitivity,target_action_sensitivity__n,target_value_span,target_value_span__n,decoder_parameter_count,decoder_parameter_count__n,film_modulation_norm_mean,film_modulation_norm_mean__n,film_modulation_norm_max,film_modulation_norm_max__n,behavior_replay_mismatch,behavior_replay_mismatch__n,option_success_fraction,option_success_fraction__n
DPR_C15_MON_FILM_S8,DPR_C15_MON_FILM,C15,8,monitor,target_id_film,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,71041024,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_MON_FILM_S8_/00_DPR_C15_MON_FILM_S8,60.17583703466887,271,0.027264042904502468,152,0.0,152,0.978921708699904,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.958114038172521,152,8.039473684210526,152,0.0,152,0.0,152,0.0,152,4.852384868421052,152,16.361842105263158,152,13.30921052631579,152,0.21052631578947367,152,0.055529448399810416,152,14.414473684210526,152,0.9020285077000919,152,0.31042174740057243,152,0.531089293917543,152,6.99892315974361,152,0.012061967029646774,152,0.02684868833258454,152,167808.0,152,0.777469695398682,152,1.8765257918520977,152,0.0,152,0.18190804993929832,152
DPR_C15_MON_FILM_S99,DPR_C15_MON_FILM,C15,99,monitor,target_id_film,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,71991296,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_MON_FILM_S99_/00_DPR_C15_MON_FILM_S99,67.55124657136157,266,0.03084403590152138,152,0.0,152,0.9787314902794989,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9637609649645654,152,8.375,152,0.0,152,0.0,152,0.0,152,4.9115953947368425,152,16.18421052631579,152,12.769736842105264,152,0.2236842105263158,152,0.050383772308889185,152,14.736842105263158,152,0.9212445173608629,152,0.3290855273800461,152,0.5351361263739435,152,0.859164187978757,152,0.01350250365028746,152,0.022555566636009116,152,167808.0,152,0.720899198008211,152,1.7400317599898891,152,0.0,152,0.18002130792133117,152
DPR_C15_MON_FILM_S123,DPR_C15_MON_FILM,C15,123,monitor,target_id_film,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,71991296,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_MON_FILM_S123_/00_DPR_C15_MON_FILM_S123,68.94787548896961,266,0.028785504792865953,152,0.0,152,0.9747099507796136,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9901864097306603,152,13.75,152,0.0,152,0.0,152,0.0,152,5.891858552631579,152,15.519736842105264,152,12.56578947368421,152,0.15789473684210525,152,0.044658521729472433,152,14.447368421052632,152,0.9029605263157895,152,0.3753197856835629,152,0.4287649918543665,152,0.857705010395301,152,0.014893425912688192,152,0.026195954416547658,152,167808.0,152,0.6544650295063069,152,1.752729483340916,152,0.0,152,0.1818309212103486,152
DPR_C15_DIR_LEG_S8,DPR_C15_DIR_LEG,C15,8,directional,legacy,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,71335936,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_DIR_LEG_S8_/00_DPR_C15_DIR_LEG_S8,35.781049728393555,269,0.028410660593133224,152,0.0,152,0.9780227259585732,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9717927720201643,152,9.651315789473685,152,0.0,152,0.0,152,0.0,152,3.265625,152,0.0,152,0.0,152,0.0,152,0.0,152,12.664473684210526,152,0.798273019884762,152,0.2840609083834447,152,0.4997243545949459,152,0.8161734279833341,152,0.006997025573295296,152,0.014366712346887462,152,165760.0,152,0.0,152,0.0,152,0.0,152,0.15626237075775862,152
DPR_C15_DIR_LEG_S99,DPR_C15_DIR_LEG,C15,99,directional,legacy,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,71237632,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_DIR_LEG_S99_/00_DPR_C15_DIR_LEG_S99,46.04145472491229,270,0.02917078921669408,152,0.0,152,0.97760304024345,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9685855252962363,152,9.651315789473685,152,0.0,152,0.0,152,0.0,152,4.923930921052632,152,0.0,152,0.0,152,0.0,152,0.0,152,14.993421052631579,152,0.9370888157894737,152,0.32760535660935075,152,0.42957976970233414,152,0.8276080112708243,152,0.005394572961641212,152,0.018010628131665533,152,165760.0,152,0.0,152,0.0,152,0.0,152,0.1546837848513142,152
DPR_C15_DIR_LEG_S123,DPR_C15_DIR_LEG,C15,123,directional,legacy,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,72155136,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_DIR_LEG_S123_/00_DPR_C15_DIR_LEG_S123,25.24449827787135,267,0.02741743388928865,152,0.0,152,0.9756822444890675,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9899671128705928,152,13.802631578947368,152,0.5986842105263158,152,0.3881578947368421,152,0.21052631578947367,152,2.265213815789474,152,0.0,152,0.0,152,0.0,152,0.0,152,6.815789473684211,152,0.5006304798941863,152,0.2145097212081677,152,0.5437836213723609,152,13.10222573264649,152,0.006729095080931745,152,0.01562684788644363,152,165760.0,152,0.0,152,0.0,152,0.0,152,0.13538607469710864,152
DPR_C15_DIR_FILM_S8,DPR_C15_DIR_FILM,C15,8,directional,target_id_film,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,71696384,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_DIR_FILM_S8_/00_DPR_C15_DIR_FILM_S8,68.13039607295283,270,0.027455179314864308,152,0.0,152,0.978994463619433,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9842927659812727,152,12.592105263157896,152,0.0,152,0.0,152,0.0,152,4.666118421052632,152,0.0,152,0.0,152,0.0,152,0.0,152,14.828947368421053,152,0.9268092105263158,152,0.28782959762764604,152,0.4615391104629165,152,0.836332096081031,152,0.012951446236815843,152,0.025783951619431672,152,167808.0,152,0.760956340322369,152,1.7598634958267212,152,0.0,152,0.1902799418343133,152
DPR_C15_DIR_FILM_S99,DPR_C15_DIR_FILM,C15,99,directional,target_id_film,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,72056832,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_DIR_FILM_S99_/00_DPR_C15_DIR_FILM_S99,55.54691593298751,267,0.02928563168174342,152,0.0,152,0.9794650320944033,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9734649054313961,152,10.5,152,0.0,152,0.0,152,0.0,152,5.1245888157894735,152,0.0,152,0.0,152,0.0,152,0.0,152,14.335526315789474,152,0.8959703947368421,152,0.3592836198053862,152,0.521539634583812,152,0.8405164342961813,152,0.01120131221863343,152,0.023905308439249272,152,167808.0,152,0.7696783346565146,152,1.698035746028549,152,0.0,152,0.15333382496120115,152
DPR_C15_DIR_FILM_S123,DPR_C15_DIR_FILM,C15,123,directional,target_id_film,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,71925760,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_DIR_FILM_S123_/00_DPR_C15_DIR_FILM_S123,67.09416193181818,275,0.02925772415964227,152,0.0,152,0.9738258358679319,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9752193101142582,152,10.881578947368421,152,0.0,152,0.0,152,0.0,152,5.832236842105263,152,0.0,152,0.0,152,0.0,152,0.0,152,14.776315789473685,152,0.9235197368421053,152,0.3890457979746555,152,0.46489457295913444,152,0.7763787425662342,152,0.010315763140265756,152,0.02213819332629148,152,167808.0,152,0.6725006895629984,152,1.7798970396581448,152,0.0,152,0.17415325409781776,152
DPR_C15_PRED_LEG_S8,DPR_C15_PRED_LEG,C15,8,predictive,legacy,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,72712192,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_PRED_LEG_S8_/00_DPR_C15_PRED_LEG_S8,37.704263135006556,266,0.026802464535361843,152,0.0,152,0.9779869188603602,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9700109668468174,152,10.263157894736842,152,0.21052631578947367,152,0.0,152,0.21052631578947367,152,3.3680098684210527,152,9.447368421052632,152,7.697368421052632,152,0.09210526315789473,152,0.032785087872884776,152,12.210526315789474,152,0.7760690772219708,152,0.24256605272622486,152,0.5497787847722831,152,0.6681158960257706,152,0.0065639853811789136,152,0.016310948457287037,152,165760.0,152,0.0,152,0.0,152,0.0,152,0.13557137438635292,152
DPR_C15_PRED_LEG_S99,DPR_C15_PRED_LEG,C15,99,predictive,legacy,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,71958528,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_PRED_LEG_S99_/00_DPR_C15_PRED_LEG_S99,35.9824667263748,266,0.028419896175986843,152,0.0,152,0.9770217922173048,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9832237002096678,152,12.282894736842104,152,0.756578947368421,152,0.34210526315789475,152,0.4144736842105263,152,2.721217105263158,152,8.296052631578947,152,7.1381578947368425,152,0.07236842105263158,152,0.027302631814228862,152,10.947368421052632,152,0.7010416553208703,152,0.24118903818491258,152,0.6316512040793896,152,0.7467776921234632,152,0.005396096369000397,152,0.004583703531974798,152,165760.0,152,0.0,152,0.0,152,0.0,152,0.13811301424070016,152
DPR_C15_PRED_LEG_S123,DPR_C15_PRED_LEG,C15,123,predictive,legacy,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,75038720,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_PRED_LEG_S123_/00_DPR_C15_PRED_LEG_S123,70.45109632177261,206,0.028203092663493377,151,0.0,151,0.9771261503364866,151,0.0,151,0.0,151,0.0,151,0.0,151,0.0,151,0.973399571630339,151,10.43046357615894,151,0.0,151,0.0,151,0.0,151,5.683774834437086,151,10.019867549668874,151,8.708609271523178,151,0.0728476821192053,151,0.02388836354609357,151,13.271523178807946,151,0.8366721785621137,151,0.414888235117426,151,0.41741539468828415,151,0.8133765013012665,151,0.005712104652505615,151,0.016998914310967686,151,165760.0,151,0.0,151,0.0,151,0.0,151,0.17692927478362394,151
DPR_C15_PRED_FILM_S8,DPR_C15_PRED_FILM,C15,8,predictive,target_id_film,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,75038720,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_PRED_FILM_S8_/00_DPR_C15_PRED_FILM_S8,65.91405446517871,207,0.029005917635830967,88,0.0,88,0.9772188534790819,88,0.0,88,0.0,88,0.0,88,0.0,88,0.0,88,0.9842329594221982,88,13.0,88,0.0,88,0.0,88,0.0,88,5.923295454545454,88,16.556818181818183,88,13.113636363636363,88,0.14772727272727273,88,0.03712121227925474,88,14.840909090909092,88,0.9276041666215117,88,0.38154783844947815,88,0.4243420511484146,88,0.8749487799676982,88,0.010181863431088541,88,0.02263154502989809,88,167808.0,88,0.7329639345407486,88,1.7789717357267032,88,0.0,88,0.17074601288715546,88
DPR_C15_PRED_FILM_S99,DPR_C15_PRED_FILM,C15,99,predictive,target_id_film,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,70909952,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_PRED_FILM_S99_/00_DPR_C15_PRED_FILM_S99,68.95035934448242,271,0.02899169921875,152,0.0,152,0.9775652689369101,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.956715998680968,152,7.605263157894737,152,0.03289473684210526,152,0.0,152,0.03289473684210526,152,5.178865131578948,152,13.348684210526315,152,11.203947368421053,152,0.1513157894736842,152,0.03855733156792427,152,14.743421052631579,152,0.919161184053672,152,0.3730607375894722,152,0.5106748611127075,152,9.32381725703415,152,0.011256711478237872,152,0.023149568544268778,152,167808.0,152,0.6746196280184545,152,1.7848161506025415,152,0.0,152,0.1596077581328389,152
DPR_C15_PRED_FILM_S123,DPR_C15_PRED_FILM,C15,123,predictive,target_id_film,SF_IntrMotiv_DirectionalPredictiveRecruitment,75000000,5000000,c15_ucb_direct_immediate,71892992,62500000,67500000,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_directional_predictive_recruitment_20260904/DPR_C15_PRED_FILM_S123_/00_DPR_C15_PRED_FILM_S123,42.62572610739505,264,0.028500205592105265,152,0.0,152,0.98015125684048,152,0.0,152,0.0,152,0.0,152,0.0,152,0.0,152,0.9460800443040697,152,4.447368421052632,152,0.0,152,0.0,152,0.0,152,5.5415296052631575,152,14.81578947368421,152,11.710526315789474,152,0.14473684210526316,152,0.045065789728572496,152,14.960526315789474,152,0.9352521927733171,152,0.37319982816514213,152,0.5155836163382781,152,0.6221747735613271,152,0.006617271880953156,152,0.022393316287841452,152,167808.0,152,0.6644284238940791,152,1.7676245029035367,152,0.0,152,0.1534941943950559,152
