base,contrast,metric,mean,sd,n
C05,DIR_minus_PRED_FILM,bad_source_count,0.0,0.0,3
C05,DIR_minus_PRED_FILM,behavior_replay_mismatch,0.0,0.0,3
C05,DIR_minus_PRED_FILM,coverage_auc,9.759073529273481,12.62247960331547,3
C05,DIR_minus_PRED_FILM,decoder_parameter_count,0.0,0.0,3
C05,DIR_minus_PRED_FILM,dg_density,0.0029500376291153874,0.001801186625382184,3
C05,DIR_minus_PRED_FILM,dg_silent_fraction,0.0,0.0,3
C05,DIR_minus_PRED_FILM,dg_usage_entropy,0.00630202990586437,0.008094651190173953,3
C05,DIR_minus_PRED_FILM,duplicate_assignments,0.0,0.0,3
C05,DIR_minus_PRED_FILM,film_modulation_norm_max,-0.24293084196877057,0.26206114402418373,3
C05,DIR_minus_PRED_FILM,film_modulation_norm_mean,-0.0231408816984817,0.08122240549409364,3
C05,DIR_minus_PRED_FILM,fully_tested_count,0.0,0.0,3
C05,DIR_minus_PRED_FILM,largest_scc,-0.256578947368421,0.654034728888916,3
C05,DIR_minus_PRED_FILM,option_success_fraction,-0.024016138797113756,0.16492233231062828,3
C05,DIR_minus_PRED_FILM,predictive_assignments,0.0,0.0,3
C05,DIR_minus_PRED_FILM,predictive_context_groups,-97.15161826981246,50.49210448019483,3
C05,DIR_minus_PRED_FILM,predictive_eligible_count,-3.8014367816091954,4.311026457789404,3
C05,DIR_minus_PRED_FILM,predictive_event_count,-312.64649122807015,153.74325619363955,3
C05,DIR_minus_PRED_FILM,predictive_reliability_gap,-0.4646143135113818,0.15646129715805782,3
C05,DIR_minus_PRED_FILM,reachable_pair_fraction,-0.015176762356938364,0.028963278746994368,3
C05,DIR_minus_PRED_FILM,reciprocal_fraction,-0.015268633011401744,0.12884641867512805,3
C05,DIR_minus_PRED_FILM,recruitment_total,-0.3333333333333333,0.5773502691896257,3
C05,DIR_minus_PRED_FILM,reliable_out_degree_mean,-0.19196253024803386,0.36863139283901836,3
C05,DIR_minus_PRED_FILM,repeat_assignments,0.0,0.0,3
C05,DIR_minus_PRED_FILM,target_action_sensitivity,-0.004874569486114082,0.027395653682018448,3
C05,DIR_minus_PRED_FILM,target_hit_lift,-0.01218130070191037,0.19830146549210248,3
C05,DIR_minus_PRED_FILM,target_value_span,-0.001520250203728879,0.005216881963741324,3
C05,DIR_minus_PRED_FILM,top3_incoming_share,-0.0008592111562788496,0.0014881868331291376,3
C05,DIR_minus_PRED_FILM,untested_zero_outdegree_count,3.1371899576527524,4.330688581524959,3
C05,DIR_minus_PRED_FILM,zero_outdegree_count,3.1371899576527524,4.330688581524959,3
C05,DIR_minus_PRED_LEG,attempt_coverage,0.018676897625259137,0.03521432574105757,3
C05,DIR_minus_PRED_LEG,bad_source_assignments,0.0,0.0,3
C05,DIR_minus_PRED_LEG,bad_source_count,0.0,0.0,3
C05,DIR_minus_PRED_LEG,behavior_replay_mismatch,0.0,0.0,3
C05,DIR_minus_PRED_LEG,coverage_auc,-17.563576425852073,39.249466012067906,3
C05,DIR_minus_PRED_LEG,decoder_parameter_count,0.0,0.0,3
C05,DIR_minus_PRED_LEG,dg_density,-0.002193919399328398,0.004545511632435158,3
C05,DIR_minus_PRED_LEG,dg_silent_fraction,0.00027412280701754384,0.0004747946292677843,3
C05,DIR_minus_PRED_LEG,dg_usage_entropy,-0.016062653247724528,0.021498720489298042,3
C05,DIR_minus_PRED_LEG,duplicate_assignments,0.0021929824561403508,0.0037983570341422745,3
C05,DIR_minus_PRED_LEG,film_modulation_norm_max,0.0,0.0,3
C05,DIR_minus_PRED_LEG,film_modulation_norm_mean,0.0,0.0,3
C05,DIR_minus_PRED_LEG,fully_tested_count,0.0,0.0,3
C05,DIR_minus_PRED_LEG,largest_scc,-0.07017543859649122,0.31512631391419055,3
C05,DIR_minus_PRED_LEG,option_success_fraction,-0.07208784250338283,0.13155959852198293,3
C05,DIR_minus_PRED_LEG,predictive_assignments,0.0,0.0,3
C05,DIR_minus_PRED_LEG,predictive_context_groups,-133.6578947368421,27.11534767052838,3
C05,DIR_minus_PRED_LEG,predictive_eligible_count,-7.2368421052631575,0.9463399022160676,3
C05,DIR_minus_PRED_LEG,predictive_event_count,-366.21271929824564,85.08191332040738,3
C05,DIR_minus_PRED_LEG,predictive_reliability_gap,-0.6357443772517798,0.13396704986220545,3
C05,DIR_minus_PRED_LEG,reachable_pair_fraction,0.006597222261980438,0.025222536572944623,3
C05,DIR_minus_PRED_LEG,reciprocal_fraction,-0.035028544107550075,0.11091756525409739,3
C05,DIR_minus_PRED_LEG,recruitment_total,-0.07894736842105261,0.13674085322912188,3
C05,DIR_minus_PRED_LEG,reliable_out_degree_mean,0.10581140350877194,0.3500531072647431,3
C05,DIR_minus_PRED_LEG,repeat_assignments,0.0,0.0,3
C05,DIR_minus_PRED_LEG,target_action_sensitivity,0.0045204490929711275,0.015123676506056342,3
C05,DIR_minus_PRED_LEG,target_hit_lift,2.2601218101356113,3.8118512169732592,3
C05,DIR_minus_PRED_LEG,target_value_span,0.00026957747295933886,0.0029315454906614913,3
C05,DIR_minus_PRED_LEG,top3_incoming_share,-0.0007953118336828288,0.8999978998347328,3
C05,DIR_minus_PRED_LEG,untested_zero_outdegree_count,-0.9298245614035086,4.558528530546261,3
C05,DIR_minus_PRED_LEG,zero_outdegree_count,-0.9298245614035086,4.558528530546261,3
C05,DIR_x_goal,attempt_coverage,0.005884506772353988,0.030617554395738943,3
C05,DIR_x_goal,bad_source_assignments,0.0,0.0,3
C05,DIR_x_goal,bad_source_count,0.0,0.0,3
C05,DIR_x_goal,behavior_replay_mismatch,0.0,0.0,3
C05,DIR_x_goal,coverage_auc,12.091347228738009,7.34244578141974,3
C05,DIR_x_goal,decoder_parameter_count,0.0,0.0,3
C05,DIR_x_goal,dg_density,0.0049079091925370065,0.005987626781803524,3
C05,DIR_x_goal,dg_silent_fraction,-0.00027412280701754384,0.0004747946292677843,3
C05,DIR_x_goal,dg_usage_entropy,0.008379205799939374,0.01788110674558373,3
C05,DIR_x_goal,duplicate_assignments,-0.0021929824561403508,0.0037983570341422745,3
C05,DIR_x_goal,film_modulation_norm_max,-0.23414547231636543,0.48294126447006885,3
C05,DIR_x_goal,film_modulation_norm_mean,-0.05920562340894291,0.09463314066430331,3
C05,DIR_x_goal,fully_tested_count,0.0,0.0,3
C05,DIR_x_goal,largest_scc,-0.3486842105263157,0.7860396806150344,3
C05,DIR_x_goal,option_success_fraction,0.029072989787285525,0.02525509764126746,3
C05,DIR_x_goal,predictive_assignments,0.0,0.0,3
C05,DIR_x_goal,predictive_context_groups,49.100877192982466,58.23712390728627,3
C05,DIR_x_goal,predictive_eligible_count,3.7039473684210527,2.763745238328285,3
C05,DIR_x_goal,predictive_event_count,118.92543859649119,56.8766990603926,3
C05,DIR_x_goal,predictive_reliability_gap,-0.02495777371682621,0.12215050400520389,3
C05,DIR_x_goal,reachable_pair_fraction,-0.016822003282549416,0.03987431080736864,3
C05,DIR_x_goal,reciprocal_fraction,-0.06933545399653285,0.1965874320575602,3
C05,DIR_x_goal,recruitment_total,-0.2543859649122807,0.4406094159605039,3
C05,DIR_x_goal,reliable_out_degree_mean,-0.1938048245614035,0.4793260485311002,3
C05,DIR_x_goal,repeat_assignments,0.0,0.0,3
C05,DIR_x_goal,target_action_sensitivity,-0.019623240654605946,0.011935340800163154,3
C05,DIR_x_goal,target_hit_lift,-2.2904395405529887,3.8431849615583267,3
C05,DIR_x_goal,target_value_span,-0.006794682853835279,0.013573639059219733,3
C05,DIR_x_goal,top3_incoming_share,0.2638687001247155,0.3985677803054663,3
C05,DIR_x_goal,untested_zero_outdegree_count,2.4298245614035086,5.578040879267992,3
C05,DIR_x_goal,zero_outdegree_count,2.4298245614035086,5.578040879267992,3
C05,FILM_minus_LEG_DIR,attempt_coverage,-0.014172146995470194,0.04744873757528338,3
C05,FILM_minus_LEG_DIR,bad_source_assignments,0.0,0.0,3
C05,FILM_minus_LEG_DIR,bad_source_count,0.0,0.0,3
C05,FILM_minus_LEG_DIR,behavior_replay_mismatch,0.0,0.0,3
C05,FILM_minus_LEG_DIR,coverage_auc,1.34838947699406,9.007362018306702,3
C05,FILM_minus_LEG_DIR,decoder_parameter_count,2048.0,0.0,3
C05,FILM_minus_LEG_DIR,dg_density,0.002170161197060033,0.0034991069328865125,3
C05,FILM_minus_LEG_DIR,dg_silent_fraction,-0.00027412280701754384,0.0004747946292677843,3
C05,FILM_minus_LEG_DIR,dg_usage_entropy,0.012943280893459641,0.01936436880634768,3
C05,FILM_minus_LEG_DIR,duplicate_assignments,-0.0021929824561403508,0.0037983570341422745,3
C05,FILM_minus_LEG_DIR,film_modulation_norm_max,0.7771702646686319,0.18796367551597545,3
C05,FILM_minus_LEG_DIR,film_modulation_norm_mean,0.21118762837559504,0.02050988981934093,3
C05,FILM_minus_LEG_DIR,fully_tested_count,0.0,0.0,3
C05,FILM_minus_LEG_DIR,largest_scc,-0.07894736842105259,0.10949550642824503,3
C05,FILM_minus_LEG_DIR,option_success_fraction,0.00907194082167718,0.17774682483571272,3
C05,FILM_minus_LEG_DIR,predictive_assignments,0.0,0.0,3
C05,FILM_minus_LEG_DIR,predictive_context_groups,0.0,0.0,3
C05,FILM_minus_LEG_DIR,predictive_eligible_count,0.0,0.0,3
C05,FILM_minus_LEG_DIR,predictive_event_count,0.0,0.0,3
C05,FILM_minus_LEG_DIR,predictive_reliability_gap,0.0,0.0,3
C05,FILM_minus_LEG_DIR,reachable_pair_fraction,-0.006816520679358132,0.02392902717704967,3
C05,FILM_minus_LEG_DIR,reciprocal_fraction,-0.0034635204560401153,0.04904231456675664,3
C05,FILM_minus_LEG_DIR,recruitment_total,-0.2543859649122807,0.4406094159605039,3
C05,FILM_minus_LEG_DIR,reliable_out_degree_mean,-0.05934758771929823,0.3195936605499516,3
C05,FILM_minus_LEG_DIR,repeat_assignments,0.0,0.0,3
C05,FILM_minus_LEG_DIR,target_action_sensitivity,0.012779734591165102,0.028794032843948724,3
C05,FILM_minus_LEG_DIR,target_hit_lift,-2.2306796515589222,3.9152417824962615,3
C05,FILM_minus_LEG_DIR,target_value_span,0.0060071200019401185,0.00643375824394578,3
C05,FILM_minus_LEG_DIR,top3_incoming_share,0.32234625662105126,0.5003368643290813,3
C05,FILM_minus_LEG_DIR,untested_zero_outdegree_count,0.6118421052631575,3.851736306677456,3
C05,FILM_minus_LEG_DIR,zero_outdegree_count,0.6118421052631575,3.851736306677456,3
C05,FILM_minus_LEG_MON,attempt_coverage,-0.020056653767824173,0.03990098375312994,3
C05,FILM_minus_LEG_MON,bad_source_assignments,0.0,0.0,3
C05,FILM_minus_LEG_MON,bad_source_count,0.0,0.0,3
C05,FILM_minus_LEG_MON,behavior_replay_mismatch,0.0,0.0,3
C05,FILM_minus_LEG_MON,coverage_auc,-10.74295775174395,15.824108206322776,3
C05,FILM_minus_LEG_MON,decoder_parameter_count,2048.0,0.0,3
C05,FILM_minus_LEG_MON,dg_density,-0.002737747995476974,0.007242411532515318,3
C05,FILM_minus_LEG_MON,dg_silent_fraction,0.0,0.0,3
C05,FILM_minus_LEG_MON,dg_usage_entropy,0.004564075093520266,0.018528021350416268,3
C05,FILM_minus_LEG_MON,duplicate_assignments,0.0,0.0,3
C05,FILM_minus_LEG_MON,film_modulation_norm_max,1.0113157369849974,0.35112960767596246,3
C05,FILM_minus_LEG_MON,film_modulation_norm_mean,0.270393251784538,0.0771863705276294,3
C05,FILM_minus_LEG_MON,fully_tested_count,0.0,0.0,3
C05,FILM_minus_LEG_MON,largest_scc,0.2697368421052631,0.691478353254381,3
C05,FILM_minus_LEG_MON,option_success_fraction,-0.020001048965608347,0.15632606410410854,3
C05,FILM_minus_LEG_MON,predictive_assignments,0.0,0.0,3
C05,FILM_minus_LEG_MON,predictive_context_groups,-49.100877192982466,58.23712390728627,3
C05,FILM_minus_LEG_MON,predictive_eligible_count,-3.7039473684210527,2.763745238328285,3
C05,FILM_minus_LEG_MON,predictive_event_count,-118.92543859649119,56.8766990603926,3
C05,FILM_minus_LEG_MON,predictive_reliability_gap,0.02495777371682621,0.12215050400520389,3
C05,FILM_minus_LEG_MON,reachable_pair_fraction,0.010005482603191285,0.036951877013750335,3
C05,FILM_minus_LEG_MON,reciprocal_fraction,0.06587193354049274,0.14819496478584318,3
C05,FILM_minus_LEG_MON,recruitment_total,0.0,0.0,3
C05,FILM_minus_LEG_MON,reliable_out_degree_mean,0.13445723684210528,0.4057150667194165,3
C05,FILM_minus_LEG_MON,repeat_assignments,0.0,0.0,3
C05,FILM_minus_LEG_MON,target_action_sensitivity,0.03240297524577105,0.02050968976656367,3
C05,FILM_minus_LEG_MON,target_hit_lift,0.05975988899406637,0.350270124273299,3
C05,FILM_minus_LEG_MON,target_value_span,0.012801802855775398,0.009615941573785222,3
C05,FILM_minus_LEG_MON,top3_incoming_share,0.05847755649633579,0.11847835265934155,3
C05,FILM_minus_LEG_MON,untested_zero_outdegree_count,-1.817982456140351,5.418474465709827,3
C05,FILM_minus_LEG_MON,zero_outdegree_count,-1.817982456140351,5.418474465709827,3
