tag,step,wall_time,value
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1523712,1789841577.2708333,0.04484321549534798
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1523712,1789841587.2719061,0.044199973344802856
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1540096,1789841597.2696078,0.044056810438632965
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1540096,1789841607.2715242,0.04330980032682419
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1540096,1789841617.270925,0.04253598675131798
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1556480,1789841627.2711887,0.04149486497044563
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1556480,1789841637.270731,0.04099377617239952
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1572864,1789841647.2704618,0.04037328436970711
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1572864,1789841657.2696037,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1589248,1789841667.2711816,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1589248,1789841677.2705755,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1605632,1789841687.2686238,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1605632,1789841697.269058,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1622016,1789841707.2706406,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1622016,1789841717.2689447,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1638400,1789841727.2705083,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1638400,1789841737.270163,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1654784,1789841747.2689602,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1654784,1789841757.271511,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1671168,1789841767.271225,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1671168,1789841777.2690842,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1671168,1789841787.2720478,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1687552,1789841797.270939,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1687552,1789841807.2700748,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1703936,1789841817.2706614,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1703936,1789841827.2742293,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1720320,1789841837.271473,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1720320,1789841847.26895,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1736704,1789841857.2713232,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1736704,1789841867.2698355,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1753088,1789841877.2707024,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1753088,1789841887.2693334,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1769472,1789841897.271668,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1769472,1789841907.2700515,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1785856,1789841917.2713401,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1785856,1789841927.2706695,0.040114015340805054
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1785856,1789841937.2713914,0.040079593658447266
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1802240,1789841947.2699761,0.040079593658447266
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1802240,1789841957.2685778,0.03951842710375786
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1818624,1789841967.2705233,0.039333220571279526
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1818624,1789841977.268599,0.0392271913588047
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1835008,1789841987.2714076,0.0392271913588047
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1835008,1789841997.2691672,0.03845767676830292
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1851392,1789842007.2710633,0.03845767676830292
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1851392,1789842017.2685554,0.03829522430896759
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1867776,1789842027.271654,0.03829522430896759
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1867776,1789842037.270633,0.03829522430896759
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1884160,1789842047.2708325,0.03748621046543121
policy_stats/avg_z_00_corridor_geometry_noreward_accessible_coverage_auc,1884160,1789842057.270335,0.03742331266403198
