run_name,encoder_credit,retirement,goal_conditioning,seed,wandb_name,wandb_id,state,max_env_steps,window_start,window_rows,coverage_auc,dg_density,dg_silent_fraction,dg_usage_entropy,option_success,action_probability_tv,action_sensitivity,target_num,target_count,shuffled_num,shuffled_count,largest_scc,reachable_pair_fraction,outgoing_node_fraction,top3_incoming_share,reliable_global_efficiency,grounded_controllability,candidate_endpoints,silent_endpoints,active_endpoints,eligible_victim_endpoints,residual_pass,replacement_conversion,attempt_coverage,fully_tested_count,predictive_gap,predictive_eligible_count,bad_source_count,zero_outdegree_count,credit_replay_match,behavior_replay_mismatch,stale_generation_fraction,candidate_endpoints_history_sum,candidate_endpoints_nonzero_reports,silent_endpoints_history_sum,silent_endpoints_nonzero_reports,active_endpoints_history_sum,active_endpoints_nonzero_reports,eligible_victim_endpoints_history_sum,eligible_victim_endpoints_nonzero_reports,residual_pass_history_sum,residual_pass_nonzero_reports,replacement_conversion_history_sum,replacement_conversion_nonzero_reports,target_num_sum,target_event_count_sum,target_hit_rate_aggregated,shuffled_num_sum,shuffled_event_count_sum,shuffled_hit_rate_aggregated,target_hit_rate_delta,target_hit_advantage,spatial_information,active_map_cosine,mono_field_fraction,active_unit_fraction,unique_peak_bins,path_efficiency,spatial_target_steps,recruitment_total,repeat_total,goal_adapter_reset_total,dropped_rollouts_total,dropped_decisions_total,deferred_updates_total
SAT_C15_ARR_MON_LEG_S99,ARR,MON,LEG,99,00_SAT_C15_ARR_MON_LEG_S99_20260905_201610_863724,00_SAT_C15_ARR_MON_LEG_S99_20260905_201610_863724,finished,74973180.0,70000000,5,48.32077880000001,0.0277343754,0.0,0.991114376,0.410254942,0.000351878058,0.0028150668599999998,8.8,820.4,8.8,804.6,13.2,0.83333332,1.0,0.47122586800000005,0.541208332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333399999999,9.4,0.77148145,15.8,0.0,0.0,0.96928132,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,44.0,4102.0,0.010726474890297415,44.0,4023.0,0.010937111608252548,-0.000210636717955133,-0.019258898098488686,0.119511865,0.094912365,0.0,1,16,0.118294634,75000000.0,0,0,0,0,0,0
SAT_C15_ARR_MON_LEG_S123,ARR,MON,LEG,123,00_SAT_C15_ARR_MON_LEG_S123_20260905_201610_568095,00_SAT_C15_ARR_MON_LEG_S123_20260905_201610_568095,finished,74973180.0,70000000,5,29.2027784,0.028381347600000002,0.0,0.9952560619999999,0.521665888,0.0001146282612,0.00197685906,16.0,831.2,15.6,808.4,15.6,0.975,1.0,0.54161457,0.5402936480000001,0.0026174915999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.959166664,8.6,0.7864109800000001,16.0,0.0,0.0,0.986261206,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,80.0,4156.0,0.019249278152069296,78.0,4042.0,0.01929737753587333,-4.809938380403306e-05,-0.002492534735075713,0.17502007,0.06792018,0.0625,1,16,0.10210842,75000000.0,0,0,0,0,0,0
SAT_C15_ARR_PREDO_FILM_S8,ARR,PREDO,FILM,8,00_SAT_C15_ARR_PREDO_FILM_S8_20260905_201613_520394,00_SAT_C15_ARR_PREDO_FILM_S8_20260905_201613_520394,finished,74973180.0,70000000,5,49.397539,0.0272460936,0.0,0.994999588,0.316722926,0.000268513002,0.006792391220000001,6.0,900.0,5.8,883.2,14.0,0.8816666400000001,1.0,0.53825209,0.554476178,0.008524805140000001,0.0,0.0,0.0,0.0,0.0,0.0,0.936666682,7.0,0.8046391079999999,16.0,0.0,0.0,0.9821835520000001,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,30.0,4500.0,0.006666666666666667,29.0,4416.0,0.006567028985507246,9.963768115942104e-05,0.015172413793103523,0.13426593,0.0950837,0.0,1,16,0.11241419,75000000.0,0,0,0,0,0,0
SAT_C15_ARR_PREDO_FILM_S99,ARR,PREDO,FILM,99,00_SAT_C15_ARR_PREDO_FILM_S99_20260905_201613_901202,00_SAT_C15_ARR_PREDO_FILM_S99_20260905_201613_901202,finished,74973180.0,70000000,5,46.0099018,0.0267028806,0.0,0.994062214,0.284393946,0.000539154358,0.00752796912,9.0,901.2,9.0,884.6,15.2,0.950833332,0.9875,0.467580858,0.57948612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9299999900000001,5.8,0.8610301199999999,15.6,0.0,0.2,0.9825334480000001,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,45.0,4506.0,0.009986684420772303,45.0,4423.0,0.010174089984173637,-0.00018740556340133413,-0.01841988459831334,0.15875916,0.08739367,0.0,1,15,0.10656121,75000000.0,0,0,0,0,0,0
SAT_C15_ARR_PREDO_FILM_S123,ARR,PREDO,FILM,123,00_SAT_C15_ARR_PREDO_FILM_S123_20260905_201613_367011,00_SAT_C15_ARR_PREDO_FILM_S123_20260905_201613_367011,finished,74973180.0,70000000,5,34.3176874,0.028582763599999998,0.0,0.995010902,0.46263588,0.00206643319,0.01928785254,13.8,718.6,13.4,697.6,14.4,0.9025000000000001,0.9875,0.6607374479999999,0.5652083379999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.955833342,8.4,0.6823234260000001,16.0,0.0,0.2,0.979903584,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,69.0,3593.0,0.0192040077929307,67.0,3488.0,0.019208715596330275,-4.707803399575661e-06,-0.00024508683966750766,0.16481632,0.07628925,0.0,1,16,0.10714257,75000000.0,0,0,0,0,0,0
SAT_C15_ARR_PREDO_LEG_S8,ARR,PREDO,LEG,8,00_SAT_C15_ARR_PREDO_LEG_S8_20260905_201613_377746,00_SAT_C15_ARR_PREDO_LEG_S8_20260905_201613_377746,finished,74973180.0,70000000,5,40.758865400000005,0.026599120999999996,0.0,0.9930347620000001,0.28351384199999996,0.0001290093784,0.0015135028299999998,9.8,1001.2,9.8,984.0,14.6,0.91416666,0.9875,0.484939742,0.491833336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9583333379999999,9.0,0.685453194,16.0,0.2,0.2,0.9781075899999999,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,49.0,5006.0,0.009788254095085897,49.0,4920.0,0.009959349593495936,-0.00017109549841003852,-0.01717938473831404,0.18152349,0.08350824,0.0,1,15,0.06721556,75000000.0,0,0,0,0,0,0
SAT_C15_ARR_PREDO_LEG_S99,ARR,PREDO,LEG,99,00_SAT_C15_ARR_PREDO_LEG_S99_20260905_201613_519785,00_SAT_C15_ARR_PREDO_LEG_S99_20260905_201613_519785,finished,74973180.0,70000000,5,43.8021994,0.026800537000000003,0.0,0.9930474460000001,0.4761039,0.0005386136460000001,0.00440318906,11.8,681.6,11.6,662.2,14.4,0.9016666640000001,0.975,0.69084024,0.52675,0.00134786834,0.0,0.0,0.0,0.0,0.0,0.0,0.935833334,4.6,0.731538166,16.0,0.2,0.4,0.975210618,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,59.0,3408.0,0.017312206572769953,58.0,3311.0,0.017517366354575657,-0.0002051597818057034,-0.011711793751011834,0.16720566,0.0911567,0.0,1,15,0.10541248,75000000.0,0,0,0,0,0,0
SAT_C15_ARR_PREDO_LEG_S123,ARR,PREDO,LEG,123,00_SAT_C15_ARR_PREDO_LEG_S123_20260905_201613_522817,00_SAT_C15_ARR_PREDO_LEG_S123_20260905_201613_522817,finished,74973180.0,70000000,5,41.50375340000001,0.027929687400000004,0.0,0.9958696899999999,0.504177836,0.000354102356,0.0035657742400000006,10.0,783.4,9.8,764.4,13.2,0.831666662,1.0,0.667891014,0.5404166760000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.956666662,7.2,0.7853768600000001,16.0,0.0,0.0,0.978728212,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,3917.0,0.012764871074802144,49.0,3822.0,0.01282051282051282,-5.564174571067587e-05,-0.00434005616543276,0.14113775,0.11130758,0.0,1,15,0.085697524,75000000.0,0,0,0,0,0,0
SAT_C15_SRC_DIRO_FILM_S8,SRC,DIRO,FILM,8,00_SAT_C15_SRC_DIRO_FILM_S8_20260905_201637_809181,00_SAT_C15_SRC_DIRO_FILM_S8_20260905_201637_809181,finished,74973180.0,70000000,5,75.89941200000001,0.0285583494,0.0,0.994917648,0.557752758,0.00044405275000000005,0.00415728888,15.0,808.0,15.2,784.6,15.0,0.9433333279999999,0.9875,0.6664204140000001,0.59495835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.919999988,4.6,0.536857338,16.0,0.0,0.2,0.9803328180000002,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,75.0,4040.0,0.018564356435643563,76.0,3923.0,0.01937292888095845,-0.0008085724453148861,-0.0417372329338197,0.108838275,0.25537658,0.0,1,15,0.21451473,75000000.0,0,0,0,0,0,0
SAT_C15_SRC_DIRO_FILM_S99,SRC,DIRO,FILM,99,00_SAT_C15_SRC_DIRO_FILM_S99_20260905_201637_981603,00_SAT_C15_SRC_DIRO_FILM_S99_20260905_201637_981603,finished,74973180.0,70000000,5,72.009298,0.0283813478,0.0,0.995484398,0.49119438000000004,0.006820933109999999,0.030172893200000002,13.2,596.8,12.8,579.0,15.8,0.9875,1.0,0.5868430219999999,0.644861108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94166667,8.0,0.5578544379999999,16.0,0.0,0.0,0.9833273119999999,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,66.0,2984.0,0.022117962466487937,64.0,2895.0,0.022107081174438686,1.0881292049250146e-05,0.0004922084450402764,0.10681707,0.2015223,0.0,1,14,0.2825216,75000000.0,0,0,0,0,0,0
