base,recruitment,goal_conditioning,coverage_auc_mean,dg_density_mean,dg_silent_fraction_mean,dg_usage_entropy_mean,unit_duty_cycle_max_mean,option_success_mean,action_sensitivity_mean,target_hit_rate_mean,target_hit_lift_mean,largest_scc_mean,reachable_pair_fraction_mean,outgoing_node_fraction_mean,top3_incoming_share_mean,attempt_coverage_mean,fully_tested_count_mean,zero_outdegree_count_mean,predictive_eligible_count_mean,behavior_replay_mismatch_mean,recruitment_total_mean,repeat_total_mean,coverage_auc_sd,dg_density_sd,dg_silent_fraction_sd,dg_usage_entropy_sd,unit_duty_cycle_max_sd,option_success_sd,action_sensitivity_sd,target_hit_rate_sd,target_hit_lift_sd,largest_scc_sd,reachable_pair_fraction_sd,outgoing_node_fraction_sd,top3_incoming_share_sd,attempt_coverage_sd,fully_tested_count_sd,zero_outdegree_count_sd,predictive_eligible_count_sd,behavior_replay_mismatch_sd,recruitment_total_sd,repeat_total_sd
C05,DIR,FILM,37.67067925657895,0.026878557688596493,0.0,0.9723714164692981,0.04075113935964912,0.22735704551973682,0.033047007816228074,0.027391935654385965,0.9476303718421052,1.3333333333333333,0.026708699355263158,0.29002192982456143,0.9969244547368422,0.18799342048245615,0.0,11.377192982456139,0.0,0.0,0.0,0.0,10.594026400280187,0.0018164834418989725,0.0,0.002537894781592758,0.0028305584046061957,0.08439622595279206,0.023398976082422324,0.019122391789095052,0.10410994427303141,0.5773502691896258,0.0029903686140915,0.03380307690553326,0.005327003505535212,0.0037685612891087297,0.0,0.5321361288703506,0.0,0.0,0.0,0.0
C05,DIR,LEG,39.21228391885965,0.024776124138157895,0.0,0.9657868585307017,0.0407500685504386,0.22711560660087718,0.016617015080482456,0.026574921220175438,1.0371493453728071,1.4649122807017543,0.02186586303289474,0.22724780701754385,0.6994833614912283,0.20060307087719298,0.0,12.361842105263158,0.0,0.0,0.3333333333333333,0.0,5.978546626139381,0.0021342181854920638,0.0,0.0026152514142402552,0.0014430342879698885,0.14399141370738114,0.005425684322258678,0.018202691959068255,0.0481090753791633,0.4809985957597039,0.026301999089305785,0.2344101043270504,0.5203073404764009,0.03237613163850243,0.0,3.7461718687695185,0.0,0.0,0.5773502691896258,0.0
C05,MON,FILM,34.990425949561406,0.023374657870614036,0.0,0.9650775132675439,0.03995554070394736,0.23591424321052631,0.05436390118486842,0.02985797010109649,1.1526675006359648,1.405701754385965,0.025849781182017542,0.2979714912280702,0.9731157675657895,0.17674524888157894,0.0,11.241228070175438,3.3486842105263155,0.0,0.0,0.0,5.828287854730714,0.004021761099519127,0.0,0.016735539713308836,0.0045189177364802526,0.13737197208500937,0.031164969917620598,0.01690873936638492,0.45653224377772517,0.5260004537808448,0.022865309229796293,0.2015601065838845,0.04654241628061196,0.025953601657725225,0.0,3.2281275321468086,1.2476952436603386,0.0,0.0,0.0
C05,MON,LEG,42.96305586743349,0.0256422748639189,0.0,0.9645406709554724,0.04256184898748112,0.2603284683511386,0.01815787087180057,0.03639199383070466,1.0120590995670675,1.0,0.013505662018400722,0.16722308150342746,0.9934231303070176,0.1888358797557221,0.0,13.333202625769722,7.666347159288951,0.0,0.0,0.0,6.902566031688052,0.003512468500779252,0.0,0.010309593827415984,0.001066515450079207,0.08725942135795375,0.009018766837923157,0.0116308179487533,0.062321264074662035,0.0,0.013133731742444288,0.13828858713472755,0.01139147246300558,0.059129982325039444,0.0,2.1976222237957095,3.280356865049295,0.0,0.0,0.0
C05,PRED,FILM,29.118573427022415,0.023988061945784598,0.0,0.9659227073891326,0.037686353536062374,0.30116647278971737,0.048855440813474656,0.0370911715748538,1.0173381125024366,1.3587962962962965,0.04090623026985867,0.45183053118908384,1.0000000005726122,0.18470242523391814,0.0,8.782651072124755,4.514985380116959,0.0,0.3333333333333333,0.0,6.620363554553202,0.0015446235285752603,0.0,0.010084715327132591,0.0025473109588388197,0.09739672321533917,0.027764288038284075,0.006846373080457717,0.02682458298071926,0.5566106878410888,0.035263398612604496,0.30774236697626817,3.347397146641068e-09,0.004787575158684025,0.0,4.946661209988942,3.988433499271513,0.0,0.5773502691896258,0.0
C05,PRED,LEG,59.19423456228369,0.026416698442937703,0.0,0.9753445579390441,0.03815218094396706,0.2816593112174037,0.01173917569462943,0.032389978545409655,0.9764324363632295,1.4325844372836853,0.024858152707124954,0.19268875313283207,0.7127192984878864,0.19246311669083424,0.0,12.919098341090823,7.065341926244183,0.0,0.3333333333333333,0.0,31.892076592655133,0.0010231631119885457,0.0,0.005773042344046793,0.002497735190732707,0.1511388364106339,0.004604993794365109,0.017196622342092547,0.04013627839439058,0.5459814348229045,0.026257734780425725,0.17044253679547605,0.497584771682452,0.010155883498366183,0.0,2.734786214268458,0.8875548337851538,0.0,0.5773502691896258,0.0
C13,DIR,FILM,45.91735360745614,0.01446941444144737,0.3326480263157895,0.6909978353728069,0.04532877603289474,0.026083158414473683,0.01903168263486842,0.0003437243024122807,32.14387216006579,1.0,0.0007766813399122806,0.011101973684210524,0.15570175438596492,0.12320906492982457,0.0,15.826754385964913,0.0,0.0,0.0,0.0,12.531624604969279,0.0010357844724106073,0.0640985938115527,0.05432324233320908,0.0014067140650441087,0.01774472324787592,0.0018439961955766544,0.00023368798355974393,55.164009852516024,0.0,0.0013215828837916644,0.01887420627882977,0.2640063078095867,0.026789657763291702,0.0,0.29439104871925126,0.0,0.0,0.0,0.0
C13,DIR,LEG,41.16425931067251,0.016599733248581872,0.24877375730994153,0.7463753614766082,0.04757150043722222,0.02837570319178363,0.014362501771871344,0.0003917529026769006,34.80371530174357,1.0,2.741228289473684e-05,0.00041118421052631577,0.006578947368421052,0.14996978491076024,0.0,15.99342105263158,0.0,0.0,0.0,0.0,12.62923877726611,0.002670419603612335,0.03934793197865805,0.021926270949960025,0.004032098743090345,0.013621846349744648,0.004980236205434527,0.00019743359766198463,29.85125495645216,0.0,2.741228289473684e-05,0.00041118421052631577,0.006578947368421052,0.023261536278739982,0.0,0.00657894736842124,0.0,0.0,0.0,0.0
C13,MON,FILM,35.107947252192986,0.016566293304166663,0.3160635964912281,0.7168521689254387,0.04563609337719298,0.05311321765131579,0.016259100500877196,0.0007024396951754386,29.599512741403505,1.0,0.0010782164451754387,0.014117324561403508,0.18640350877192982,0.1494974414912281,0.0,15.778508771929824,0.006578947368421052,0.0,0.0,0.0,9.9811996073515,0.0005597818492988737,0.023391768249112273,0.02862926194541232,0.00016757806351911034,0.04966655769034723,0.006686423391975449,0.0006953317716972096,10.617958564537592,0.0,0.0010969480686288137,0.013427121601453932,0.16412243194796192,0.016272584294920997,0.0,0.2087023509294313,0.011395071102426824,0.0,0.0,0.0
C13,MON,LEG,33.68732558611111,0.014567506661587301,0.2479362468671679,0.718303513734336,0.04381957095455305,0.019618343048517128,0.01965643826725355,0.00027131835187447784,55.281163700861526,1.0,0.00016856377525062657,0.0019802109440267336,0.02291144527986633,0.11607177701194653,0.0,15.971491228070176,0.0043859649122807015,0.0,0.0,0.0,4.1306013207521755,0.0019498546082623324,0.07715980490514476,0.04485157899043143,0.002953224067839973,0.003679597957194096,0.011077579430247099,5.4863340305552055e-05,41.47435504483094,0.0,0.0002583579406196099,0.002929492032260219,0.03179454670223869,0.00817339676120881,0.0,0.049378641443849694,0.007596714068284549,0.0,0.0,0.0
