run_name,base,recruitment,goal_conditioning,seed,wandb_name,wandb_id,state,max_env_steps,window_rows,coverage_auc,dg_density,dg_silent_fraction,dg_usage_entropy,unit_duty_cycle_max,option_success,action_sensitivity,target_hit_rate,target_hit_lift,largest_scc,reachable_pair_fraction,outgoing_node_fraction,top3_incoming_share,attempt_coverage,fully_tested_count,zero_outdegree_count,predictive_eligible_count,behavior_replay_mismatch,recruitment_total,repeat_total
DPR_C05_DIR_FILM_S8,C05,DIR,FILM,8,00_DPR_C05_DIR_FILM_S8_20260904_060814_065945,00_DPR_C05_DIR_FILM_S8_20260904_060814_065945,finished,74973180.0,152,31.585409835526313,0.02561468825657895,0.0,0.9695379941447368,0.03996839019736842,0.29875498006578943,0.05078106759868421,0.04708380443421053,1.0273101418421051,1.0,0.02478070216447369,0.30304276315789475,0.9907733609210527,0.18470395039473683,0.0,11.177631578947368,0.0,0.0,0,0
DPR_C05_DIR_FILM_S99,C05,DIR,FILM,99,00_DPR_C05_DIR_FILM_S99_20260904_060812_567536,00_DPR_C05_DIR_FILM_S99_20260904_060812_567536,finished,74973180.0,152,31.52307363157895,0.026060807046052632,0.0,0.9731402863157894,0.03839432568421053,0.24909912769736842,0.04183328992105264,0.026196931601973682,0.8298338887499999,1.0,0.030153509223684212,0.31537828947368424,1.0000000032894736,0.18717105315789473,0.0,10.973684210526315,0.0,0.0,0,0
DPR_C05_DIR_FILM_S123,C05,DIR,FILM,123,00_DPR_C05_DIR_FILM_S123_20260904_060812_566448,00_DPR_C05_DIR_FILM_S123_20260904_060812_566448,finished,74973180.0,152,49.90355430263158,0.028960177763157898,0.0,0.9744359689473683,0.04389070219736842,0.13421702879605263,0.006526665928947369,0.008895070926973683,0.9857470849342105,2.0,0.02519188667763158,0.25164473684210525,1.0,0.19210525789473687,0.0,11.980263157894736,0.0,0.0,0,0
DPR_C05_DIR_LEG_S8,C05,DIR,LEG,8,00_DPR_C05_DIR_LEG_S8_20260904_060813_885571,00_DPR_C05_DIR_LEG_S8_20260904_060813_885571,finished,74973180.0,152,33.76989055921052,0.02720240542763158,0.0,0.9687336525,0.041841205815789484,0.13067376835526315,0.019961791460526318,0.01256039267105263,0.9867867776315791,1.0,0.0007127193355263158,0.01069078947368421,0.09868421052631579,0.17735745664473684,0.0,15.828947368421053,0.0,0.0,0,0
DPR_C05_DIR_LEG_S99,C05,DIR,LEG,99,00_DPR_C05_DIR_LEG_S99_20260904_060813_577917,00_DPR_C05_DIR_LEG_S99_20260904_060813_577917,finished,74973180.0,152,38.255398809210526,0.023936823822368423,0.0,0.9637417588815789,0.04129510184210526,0.1580430642763158,0.010356881955263157,0.020016318890789475,1.0826331404605263,1.4342105263157894,0.013569079592105264,0.19490131578947367,0.999765875,0.2375822374342105,0.0,12.868421052631579,0.0,0.0,1,0
DPR_C05_DIR_LEG_S123,C05,DIR,LEG,123,00_DPR_C05_DIR_LEG_S123_20260904_060813_590513,00_DPR_C05_DIR_LEG_S123_20260904_060813_590513,finished,74973180.0,152,45.61156238815789,0.023189143164473684,0.0,0.9648851642105263,0.03911389799342105,0.39262998717105263,0.019532371825657896,0.04714805209868421,1.0420281180263158,1.9605263157894737,0.05131579017105263,0.4761513157894737,0.9999999989473686,0.1868695185526316,0.0,8.388157894736842,0.0,0.0,0,0
DPR_C05_MON_FILM_S8,C05,MON,FILM,8,00_DPR_C05_MON_FILM_S8_20260904_060812_552774,00_DPR_C05_MON_FILM_S8_20260904_060812_552774,finished,74973180.0,152,34.03094642105263,0.019685444052631576,0.0,0.9457753767763157,0.04438862051973684,0.22114463592105263,0.06810301253289473,0.038281892453947364,1.6651019735526313,1.2171052631578947,0.014830044532894736,0.20847039473684212,0.9999740814473685,0.1490405697368421,0.0,12.664473684210526,4.782894736842105,0.0,0,0
DPR_C05_MON_FILM_S99,C05,MON,FILM,99,00_DPR_C05_MON_FILM_S99_20260904_060813_647473,00_DPR_C05_MON_FILM_S99_20260904_060813_647473,finished,74973180.0,152,29.701414671052632,0.0227765535,0.0,0.9739230167105263,0.03535541735526316,0.38007423736842105,0.07629856333552631,0.04089997942763158,1.0035944326315789,2.0,0.05213815809868421,0.5287828947368421,0.9193732165131578,0.1807017557894737,0.0,7.546052631578948,2.513157894736842,0.0,0,0
DPR_C05_MON_FILM_S123,C05,MON,FILM,123,00_DPR_C05_MON_FILM_S123_20260904_060813_704182,00_DPR_C05_MON_FILM_S123_20260904_060813_704182,finished,74973180.0,152,41.238916756578945,0.027661976059210527,0.0,0.9755341463157895,0.040122584236842104,0.10652385634210526,0.01869012768618421,0.010392038421710525,0.7893060957236843,1.0,0.010581140914473684,0.15666118421052633,1.000000004736842,0.20049342111842106,0.0,13.513157894736842,2.75,0.0,0,0
DPR_C05_MON_LEG_S8,C05,MON,LEG,8,00_DPR_C05_MON_LEG_S8_20260904_060758_323335,00_DPR_C05_MON_LEG_S8_20260904_060758_323335,finished,74973180.0,151,50.89676054966887,0.02844864794701987,0.0,0.9733697056953644,0.043457031291390724,0.1632990951192053,0.011241836941059603,0.022971854301324507,0.9739588125827815,1.0,0.004415011390728477,0.06622516556291391,1.0,0.18416114860927155,0.0,14.940397350993377,7.854304635761589,0.0,0,0
DPR_C05_MON_LEG_S99,C05,MON,LEG,99,00_DPR_C05_MON_LEG_S99_20260904_060812_501712,00_DPR_C05_MON_LEG_S99_20260904_060812_501712,finished,74973180.0,152,38.33464073026316,0.0267749585,0.0,0.9670416314473683,0.04284667963157895,0.2853233300657895,0.028358625506578947,0.042653937032894745,1.0839790459210525,1.0,0.0075383776249999986,0.11060855263157894,1.0,0.25016447328947367,0.0,14.230263157894736,10.848684210526315,0.0,0,0
DPR_C05_MON_LEG_S123,C05,MON,LEG,123,00_DPR_C05_MON_LEG_S123_20260904_060812_476785,00_DPR_C05_MON_LEG_S123_20260904_060812_476785,finished,74973180.0,152,39.65776632236842,0.02170321814473684,0.0,0.9532106757236842,0.04138183603947368,0.33236297986842106,0.014873150167763156,0.043550190157894735,0.9782394401973683,1.0,0.028563597039473688,0.3248355263157895,0.9802693909210526,0.13218201736842106,0.0,10.828947368421053,4.296052631578948,0.0,0,0
DPR_C05_PRED_FILM_S8,C05,PRED,FILM,8,00_DPR_C05_PRED_FILM_S8_20260904_060832_707721,00_DPR_C05_PRED_FILM_S8_20260904_060832_707721,finished,74973180.0,152,36.709652059210526,0.02344111392105263,0.0,0.9567098894736842,0.04015792046710526,0.2813929238881579,0.08015029767105263,0.037411338406578946,1.006652326513158,1.0,0.024232456427631582,0.3404605263157895,0.9999999967105263,0.18843202072368423,0.0,10.539473684210526,3.263157894736842,0.0,1,0
DPR_C05_PRED_FILM_S99,C05,PRED,FILM,99,00_DPR_C05_PRED_FILM_S99_20260904_060832_708723,00_DPR_C05_PRED_FILM_S99_20260904_060832_708723,finished,74973180.0,152,24.541460381578947,0.025731739256578946,0.0,0.9766971365131579,0.03506951583552632,0.40693273809210523,0.02718060490131579,0.04377184427631579,1.047858748355263,2.0,0.08141447449999999,0.7997532894736842,1.000000002368421,0.17930372539473682,0.0,3.1973684210526314,1.3026315789473684,0.0,0,0
DPR_C05_PRED_FILM_S123,C05,PRED,FILM,123,00_DPR_C05_PRED_FILM_S123_20260904_060832_496851,00_DPR_C05_PRED_FILM_S123_20260904_060832_496851,finished,74973180.0,144,26.10460784027778,0.022791332659722222,0.0,0.9643610961805555,0.037831624305555554,0.21517375638888886,0.03923541986805555,0.030090332041666668,0.9975032626388887,1.0763888888888888,0.017071759881944443,0.2152777777777778,1.0000000026388889,0.18637152958333333,0.0,12.61111111111111,8.979166666666666,0.0,0,0
DPR_C05_PRED_LEG_S8,C05,PRED,LEG,8,00_DPR_C05_PRED_LEG_S8_20260904_060812_620139,00_DPR_C05_PRED_LEG_S8_20260904_060812_620139,finished,74940420.0,147,39.539376680272106,0.025340592795918368,0.0,0.9687752020408165,0.04100233848979592,0.30376467802721085,0.01672391951020408,0.04254025840136054,1.0102442363265307,1.251700680272109,0.021230159489795918,0.22321428571428573,0.9999999980952381,0.18596939020408162,0.0,12.421768707482993,7.959183673469388,0.0,0,0
DPR_C05_PRED_LEG_S99,C05,PRED,LEG,99,00_DPR_C05_PRED_LEG_S99_20260904_060812_478886,00_DPR_C05_PRED_LEG_S99_20260904_060812_478886,finished,74973180.0,152,95.99145161184211,0.02737707842763158,0.0,0.9796093839473684,0.03634482928947368,0.120685106875,0.010849992692105263,0.012534693688815789,0.932076718881579,1.0,0.0006030702236842105,0.009046052631578948,0.13815789473684212,0.20416667,0.0,15.868421052631579,7.052631578947368,0.0,1,0
