encoder_credit,retirement,goal_conditioning,coverage_auc_mean,dg_density_mean,dg_silent_fraction_mean,dg_usage_entropy_mean,spatial_information_mean,active_map_cosine_mean,mono_field_fraction_mean,active_unit_fraction_mean,unique_peak_bins_mean,path_efficiency_mean,option_success_mean,action_probability_tv_mean,action_sensitivity_mean,target_hit_rate_aggregated_mean,shuffled_hit_rate_aggregated_mean,target_hit_rate_delta_mean,target_hit_advantage_mean,largest_scc_mean,reachable_pair_fraction_mean,outgoing_node_fraction_mean,top3_incoming_share_mean,reliable_global_efficiency_mean,grounded_controllability_mean,attempt_coverage_mean,fully_tested_count_mean,predictive_gap_mean,credit_replay_match_mean,behavior_replay_mismatch_mean,stale_generation_fraction_mean,recruitment_total_mean,repeat_total_mean,goal_adapter_reset_total_mean,dropped_rollouts_total_mean,dropped_decisions_total_mean,deferred_updates_total_mean,coverage_auc_sd,dg_density_sd,dg_silent_fraction_sd,dg_usage_entropy_sd,spatial_information_sd,active_map_cosine_sd,mono_field_fraction_sd,active_unit_fraction_sd,unique_peak_bins_sd,path_efficiency_sd,option_success_sd,action_probability_tv_sd,action_sensitivity_sd,target_hit_rate_aggregated_sd,shuffled_hit_rate_aggregated_sd,target_hit_rate_delta_sd,target_hit_advantage_sd,largest_scc_sd,reachable_pair_fraction_sd,outgoing_node_fraction_sd,top3_incoming_share_sd,reliable_global_efficiency_sd,grounded_controllability_sd,attempt_coverage_sd,fully_tested_count_sd,predictive_gap_sd,credit_replay_match_sd,behavior_replay_mismatch_sd,stale_generation_fraction_sd,recruitment_total_sd,repeat_total_sd,goal_adapter_reset_total_sd,dropped_rollouts_total_sd,dropped_decisions_total_sd,deferred_updates_total_sd,coverage_auc_n,dg_density_n,dg_silent_fraction_n,dg_usage_entropy_n,spatial_information_n,active_map_cosine_n,mono_field_fraction_n,active_unit_fraction_n,unique_peak_bins_n,path_efficiency_n,option_success_n,action_probability_tv_n,action_sensitivity_n,target_hit_rate_aggregated_n,shuffled_hit_rate_aggregated_n,target_hit_rate_delta_n,target_hit_advantage_n,largest_scc_n,reachable_pair_fraction_n,outgoing_node_fraction_n,top3_incoming_share_n,reliable_global_efficiency_n,grounded_controllability_n,attempt_coverage_n,fully_tested_count_n,predictive_gap_n,credit_replay_match_n,behavior_replay_mismatch_n,stale_generation_fraction_n,recruitment_total_n,repeat_total_n,goal_adapter_reset_total_n,dropped_rollouts_total_n,dropped_decisions_total_n,deferred_updates_total_n
ARR,DIRO,FILM,51.72118146666666,0.02625935873333333,0.0,0.9915636386666667,0.19325991,0.08003100666666667,0.16666666666666666,1.0,15.0,0.107690788,0.4280377633333334,0.0005248922339999999,0.00667041708,0.012459049340015146,0.012687137148504507,-0.0002280878084893606,-0.016599344321600668,14.6,0.9125,1.0,0.5550558873333333,0.5713981486666667,0.048143284666666675,0.949166666,7.666666666666667,0.8244477206666666,0.982585722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.935351957675616,0.0022999511457133647,0.0,0.006721149019776914,0.04541566645218476,0.02051940412532813,0.2886751345948129,0.0,1.0,0.04761295068038707,0.10266804219864085,0.00028188554381826955,0.004084563582031195,0.0007586400585632431,0.0010856649275428243,0.00035137891993316286,0.025295725206287985,0.8717797887081352,0.05448623679425845,0.0,0.05605458518724201,0.024966001343040962,0.08338661508591837,0.022928023840318966,2.5324559884296773,0.08922733250714257,0.004220152912158889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ARR,DIRO,LEG,37.584115,0.02697143546666667,0.0,0.9945319,0.15473751666666666,0.08531142333333334,0.12916666666666668,1.0,14.666666666666666,0.10994268333333333,0.3869233773333334,0.00020326131373333338,0.0028178241453333335,0.016649254501037585,0.017223090243565536,-0.0005738357425279506,-0.033556547721925324,14.666666666666666,0.9177777733333333,0.9958333333333332,0.6190730986666667,0.574851858,0.005810396266666668,0.963055556,9.799999999999999,0.7685130693333333,0.9861526380000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.54964664964262,0.0029495773362850845,0.0,0.0022648639568637265,0.023160868723476967,0.02730995602165323,0.11203608049790628,0.0,2.3094010767585034,0.034548491928769236,0.06622939317847712,0.00010977954497614018,0.0015838174069720534,0.005527987666871508,0.00571705815309883,0.0002183551391176206,0.007321915036674382,0.9451631252505216,0.05968861846344021,0.007216878364870297,0.0728400813512325,0.05800934859520874,0.0053681456783182865,0.029934354959679114,3.5042830935870466,0.04640365115935144,0.006385498089127594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ARR,MON,FILM,44.753765066666666,0.02695922846666667,0.0,0.9928804126666667,0.18540976666666667,0.086343992,0.06666666666666667,1.0,15.666666666666666,0.09263039699999999,0.350111502,0.00043320942573333334,0.0048165384000000006,0.013483002746220198,0.01353575562877505,-5.2752882554852644e-05,-0.0019817360053577073,14.799999999999999,0.9272222193333333,0.9958333333333332,0.569398114,0.5927804233333333,0.0134350976,0.940277774,7.2,0.804026322,0.9817057726666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4951876638824741,0.0016783225467162303,0.0,0.0028153187300739547,0.05896315600054101,0.04764077485160157,0.11547005383792516,0.0,0.5773502691896258,0.01660147524150179,0.051623284713182,0.0001965005327219279,0.0003914490668046702,0.006939691868894485,0.006988169473202011,0.0001718189534411054,0.017361567312225358,0.9165151389911681,0.055754507108959156,0.007216878364870297,0.09156742815654709,0.0427896055913017,0.02327027164784668,0.014296786650102415,1.5874507866387542,0.10214956135522756,0.00505285684611828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ARR,MON,LEG,40.10499946666667,0.0279296876,0.0,0.993943228,0.14238605833333332,0.08939275499999999,0.041666666666666664,1.0,15.333333333333334,0.11453192133333334,0.44991478733333334,0.0002872337980666667,0.0026837349466666666,0.014226335024962344,0.014322792292671202,-9.645726770885858e-05,-0.008052424406166306,13.6,0.8580555493333334,0.9916666666666667,0.531241306,0.5213664,0.0008724971999999999,0.9441666679999999,7.133333333333333,0.793726762,0.9807399493333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.838049182309792,0.00039233774075003513,0.0,0.002451963226251961,0.029012596333407633,0.019313656618749727,0.036084391824351615,0.0,1.1547005383792515,0.01103427959406255,0.06225340331102892,0.00015104169791225618,0.000651219032219921,0.00446087213570586,0.004400792527241702,9.926709019089811e-05,0.009705187707619146,1.8330302779823358,0.10675235658427558,0.014433756729740618,0.0555598904057226,0.03357820945359155,0.0015112094798615842,0.02526251172961452,3.2578111260988307,0.02666676630870059,0.009925644955387508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ARR,PREDO,FILM,43.2417094,0.027510579266666668,0.0,0.9946909013333333,0.15261380333333333,0.08625554,0.0,1.0,15.666666666666666,0.10870598999999999,0.3545842506666667,0.0009580335166666667,0.011202737626666667,0.011952452960123225,0.011983278188670385,-3.0825228547162915e-05,-0.001164185881625775,14.533333333333333,0.9116666573333334,0.9916666666666667,0.5555234653333333,0.566390212,0.002841601713333334,0.940833338,7.066666666666666,0.782664218,0.9815401946666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.911867538202911,0.0009674474271640464,0.0,0.0005444885893839246,0.016175773202800336,0.009448774662531642,0.0,0.0,0.5773502691896258,0.0032245240412190983,0.09496134312524832,0.0009693936572819423,0.007011567662306049,0.006495722830586621,0.00651213724986146,0.0001452929660522017,0.016814998813297413,0.6110100926607783,0.03548279196393343,0.007216878364870297,0.09772969031740392,0.012546789203806164,0.004921798542368106,0.013411237286534296,1.3012814197295424,0.09135749812131716,0.0014281028178634604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ARR,PREDO,LEG,42.02160606666667,0.0271097818,0.0,0.993983966,0.16328896666666667,0.09532417333333333,0.0,1.0,15.0,0.08610852133333334,0.4212651926666666,0.0003405751268,0.0031608220433333336,0.013288443914219331,0.013432409589528136,-0.00014396567530880594,-0.011077078218252878,14.066666666666668,0.8824999953333333,0.9874999999999999,0.6145569986666667,0.5196666706666667,0.00044928944666666667,0.9502777779999999,6.933333333333334,0.7341227400000001,0.9773488066666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5863792097633296,0.0007171652500975779,0.0,0.0016330972028926766,0.020475775048516078,0.014360595447157943,0.0,0.0,0.0,0.019101776448215636,0.12011915928985374,0.00020513691392922223,0.0014867956611961755,0.003789203294921446,0.0038159818634447198,7.836409417301154e-05,0.006443154305636761,0.7571877794400368,0.04446440495872338,0.012500000000000039,0.11283679215062871,0.02505424908518009,0.0007781921489311741,0.012536982255474982,2.212088003071608,0.0500119463107666,0.001877546536684888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SRC,DIRO,FILM,62.52255846666667,0.02801310226666667,0.0,0.9945215620000001,0.11734947166666666,0.19766157666666664,0.0,1.0,15.0,0.20503563666666666,0.4812680953333333,0.0028242842199999994,0.014555072519999998,0.017756472375483858,0.01811983162533477,-0.0003633592498509131,-0.02131558507159507,15.200000000000001,0.9519444426666667,0.9958333333333332,0.6032891133333332,0.5917480253333333,0.0,0.9341666626666667,6.533333333333334,0.6152293826666666,0.982500174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.895757403824692,0.0007960427316676983,0.0,0.00121049706409719,0.016523174498988037,0.05973900279110486,0.0,0.0,1.0,0.0826342810374522,0.08190020320353791,0.0034822054416989846,0.013770966090217841,0.004816518534341336,0.004739707076006896,0.0004143114107593817,0.021148817452143136,0.5291502622129184,0.03212749557391399,0.007216878364870297,0.056725407951404766,0.05478883074340134,0.0,0.01227577358956576,1.7473789896108212,0.11802818895035447,0.0018944357457173105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SRC,DIRO,LEG,50.60242493333333,0.028432210466666667,0.0,0.9950973226666666,0.12611750333333333,0.17406939333333335,0.0,1.0,15.666666666666666,0.13881427333333332,0.49727284533333327,0.0006645579733333333,0.0057749574,0.022140472043127555,0.022077156363359718,6.331567976783938e-05,0.0007286467168954683,15.466666666666667,0.9666666666666667,1.0,0.5163482553333334,0.61750925,0.0,0.9619444433333332,8.933333333333334,0.6547490553333333,0.9821398426666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.180978935915761,0.0022709779981406673,0.0,0.0007618056659971006,0.020307872967478238,0.05959047938806528,0.0,0.0,0.5773502691896255,0.032822882590396195,0.04587223906246479,0.00047609953936448863,0.0027680610988559595,0.004976515733233168,0.00459218647407481,0.00050238688939309,0.02351522831848843,0.5033222956847166,0.03145764348029479,0.0,0.016351393810658248,0.020644638189476948,0.0,0.01594986564439225,2.0132891827388666,0.04648889137588015,0.003399463870705718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SRC,MON,FILM,64.46217293333333,0.028792317666666668,0.0,0.9931798473333333,0.12336318666666668,0.18855228333333332,0.041666666666666664,1.0,15.333333333333334,0.18633599999999997,0.5066139766666666,0.002598642388,0.015012865253333332,0.02199465370265259,0.021827977922361616,0.0001666757802909688,0.008624416843539318,15.200000000000001,0.9505555533333334,1.0,0.6528201619999999,0.6109953653333333,0.0,0.944722212,7.933333333333333,0.6596209453333334,0.9818448093333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.067043688022384,0.001024451658898486,0.0,0.00291101742467906,0.022621670407503812,0.08421515866433807,0.036084391824351615,0.0,0.5773502691896258,0.14067811376114583,0.05550361718642097,0.0012840677594283892,0.001445003317468436,0.0015951116893167844,0.0018448824952007627,0.0006461560359212342,0.03153149057786672,0.34641016151377463,0.02068838849496334,0.0,0.028844520929958883,0.012610690092907936,0.0,0.02438598642815761,2.193931022920577,0.03342716123350786,0.002949728844515929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
SRC,MON,LEG,37.259453,0.026790364533333333,0.0,0.9944064899999999,0.16105909,0.11883686666666667,0.0,1.0,15.666666666666666,0.09001391966666666,0.398643856,0.00035183849026666666,0.00431286518,0.013248176021626071,0.013073780429867022,0.00017439559175904998,0.01045884015529249,14.533333333333333,0.9116666640000001,1.0,0.548409,0.553835984,0.0,0.9524999966666666,8.666666666666666,0.7299342466666666,0.9816957673333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.239691068569343,0.00040122619022712693,0.0,0.0015275711854470617,0.01599505513578806,0.03125948526987661,0.0,0.0,0.5773502691896258,0.016423755651393205,0.09275098287072873,0.00015960336421049105,0.00030879294388340704,0.005382901385872281,0.00514275355361758,0.0003038096085225432,0.016511234668217592,0.7571877794400373,0.04426090832275779,0.0,0.10038765322536697,0.02118457649159659,0.0,0.009013890669415513,0.702376916856849,0.06308051397715016,0.0013106770131658667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
