representation,exploration_head,manager_objective,geometry,coverage_auc_mean,dg_density_mean,dg_silent_fraction_mean,dg_usage_entropy_mean,option_success_mean,action_sensitivity_mean,free_mode_fraction_mean,goal_mode_fraction_mean,probe_mode_fraction_mean,probe_success_rate_mean,probe_timeout_rate_mean,promotion_rate_mean,edge_reliability_mean,largest_scc_mean,reachable_pair_fraction_mean,outgoing_node_fraction_mean,top3_incoming_share_mean,goal_loop_fraction_mean,goal_straightness_mean,probe_loop_fraction_mean,probe_straightness_mean,behavior_replay_mismatch_mean,recruitment_total_mean,repeat_total_mean,coverage_auc_sd,dg_density_sd,dg_silent_fraction_sd,dg_usage_entropy_sd,option_success_sd,action_sensitivity_sd,free_mode_fraction_sd,goal_mode_fraction_sd,probe_mode_fraction_sd,probe_success_rate_sd,probe_timeout_rate_sd,promotion_rate_sd,edge_reliability_sd,largest_scc_sd,reachable_pair_fraction_sd,outgoing_node_fraction_sd,top3_incoming_share_sd,goal_loop_fraction_sd,goal_straightness_sd,probe_loop_fraction_sd,probe_straightness_sd,behavior_replay_mismatch_sd,recruitment_total_sd,repeat_total_sd
X0,SEP,EDGE,G0,37.0414960624785,0.027593964098956546,0.0,0.9731163522378453,0.20858582749587204,0.05656181602842277,7.552934379084969e-05,0.13072624703177532,0.8688548216696765,0.16381172274574304,0.8361882783889462,0.000507672472584136,0.20922862362902764,1.5350877192982455,0.031243371145152507,0.21320125272331156,0.7914585738266826,0.7516339869281046,0.0,1.0,0.0,0.0,0.0,0.0,17.241899390250097,0.0014832892464051717,0.0,0.009473234107278733,0.08186661344668843,0.043594842410768636,0.00013082066090808856,0.1795351978816307,0.1795225411844083,0.019898869308525486,0.019898870726168305,0.00039157818316626044,0.04339638233408987,0.9267991163307149,0.04430003434101827,0.23543981964223637,0.058899688683473374,0.22135548002452418,0.0,0.0,0.0,0.0,0.0,0.0
X0,SEP,EDGE,G1,47.19809668977182,0.028000223533711722,0.0,0.9770334530675955,0.1495726329050281,0.03865862579676929,0.00024194304726737187,0.02142530641520611,0.978043832535833,0.14305863796904025,0.856941364474831,0.00013935410948500744,0.18346043774552803,1.0021786492374727,0.004077502277175782,0.047324704735695444,0.4768292863524825,0.3023479334770955,0.13155240173202612,0.6464689165336543,0.27677153689169826,0.0,0.3333333333333333,0.0,3.9753130987732574,0.000467955536602072,0.0,0.0005802317042012219,0.014664542058666834,0.009693680666735897,0.0003971523277188566,0.018664531266278192,0.018976832214896086,0.006055535705625203,0.006055536758201902,8.37427106444242e-05,0.010643846760149725,0.0037735311711739952,0.004482302044997068,0.04605062449983542,0.38533747494914955,0.2203519622158468,0.10166049266204656,0.031370256856668,0.016709815138454844,0.0,0.5773502691896258,0.0
X0,SEP,NODE,G0,39.98164413943355,0.027378522745098038,0.0,0.9770339911764706,0.0,0.0,0.9997127752505447,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.93522279003377,0.000877270883097788,0.0,0.002075356365786718,0.0,0.0,3.331888568757253e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0,SEP,NODE,G1,38.148157745498914,0.02750317649037037,0.0,0.9782141782169934,0.0,0.0,0.9997455999416122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0282966760181855,0.0009204576766783595,0.0,0.0016978750008665295,0.0,0.0,9.883575781040873e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0,SH,EDGE,G0,19.925946793028324,0.027125805270152504,0.0,0.9762311086928105,0.3332441084008715,0.06966403185185185,0.0005350881640522877,0.4003704135577342,0.5987413197167757,0.15148739122875818,0.8485126108714597,0.0008458405981263617,0.2852663300217864,3.7145969498910674,0.1447076981721133,0.5374455337690632,0.6287761358823529,0.9978213507625272,0.0,1.0,0.0,0.0,0.0,0.0,3.8700970498297287,0.0007987283120915665,0.0,0.0026463526921739595,0.13501727908427422,0.01574856627194264,0.0006674056356224639,0.24966523825277873,0.24916532157799937,0.013317673451907885,0.013317674142848337,7.212833445174347e-05,0.07610584480344677,2.570791329672128,0.13220182942632766,0.28607208235262127,0.26241255314364403,0.003773531171174019,0.0,0.0,0.0,0.0,0.0,0.0
X0,SH,EDGE,G1,35.48199139119654,0.027133028349687532,0.0,0.9737588069850074,0.2417334466678133,0.05568973510499083,0.00018621286761695904,0.229910111535942,0.7695205421796526,0.1506175920205395,0.8493824087583132,0.0006566226795447768,0.23605016227883843,2.252379314298819,0.05349736544408612,0.32261656490081414,0.7556931411427876,0.6686545893667585,0.22176521512512903,0.7105200179173833,0.24539894588622288,0.0,0.0,0.0,15.86279241212534,0.0018290642821495063,0.0,0.0029787533372450515,0.08040338834280991,0.016753992906623605,0.00027545831369800466,0.1846029092103457,0.18445378205661994,0.003977601554220398,0.003977601910990864,0.00041287161992982377,0.04182319593733218,1.500199146368786,0.04620587239862716,0.2039052176032068,0.13601602996621442,0.13340559410875613,0.027205051221715564,0.03360980074070847,0.013585393479703644,0.0,0.0,0.0
X0,SH,NODE,G0,35.558139893261746,0.02738032597706194,0.0,0.9779820973182384,0.0,0.0,0.9995943226308746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.785900003725533,0.0008666587216974306,0.0,0.0009000950800028003,0.0,0.0,9.43663046758947e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X0,SH,NODE,G1,47.58381396296297,0.027178795496732022,0.0,0.9749166387581699,0.0,0.0,0.9997542633115467,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.022225860267362,0.0019105263802061366,0.0,0.005297600461290918,0.0,0.0,1.2765555569808007e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
X1,SEP,EDGE,G0,63.60024520261438,0.01334681958496732,0.1514161220043573,0.7622444718736383,0.1318980071938998,0.0227266219869281,0.0013435712859477126,0.025800185497385622,0.9624938297603487,0.1288855723006536,0.8711144281481481,0.0013179953039215684,0.17195982814814814,1.0326797385620914,0.011465142104575164,0.14202069716775598,0.900390170130719,0.3790849673202614,0.0,1.0,0.0,0.0,58.666666666666664,43.666666666666664,5.790672408933835,0.0003361080051679317,0.012526493063297301,0.013156299783435816,0.02133102314646984,0.005826647549672004,0.0011956353629110365,0.02003736135938491,0.021514777087196953,0.01416016621149978,0.014160167773257508,0.0009233013262970927,0.005344146264537296,0.04081698038168889,0.003729942860936711,0.04124063994809428,0.00707897943835956,0.1695571473342856,0.0,0.0,0.0,0.0,5.507570547286103,5.507570547286103
X1,SEP,EDGE,G1,63.687334400871464,0.013866017322440085,0.11601307189542483,0.8113726169063181,0.06863359196623094,0.02253581646819172,0.00011914488137254901,0.0188653153,0.9674415337908496,0.0672318379825708,0.9327681633986927,0.003068663466448802,0.1485294185751634,1.0283224400871458,0.00907770551851852,0.1111111111111111,0.7248314865141611,0.22245307233115472,0.0799559771023965,0.6853150526361657,0.244400332875817,0.0,109.0,93.0,13.267087768164748,0.0007572842709865484,0.03190461468916117,0.01800035031212026,0.008833036340163494,0.003026983060102118,0.00010494419399786126,0.014511754020475793,0.023385910804741294,0.008131715116908914,0.008131716037908254,0.0033556498845160017,0.003654284803876721,0.03353987868919522,0.006575900017401821,0.07682888555764512,0.24967246115464592,0.14459354479588324,0.04251456079291222,0.04176491677462922,0.01690002262507204,0.0,20.223748416156685,20.223748416156685
