run_name,representation,exploration_head,manager_objective,geometry,seed,wandb_name,state,observed_max_steps,aligned_start,aligned_end,window_rows,coverage_auc,dg_density,dg_silent_fraction,dg_usage_entropy,option_success,action_sensitivity,free_mode_fraction,goal_mode_fraction,probe_mode_fraction,probe_success_rate,probe_timeout_rate,promotion_rate,edge_reliability,largest_scc,reachable_pair_fraction,outgoing_node_fraction,top3_incoming_share,goal_loop_fraction,goal_straightness,probe_loop_fraction,probe_straightness,behavior_replay_mismatch,recruitment_total,repeat_total
CEE_X1_SEP_NODE_G0_S8,X1,SEP,NODE,G0,8,00_CEE_X1_SEP_NODE_G0_S8_20260903_204536_307882,crashed,39256064.0,26621120.0,31621120.0,153,52.58573683006536,0.012745776224836601,0.1809640522875817,0.763335127254902,0.0,0.0,0.9845983959477124,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,50.0
CEE_X1_SEP_NODE_G0_S99,X1,SEP,NODE,G0,99,00_CEE_X1_SEP_NODE_G0_S99_20260903_204536_751671,crashed,40042496.0,26621120.0,31621120.0,153,56.26797366666668,0.013676263179738562,0.16952614379084968,0.7817134841830066,0.0,0.0,0.9929278997385622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,55.0
CEE_X1_SEP_NODE_G0_S123,X1,SEP,NODE,G0,123,00_CEE_X1_SEP_NODE_G0_S123_20260903_204536_330784,crashed,39354370.0,26621120.0,31621120.0,153,42.53104667320262,0.012363408875163396,0.13766339869281047,0.7939300673202614,0.0,0.0,0.9926087620261438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,59.0
CEE_X1_SEP_NODE_G1_S8,X1,SEP,NODE,G1,8,00_CEE_X1_SEP_NODE_G1_S8_20260903_204601_685265,crashed,38535170.0,26621120.0,31621120.0,153,43.95356840522876,0.012316136548366014,0.1576797385620915,0.7700401450326797,0.0,0.0,0.9882493367320262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,50.0
CEE_X1_SEP_NODE_G1_S99,X1,SEP,NODE,G1,99,00_CEE_X1_SEP_NODE_G1_S99_20260903_204602_291735,crashed,39321600.0,26621120.0,31621120.0,153,44.57404390849673,0.013097426441830063,0.10089869281045752,0.8168630041830066,0.0,0.0,0.98247612751634,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,64.0
CEE_X1_SEP_NODE_G1_S123,X1,SEP,NODE,G1,123,00_CEE_X1_SEP_NODE_G1_S123_20260903_204557_334230,crashed,39583744.0,26621120.0,31621120.0,153,49.18221973202614,0.014681548107843138,0.12745098039215685,0.793395343856209,0.0,0.0,0.9790294373202616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,64.0
CEE_X1_SH_EDGE_G0_S8,X1,SH,EDGE,G0,8,00_CEE_X1_SH_EDGE_G0_S8_20260903_204537_916183,crashed,36667390.0,26621120.0,31621120.0,153,84.55993535294118,0.014415267238562091,0.1343954248366013,0.7995848974509804,0.11824835056862744,0.014463265630718954,3.1913807189542485e-06,0.004155177634967321,0.9902886283006536,0.12010707279084967,0.8798929304575165,0.0003463667679738562,0.1648933688235294,1.0,0.004084967640522876,0.059640522875817,0.7777777777777778,0.1503267973856209,0.0,1.0,0.0,0.0,41.0,26.0
CEE_X1_SH_EDGE_G0_S99,X1,SH,EDGE,G0,99,00_CEE_X1_SH_EDGE_G0_S99_20260903_204537_214781,crashed,36700160.0,26621120.0,31621120.0,153,77.19986150980392,0.014307358679738563,0.1454248366013072,0.786207734117647,0.1487473188496732,0.023956489542483663,0.0005361519594771243,0.031160641246405225,0.957535486862745,0.14080139471241832,0.8591986090196079,0.005971043238562091,0.17620309248366015,1.0065359477124183,0.01936274566666667,0.2540849673202614,0.9987311934640521,0.45751633986928103,0.0,1.0,0.0,0.0,67.0,52.0
CEE_X1_SH_EDGE_G0_S123,X1,SH,EDGE,G0,123,00_CEE_X1_SH_EDGE_G0_S123_20260903_204536_362576,crashed,37060610.0,26621120.0,31621120.0,153,68.20029086928105,0.01389467327124183,0.11356209150326797,0.796567482875817,0.10834613872549022,0.018226469065359477,0.00044360191797385623,0.0005425347199346406,0.994198068627451,0.10970376753594772,0.8902962320915034,0.0003056169823529412,0.16326138307189544,1.0,0.005773420745098039,0.07516339869281045,0.5816993464052288,0.0784313725490196,0.0,1.0,0.0,0.0,63.0,48.0
CEE_X1_SH_EDGE_G1_S8,X1,SH,EDGE,G1,8,00_CEE_X1_SH_EDGE_G1_S8_20260903_204536_382554,crashed,35979264.0,26621120.0,31621120.0,153,75.58703884313725,0.014173719562745098,0.1213235294117647,0.8284830530718954,0.06259065003267975,0.017160424258169934,0.0003670087843137255,0.020396114238888888,0.960998136013072,0.06157919378431373,0.9384208040522876,0.002287630081045752,0.13423278166666666,1.0,0.0052015253398692805,0.068218954248366,0.6762585373856208,0.19475214202614377,0.08539363104575164,0.603170380130719,0.2833141553594771,0.0,201.0,185.0
CEE_X1_SH_EDGE_G1_S99,X1,SH,EDGE,G1,99,00_CEE_X1_SH_EDGE_G1_S99_20260903_204536_307617,crashed,35553280.0,26621120.0,31621120.0,153,60.07020496732026,0.012907738799346405,0.13848039215686275,0.7997259743790849,0.06766800521568628,0.0199883428627451,0.00022658802777777778,0.03393395128104575,0.940697764117647,0.06331541204575164,0.9366845864052289,0.006642338201960784,0.13882153588235294,1.0196078431372548,0.00789760388235294,0.10294117647058823,0.7821825499346405,0.2552083330718954,0.09937547725490196,0.6702009492156863,0.2525481439869281,0.0,146.0,130.0
CEE_X1_SH_EDGE_G1_S123,X1,SH,EDGE,G1,123,00_CEE_X1_SH_EDGE_G1_S123_20260903_204536_480007,crashed,35487744.0,26621120.0,31621120.0,153,62.00844279084967,0.01216115515359477,0.12214052287581699,0.7700607152287582,0.06667341564379084,0.019862736006535944,0.0023456648369281044,0.017629187104901963,0.9733328230065362,0.06549784292156863,0.9345021568627452,0.0010399424450980395,0.15777307732026144,1.0130718954248366,0.0041394337647058825,0.053513071895424834,0.46253927385620913,0.13998720183006533,0.056407166274509805,0.6932729005882353,0.23880228509803922,0.0,125.0,109.0
CEE_X1_SH_NODE_G0_S8,X1,SH,NODE,G0,8,00_CEE_X1_SH_NODE_G0_S8_20260903_204523_336731,crashed,39092224.0,26621120.0,31621120.0,153,33.884936562091504,0.012676762585620914,0.1111111111111111,0.7854562790849673,0.0,0.0,0.983139935359477,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,61.0
CEE_X1_SH_NODE_G0_S99,X1,SH,NODE,G0,99,00_CEE_X1_SH_NODE_G0_S99_20260903_204527_358187,crashed,38993920.0,26621120.0,31621120.0,153,56.03514494117646,0.013587901816339867,0.16380718954248366,0.78662978,0.0,0.0,0.9911151960784313,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,53.0
CEE_X1_SH_NODE_G0_S123,X1,SH,NODE,G0,123,00_CEE_X1_SH_NODE_G0_S123_20260903_204528_042157,crashed,39747584.0,26621120.0,31621120.0,153,45.40328244444444,0.013591891032026146,0.14501633986928106,0.7643156908496732,0.0,0.0,0.9942778529411763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,52.0
CEE_X1_SH_NODE_G1_S8,X1,SH,NODE,G1,8,00_CEE_X1_SH_NODE_G1_S8_20260903_204528_208908,crashed,39026690.0,26621120.0,31621120.0,153,41.697321137254896,0.01237098840522876,0.10866013071895425,0.809902237124183,0.0,0.0,0.9888588903267974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,50.0
CEE_X1_SH_NODE_G1_S99,X1,SH,NODE,G1,99,00_CEE_X1_SH_NODE_G1_S99_20260903_204526_630459,crashed,39256064.0,26621120.0,31621120.0,153,42.54781430065359,0.01254890792875817,0.13684640522875818,0.7768180282352941,0.0,0.0,0.984563290130719,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,51.0
CEE_X1_SH_NODE_G1_S123,X1,SH,NODE,G1,123,00_CEE_X1_SH_NODE_G1_S123_20260903_204526_526312,crashed,38666240.0,26621120.0,31621120.0,153,38.567494065359476,0.012639463333986928,0.10498366013071896,0.7962888852287583,0.0,0.0,0.9843462766666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,56.0
