contrast,metric,n_pairs,mean_delta,sd_delta,positive_pairs,negative_pairs
FILM-LEG,deferred_updates_total,18,-0.1111111111111111,0.4714045207910317,0,1
DIRO-MON,coverage_auc,12,3.9624723500000005,13.023858293532653,8,4
DIRO-MON,dg_density,12,-0.0001988728333333327,0.0024400762319481853,7,5
DIRO-MON,dg_silent_fraction,12,0.0,0.0,0,0
DIRO-MON,dg_usage_entropy,12,0.00032611133333335096,0.004477705148849984,7,5
DIRO-MON,spatial_information,12,-0.005188425000000003,0.04778186994451457,7,5
DIRO-MON,active_map_cosine,12,0.013486875750000002,0.04461304655927459,7,5
DIRO-MON,mono_field_fraction,12,0.036458333333333336,0.16959664157445256,3,3
DIRO-MON,active_unit_fraction,12,0.0,0.0,0,0
DIRO-MON,unique_peak_bins,12,-0.4166666666666667,0.90033663737852,2,6
DIRO-MON,path_efficiency,12,0.019492785833333335,0.07221018817556671,7,5
DIRO-MON,option_success,12,0.022054489833333343,0.09955449106429352,6,6
DIRO-MON,action_probability_tv,12,0.0001365179097499999,0.001884788464638275,7,5
DIRO-MON,action_sensitivity,12,0.0007480668413333338,0.0058213425194683175,7,5
DIRO-MON,target_hit_rate_aggregated,12,0.0015132701910507357,0.006315411849239457,9,3
DIRO-MON,shuffled_hit_rate_aggregated,12,0.0018367272767724088,0.006223784915542657,8,4
DIRO-MON,target_hit_rate_delta,12,-0.0003234570857216731,0.0003938963367276985,3,9
DIRO-MON,target_hit_advantage,12,-0.019947981746383348,0.019767178149460603,2,10
DIRO-MON,largest_scc,12,0.45,1.429876027684028,8,3
DIRO-MON,reachable_pair_fraction,12,0.025347224166666644,0.08584359987208331,8,4
DIRO-MON,outgoing_node_fraction,12,0.0010416666666666723,0.009912018263734477,2,2
DIRO-MON,top3_incoming_share,12,-0.002025556833333303,0.07414669627018393,6,6
DIRO-MON,reliable_global_efficiency,12,0.01913227733333335,0.06920422219179574,7,5
DIRO-MON,grounded_controllability,12,0.009911521533333335,0.044143948838047495,3,1
DIRO-MON,attempt_coverage,12,0.006666669333333365,0.02514855056168602,7,5
DIRO-MON,fully_tested_count,12,0.5000000000000001,2.9658664225422617,7,5
DIRO-MON,predictive_gap,12,-0.031092262000000048,0.10845779130700592,4,8
DIRO-MON,credit_replay_match,12,0.0018480195000000477,0.004636090292612938,8,4
DIRO-MON,behavior_replay_mismatch,12,0.0,0.0,0,0
DIRO-MON,stale_generation_fraction,12,0.0,0.0,0,0
DIRO-MON,recruitment_total,12,0.0,0.0,0,0
DIRO-MON,repeat_total,12,0.0,0.0,0,0
DIRO-MON,goal_adapter_reset_total,12,0.0,0.0,0,0
DIRO-MON,dropped_rollouts_total,12,0.0,0.0,0,0
DIRO-MON,dropped_decisions_total,12,0.0,0.0,0,0
DIRO-MON,deferred_updates_total,12,0.0,0.0,0,0
PREDO-MON,coverage_auc,12,0.44351508333333545,12.313584304170922,7,5
PREDO-MON,dg_density,12,-0.0010106404666666662,0.0018285939745123316,2,10
PREDO-MON,dg_silent_fraction,12,0.0,0.0,0,0
PREDO-MON,dg_usage_entropy,12,-0.00023397899999999527,0.0032048965962499696,7,5
PREDO-MON,spatial_information,12,0.0021085604166666667,0.03737044342254175,6,6
PREDO-MON,active_map_cosine,12,-0.015015025916666667,0.05470785481136561,5,7
PREDO-MON,mono_field_fraction,12,-0.015972221666666665,0.08840322761277955,2,5
PREDO-MON,active_unit_fraction,12,0.0,0.0,0,0
PREDO-MON,unique_peak_bins,12,-0.16666666666666666,0.5773502691896258,1,3
PREDO-MON,path_efficiency,12,0.005649968333333336,0.08712031549697594,8,4
PREDO-MON,option_success,12,-0.020721283166666663,0.08468777121631735,3,9
PREDO-MON,action_probability_tv,12,-2.879722938333331e-05,0.0008148397596454326,6,6
PREDO-MON,action_sensitivity,12,0.0011614453608333336,0.006681186327090506,8,4
PREDO-MON,target_hit_rate_aggregated,12,-0.0006670027948072723,0.008693563729310978,5,7
PREDO-MON,shuffled_hit_rate_aggregated,12,-0.0005188314988949309,0.008799518772247869,5,7
PREDO-MON,target_hit_rate_delta,12,-0.0001481712959123417,0.00034682991100178296,5,7
PREDO-MON,target_hit_advantage,12,-0.006481955643321213,0.02066105481838333,6,6
PREDO-MON,largest_scc,12,0.25,1.549486718532654,7,5
PREDO-MON,reachable_pair_fraction,12,0.013958333333333342,0.09186626334740197,7,5
PREDO-MON,outgoing_node_fraction,12,-0.004166666666666652,0.011095317057482427,2,5
