run_name,condition,base,seed,worker_outcome,ppo_dg_gradient,goal_conditioning,project,training_steps,preflight_steps,family,policy_id,target_env_steps,actual_env_steps,window_limit,scalar_window_limit,environment,frameskip,snapshot_path,valid_sample_count,in_bounds_fraction,visited_cell_fraction,active_unit_fraction,silent_unit_fraction,active_unit_mean_spatial_information,active_only_map_cosine,unique_active_peak_bins,mean_physical_step_distance,stationary_step_fraction,path_efficiency,mean_absolute_circular_yaw_change,mono_field_unit_fraction,mean_primary_secondary_peak_distance,median_dominant_peak_nearest_neighbor_distance,graph_available,graph_reliable_edge_count,graph_reliable_edge_density,graph_largest_weak_component_size,graph_largest_strong_component_size,graph_reachable_pair_fraction,graph_mean_reachable_shortest_path_hops,graph_median_reachable_shortest_path_hops,graph_reliable_global_efficiency,graph_undirected_clustering,graph_directed_reciprocity,graph_small_world_propensity,graph_max_total_degree_fraction,graph_degree_herfindahl,graph_spatial_endpoint_valid_fraction,graph_reliable_edge_peak_distance_mean,graph_tctrl_peak_distance_correlation,graph_tctrl_peak_distance_pair_count,graph_prospective_attempt_count,graph_prospective_success_count,graph_prospective_success_fraction,graph_grounded_controllability
DGP_C15_FIRST_JOINT_FILM_S99,DGP_C15_FIRST_JOINT_FILM,C15,99,first_distinct,joint,target_id_film,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,50000000,50003968,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_FILM_S99/policy_00/snapshot_target_000050000000_actual_000050003968.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.12868642807006836,0.2656561713770922,11.0,32.1144905090332,0.028503997884071534,0.12971712108805056,16.78118133544922,0.0625,1294.067138671875,0.0,1,5.0,0.02083333395421505,3.0,1.0,0.02916666679084301,1.2857142686843872,1.0,0.02500000037252903,0.0,0.0,1.0,0.20000000298023224,0.14000000059604645,0.0,0.0,0.0,0.0,13517.0,8694.0,0.6431900858879089,0.0
DGP_C15_FIRST_JOINT_FILM_S99,DGP_C15_FIRST_JOINT_FILM,C15,99,first_distinct,joint,target_id_film,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_FILM_S99/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.13182464241981506,0.20908045774698997,16.0,32.86919403076172,0.017568488621682383,0.08784307757843363,16.85028076171875,0.0,1106.90966796875,100.0,1,4.0,0.01666666753590107,3.0,1.0,0.02083333395421505,1.2000000476837158,1.0,0.01875000074505806,0.0,0.0,1.0,0.25,0.15625,0.0,0.0,0.0,0.0,20705.0,13827.0,0.6678097248077393,0.0
DGP_C15_FIRST_JOINT_LEG_S123,DGP_C15_FIRST_JOINT_LEG,C15,123,first_distinct,joint,legacy,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,5000000,5013504,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_LEG_S123/policy_00/snapshot_target_000005000000_actual_000005013504.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.05328894406557083,0.3135474478110575,16.0,35.841163635253906,0.01469047255709853,0.15459625605850194,14.5667085647583,0.0,962.0645751953125,211.80340576171875,1,5.0,0.02083333395421505,5.0,1.0,0.0416666679084301,1.7000000476837158,1.5,0.02986111119389534,0.0,0.0,0.5611377358436584,0.30000001192092896,0.18000000715255737,0.0,0.0,0.0,0.0,377.0,185.0,0.49071618914604187,0.0
DGP_C15_FIRST_JOINT_LEG_S123,DGP_C15_FIRST_JOINT_LEG,C15,123,first_distinct,joint,legacy,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,25000000,25001984,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_LEG_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.11766563355922699,0.16657044154479686,15.0,33.52396011352539,0.01628174227863034,0.08502480540786499,16.589630126953125,0.125,1324.1639404296875,200.0,1,3.0,0.012500000186264515,4.0,1.0,0.01666666753590107,1.25,1.0,0.014583333395421505,0.0,0.0,0.2928932309150696,0.3333333432674408,0.2777777910232544,0.0,0.0,0.0,0.0,7413.0,4298.0,0.5797922611236572,0.0
DGP_C15_FIRST_JOINT_LEG_S123,DGP_C15_FIRST_JOINT_LEG,C15,123,first_distinct,joint,legacy,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,50000000,50003968,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_LEG_S123/policy_00/snapshot_target_000050000000_actual_000050003968.npz,100000.0,1.0,0.8781163434903048,1.0,0.0,0.1767626404762268,0.1027074302609104,16.0,34.02555465698242,0.010283273152621675,0.09864077150109954,16.823471069335938,0.0625,1169.5919189453125,170.71067810058594,1,5.0,0.02083333395421505,5.0,1.0,0.04583333432674408,1.9090908765792847,2.0,0.03090277686715126,0.0,0.0,0.6372650861740112,0.20000000298023224,0.1599999964237213,0.0,0.0,0.0,0.0,13676.0,7536.0,0.5510383248329163,0.0
DGP_C15_FIRST_JOINT_LEG_S123,DGP_C15_FIRST_JOINT_LEG,C15,123,first_distinct,joint,legacy,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_LEG_S123/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8559556786703602,1.0,0.0,0.17058387398719788,0.08017962226333776,16.0,33.44132995605469,0.015612762797888462,0.09055468786972885,16.85407066345215,0.125,994.4712524414062,141.42135620117188,1,5.0,0.02083333395421505,5.0,1.0,0.04583333432674408,1.9090908765792847,2.0,0.03090277686715126,0.0,0.0,0.6372650861740112,0.20000000298023224,0.1599999964237213,0.0,0.0,0.0,0.0,21592.0,11710.0,0.5423305034637451,0.0
DGP_C15_FIRST_JOINT_LEG_S8,DGP_C15_FIRST_JOINT_LEG,C15,8,first_distinct,joint,legacy,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,5000000,5013504,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_LEG_S8/policy_00/snapshot_target_000005000000_actual_000005013504.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.0456676259636879,0.36448009856434943,16.0,34.51743698120117,0.023638472810159558,0.2325054172670952,12.25387191772461,0.0,1300.3516845703125,300.0,1,1.0,0.004166666883975267,2.0,1.0,0.004166666883975267,1.0,1.0,0.004166666883975267,0.0,0.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,192.0,65.0,0.3385416567325592,0.0
DGP_C15_FIRST_JOINT_LEG_S8,DGP_C15_FIRST_JOINT_LEG,C15,8,first_distinct,joint,legacy,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,25000000,25001984,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_LEG_S8/policy_00/snapshot_target_000025000000_actual_000025001984.npz,100000.0,1.0,0.8781163434903048,1.0,0.0,0.12582792341709137,0.2074939590025602,15.0,33.24642562866211,0.014787092312542587,0.07939966488327008,16.36882209777832,0.0625,1111.1151123046875,100.0,1,4.0,0.01666666753590107,3.0,1.0,0.02500000037252903,1.3333333730697632,1.0,0.02083333395421505,0.0,0.0,0.8348843455314636,0.25,0.1875,0.0,0.0,0.0,0.0,4320.0,2511.0,0.581250011920929,0.0
DGP_C15_FIRST_JOINT_LEG_S8,DGP_C15_FIRST_JOINT_LEG,C15,8,first_distinct,joint,legacy,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,50000000,50003968,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_LEG_S8/policy_00/snapshot_target_000050000000_actual_000050003968.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.140268012881279,0.17590894635567675,15.0,32.7396240234375,0.0153900925643373,0.0864433429874236,16.43694305419922,0.0625,1182.038330078125,100.0,1,6.0,0.02500000037252903,5.0,1.0,0.05000000074505806,1.8333333730697632,1.5,0.03506944328546524,0.0,0.0,0.9499064087867737,0.1666666716337204,0.125,0.0,0.0,0.0,0.0,12373.0,7580.0,0.6126242876052856,0.0
DGP_C15_FIRST_JOINT_LEG_S8,DGP_C15_FIRST_JOINT_LEG,C15,8,first_distinct,joint,legacy,SF_IntrMotiv_DGPolicyGradientFirstOutcome,75000000,5000000,c15_arr_mon_legacy_bn_local_successor,0,75000000,75005952,100000,10000,openfield_map2_fixed_loc3_fixedlength_noreward,8,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_dg_policy_gradient_first_outcome_20260906/DGP_C15_FIRST_JOINT_LEG_S8/policy_00/snapshot_target_000075000000_actual_000075005952.npz,100000.0,1.0,0.8808864265927978,1.0,0.0,0.14554864168167114,0.1950560663288386,13.0,32.7336540222168,0.01676381132574486,0.11002094560214414,16.462888717651367,0.125,1213.1671142578125,100.0,1,5.0,0.02083333395421505,3.0,1.0,0.02500000037252903,1.1666666269302368,1.0,0.02291666716337204,0.0,0.0,1.0,0.20000000298023224,0.11999999731779099,0.0,0.0,0.0,0.0,20139.0,12213.0,0.6064352989196777,0.0
