base,openness,accessible_coverage_auc__mean,accessible_coverage_auc__sd,accessible_coverage_auc__n,coverage_auc__mean,coverage_auc__sd,coverage_auc__n,accessible_coverage_fraction__mean,accessible_coverage_fraction__sd,accessible_coverage_fraction__n
DGP,0.0,0.023386291110907387,0.0009837928037822424,3,4.6538719241384685,0.1957747505197501,3,0.025804113035893163,0.0020440618255541496,3
DGP,0.35,0.06404941749511588,0.02005219148335752,3,16.92587985210731,5.384156911196318,3,0.07585426940631494,0.0245421209310512,3
DGP,0.75,0.1066525182336907,0.09853075531494683,3,34.691500757639886,32.37699360565075,3,0.1309192966039844,0.1154392656019951,3
SAT,0.0,0.0269561559023994,0.006115894154391303,3,5.364275035440552,1.2170629464543303,3,0.0300153130273793,0.006509634782394476,3
SAT,0.35,0.059175387392728505,0.0038314950284294826,3,15.62468110934573,1.1000626708329762,3,0.07042476601977894,0.005753573819066584,3
SAT,0.75,0.1396554572525002,0.021000950401987382,3,45.110509165231285,6.381822180471566,3,0.18655501338039435,0.03602593288464396,3
WAYPOINT_HER,0.0,0.07032717099684231,0.0051237685707173465,3,13.995107047595914,1.0196300132900715,3,0.10637048446032915,0.008950236410632157,3
WAYPOINT_HER,0.35,0.1285694423134199,0.0023648426739478353,3,33.94345056528024,0.9249244984900648,3,0.2202803395283337,0.004792723720176186,3
WAYPOINT_HER,0.75,0.1580661685973809,0.002422632178385209,3,51.113242284429134,1.2945722601176488,3,0.27860716607697134,0.006454986093989886,3
