family,run,condition,seed,window_low_m,window_high_m,n_behavior,n_spatial,train/env_steps,coverage_auc,dg_density,silent_fraction,usage_entropy,option_success,action_tv,action_sensitivity,target_num,target_count,shuffle_num,shuffle_count,correct,wrong,timeout,command_entropy,pair_coverage,candidate_pairs,candidate_sources,candidate_count,behavior_candidate_count,commanded_num,commanded_count,first_shuffle_num,first_shuffle_count,largest_scc,reachable_pairs,top3_incoming,ppo_dg_norm,encoder_dg_norm,gradient_ratio,gradient_cosine,row_conflict,env_steps,grounded_controllability,in_bounds_fraction,valid_sample_count,active_unit_fraction,silent_unit_fraction,visited_cell_fraction,active_only_map_cosine,unique_active_peak_bins,mono_field_unit_fraction,active_unit_mean_spatial_information,mean_primary_secondary_peak_distance,median_dominant_peak_nearest_neighbor_distance,hit_lift,first_lift
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S8,DGP_C15_HIT_STOP_LEG,8,5,15,305,10,9994240.0,64.98331772131148,0.032782882950819665,0.0,0.9952543013442623,0.5295564285245901,0.00020700223777049185,0.0009681301826557377,20.885245901639344,829.9147540983606,20.2,802.2459016393443,19.475409836065573,0.0,17.9672131147541,0.9944990966885245,1.0,240.0,1.0,15.0,15.0,19.475409836065573,19.475409836065573,0.0,19.475409836065573,16.0,1.0,0.25797166186885245,0.0,0.12648656633442623,0.0,0.0,0.0,10485760.0,0.0032440982899999997,1.0,10000.0,1.0,0.0,0.8393351690000002,0.150792003,15.2,0.06875,0.11597157440000001,1154.1397000000002,159.787086,0.9994526991589578,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S8,DGP_C15_HIT_STOP_LEG,8,20,25,152,5,22495232.0,50.02755824342105,0.029445648243421055,0.0,0.993764395394737,0.5063113301973684,0.0003210404995855263,0.0022299279085526316,18.875,893.0986842105264,18.105263157894736,866.1842105263158,18.335526315789473,0.0,18.361842105263158,0.9950896334868421,1.0,240.0,1.0,15.0,15.0,18.335526315789473,18.335526315789473,0.0,18.335526315789473,15.953947368421053,0.9971217105263158,0.28712926381578946,0.0,0.1510071866513158,0.0,0.0,0.0,22976921.6,0.0,1.0,10000.0,1.0,0.0,0.76177284,0.129341014,15.8,0.0375,0.131354468,1237.8660139999997,158.28427200000002,1.0110972564680238,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S8,DGP_C15_HIT_STOP_LEG,8,45,55,305,10,50003968.0,40.76495070163934,0.026264828547540985,0.0,0.9928686416065574,0.49375886872131153,0.00036870351672459016,0.005031996547868852,18.068852459016394,957.9606557377049,17.619672131147542,931.872131147541,17.560655737704916,0.0,18.308196721311475,0.9941411884918032,1.0,240.0,1.0,15.0,15.0,17.560655737704916,17.560655737704916,0.0,17.560655737704916,15.58688524590164,0.9741803278688524,0.29975807065573773,0.0,0.20545929540983607,0.0,0.0,0.0,50479104.0,0.0038437379699999994,1.0,10000.0,1.0,0.0,0.705817184,0.0978806904,15.4,0.125,0.14084486899999998,1161.7697329999999,162.71602000000001,0.9975654520117399,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S8,DGP_C15_HIT_STOP_LEG,8,55,65,305,10,59998208.0,38.69325067868853,0.026832755678688522,0.0,0.9929247177377051,0.5036167625245901,0.00031402535519344264,0.005562846510491804,18.524590163934427,939.0,18.036065573770493,912.6918032786886,17.908196721311477,0.0,18.18360655737705,0.9938944546885246,1.0,240.0,1.0,15.0,15.0,17.908196721311477,17.908196721311477,0.0,17.908196721311477,15.895081967213114,0.9934426229508196,0.29188330665573775,0.0,0.20918819301639346,0.0,0.0,0.0,60486451.4,0.00107646943,1.0,10000.0,1.0,0.0,0.660110811,0.101591863,15.0,0.06875,0.13709344500000004,1190.97338,161.502816,0.9983098606961751,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S8,DGP_C15_HIT_STOP_LEG,8,65,75,305,10,69992448.0,36.31846191147541,0.026899994429508193,0.0,0.9924105626229508,0.5207162800655738,0.0003246224306491803,0.006146191488196721,19.131147540983605,888.7967213114754,18.685245901639345,861.8590163934426,18.524590163934427,0.0,17.619672131147542,0.9937101072459017,1.0,240.0,1.0,15.0,15.0,18.524590163934427,18.524590163934427,0.0,18.524590163934427,15.99344262295082,0.9995901639344262,0.2756830327868853,0.0,0.2240069357704918,0.0,0.0,0.0,70483968.0,0.0010713973499999999,1.0,10000.0,1.0,0.0,0.706094164,0.09551661659999999,15.2,0.05625,0.135968802,1216.70493,158.038496,0.9928325085486636,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S8,DGP_C15_HIT_STOP_LEG,8,70,75,152,5,72499200.0,36.110369684210525,0.026753275032894732,0.0,0.9920170387500001,0.5266044561842105,0.0003401621277105263,0.006095569384210527,19.282894736842106,891.9605263157895,18.86842105263158,864.8486842105264,18.611842105263158,0.0,17.223684210526315,0.9932934282894736,1.0,240.0,1.0,15.0,15.0,18.611842105263158,18.611842105263158,0.0,18.611842105263158,16.0,1.0,0.27317021651315787,0.0,0.22787316236842103,0.0,0.0,0.0,72980890.0,0.00077459216,1.0,10000.0,1.0,0.0,0.71689748,0.09186184,15.4,0.0625,0.13817588,1210.0774,188.92922400000003,0.9909030503893728,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S99,DGP_C15_HIT_STOP_LEG,99,5,15,305,10,9994240.0,76.66283547213115,0.0343914094557377,0.0,0.9908333797049181,0.5186904919344262,0.0001696312583737705,0.0005290210029180327,20.459016393442624,880.327868852459,19.672131147540984,853.2295081967213,18.82295081967213,0.0,17.927868852459017,0.9950306455409835,1.0,240.0,1.0,15.0,15.0,18.82295081967213,18.82295081967213,0.0,18.82295081967213,15.01311475409836,0.9383196721311475,0.2698650732786885,0.0,0.12879621760655738,0.0,0.0,0.0,10485760.0,0.00038895309999999997,1.0,10000.0,1.0,0.0,0.867590021,0.15062733900000003,15.2,0.03125,0.1130849621,1147.7052150000002,195.109562,1.007986592178771,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S99,DGP_C15_HIT_STOP_LEG,99,20,25,152,5,22495232.0,51.368740855263155,0.02966107821710526,0.0,0.9939902507236841,0.5067418419736842,0.000155630686375,0.0012727805544078946,18.664473684210527,905.7171052631579,18.210526315789473,879.2565789473684,18.29605263157895,0.0,18.355263157894736,0.993735946513158,1.0,240.0,1.0,15.0,15.0,18.29605263157895,18.29605263157895,0.0,18.29605263157895,15.921052631578947,0.9950657894736842,0.2829138067105263,0.0,0.12260726916447369,0.0,0.0,0.0,22976921.6,0.0049332021,1.0,10000.0,1.0,0.0,0.7822714660000001,0.10554111,15.2,0.125,0.15799662200000003,1143.90346,137.96691,0.994984480346741,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S99,DGP_C15_HIT_STOP_LEG,99,45,55,305,10,50003968.0,43.63980401311475,0.025794257501639346,0.0,0.9879300392459016,0.47164275790163934,0.00022766326836065574,0.003541555435409836,16.74754098360656,1021.639344262295,16.131147540983605,996.3737704918033,16.41967213114754,0.0,18.888524590163936,0.994135566590164,1.0,240.0,1.0,15.0,15.0,16.41967213114754,16.41967213114754,0.0,16.41967213114754,13.60327868852459,0.8546311323934426,0.31194271229508197,0.0,0.1592540625737705,0.0,0.0,0.0,50479104.0,0.0,1.0,10000.0,1.0,0.0,0.764542941,0.10673136629999999,14.5,0.05625,0.163619401,1347.8602299999998,105.32247499999998,1.0125359748270137,
dg_policy_gradient_first_outcome,DGP_C15_HIT_STOP_LEG_S99,DGP_C15_HIT_STOP_LEG,99,55,65,305,10,59998208.0,43.575680747540986,0.026302150045901636,0.0,0.9873025269508195,0.46574928281967215,0.0002624474993409836,0.003995143597704918,16.688524590163933,1036.5475409836065,16.23934426229508,1011.6131147540983,16.124590163934425,0.0,18.937704918032786,0.9944654884590163,1.0,240.0,1.0,15.0,15.0,16.124590163934425,16.124590163934425,0.0,16.124590163934425,13.731147540983606,0.8614480786229508,0.32621338367213115,0.0,0.17327622675409837,0.0,0.0,0.0,60486451.4,0.0,1.0,10000.0,1.0,0.0,0.763434891,0.1037349832,14.5,0.0625,0.164280521,1341.6667599999998,56.213204,1.002939369868698,
