frame_bin,mean,count,base,openness,map_seed,run_name
2,0.05262225197286016,49,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
4,0.03015799126920419,112,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
6,0.02892516836847943,207,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
8,0.02684092044758332,207,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
10,0.026558801795287787,205,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
12,0.02698722594587375,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
14,0.025716695532787028,204,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
16,0.024907273850564248,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
18,0.023732448666553732,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
20,0.02385774709908241,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
22,0.024673755961255338,208,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
24,0.0253757260758064,204,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
26,0.025167811414217662,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
28,0.0242279464186265,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
30,0.02501888193371814,205,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
32,0.025629462272513094,204,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
34,0.025682608665797454,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
36,0.02662497700429425,204,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
38,0.0259471888484185,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
40,0.026793603611854313,204,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
42,0.026865767525034143,204,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
44,0.031087039267928683,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
46,0.027661926282817464,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
48,0.028220398131335846,203,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
50,0.028583046605847002,204,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
52,0.02777366070121378,209,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
54,0.027170063717765487,204,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
56,0.028226038938370095,206,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
58,0.027086928201634292,209,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
60,0.028962514245683652,206,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
62,0.02891031362441843,206,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
64,0.030932041508986485,206,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
66,0.02940715777413276,207,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
68,0.027250686963422966,209,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
70,0.030171885298421703,208,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
72,0.0325360480321651,209,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
74,0.030919730228682305,210,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
76,0.027979707407751676,209,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
78,0.026660712897067933,210,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
80,0.028513240067385343,211,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
82,0.029445879831561935,214,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
84,0.02982620306845218,210,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
86,0.031850480764177375,209,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
88,0.030550373021911024,206,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
90,0.02872187560152945,206,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
92,0.029299246503762033,209,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
94,0.030140547995411156,210,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
96,0.030429024204754324,209,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
98,0.02779324890247408,210,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
100,0.026999724053201175,210,SAT,0.0,1001,COR_SAT_Q000_M1001_S99
2,0.06234143595793282,128,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
4,0.04634208269256014,231,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
6,0.03347031415694134,220,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
8,0.034318598318998084,219,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
10,0.029468098076987435,219,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
12,0.026206670244308988,220,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
14,0.027106981069597982,219,SAT,0.0,1002,COR_SAT_Q000_M1002_S99
