base,map_seed,openness,reference_openness,accessible_coverage_auc,coverage_auc,accessible_coverage_fraction,mean_accessible_cells_visited,active_only_map_cosine,silent_unit_fraction,unique_active_peak_bins,active_unit_mean_spatial_information,graph_reliable_edge_count,graph_largest_strong_component_size,stationary_step_fraction,graph_reachable_pair_fraction,graph_prospective_success_fraction
DGP,1001,0.0,0.75,-0.0293455290750193,-12.372894083164628,-0.0398054881316357,-15.864327951512093,-0.020666719849317394,0.0,-2.0,0.0386471599340439,-37.0,0.0,-0.2289898931515803,0.0,0.035126328468322754
DGP,1001,0.35,0.75,-0.012565043176326798,-6.410522480666776,-0.017566833587033398,-8.396274587261605,0.07152539002253133,0.0,0.0,-0.03571734949946399,-31.0,0.0,-0.002876571695754282,0.0,0.07213783264160156
DGP,1002,0.0,0.75,-0.19804906402318428,-67.6157825596316,-0.24015525904106758,-81.61023659702678,0.41247766803624175,0.0,-6.0,-0.076290724799037,14.0,0.0,0.4228373421130181,0.0,0.07887697219848633
DGP,1002,0.35,0.75,-0.1429951869495517,-51.245651628404175,-0.17522349556391448,-62.45950876587699,0.022051189136439664,0.0,-3.0,-0.003274984657764504,10.0,0.0,0.0212283891539765,0.0,-0.004739224910736084
DGP,1003,0.0,0.75,-0.0224040882701463,-10.124209857708031,-0.0353848035315706,-14.844381608172354,0.12250387159281473,0.0,0.0,-0.0323387272655964,-8.0,0.0,0.4174370106818796,0.0,0.075420081615448
DGP,1003,0.35,0.75,0.027750927910154093,4.359311392473213,0.027595247557939392,3.241642789989708,-0.12890555874912962,0.0,2.0,0.0130713135004044,3.0,0.0,0.029448364961224903,0.0,0.030836641788482666
SAT,1001,0.0,0.75,-0.12473097319293092,-43.46650966980479,-0.1782474001393241,-60.89793269194293,0.07998851522575681,0.0,3.0,-0.009291544556617681,7.0,-2.0,0.063669940824928,-0.125,0.10100287199020391
SAT,1001,0.35,0.75,-0.09807661964349662,-34.65818927113007,-0.1446056758940087,-50.119396069342415,0.0429625660301462,0.0,3.0,-0.043896019458770696,19.0,0.0,-0.0211937066490211,0.0,0.03158771991729742
SAT,1002,0.0,0.75,-0.0950866849076343,-33.6981555019196,-0.12154361297334701,-42.74387746053873,0.4200676173191503,0.0,1.0,-0.0917394682765007,24.0,0.0,0.571869887304765,0.0,0.1312972605228424
SAT,1002,0.35,0.75,-0.053993818455261904,-21.21966935689031,-0.07177703647558172,-27.716526810157067,-0.008192921551015891,0.0,0.0,-0.0037336349487304965,16.0,0.0,-0.0009151341334488992,0.0,0.022428542375564575
SAT,1003,0.0,0.75,-0.11828024594973731,-42.07403721764781,-0.169828087946374,-59.16764635566676,0.02121658548106442,0.0,0.0,0.014581561088562095,14.0,0.0,0.0807031774314983,0.0,0.02470403909683233
SAT,1003,0.35,0.75,-0.08936977148055661,-32.5796255396363,-0.1320080297122558,-47.11115378184486,0.004248463571979222,0.0,0.0,0.0023163706064224937,21.0,-1.0,0.009399024885093001,-0.0625,0.012018680572509821
WAYPOINT_HER,1001,0.0,0.75,-0.09105070641134821,-37.17198032012731,-0.1748618180464579,-67.9703225234891,0.0699022409042519,0.0,-3.0,0.0030753761529922,14.0,0.0,0.06449547159454769,0.0059523810632527,0.021721959114074707
WAYPOINT_HER,1001,0.35,0.75,-0.030330813371768905,-17.034934973183212,-0.05715562795377779,-30.802615417992342,0.0398873592226161,0.0,-6.0,-0.006952233612537398,5.0,-1.0,-0.04170862638720729,0.0019841268658638,0.0064348578453063965
WAYPOINT_HER,1002,0.0,0.75,-0.0902986150715475,-38.551284927226206,-0.1776152429516864,-71.79817053205684,0.1108575194485174,-0.0625,3.0,-0.006294500082731202,17.0,1.0,0.05979847339094088,0.0064484130125493,0.09662699699401855
WAYPOINT_HER,1002,0.35,0.75,-0.030944136175292014,-17.650128218526277,-0.061509583004098894,-33.06372436490677,0.05773998910296163,-0.0625,-3.0,-0.004247285425663001,9.0,0.0,-0.04996790976507122,0.0034722222480923,0.020195484161376953
WAYPOINT_HER,1003,0.0,0.75,-0.0818676713187202,-35.63114046314617,-0.1642329838517823,-67.01487683161034,0.11708707356188117,0.0,-4.0,0.005059445276856398,8.0,1.0,0.020103262583127085,0.0042162700556218,0.11048439145088201
WAYPOINT_HER,1003,0.35,0.75,-0.02721522930482212,-16.824311965737238,-0.05631526868803621,-31.947789442601213,0.042196051439202104,0.0,2.0,0.0013488326221704032,-5.0,1.0,0.0021777085066894963,-0.0014880951493979003,-0.013433277606964111
