run_name,base,map_seed,openness,accessible_cells,accessible_coverage_auc,coverage_auc,accessible_coverage_fraction,mean_accessible_cells_visited,active_only_map_cosine,silent_unit_fraction,unique_active_peak_bins,active_unit_mean_spatial_information,graph_reliable_edge_count,graph_largest_strong_component_size,stationary_step_fraction,graph_reachable_pair_fraction,graph_prospective_success_fraction
COR_SAT_Q000_M1001_S99,SAT,1001,0.0,199,0.0280972715218861,5.5913570031665625,0.03016817415754,6.00346665735046,0.2587711843624909,0.0,15.0,0.1316723525524139,82.0,14.0,0.1143615128937498,0.875,0.5801028609275818
COR_SAT_Q000_M1002_S99,SAT,1002,0.0,199,0.0203500738681217,4.049664715284942,0.0234305938926114,4.662688184629669,0.658919267408351,0.0,15.0,0.0158939734101295,97.0,16.0,0.6005873565904865,1.0,0.5995529294013977
COR_SAT_Q000_M1003_S99,SAT,1003,0.0,199,0.0324211223171902,6.451803387870152,0.0364471710319864,7.252987035365294,0.2731311609963506,0.0,14.0,0.1034742146730423,95.0,16.0,0.1009562133544696,1.0,0.5182487368583679
COR_SAT_Q035_M1001_S99,SAT,1001,0.35,263,0.0547516250713204,14.39967740184129,0.0638098984028554,16.78200327995097,0.2217452351668803,0.0,15.0,0.0970678776502609,94.0,16.0,0.0294978654198007,1.0,0.5106877088546753
COR_SAT_Q035_M1002_S99,SAT,1002,0.35,269,0.0614429403204941,16.52815086031423,0.0731971703903767,19.690038835011332,0.2306587285381848,0.0,14.0,0.1038998067378997,89.0,16.0,0.0278023351522726,1.0,0.4906842112541199
COR_SAT_Q035_M1003_S99,SAT,1003,0.35,260,0.0613315967863709,15.946215065881663,0.0742672292661046,19.309479609187196,0.2561630390872654,0.0,14.0,0.0912090241909027,102.0,15.0,0.0296520608080643,0.9375,0.5055633783340454
COR_SAT_Q075_M1001_S99,SAT,1001,0.75,321,0.152828244714817,49.05786667297136,0.2084155742968641,66.90139934929338,0.1787826691367341,0.0,12.0,0.1409638971090316,75.0,16.0,0.0506915720688218,1.0,0.4790999889373779
COR_SAT_Q075_M1002_S99,SAT,1002,0.75,327,0.115436758775756,37.74782021720454,0.1449742068659584,47.4065656451684,0.2388516500892007,0.0,14.0,0.1076334416866302,73.0,16.0,0.0287174692857215,1.0,0.4682556688785553
COR_SAT_Q075_M1003_S99,SAT,1003,0.75,322,0.1507013682669275,48.52584060551796,0.2062752589783604,66.42063339103206,0.2519145755152862,0.0,14.0,0.0888926535844802,81.0,16.0,0.0202530359229713,1.0,0.4935446977615356
COR_DGP_Q000_M1001_S99,DGP,1001,0.0,199,0.0242047486487139,4.816744928854212,0.0253013627971888,5.034971196640571,0.2783522241276269,0.0,14.0,0.120270624756813,140.0,16.0,0.1273390728072939,1.0,0.5700585842132568
COR_DGP_Q000_M1002_S99,DGP,1002,0.0,199,0.0222948279798678,4.436670768088189,0.0240583350827944,4.787608681476086,0.6951979463732401,0.0,10.0,0.0105675999075174,199.0,16.0,0.4338830797996118,1.0,0.6388798356056213
COR_DGP_Q000_M1003_S99,DGP,1003,0.0,199,0.0236592967041403,4.7082000754730045,0.0280526412276961,5.582475604311524,0.5173964142015381,0.0,14.0,0.0359815247356891,190.0,16.0,0.4253632760898282,1.0,0.6025969386100769
COR_DGP_Q035_M1001_S99,DGP,1001,0.35,263,0.0409852345474064,10.779116531352065,0.0475400173417911,12.50302456089106,0.3705443339994756,0.0,16.0,0.0459061153233051,146.0,16.0,0.3534523942631199,1.0,0.6070700883865356
COR_DGP_Q035_M1002_S99,DGP,1002,0.35,269,0.0773487050535004,20.806801699315614,0.0889900985599475,23.938336512625877,0.304771467473438,0.0,13.0,0.0835833400487899,195.0,16.0,0.0322741268405702,1.0,0.5552636384963989
COR_DGP_Q035_M1003_S99,DGP,1003,0.35,260,0.0738143128844407,19.19172132565425,0.0910326923172061,23.668500002473586,0.2659869838595938,0.0,16.0,0.0813915655016899,201.0,16.0,0.0373746303691735,1.0,0.5580134987831116
COR_DGP_Q075_M1001_S99,DGP,1001,0.75,321,0.0535502777237332,17.18963901201884,0.0651068509288245,20.899299148152664,0.2990189439769443,0.0,16.0,0.0816234648227691,177.0,16.0,0.3563289659588742,1.0,0.5349322557449341
COR_DGP_Q075_M1002_S99,DGP,1002,0.75,327,0.2203438920030521,72.05245332771979,0.264213594123862,86.39784527850287,0.2827202783369983,0.0,16.0,0.0868583247065544,185.0,16.0,0.0110457376865937,1.0,0.560002863407135
COR_DGP_Q075_M1003_S99,DGP,1003,0.75,322,0.0460633849742866,14.832409933181037,0.0634374447592667,20.426857212483878,0.3948925426087234,0.0,14.0,0.0683202520012855,198.0,16.0,0.0079262654079486,1.0,0.5271768569946289
COR_WAYPOINT_HER_Q000_M1001_S99,WAYPOINT_HER,1001,0.0,199,0.0651205186560199,12.958983193239852,0.0970465486112796,19.31226317364464,0.3333188044052342,0.0,45.0,0.0366151705384254,29.0,2.0,0.2326817715162789,0.0106646828353405,0.4273676574230194
COR_WAYPOINT_HER_Q000_M1002_S99,WAYPOINT_HER,1002,0.0,199,0.0704971696271084,14.028936713531817,0.1071717663035578,21.327181494408002,0.3882698838796529,0.0,43.0,0.0260137356817722,30.0,2.0,0.2058145088355739,0.0099206352606415,0.4761534631252289
COR_WAYPOINT_HER_Q000_M1003_S99,WAYPOINT_HER,1003,0.0,199,0.0753638247073984,14.997401236016074,0.1148931384661499,22.86373455476383,0.332745102684221,0.0,41.0,0.0355761349201202,33.0,2.0,0.1709837714796711,0.0109126986935734,0.5063660144805908
COR_WAYPOINT_HER_Q035_M1001_S99,WAYPOINT_HER,1001,0.35,263,0.1258404116955992,33.09602854018395,0.2147527387039597,56.4799702791414,0.3033039227235984,0.0,42.0,0.0265875607728958,20.0,1.0,0.1264776735345239,0.0066964286379516,0.4120805561542511
