source,repeat,prefix_seed,command,target,initial_action_probabilities,commanded,deadline,hit,hit_time,first_distinct,censored,timeout,elapsed,path_length,start_position,endpoint,exact_start_verified
15,0,31000,0,0,"[0.07131193578243256, 0.14339150488376617, 0.10831081122159958, 0.11674486100673676, 0.14032196998596191, 0.11216367781162262, 0.17042572796344757, 0.13732954859733582]",True,64,False,,10,False,True,64,713.7139447266759,"[1750.0, 1550.0, 25.125]","[1930.246826171875, 1980.9930419921875, 25.125]",True
15,0,31000,0,1,"[0.07131193578243256, 0.14339150488376617, 0.10831081122159958, 0.11674486100673676, 0.14032196998596191, 0.11216367781162262, 0.17042572796344757, 0.13732954859733582]",False,64,True,24.0,10,False,False,64,713.7139447266759,"[1750.0, 1550.0, 25.125]","[1930.246826171875, 1980.9930419921875, 25.125]",True
15,0,31000,0,2,"[0.07131193578243256, 0.14339150488376617, 0.10831081122159958, 0.11674486100673676, 0.14032196998596191, 0.11216367781162262, 0.17042572796344757, 0.13732954859733582]",False,64,True,19.0,10,False,False,64,713.7139447266759,"[1750.0, 1550.0, 25.125]","[1930.246826171875, 1980.9930419921875, 25.125]",True
15,0,31000,0,3,"[0.07131193578243256, 0.14339150488376617, 0.10831081122159958, 0.11674486100673676, 0.14032196998596191, 0.11216367781162262, 0.17042572796344757, 0.13732954859733582]",False,64,False,,10,False,True,64,713.7139447266759,"[1750.0, 1550.0, 25.125]","[1930.246826171875, 1980.9930419921875, 25.125]",True
15,0,31000,1,0,"[0.07080258429050446, 0.14397884905338287, 0.10761157423257828, 0.11773529648780823, 0.14039985835552216, 0.11230570822954178, 0.1696755290031433, 0.13749061524868011]",False,64,False,,10,False,True,64,717.1097845760445,"[1750.0, 1550.0, 25.125]","[1937.603515625, 1934.51953125, 25.125]",True
15,0,31000,1,1,"[0.07080258429050446, 0.14397884905338287, 0.10761157423257828, 0.11773529648780823, 0.14039985835552216, 0.11230570822954178, 0.1696755290031433, 0.13749061524868011]",True,64,True,24.0,10,False,False,64,717.1097845760445,"[1750.0, 1550.0, 25.125]","[1937.603515625, 1934.51953125, 25.125]",True
15,0,31000,1,2,"[0.07080258429050446, 0.14397884905338287, 0.10761157423257828, 0.11773529648780823, 0.14039985835552216, 0.11230570822954178, 0.1696755290031433, 0.13749061524868011]",False,64,True,19.0,10,False,False,64,717.1097845760445,"[1750.0, 1550.0, 25.125]","[1937.603515625, 1934.51953125, 25.125]",True
15,0,31000,1,3,"[0.07080258429050446, 0.14397884905338287, 0.10761157423257828, 0.11773529648780823, 0.14039985835552216, 0.11230570822954178, 0.1696755290031433, 0.13749061524868011]",False,64,False,,10,False,True,64,717.1097845760445,"[1750.0, 1550.0, 25.125]","[1937.603515625, 1934.51953125, 25.125]",True
15,0,31000,2,0,"[0.07077673077583313, 0.14391034841537476, 0.10765618830919266, 0.11709465831518173, 0.14060182869434357, 0.11220359802246094, 0.16998720169067383, 0.1377694308757782]",False,64,False,,10,False,True,64,713.7139447266759,"[1750.0, 1550.0, 25.125]","[1930.246826171875, 1980.9930419921875, 25.125]",True
15,0,31000,2,1,"[0.07077673077583313, 0.14391034841537476, 0.10765618830919266, 0.11709465831518173, 0.14060182869434357, 0.11220359802246094, 0.16998720169067383, 0.1377694308757782]",False,64,True,24.0,10,False,False,64,713.7139447266759,"[1750.0, 1550.0, 25.125]","[1930.246826171875, 1980.9930419921875, 25.125]",True
15,0,31000,2,2,"[0.07077673077583313, 0.14391034841537476, 0.10765618830919266, 0.11709465831518173, 0.14060182869434357, 0.11220359802246094, 0.16998720169067383, 0.1377694308757782]",True,64,True,19.0,10,False,False,64,713.7139447266759,"[1750.0, 1550.0, 25.125]","[1930.246826171875, 1980.9930419921875, 25.125]",True
15,0,31000,2,3,"[0.07077673077583313, 0.14391034841537476, 0.10765618830919266, 0.11709465831518173, 0.14060182869434357, 0.11220359802246094, 0.16998720169067383, 0.1377694308757782]",False,64,False,,10,False,True,64,713.7139447266759,"[1750.0, 1550.0, 25.125]","[1930.246826171875, 1980.9930419921875, 25.125]",True
15,0,31000,3,0,"[0.07247117906808853, 0.14486859738826752, 0.10922956466674805, 0.11737409234046936, 0.13983246684074402, 0.11074084043502808, 0.16974151134490967, 0.1357417106628418]",False,64,False,,10,False,True,64,717.1097845760445,"[1750.0, 1550.0, 25.125]","[1937.603515625, 1934.51953125, 25.125]",True
15,0,31000,3,1,"[0.07247117906808853, 0.14486859738826752, 0.10922956466674805, 0.11737409234046936, 0.13983246684074402, 0.11074084043502808, 0.16974151134490967, 0.1357417106628418]",False,64,True,24.0,10,False,False,64,717.1097845760445,"[1750.0, 1550.0, 25.125]","[1937.603515625, 1934.51953125, 25.125]",True
15,0,31000,3,2,"[0.07247117906808853, 0.14486859738826752, 0.10922956466674805, 0.11737409234046936, 0.13983246684074402, 0.11074084043502808, 0.16974151134490967, 0.1357417106628418]",False,64,True,19.0,10,False,False,64,717.1097845760445,"[1750.0, 1550.0, 25.125]","[1937.603515625, 1934.51953125, 25.125]",True
15,0,31000,3,3,"[0.07247117906808853, 0.14486859738826752, 0.10922956466674805, 0.11737409234046936, 0.13983246684074402, 0.11074084043502808, 0.16974151134490967, 0.1357417106628418]",True,64,False,,10,False,True,64,717.1097845760445,"[1750.0, 1550.0, 25.125]","[1937.603515625, 1934.51953125, 25.125]",True
15,1,31001,0,0,"[0.020323486998677254, 0.16770999133586884, 0.12083249539136887, 0.04797913506627083, 0.14946365356445312, 0.026116985827684402, 0.3777472674846649, 0.08982706069946289]",True,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,0,1,"[0.020323486998677254, 0.16770999133586884, 0.12083249539136887, 0.04797913506627083, 0.14946365356445312, 0.026116985827684402, 0.3777472674846649, 0.08982706069946289]",False,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,0,2,"[0.020323486998677254, 0.16770999133586884, 0.12083249539136887, 0.04797913506627083, 0.14946365356445312, 0.026116985827684402, 0.3777472674846649, 0.08982706069946289]",False,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,0,3,"[0.020323486998677254, 0.16770999133586884, 0.12083249539136887, 0.04797913506627083, 0.14946365356445312, 0.026116985827684402, 0.3777472674846649, 0.08982706069946289]",False,64,True,6.0,11,False,False,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,1,0,"[0.020212581381201744, 0.16812168061733246, 0.11971395462751389, 0.04881255701184273, 0.14890466630458832, 0.026270229369401932, 0.3779970109462738, 0.0899672582745552]",False,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,1,1,"[0.020212581381201744, 0.16812168061733246, 0.11971395462751389, 0.04881255701184273, 0.14890466630458832, 0.026270229369401932, 0.3779970109462738, 0.0899672582745552]",True,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,1,2,"[0.020212581381201744, 0.16812168061733246, 0.11971395462751389, 0.04881255701184273, 0.14890466630458832, 0.026270229369401932, 0.3779970109462738, 0.0899672582745552]",False,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,1,3,"[0.020212581381201744, 0.16812168061733246, 0.11971395462751389, 0.04881255701184273, 0.14890466630458832, 0.026270229369401932, 0.3779970109462738, 0.0899672582745552]",False,64,True,6.0,11,False,False,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,2,0,"[0.020238013938069344, 0.16798140108585358, 0.12003834545612335, 0.04822298139333725, 0.14946997165679932, 0.026212142780423164, 0.3776019513607025, 0.0902351662516594]",False,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,2,1,"[0.020238013938069344, 0.16798140108585358, 0.12003834545612335, 0.04822298139333725, 0.14946997165679932, 0.026212142780423164, 0.3776019513607025, 0.0902351662516594]",False,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,2,2,"[0.020238013938069344, 0.16798140108585358, 0.12003834545612335, 0.04822298139333725, 0.14946997165679932, 0.026212142780423164, 0.3776019513607025, 0.0902351662516594]",True,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,2,3,"[0.020238013938069344, 0.16798140108585358, 0.12003834545612335, 0.04822298139333725, 0.14946997165679932, 0.026212142780423164, 0.3776019513607025, 0.0902351662516594]",False,64,True,6.0,11,False,False,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,3,0,"[0.020734842866659164, 0.16964660584926605, 0.12210992723703384, 0.04853733256459236, 0.15026038885116577, 0.026196882128715515, 0.3729628920555115, 0.08955121040344238]",False,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,3,1,"[0.020734842866659164, 0.16964660584926605, 0.12210992723703384, 0.04853733256459236, 0.15026038885116577, 0.026196882128715515, 0.3729628920555115, 0.08955121040344238]",False,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,3,2,"[0.020734842866659164, 0.16964660584926605, 0.12210992723703384, 0.04853733256459236, 0.15026038885116577, 0.026196882128715515, 0.3729628920555115, 0.08955121040344238]",False,64,False,,11,False,True,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,1,31001,3,3,"[0.020734842866659164, 0.16964660584926605, 0.12210992723703384, 0.04853733256459236, 0.15026038885116577, 0.026196882128715515, 0.3729628920555115, 0.08955121040344238]",True,64,True,6.0,11,False,False,64,795.7317369495988,"[519.52099609375, 1678.1868896484375, 25.125]","[171.9163818359375, 1570.1837158203125, 25.125]",True
15,2,31002,0,0,"[0.0235555749386549, 0.13905760645866394, 0.024533981457352638, 0.05856814235448837, 0.12119721621274948, 0.06273046135902405, 0.44429370760917664, 0.12606342136859894]",True,64,False,,13,False,True,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,0,1,"[0.0235555749386549, 0.13905760645866394, 0.024533981457352638, 0.05856814235448837, 0.12119721621274948, 0.06273046135902405, 0.44429370760917664, 0.12606342136859894]",False,64,False,,13,False,True,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,0,2,"[0.0235555749386549, 0.13905760645866394, 0.024533981457352638, 0.05856814235448837, 0.12119721621274948, 0.06273046135902405, 0.44429370760917664, 0.12606342136859894]",False,64,False,,13,False,True,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,0,3,"[0.0235555749386549, 0.13905760645866394, 0.024533981457352638, 0.05856814235448837, 0.12119721621274948, 0.06273046135902405, 0.44429370760917664, 0.12606342136859894]",False,64,True,46.0,13,False,False,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,1,0,"[0.02338567189872265, 0.13934192061424255, 0.024153441190719604, 0.05894096940755844, 0.12144052237272263, 0.06330516934394836, 0.4426729381084442, 0.12675932049751282]",False,64,False,,13,False,True,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,1,1,"[0.02338567189872265, 0.13934192061424255, 0.024153441190719604, 0.05894096940755844, 0.12144052237272263, 0.06330516934394836, 0.4426729381084442, 0.12675932049751282]",True,64,False,,13,False,True,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,1,2,"[0.02338567189872265, 0.13934192061424255, 0.024153441190719604, 0.05894096940755844, 0.12144052237272263, 0.06330516934394836, 0.4426729381084442, 0.12675932049751282]",False,64,False,,13,False,True,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,1,3,"[0.02338567189872265, 0.13934192061424255, 0.024153441190719604, 0.05894096940755844, 0.12144052237272263, 0.06330516934394836, 0.4426729381084442, 0.12675932049751282]",False,64,True,46.0,13,False,False,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,2,0,"[0.023379670456051826, 0.13928182423114777, 0.024114109575748444, 0.058597538620233536, 0.12167329341173172, 0.0630369707942009, 0.44316792488098145, 0.12674862146377563]",False,64,False,,13,False,True,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,2,1,"[0.023379670456051826, 0.13928182423114777, 0.024114109575748444, 0.058597538620233536, 0.12167329341173172, 0.0630369707942009, 0.44316792488098145, 0.12674862146377563]",False,64,False,,13,False,True,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,2,2,"[0.023379670456051826, 0.13928182423114777, 0.024114109575748444, 0.058597538620233536, 0.12167329341173172, 0.0630369707942009, 0.44316792488098145, 0.12674862146377563]",True,64,False,,13,False,True,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
15,2,31002,2,3,"[0.023379670456051826, 0.13928182423114777, 0.024114109575748444, 0.058597538620233536, 0.12167329341173172, 0.0630369707942009, 0.44316792488098145, 0.12674862146377563]",False,64,True,46.0,13,False,False,64,827.1143554410996,"[1717.913330078125, 501.8609313964844, 25.125]","[1458.892578125, 765.607666015625, 25.125]",True
