,visited_cells,visited_cells,mean_spatial_information_bits,mean_spatial_information_bits,active_unit_mean_si_bits,active_unit_mean_si_bits,mean_active_fraction,mean_active_fraction,silent_units,silent_units,active_map_cosine_mean,active_map_cosine_mean,active_unique_peak_bins,active_unique_peak_bins,active_peak_bin_entropy,active_peak_bin_entropy,active_pairwise_peak_distance_bins,active_pairwise_peak_distance_bins,prethreshold_map_cosine_mean,prethreshold_map_cosine_mean,prethreshold_unique_peak_bins,prethreshold_unique_peak_bins,prethreshold_peak_bin_entropy,prethreshold_peak_bin_entropy,prethreshold_pairwise_peak_distance_bins,prethreshold_pairwise_peak_distance_bins
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
condition,,,,,,,,,,,,,,,,,,,,,,,,,,
c01_flat_ctrl,226.66666666666666,34.48671241700683,0.18188271381301083,0.012361018384699881,0.18188271381301083,0.012361018384699881,0.026136969636369693,0.0013404921648466797,0.0,0.0,0.062117785741436615,0.02398525842508021,15.0,1.0,0.9648182942595653,0.037303281936766096,10.353304823925956,0.6425064759601261,-0.02515513918205677,0.004993079990782654,15.333333333333334,0.5773502691896258,0.9791666666666666,0.018042195912175815,9.458785035732404,0.32786957055849136
c02_direct_delayed_ctrl,239.33333333333334,52.48174285723877,0.1858421374748107,0.06568234076055617,0.1858421374748107,0.06568234076055617,0.024903759624037597,0.004349973568226415,0.0,0.0,0.06385209243982028,0.016866475194597993,14.666666666666666,1.1547005383792515,0.9544016275928987,0.039927307349715016,11.144075930914314,1.0250331422274126,-0.0187855765323787,0.022244695095846326,15.666666666666666,0.5773502691896258,0.9895833333333334,0.018042195912175773,11.188974834995639,0.7379421059235038
c03_direct_immediate_ctrl,165.66666666666666,35.72580766523457,0.2090288023299642,0.04924252453822683,0.2090288023299642,0.04924252453822683,0.026766073392660735,0.002829103893760949,0.0,0.0,0.053122661839182565,0.028815388057905872,15.666666666666666,0.5773502691896258,0.9895833333333334,0.018042195912175773,10.38508251558318,1.5500507972666118,-0.026954251312704066,0.03660797584338792,15.666666666666666,0.5773502691896258,0.9895833333333334,0.018042195912175773,10.252023077959633,1.2624753652200886
c04_direct_immediate_iter,194.33333333333334,37.112441759244746,0.1466011180665814,0.04744971671966189,0.1466011180665814,0.04744971671966189,0.0258640802586408,0.004166193276118966,0.0,0.0,0.10103563893475222,0.035830996473483125,14.666666666666666,1.1547005383792515,0.9583333333333334,0.036084391824351615,11.884560440120898,0.35753961848439736,0.0074706035101182585,0.010712751293167948,15.0,1.0,0.96875,0.03125000000000004,10.094051304480114,0.7077822867576943
c05_direct_immediate_g001_r100,232.66666666666666,42.146569650842686,0.11032915733482089,0.04499542474078916,0.11032915733482089,0.04499542474078916,0.02544328900443289,0.0012981914126166318,0.0,0.0,0.12678000378963383,0.06511856134868017,14.333333333333334,0.5773502691896258,0.943984960926232,0.022243236450886043,10.928340440782693,1.2697956631019172,0.03508131386404325,0.03440606378476557,14.333333333333334,0.5773502691896258,0.943984960926232,0.022243236450886043,9.93864695826136,1.741891304919259
c06_direct_immediate_g001_r100_x1,244.0,36.59234892706397,0.1503210284424283,0.018106300321865502,0.1503210284424283,0.018106300321865502,0.024133003366330032,0.00325975654183419,0.0,0.0,0.08560542927997873,0.019200766447389456,14.333333333333334,1.5275252316519465,0.9479166666666666,0.04773516348912338,11.882182414743562,1.2590779418974063,0.0025350018757744133,0.04680170496017185,15.333333333333334,0.5773502691896255,0.9791666666666666,0.01804219591217574,10.299648180504626,0.8403449453748273
c07_direct_immediate_o1,236.33333333333334,30.74627348693388,0.09403435573025815,0.013023793693607628,0.09403435573025815,0.013023793693607628,0.02502249775022498,0.0016738878485057244,0.0,0.0,0.1753297395245391,0.03780633790014449,15.333333333333334,0.5773502691896258,0.9791666666666666,0.018042195912175707,11.1572634906644,0.7190290964281176,0.0328677076962788,0.02432081385559556,15.333333333333334,1.1547005383792515,0.9791666666666666,0.036084391824351615,9.670132332666148,1.6287736168705909
c08_direct_immediate_x1_o1,247.33333333333334,20.42873792805942,0.1130874405025713,0.02087612987582491,0.1130874405025713,0.02087612987582491,0.023201846482018465,0.0005377489499338555,0.0,0.0,0.10364606112163237,0.001947737903273072,15.333333333333334,1.1547005383792517,0.9791666666666666,0.036084391824351594,11.278403696666459,0.9940216816668453,0.02263025090606166,0.017803633433603108,15.666666666666666,0.5773502691896258,0.9895833333333334,0.018042195912175724,10.16601737361856,0.6533271160692079
