         15159612 function calls (13796870 primitive calls) in 20.316 seconds

   Ordered by: cumulative time
   List reduced from 642 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3150    0.068    0.000    0.761    0.000 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/custom_encoder.py:1013(projection_input)
    35278    0.174    0.000    0.722    0.000 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/controller_transition.py:22(assemble_state)
    70700    0.680    0.000    0.680    0.000 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/numpy/core/shape_base.py:447(<setcomp>)
    85876    0.647    0.000    0.647    0.000 {method 'item' of 'torch._C.TensorBase' objects}
    70700    0.282    0.000    0.584    0.000 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/numpy/core/shape_base.py:443(<listcomp>)
    70700    0.580    0.000    0.580    0.000 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/numpy/core/shape_base.py:455(<listcomp>)
    11838    0.188    0.000    0.555    0.000 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/hrl_controllable_graph.py:167(current_dg_from_activity)
    84918    0.470    0.000    0.470    0.000 {built-in method torch.cat}
       26    0.025    0.001    0.466    0.018 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/controller_transition.py:48(current_context_rejections)
    97650    0.025    0.000    0.418    0.000 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/custom_encoder.py:1021(<genexpr>)
    17741    0.351    0.000    0.351    0.000 {built-in method torch.tensor}
       46    0.003    0.000    0.346    0.008 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_stable_head_20260912/sf_working_directories/IntrMotiv/dmlab/controller_history.py:84(<listcomp>)


{"seconds": 20.349874785984866, "stats": {"main_loss": 0.00011923028796445578, "auxiliary_loss": 0.0, "q_mean": 0.036034733057022095, "q_abs_max": 0.04955829679965973, "auxiliary_q_mean": 0.0, "auxiliary_q_abs_max": 0.0, "main_compute_seconds": 20.148815704975277, "her_compute_seconds": 0.008751823974307626, "her_overhead_ratio": 0.00043435922500132697}}
