seed,env_steps,field_count,known_edges,known_edge_fraction,source_nodes,target_nodes,target_ids,target_indegrees,source_outdegree_median,max_target_indegree,max_target_edge_fraction,reciprocal_directed_edges,reciprocal_fraction_of_known,tctrl_min,tctrl_q25,tctrl_median,tctrl_mean,tctrl_q75,tctrl_max,tctrl_le_5_fraction,tctrl_le_8_fraction,tctrl_lt_10_fraction,confidence_median,attempts_median,node_visits_min,node_visits_median,node_visits_max,valid_landmark_poses
8,100040704,16,33,0.1375,16,5,3;4;7;12;15,5;14;8;2;4,2.0,14,0.42424242424242425,6,0.18181818181818182,1.951224684715271,3.136225700378418,3.9070050716400146,4.427099704742432,5.756977081298828,9.265374183654785,0.6363636363636364,0.9696969696969697,1.0,25.035655975341797,296.3540954589844,125.28608703613281,2739.7625732421875,4044.625,0
99,100040704,16,42,0.175,16,4,2;5;8;14,14;13;1;14,3.0,14,0.3333333333333333,6,0.14285714285714285,1.221690058708191,3.152424395084381,4.145859718322754,4.687066555023193,5.956210255622864,13.594003677368164,0.6428571428571429,0.9047619047619048,0.9761904761904762,38.188947677612305,253.74839782714844,134.04971313476562,2721.01806640625,3309.569580078125,0
123,100040704,16,38,0.15833333333333333,16,3,7;9;13,11;13;14,2.0,14,0.3684210526315789,6,0.15789473684210525,1.0543164014816284,3.01358699798584,5.159109354019165,5.427422523498535,7.860161542892456,11.643110275268555,0.42105263157894735,0.7894736842105263,0.8947368421052632,5.873898267745972,116.89183807373047,125.78355407714844,2053.6339721679688,3847.699951171875,0
