id,name,project,end_m,n,early_median,late_median,late_mean,late_max,late_p95,tail_median,late_gt2,url
00_GSR_C13_D4_H10K_S99_20260903_032034_575439,00_GSR_C13_D4_H10K_S99_20260903_032034_575439,SF_IntrMotiv_GraphStabilizedRecruitment,99.97517,1000,0.9398049,0.8800104799999999,0.8781384821193416,1.0933756,0.9973699500000001,0.926559,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_GraphStabilizedRecruitment/runs/00_GSR_C13_D4_H10K_S99_20260903_032034_575439
00_FMI_PASSIVE_UCB_FRONTIER_WAYPOINT_S99_20260831_131646_581477,00_FMI_PASSIVE_UCB_FRONTIER_WAYPOINT_S99_20260831_131646_581477,SF_IntrMotiv_FrontierManagerIsolation,99.97517,1000,0.9689717,0.9787403050000001,0.9699880332874015,1.092674,1.03677219,0.98719798,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_FrontierManagerIsolation/runs/00_FMI_PASSIVE_UCB_FRONTIER_WAYPOINT_S99_20260831_131646_581477
00_GCH_IMMEDIATE_HER_OFF_S8_20260901_022005_185202,00_GCH_IMMEDIATE_HER_OFF_S8_20260901_022005_185202,SF_IntrMotiv_HRLGoalConditionHER,100.00794,1000,0.9990225,0.99902254,1.000922476988189,1.0914198,1.02146849,0.9995114,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_IMMEDIATE_HER_OFF_S8_20260901_022005_185202
00_GCH_IMMEDIATE_HER16_S8_20260901_022003_693262,00_GCH_IMMEDIATE_HER16_S8_20260901_022003_693262,SF_IntrMotiv_HRLGoalConditionHER,83.29626,1000,0.9990224,0.99902236,0.9862958132848233,1.090645,1.022994,0.9990225,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_IMMEDIATE_HER16_S8_20260901_022003_693262
00_PF_TFP_C04_FRONTIER_WAYPOINT_TIME_S8_20260831_033438_244357,00_PF_TFP_C04_FRONTIER_WAYPOINT_TIME_S8_20260831_033438_244357,SF_IntrMotiv_TopologicalFrontierPlanning,0.49152,16,0.0,0.9873617,0.81824844625,1.089304,1.06547551,0.99843174,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_TopologicalFrontierPlanning/runs/00_PF_TFP_C04_FRONTIER_WAYPOINT_TIME_S8_20260831_033438_244357
00_DPR_C05_PRED_LEG_S123_20260904_060812_480051,00_DPR_C05_PRED_LEG_S123_20260904_060812_480051,SF_IntrMotiv_DirectionalPredictiveRecruitment,75.00595,1000,0.87197447,0.9543862000000001,0.932244926300813,1.086437,1.017688295,0.981002,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_DirectionalPredictiveRecruitment/runs/00_DPR_C05_PRED_LEG_S123_20260904_060812_480051
00_GSR_C15_D8_H10K_S8_20260903_032056_377700,00_GSR_C15_D8_H10K_S8_20260903_032056_377700,SF_IntrMotiv_GraphStabilizedRecruitment,99.97517,1000,0.82495257,0.82608855,0.8307475561220473,1.0855272,0.9483453505,0.84677358,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_GraphStabilizedRecruitment/runs/00_GSR_C15_D8_H10K_S8_20260903_032056_377700
00_PF_GSR_C15_D8_H5K_S99_20260903_025837_258278,00_PF_GSR_C15_D8_H5K_S99_20260903_025837_258278,SF_IntrMotiv_GraphStabilizedRecruitment,2.031616,63,0.9507364,0.86739425,0.8639488978125001,1.0827981,0.9763009435,0.8645760849999999,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_GraphStabilizedRecruitment/runs/00_PF_GSR_C15_D8_H5K_S99_20260903_025837_258278
00_PF_CEE_X0_SH_EDGE_G0_S99_20260903_202958_902392,00_PF_CEE_X0_SH_EDGE_G0_S99_20260903_202958_902392,SF_IntrMotiv_ControllabilityEdgeExploration,1.015808,32,0.0,0.8559980199999999,0.869367501875,1.0822743,1.0187277,0.826776,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_ControllabilityEdgeExploration/runs/00_PF_CEE_X0_SH_EDGE_G0_S99_20260903_202958_902392
00_GCH_DELAYED_HER16_S99_20260901_115226_280409,00_GCH_DELAYED_HER16_S99_20260901_115226_280409,SF_IntrMotiv_HRLGoalConditionHER,99.74579,1000,0.99902254,0.9995114,1.0032044511895162,1.080682,1.0330918,0.9995114,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_DELAYED_HER16_S99_20260901_115226_280409
00_FMI_PASSIVE_UCB_FRONTIER_S23_20260831_131644_647347,00_FMI_PASSIVE_UCB_FRONTIER_S23_20260831_131644_647347,SF_IntrMotiv_FrontierManagerIsolation,99.90963,1000,0.93704027,0.97126952,0.9490371067735043,1.0758704,1.0215521300000001,0.9682597,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_FrontierManagerIsolation/runs/00_FMI_PASSIVE_UCB_FRONTIER_S23_20260831_131644_647347
00_GCH_IMMEDIATE_HER64_S99_20260901_115246_805408,00_GCH_IMMEDIATE_HER64_S99_20260901_115246_805408,SF_IntrMotiv_HRLGoalConditionHER,100.00794,1000,0.99902254,0.99902254,1.0004230799015748,1.0748156,1.027566,0.99902254,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_IMMEDIATE_HER64_S99_20260901_115246_805408
00_GCH_DELAYED_HER16_S99_20260901_022003_646839,00_GCH_DELAYED_HER16_S99_20260901_022003_646839,SF_IntrMotiv_HRLGoalConditionHER,21.331968,652,0.9990225,0.9990225,1.000141914846626,1.0724984,1.0161139750000001,0.9990225,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_DELAYED_HER16_S99_20260901_022003_646839
00_PF_DPR_C05_DIR_LEG_S99_20260904_044304_474847,00_PF_DPR_C05_DIR_LEG_S99_20260904_044304_474847,SF_IntrMotiv_DirectionalPredictiveRecruitment,2.523136,91,0.8905836,0.8384791149999999,0.8668653353846152,1.0661455,1.0322468,0.81971073,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_DirectionalPredictiveRecruitment/runs/00_PF_DPR_C05_DIR_LEG_S99_20260904_044304_474847
00_GSR_C15_D4_H5K_S123_20260903_032055_939685,00_GSR_C15_D4_H5K_S123_20260903_032055_939685,SF_IntrMotiv_GraphStabilizedRecruitment,99.81133,1000,0.842805875,0.89956033,0.8961589114519428,1.066084,0.998040212,0.90719562,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_GraphStabilizedRecruitment/runs/00_GSR_C15_D4_H5K_S123_20260903_032055_939685
00_GCH_DELAYED_HER64_S8_20260901_115244_190315,00_GCH_DELAYED_HER64_S8_20260901_115244_190315,SF_IntrMotiv_HRLGoalConditionHER,100.00794,1000,0.8900382,0.8965967749999999,0.8849452042647058,1.0625,0.9995115,0.89708143,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_DELAYED_HER64_S8_20260901_115244_190315
00_TCH_C12_HEROFF_S8_20260902_033226_362176,00_TCH_C12_HEROFF_S8_20260902_033226_362176,SF_IntrMotiv_CorrectedCoreReevaluation,99.9424,1000,0.96202976,0.9826451,0.9781611375841585,1.0586272,1.02094988,0.9700035,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_CorrectedCoreReevaluation/runs/00_TCH_C12_HEROFF_S8_20260902_033226_362176
00_GCH_IMMEDIATE_HER64_S8_20260901_022004_783688,00_GCH_IMMEDIATE_HER64_S8_20260901_022004_783688,SF_IntrMotiv_HRLGoalConditionHER,2.981888,92,0.99804306,0.99804306,0.9929874530434782,1.0577885,1.0301446250000001,0.9898158,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_IMMEDIATE_HER64_S8_20260901_022004_783688
00_GCH_IMMEDIATE_HER64_S123_20260901_022005_231119,00_GCH_IMMEDIATE_HER64_S123_20260901_022005_231119,SF_IntrMotiv_HRLGoalConditionHER,7.3728,226,0.998288005,0.9990224,0.9896438469911505,1.0557123,1.01455614,0.9990225,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_IMMEDIATE_HER64_S123_20260901_022005_231119
00_PF_DPR_C15_PRED_LEG_S99_20260904_044332_996056,00_PF_DPR_C15_PRED_LEG_S99_20260904_044332_996056,SF_IntrMotiv_DirectionalPredictiveRecruitment,3.080192,106,0.0,0.0,0.1845845125423729,1.0554992,0.99111903,0.0,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_DirectionalPredictiveRecruitment/runs/00_PF_DPR_C15_PRED_LEG_S99_20260904_044332_996056
00_PF_DPR_C15_MON_LEG_S99_20260904_044316_069620,00_PF_DPR_C15_MON_LEG_S99_20260904_044316_069620,SF_IntrMotiv_DirectionalPredictiveRecruitment,3.080192,106,0.0,0.0,0.18516516881355935,1.052263,0.9926269299999999,0.0,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_DirectionalPredictiveRecruitment/runs/00_PF_DPR_C15_MON_LEG_S99_20260904_044316_069620
00_PF3_TFP_C16_TOPO_MOTION_SC001_SE2_S123_20260831_034715_102411,00_PF3_TFP_C16_TOPO_MOTION_SC001_SE2_S123_20260831_034715_102411,SF_IntrMotiv_TopologicalFrontierPlanning,2.031616,63,0.99665683,0.95832392,0.9407214378125001,1.0521173,1.04288676,0.99018049,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_TopologicalFrontierPlanning/runs/00_PF3_TFP_C16_TOPO_MOTION_SC001_SE2_S123_20260831_034715_102411
00_TCH_C12_HER64_S8_20260902_033225_863175,00_TCH_C12_HER64_S8_20260902_033225_863175,SF_IntrMotiv_CorrectedCoreReevaluation,99.97517,1000,0.8970394399999999,0.9344538250000001,0.9223599898228347,1.0516026,0.998533,0.9637887,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_CorrectedCoreReevaluation/runs/00_TCH_C12_HER64_S8_20260902_033225_863175
00_PF_CEE_X0_SEP_EDGE_G1_S99_20260903_201434_305442,00_PF_CEE_X0_SEP_EDGE_G1_S99_20260903_201434_305442,SF_IntrMotiv_ControllabilityEdgeExploration,0.753664,24,0.0,0.955167435,0.9569889408333333,1.0487492,1.041305665,0.979648235,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_ControllabilityEdgeExploration/runs/00_PF_CEE_X0_SEP_EDGE_G1_S99_20260903_201434_305442
00_PF3_TFP_C04_FRONTIER_WAYPOINT_TIME_S8_20260831_034705_146948,00_PF3_TFP_C04_FRONTIER_WAYPOINT_TIME_S8_20260831_034705_146948,SF_IntrMotiv_TopologicalFrontierPlanning,2.031616,63,0.98419512,0.9498378999999999,0.9601681609375,1.0476241,1.0381038299999998,0.96371487,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_TopologicalFrontierPlanning/runs/00_PF3_TFP_C04_FRONTIER_WAYPOINT_TIME_S8_20260831_034705_146948
00_CCR_C12_DIRECT_DELAYED_X1_O1_LONG_S8_20260901_224227_231831,00_CCR_C12_DIRECT_DELAYED_X1_O1_LONG_S8_20260901_224227_231831,SF_IntrMotiv_CorrectedCoreReevaluation,99.97517,1000,0.88077578,0.86359614,0.8635081508267717,1.0474303,0.9800889875,0.9166771499999999,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_CorrectedCoreReevaluation/runs/00_CCR_C12_DIRECT_DELAYED_X1_O1_LONG_S8_20260901_224227_231831
00_GCH_IMMEDIATE_HER16_S99_20260901_115243_769582,00_GCH_IMMEDIATE_HER16_S99_20260901_115243_769582,SF_IntrMotiv_HRLGoalConditionHER,99.87686,1000,0.9990225,0.9990225,0.999348667782705,1.0471072,1.0,0.9990225,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_IMMEDIATE_HER16_S99_20260901_115243_769582
00_PF3_TFP_C08_TOPO_MOTION_SC001_S99_20260831_034715_346328,00_PF3_TFP_C08_TOPO_MOTION_SC001_S99_20260831_034715_346328,SF_IntrMotiv_TopologicalFrontierPlanning,2.031616,61,0.4809859,0.8991111,0.8959016774193549,1.0465864,0.9980244899999999,0.937927875,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_TopologicalFrontierPlanning/runs/00_PF3_TFP_C08_TOPO_MOTION_SC001_S99_20260831_034715_346328
00_PF_TCH_C12_HER64_S99_20260902_025827_376081,00_PF_TCH_C12_HER64_S99_20260902_025827_376081,SF_IntrMotiv_CorrectedCoreReevaluation,2.031616,63,0.9531449249999999,0.9055908,0.9179927540625,1.0460821,1.02022471,0.92918664,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_CorrectedCoreReevaluation/runs/00_PF_TCH_C12_HER64_S99_20260902_025827_376081
00_PF_CEE_X1_SH_EDGE_G0_S99_20260903_202959_385930,00_PF_CEE_X1_SH_EDGE_G0_S99_20260903_202959_385930,SF_IntrMotiv_ControllabilityEdgeExploration,1.015808,32,0.0,0.88764525,0.897210921875,1.0424558,1.01061395,0.998007,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_ControllabilityEdgeExploration/runs/00_PF_CEE_X1_SH_EDGE_G0_S99_20260903_202959_385930
00_GCH_DELAYED_HER_OFF_S123_20260901_022002_831156,00_GCH_DELAYED_HER_OFF_S123_20260901_022002_831156,SF_IntrMotiv_HRLGoalConditionHER,99.9424,1000,0.998533,0.9990225,0.9950652367012448,1.0414362,1.009740205,0.9990224,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_DELAYED_HER_OFF_S123_20260901_022002_831156
00_PF_DPR_C05_PRED_FILM_S99_20260904_051859_586527,00_PF_DPR_C05_PRED_FILM_S99_20260904_051859_586527,SF_IntrMotiv_DirectionalPredictiveRecruitment,5.013504,150,0.84916914,0.85198796,0.848076496438356,1.0414362,0.962660736,0.836935475,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_DirectionalPredictiveRecruitment/runs/00_PF_DPR_C05_PRED_FILM_S99_20260904_051859_586527
00_PF_DPR_C05_MON_FILM_S99_20260904_051858_529597,00_PF_DPR_C05_MON_FILM_S99_20260904_051858_529597,SF_IntrMotiv_DirectionalPredictiveRecruitment,5.013504,154,0.9108735,0.8978662,0.8955881806493503,1.0403079,0.9991202800000001,0.92675424,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_DirectionalPredictiveRecruitment/runs/00_PF_DPR_C05_MON_FILM_S99_20260904_051858_529597
00_GCH_DELAYED_HER64_S123_20260901_022005_186504,00_GCH_DELAYED_HER64_S123_20260901_022005_186504,SF_IntrMotiv_HRLGoalConditionHER,0.720896,23,0.983342175,0.99902254,1.0022199583333333,1.0360234,1.0313718299999999,0.9939557,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_GCH_DELAYED_HER64_S123_20260901_022005_186504
00_PF_GCH_IMMEDIATE_HER64_S123_20260901_114743_167010,00_PF_GCH_IMMEDIATE_HER64_S123_20260901_114743_167010,SF_IntrMotiv_HRLGoalConditionHER,5.013504,102,0.9995115,0.99951145,0.9998304335185186,1.0334803,1.024779755,0.9997557699999999,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_HRLGoalConditionHER/runs/00_PF_GCH_IMMEDIATE_HER64_S123_20260901_114743_167010
00_TCH_C12_HER64_S123_20260902_033224_466424,00_TCH_C12_HER64_S123_20260902_033224_466424,SF_IntrMotiv_CorrectedCoreReevaluation,99.97517,1000,0.9090294,0.961963205,0.960390072007874,1.0302657,1.00550974,0.9595635,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_CorrectedCoreReevaluation/runs/00_TCH_C12_HER64_S123_20260902_033224_466424
00_PF_CEE_X0_SEP_EDGE_G0_S99_20260903_201416_284202,00_PF_CEE_X0_SEP_EDGE_G0_S99_20260903_201416_284202,SF_IntrMotiv_ControllabilityEdgeExploration,0.884736,28,0.0,0.9430438,0.9250886428571429,1.0292126,1.0002863,0.97409046,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_ControllabilityEdgeExploration/runs/00_PF_CEE_X0_SEP_EDGE_G0_S99_20260903_201416_284202
00_PF_CEE_X0_SH_EDGE_G1_S99_20260903_202958_913681,00_PF_CEE_X0_SH_EDGE_G1_S99_20260903_202958_913681,SF_IntrMotiv_ControllabilityEdgeExploration,1.015808,32,0.640829295,0.89037132,0.894211645625,1.028403,1.02830835,0.8321102,0.0,https://wandb.ai/xiaoxionglin-bernstein-center-freiburg/SF_IntrMotiv_ControllabilityEdgeExploration/runs/00_PF_CEE_X0_SH_EDGE_G1_S99_20260903_202958_913681
