id,low_m,n,lift_mean,lift_median,lift_max,fraction_gt2,fraction_gt100,success,target_rate,density,silence,entropy,edges,sensitivity,coverage,recruitment,target_activation_rate,shuffled_activation_rate,pooled_lift
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,0.0,153,0.8004541709803922,0.83788985,1.2535439,0.0,0.0,0.1736417007712418,0.012213414019607844,0.028710259323529417,0.0004084967320261438,0.9662686415686274,0.20531045474509807,0.00044164009656209153,76.24324338095238,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,5.0,153,0.8866721899346406,0.9010791,1.2684069,0.0,0.0,0.17972513760130718,0.020431219364705884,0.03221818506535948,0.0,0.9711402333986927,0.30084422725490195,0.0011351810666013072,79.94235500653593,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,10.0,152,0.8888747278947369,0.889008385,1.1110116,0.0,0.0,0.16962302046052632,0.021237021976973684,0.030880375894736842,0.0,0.9744116280921054,0.28061951776315786,0.0019236570440789474,75.93598950657895,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,15.0,153,0.8609088052287582,0.86401945,1.1327797,0.0,0.0,0.12555034305228757,0.01474737030392157,0.02934693978431372,0.0,0.9728337116339869,0.21492374732026143,0.0024753843209150326,77.91332038562092,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,20.0,152,0.8755975114473685,0.87566655,1.0703813,0.0,0.0,0.14935857654605264,0.016678659467105263,0.026900241249999995,0.0,0.9733892175657894,0.17722039763157896,0.003922140417105264,71.82426832236843,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,25.0,153,1.1920893475163399,0.9990224,3.0699282,0.11764705882352941,0.0,0.27706066784313726,0.03085107732352941,0.02522646830718954,0.0,0.96307738,0.16900871699346404,0.010422289119607842,49.82575731372549,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,30.0,153,0.9587064977777779,0.92391306,2.3043478,0.006535947712418301,0.0,0.3358981016339869,0.03758808207189542,0.02510778890849673,0.0,0.9593543264052287,0.17418300725490196,0.01621396340196079,47.103620810457514,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,35.0,152,0.9027375684868421,0.895628275,1.110025,0.0,0.0,0.3298037932236842,0.035846911016447366,0.02605578772368421,0.0,0.962873149868421,0.17458881381578947,0.01532577994473684,45.41611603289474,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,40.0,153,0.9313985743137254,0.93954074,1.0461462,0.0,0.0,0.2987595520915033,0.03112234471895425,0.02532141196078432,0.0,0.9647259503267974,0.17889433300653595,0.017195950135947716,45.95231133333333,0.0,,,
00_CCR_C10_DIRECT_IMMEDIATE_HER64_S99_20260901_224226_991947,45.0,152,0.9361714685526316,0.94175877,1.1701598,0.0,0.0,0.2878400609210527,0.02820787929605263,0.025755028980263158,0.0,0.9641747464473684,0.15986841947368421,0.015227298404605261,46.05510953947368,0.0,,,
