frame,agent,x,y,z,rot_x,rot_y,rot_z,num_traj
0,0,773.2239379882812,1844.51171875,25.125,0.0,-13.4912109375,0.0,0
1,0,814.6146850585938,1834.65869140625,25.125,0.0,-13.4912109375,0.0,0
2,0,846.5289916992188,1852.1944580078125,25.125,0.0,-13.4912109375,0.0,0
3,0,885.71435546875,1868.3331298828125,25.125,0.0,-13.4912109375,0.0,0
4,0,928.81005859375,1869.64697265625,25.125,0.0,-13.4912109375,0.0,0
5,0,961.2526245117188,1891.0050048828125,25.125,0.0,-13.4912109375,0.0,0
6,0,1002.080078125,1905.7210693359375,25.125,0.0,-30.38818359375,0.0,0
7,0,1043.3468017578125,1924.32080078125,25.125,0.0,-30.38818359375,0.0,0
8,0,1086.521484375,1926.603759765625,25.125,0.0,-47.28515625,0.0,0
9,0,1125.36669921875,1907.1556396484375,25.125,0.0,-47.28515625,0.0,0
10,0,1165.603515625,1908.1014404296875,25.125,0.0,-47.28515625,0.0,0
11,0,1209.3992919921875,1900.404052734375,25.125,0.0,-47.28515625,0.0,0
12,0,1251.5433349609375,1903.673828125,25.125,0.0,-47.28515625,0.0,0
13,0,1295.513916015625,1895.849853515625,25.125,0.0,-47.28515625,0.0,0
14,0,1331.77294921875,1874.0140380859375,25.125,0.0,-47.28515625,0.0,0
15,0,1371.98583984375,1874.4095458984375,25.125,0.0,-47.28515625,0.0,0
16,0,1383.8746337890625,1865.27294921875,25.125,0.0,-64.1766357421875,0.0,0
17,0,1383.874755859375,1828.3843994140625,25.125,0.0,-64.1766357421875,0.0,0
18,0,1383.8743896484375,1780.4771728515625,25.125,0.0,-47.28515625,0.0,0
19,0,1401.1339111328125,1764.7425537109375,25.125,0.0,-47.28515625,0.0,0
20,0,1436.69580078125,1752.3204345703125,25.125,0.0,-30.38818359375,0.0,0
21,0,1471.7742919921875,1760.3721923828125,25.125,0.0,-30.38818359375,0.0,0
22,0,1515.316650390625,1764.2677001953125,25.125,0.0,-30.38818359375,0.0,0
23,0,1555.2620849609375,1779.8853759765625,25.125,0.0,-30.38818359375,0.0,0
24,0,1583.8743896484375,1782.438232421875,25.125,0.0,-47.28515625,0.0,0
25,0,1583.8743896484375,1757.23681640625,25.125,0.0,-47.28515625,0.0,0
26,0,1583.87451171875,1752.039306640625,25.125,0.0,-47.28515625,0.0,0
27,0,1583.8741455078125,1744.22607421875,25.125,0.0,-30.38818359375,0.0,0
28,0,1583.8746337890625,1719.0618896484375,25.125,0.0,-47.28515625,0.0,0
29,0,1583.875,1716.12548828125,25.125,0.0,-30.38818359375,0.0,0
30,0,1583.875,1716.1253662109375,25.125,0.0,-30.38818359375,0.0,0
31,0,1583.875,1716.125244140625,25.125,0.0,-13.4912109375,0.0,0
32,0,1583.8740234375,1716.194091796875,25.125,0.0,3.40576171875,0.0,0
33,0,1582.46728515625,1740.1246337890625,25.125,0.0,3.40576171875,0.0,0
34,0,1583.8740234375,1766.0435791015625,25.125,0.0,3.40576171875,0.0,0
35,0,1583.8743896484375,1779.9635009765625,25.125,0.0,3.40576171875,0.0,0
36,0,1583.8741455078125,1790.6507568359375,25.125,0.0,20.302734375,0.0,0
37,0,1575.7838134765625,1820.654052734375,25.125,0.0,20.302734375,0.0,0
38,0,1588.9713134765625,1857.50341796875,25.125,0.0,37.1942138671875,0.0,0
39,0,1616.2904052734375,1888.7313232421875,25.125,0.0,37.1942138671875,0.0,0
40,0,1648.31298828125,1915.1165771484375,25.125,0.0,20.302734375,0.0,0
41,0,1682.8177490234375,1936.96240234375,25.125,0.0,37.1942138671875,0.0,0
42,0,1691.0135498046875,1970.044677734375,25.125,0.0,37.1942138671875,0.0,0
43,0,1673.06494140625,1983.874267578125,25.125,0.0,37.1942138671875,0.0,0
44,0,1677.500244140625,1983.874755859375,25.125,0.0,20.302734375,0.0,0
45,0,1714.715576171875,1983.874755859375,25.125,0.0,20.302734375,0.0,0
46,0,1757.4873046875,1983.8748779296875,25.125,0.0,20.302734375,0.0,0
47,0,1777.39599609375,1983.8741455078125,25.125,0.0,20.302734375,0.0,0
48,0,1800.9901123046875,1983.8743896484375,25.125,0.0,37.1942138671875,0.0,0
49,0,1842.0859375,1983.874755859375,25.125,0.0,20.302734375,0.0,0
50,0,1884.8592529296875,1983.874755859375,25.125,0.0,20.302734375,0.0,0
51,0,1930.1434326171875,1983.8746337890625,25.125,0.0,37.1942138671875,0.0,0
52,0,1976.2158203125,1983.874755859375,25.125,0.0,20.302734375,0.0,0
53,0,1983.8743896484375,1983.875,25.125,0.0,20.302734375,0.0,0
54,0,1983.874267578125,1983.875,25.125,0.0,37.1942138671875,0.0,0
55,0,1970.864990234375,1983.87451171875,25.125,0.0,37.1942138671875,0.0,0
56,0,1976.5699462890625,1983.8743896484375,25.125,0.0,37.1942138671875,0.0,0
57,0,1983.8741455078125,1983.875,25.125,0.0,20.302734375,0.0,0
58,0,1983.87451171875,1983.875,25.125,0.0,37.1942138671875,0.0,0
59,0,1983.87451171875,1983.875,25.125,0.0,54.0911865234375,0.0,0
60,0,1983.8746337890625,1983.875,25.125,0.0,54.0911865234375,0.0,0
61,0,1983.874755859375,1983.875,25.125,0.0,70.9881591796875,0.0,0
62,0,1983.874755859375,1983.875,25.125,0.0,70.9881591796875,0.0,0
63,0,1961.24365234375,1983.874755859375,25.125,0.0,70.9881591796875,0.0,0
64,0,1942.7391357421875,1983.8740234375,25.125,0.0,87.8851318359375,0.0,0
65,0,1938.6944580078125,1983.8740234375,25.125,0.0,87.8851318359375,0.0,0
