label,run_dir,checkpoint,frames,Hippo_n_feature,Hippo_L,DG_BN_intercept,mean_active_fraction,median_active_fraction,mean_si,max_si
HRL_F16_L128_T243__00_HRL_F16_L128_T243_see_8,/work/classic/fr_xl1014-train/hrl_intrinsic_arch_search/train_dir/hipposlam_hrl_intrinsic_arch/HRL_F16_L128_T243_/00_HRL_F16_L128_T243_see_8,/work/classic/fr_xl1014-train/hrl_intrinsic_arch_search/train_dir/hipposlam_hrl_intrinsic_arch/HRL_F16_L128_T243_/00_HRL_F16_L128_T243_see_8/checkpoint_p0/checkpoint_000005296_86769664.pth,2001,16,128,2.43,0.0002498750624687656,0.0,5.1919024896741646e-05,0.0004952794179970027
HRL_F16_L64_T260__00_HRL_F16_L64_T260_see_8,/work/classic/fr_xl1014-train/hrl_intrinsic_arch_search/train_dir/hipposlam_hrl_intrinsic_arch/HRL_F16_L64_T260_/00_HRL_F16_L64_T260_see_8,/work/classic/fr_xl1014-train/hrl_intrinsic_arch_search/train_dir/hipposlam_hrl_intrinsic_arch/HRL_F16_L64_T260_/00_HRL_F16_L64_T260_see_8/checkpoint_p0/checkpoint_000005372_88014848.pth,2001,16,64,2.6,0.0001561719140429785,0.0,0.0002301802210003704,0.0017338905332188832
HRL_F16_L64_T220__00_HRL_F16_L64_T220_see_8,/work/classic/fr_xl1014-train/hrl_intrinsic_arch_search/train_dir/hipposlam_hrl_intrinsic_arch/HRL_F16_L64_T220_/00_HRL_F16_L64_T220_see_8,/work/classic/fr_xl1014-train/hrl_intrinsic_arch_search/train_dir/hipposlam_hrl_intrinsic_arch/HRL_F16_L64_T220_/00_HRL_F16_L64_T220_see_8/checkpoint_p0/checkpoint_000005476_89718784.pth,2001,16,64,2.2,0.0001874062968515742,0.0,0.00015605847808094236,0.0010183012494281206
