run_name,family,factor1,factor2,goal_conditioning,seed,delta_coverage_auc,delta_option_success,delta_action_sensitivity,delta_target_rate,delta_shuffle_rate,delta_target_advantage,delta_reachable_pairs
DPR_C05_DIR_FILM_S123,DPR,C05,DIR,FILM,123,-10.64846929508198,-0.04479043498360656,-0.0033105088954098368,,,,-0.013934426563934427
DPR_C05_DIR_FILM_S8,DPR,C05,DIR,FILM,8,-9.381408898360654,0.0021943021967213427,0.005023800413114746,,,,0.009057376908196725
DPR_C05_DIR_FILM_S99,DPR,C05,DIR,FILM,99,-4.940250724590165,-0.008987706131147605,0.0028532148508196714,,,,-0.01957650313114754
DPR_C05_DIR_LEG_S123,DPR,C05,DIR,LEG,123,7.730755183606554,0.08748460895081966,-0.0009419514901639336,,,,0.0365437160852459
DPR_C05_DIR_LEG_S8,DPR,C05,DIR,LEG,8,-9.755143035094918,-0.019250378239937457,0.004308458782485978,,,,-0.002427155431827006
DPR_C05_DIR_LEG_S99,DPR,C05,DIR,LEG,99,-3.457871839672137,-0.2472851784242623,-0.009225480984092893,,,,-0.02118374302885246
DPR_C05_MON_FILM_S123,DPR,C05,MON,FILM,123,-4.266433527868855,-0.031193990937704946,-0.002515804721967215,,,,-0.0027049180655737692
DPR_C05_MON_FILM_S8,DPR,C05,MON,FILM,8,-4.536587380327873,0.012176181147540932,-0.0003288423377049293,,,,-0.0002868852491803263
DPR_C05_MON_FILM_S99,DPR,C05,MON,FILM,99,-4.477574232786878,0.03771995406557371,-0.00028278625901639876,,,,0.0023770487639344154
DPR_C05_MON_LEG_S123,DPR,C05,MON,LEG,123,4.461719734426232,0.024759036196721373,0.0049543625570491814,,,,0.007718579321311484
DPR_C05_MON_LEG_S8,DPR,C05,MON,LEG,8,18.340517677890425,0.13623752635843614,0.0073945536291673865,,,,-0.002279982922864538
DPR_C05_MON_LEG_S99,DPR,C05,MON,LEG,99,-10.477870845901634,-0.03256110422950814,0.0008378906491803319,,,,0.002445355222950819
DPR_C05_PRED_FILM_S123,DPR,C05,PRED,FILM,123,-10.073137007697198,-0.0012758884039498486,-0.003988836989572302,,,,0.005120675954664221
DPR_C05_PRED_FILM_S8,DPR,C05,PRED,FILM,8,-11.826057393442618,0.05258609958688526,0.01785207122622951,,,,0.0007103823081967171
DPR_C05_PRED_FILM_S99,DPR,C05,PRED,FILM,99,-2.6786328229508207,0.012869719967213145,0.006853151258688524,,,,0.01140710377377048
DPR_C05_PRED_LEG_S123,DPR,C05,PRED,LEG,123,-2.991105314754101,0.11853121000000005,0.0018857222790163936,,,,0.011584699390163933
DPR_C05_PRED_LEG_S8,DPR,C05,PRED,LEG,8,6.35089343573771,0.0030342872808742927,0.003447815699836064,,,,-0.0037682145319672122
DPR_C05_PRED_LEG_S99,DPR,C05,PRED,LEG,99,-1.3374903868852641,0.013551383557377034,0.00446283226590164,,,,0.0005874317409836066
DPR_C13_DIR_FILM_S123,DPR,C13,DIR,FILM,123,-12.88984105901639,0.023555049960655737,0.0024957801842622925,,,,0.0011338798590163934
DPR_C13_DIR_FILM_S8,DPR,C13,DIR,FILM,8,18.31134351147542,-0.005506288022950818,0.0033209019911475384,,,,-0.0011475410721311476
