family,factor1,factor2,goal_conditioning,window_low_m,coverage_auc_mean,coverage_auc_std,option_success_mean,option_success_std,action_sensitivity_mean,action_sensitivity_std,target_rate_mean,target_rate_std,shuffle_rate_mean,shuffle_rate_std,target_advantage_mean,target_advantage_std,reachable_pairs_mean,reachable_pairs_std
DPR,C05,DIR,FILM,5,58.841981791256835,25.886561553461775,0.18136143855956285,0.043450897263784406,0.0051528448343169395,0.0011415420989569522,,,,,,,0.004221311684153006,0.003332577486926041
DPR,C05,DIR,FILM,15,48.656219992349726,15.172269140793661,0.24145444696174864,0.027703575921114245,0.011881809787540984,0.005721559602505712,,,,,,,0.012982696121311475,0.013642646765771585
DPR,C05,DIR,FILM,25,40.3393555925926,9.696533048347794,0.3150535372549019,0.05128532583014348,0.020331213444444444,0.00875408803764132,,,,,,,0.021813726104575163,0.014367404269967998
DPR,C05,DIR,FILM,35,39.96763355519125,3.4814438372071344,0.3367430139628415,0.07781269864308443,0.027476959685464476,0.012659087799285814,,,,,,,0.04252276949508196,0.028931995530491274
DPR,C05,DIR,FILM,45,46.32364032349727,13.216942349203851,0.23625556570273223,0.06645543130061941,0.03132066506502732,0.01920801360384524,,,,,,,0.030810565406557373,0.015088959258558556
DPR,C05,DIR,FILM,55,46.41859342076503,17.794332372977376,0.2369038389486339,0.09958426602085607,0.03439130195519126,0.022685252981058047,,,,,,,0.019184882313661205,0.0050053408605897865
DPR,C05,DIR,FILM,65,38.00026401748634,11.149158247924007,0.21906095273005463,0.09090588143183695,0.03284283385453552,0.023515986300505363,,,,,,,0.022659381144262292,0.0022424909300667005
DPR,C05,DIR,LEG,5,65.15001730942264,20.519564569434994,0.14751053089285662,0.04714320793287719,0.0016034610910272867,0.000855553780651958,,,,,,,0.000696886138312482,0.000546200986580897
DPR,C05,DIR,LEG,15,54.647210665279395,10.567985297219206,0.16652303599710036,0.04773110492966124,0.005824048565927766,0.0035655266179558318,,,,,,,0.004955306210928961,0.004585801835182221
DPR,C05,DIR,LEG,25,48.27295839264419,0.9740645708683829,0.19055480043447567,0.04873969867829586,0.010375184785915462,0.007140413005839673,,,,,,,0.009949852096405228,0.009093345801950299
DPR,C05,DIR,LEG,35,46.25735397690885,5.483883235490265,0.23835213968701652,0.09165145678663285,0.011649008549009262,0.008004463436686125,,,,,,,0.01914138540685584,0.02151110990650385
DPR,C05,DIR,LEG,45,42.3387633560699,3.5823324460204127,0.26347063372795726,0.1110839889861246,0.016365042408513778,0.005099719947024865,,,,,,,0.02043405207159261,0.0235761135578827
DPR,C05,DIR,LEG,55,36.965103209836066,5.358608704430562,0.28575303037267763,0.14269226672412294,0.02248736931661202,0.010462003275290083,,,,,,,0.03065118442076502,0.027154059060579806
DPR,C05,DIR,LEG,65,40.511343459016395,6.909108806853714,0.20378698449016394,0.14835636096456786,0.014412051177923497,0.007132891585109703,,,,,,,0.024744991279781418,0.02377583950788399
DPR,C05,MON,FILM,5,49.22281056057911,17.209502664701965,0.18387244698612706,0.05670445819487401,0.009705579858871617,0.0018758271861882443,,,,,,,0.0011777536695703021,0.0007403753362385449
DPR,C05,MON,FILM,15,48.76663214144144,18.532170674095973,0.1992193584405553,0.06580425581829255,0.023516782988253212,0.007949739211361611,,,,,,,0.008814752659038546,0.006418474048714156
DPR,C05,MON,FILM,25,51.06468792477231,16.22966589125965,0.207344206528176,0.08341865157279899,0.03597103058935212,0.017976800090329956,,,,,,,0.01539358580708954,0.020946503772818766
DPR,C05,MON,FILM,35,48.54062281857924,11.968556489938404,0.2069019822819672,0.08970151496433858,0.04525474692240437,0.021380765527745583,,,,,,,0.018037341136612026,0.01605818608901897
DPR,C05,MON,FILM,45,38.82413787431694,5.4593183951318345,0.2286992797825137,0.08596552895051193,0.053490543246448086,0.02805693746710802,,,,,,,0.025077414147540982,0.018890653684427033
DPR,C05,MON,FILM,55,33.217641095081966,6.612332897953035,0.24009539057704918,0.1106823651112437,0.05125116404153005,0.023087951217878006,,,,,,,0.02775500970273224,0.0210275562152931
DPR,C05,MON,FILM,65,34.3972728273224,5.5818897416154,0.23493332787431695,0.12006791152319406,0.05244806547355191,0.0293164271708758,,,,,,,0.024872495963934427,0.021217145847231767
DPR,C05,MON,LEG,5,48.79180998469946,13.518425207340488,0.1893396365355191,0.032591792306882396,0.002932881082502732,0.001113473448954706,,,,,,,0.0015027323562841531,0.0016924461023001868
DPR,C05,MON,LEG,15,48.70477087103825,14.719754798376073,0.21506718027868854,0.04133269236596299,0.007304892055737706,0.0029221292081912007,,,,,,,0.004285064003278689,0.004064898509876674
DPR,C05,MON,LEG,25,41.77520991721133,7.141881997912976,0.21382761928093683,0.11439736388546966,0.012755284184749456,0.0036747766582805614,,,,,,,0.005732571063180827,0.004775065122772903
DPR,C05,MON,LEG,35,44.55030711038251,6.09614639545468,0.2630059331486339,0.09540910063574908,0.016804298018797813,0.007124386579927224,,,,,,,0.01096083841092896,0.005161663159058272
DPR,C05,MON,LEG,45,39.67312895956284,7.652961760589566,0.22399758506852455,0.16921936727406908,0.014533534192896174,0.011951832175961737,,,,,,,0.012841530580327866,0.01177716870378008
DPR,C05,MON,LEG,55,43.50682792432053,7.716445044150705,0.2386379576356342,0.13955964475060967,0.016683409522032643,0.00795677163208458,,,,,,,0.01641251178804645,0.019599497098173792
DPR,C05,MON,LEG,65,43.78125114836785,10.07103975622391,0.2668094045104077,0.0919723330971425,0.018929136471361806,0.008689777118908181,,,,,,,0.015469514454127122,0.01622958092430597
DPR,C05,PRED,FILM,5,48.86154710879745,1.730215301571062,0.17158399040979624,0.049984663839645165,0.009668221562248398,0.003980884241968885,,,,,,,0.010596720476423118,0.010385907823406077
DPR,C05,PRED,FILM,15,39.14803534453832,6.083275583364322,0.21372421557223373,0.041339194180309645,0.02557738262777672,0.011990327318656574,,,,,,,0.022536725593860385,0.019688632367783128
DPR,C05,PRED,FILM,25,35.342625900954545,12.977276597892411,0.2455269941698608,0.11661996666862803,0.03154116014046195,0.01027294723352907,,,,,,,0.024703682644038258,0.025479557381325936
DPR,C05,PRED,FILM,35,37.66406487465711,7.642682491859956,0.2605626450892411,0.12090036623643356,0.03186041043774834,0.01098543526022432,,,,,,,0.031338180038978765,0.033073924112461094
DPR,C05,PRED,FILM,45,37.40633348011598,8.447950853244565,0.2556484232106762,0.12373134265425643,0.034650305732163864,0.012640559494925393,,,,,,,0.03197802488390766,0.02806129543773449
DPR,C05,PRED,FILM,55,33.80126465148116,4.169018723414108,0.27079018633344837,0.11594623075540081,0.044824439999277155,0.020303121078770366,,,,,,,0.031192280215703194,0.028694849478228875
DPR,C05,PRED,FILM,65,29.2137244054191,4.395021842148819,0.27704173359405904,0.11373646068417281,0.04155576756394577,0.015816728929013896,,,,,,,0.03772407889611814,0.032326612509434124
DPR,C05,PRED,LEG,5,66.47873792459016,22.18273390806872,0.2099473668196721,0.12611958783561567,0.00264709529463388,0.0027110483087155065,,,,,,,0.011174863857923496,0.011718517117377132
DPR,C05,PRED,LEG,15,61.12063377814207,26.602753751403743,0.23243422992786889,0.13535863746232565,0.00560486356525683,0.0063455695539328194,,,,,,,0.02039617547103825,0.01645379982246181
DPR,C05,PRED,LEG,25,57.27547280827886,30.9868563202636,0.24532895268954247,0.13118897085334036,0.006405691030718954,0.006819019235216638,,,,,,,0.025354031061002178,0.01990703051723381
DPR,C05,PRED,LEG,35,58.284861525683056,31.34694667360716,0.24764714922841527,0.12462255437133679,0.008377378670163934,0.00871045827582013,,,,,,,0.019426229786885244,0.018238124670461923
DPR,C05,PRED,LEG,45,58.799136174863385,33.492856249313164,0.23866833903387977,0.11644240980422652,0.009652124970273224,0.0073342409899086565,,,,,,,0.01914845202295082,0.017656417494508407
DPR,C05,PRED,LEG,55,57.78767846448088,34.163327774231895,0.2791490047759563,0.14868279740442994,0.01093789437704918,0.0076187254604500225,,,,,,,0.018734062315846994,0.01998697092125293
DPR,C05,PRED,LEG,65,59.47323541956283,31.40886251079696,0.2837072993132969,0.14940789555615733,0.01291758171852459,0.007620030731721477,,,,,,,0.02194975755601093,0.023147571545553206
DPR,C13,DIR,FILM,5,52.74659238032786,10.865301239134006,0.047553501614207655,0.0057716955588941144,0.005211000531486339,0.001966350005356919,,,,,,,0.0004007286240437158,0.0002625416491171956
DPR,C13,DIR,FILM,15,41.5472500579235,3.041056670578496,0.043660073234972674,0.028768323995460695,0.01060488378557377,0.002345170885476504,,,,,,,0.0013023680437158466,0.0019118527344954951
DPR,C13,DIR,FILM,25,33.24653162527233,3.1224405896220335,0.05082235989215687,0.014292675843625563,0.017478562347603487,0.0014531899277948272,,,,,,,0.0005083515294117647,0.000450445425248162
DPR,C13,DIR,FILM,35,34.207970957473485,3.7048956870691856,0.02729707970975169,0.02398164789225192,0.017667795960936997,0.001362172706062616,,,,,,,0.0004661383368731919,0.0007679201715801014
DPR,C13,DIR,FILM,45,41.836115451220714,5.7008681650581385,0.022646247351190224,0.009666699528520726,0.017994679065090644,0.004045220061974701,,,,,,,0.0018392982732428058,0.002006670121869353
DPR,C13,DIR,FILM,55,39.005169853454845,9.326884415883066,0.020774933944273082,0.007975451886899394,0.022108601617494967,0.00861796606352779,,,,,,,0.000141495313783434,0.00015162051095146602
DPR,C13,DIR,FILM,65,45.5475928295082,10.916015307477192,0.024401250456830604,0.0133406749726472,0.019253186655519127,0.0015822188239559922,,,,,,,0.0005236794546448087,0.0005626580621892845
DPR,C13,DIR,LEG,5,55.370097077595624,11.925041296890875,0.03142073659781421,0.011143980955015483,0.003754219452043716,0.0007339821517200891,,,,,,,0.0012249545584699453,0.001210873858044085
DPR,C13,DIR,LEG,15,45.73382522295082,6.341229323280203,0.02401068092896175,0.0035410395617508513,0.00518646113790164,0.001798151009797697,,,,,,,0.0017349728076502733,0.002454002354966946
DPR,C13,DIR,LEG,25,36.173974916122,4.892550052166092,0.027836522648148152,0.008890729126036886,0.0059925495017429204,0.0007211028730148032,,,,,,,0.0031726581862745098,0.0012659006223412874
DPR,C13,DIR,LEG,35,36.291265792349726,7.027250655451246,0.025848267902732244,0.005637508402658037,0.0073838711904262305,0.0025500690943770724,,,,,,,0.0029052825442622953,0.0014333416846801963
DPR,C13,DIR,LEG,45,38.93653598032787,3.540381604138673,0.02214828300546448,0.015626537910830934,0.008145805189836064,0.002523799393622877,,,,,,,0.0013023680459016392,0.0011290414934312836
DPR,C13,DIR,LEG,55,46.997649748633876,4.3876930614504905,0.029996814025136615,0.023883214283355353,0.010175085524262295,0.005175630582288604,,,,,,,0.002381603101639344,0.00185959705759833
DPR,C13,DIR,LEG,65,41.68250202897077,10.687127638537838,0.02860333664876914,0.008102315872317734,0.013565560629480784,0.006696549832513525,,,,,,,0.0005085304019152734,0.0007757968055206534
DPR,C13,MON,FILM,5,50.56189589398907,8.215231236152603,0.045932722961748634,0.013922256047894902,0.005104252761092896,0.0026208868168537324,,,,,,,7.741348524590163e-05,0.0001340840896368853
DPR,C13,MON,FILM,15,41.44699204153005,0.2929057383198618,0.03887778862185793,0.03172655396468722,0.008728908770163935,0.0004577759125601678,,,,,,,0.0014663024852459017,0.0012443948998393977
DPR,C13,MON,FILM,25,42.68128333551198,7.941483847995646,0.0433984392211329,0.03604584052943353,0.014040610118736384,0.004479110080957253,,,,,,,0.0003631082352941176,0.00039142179352053805
DPR,C13,MON,FILM,35,46.114768688524585,14.531294949553129,0.02705649113770492,0.020093446220324086,0.017915558317814207,0.005099376138659624,,,,,,,6.375228196721311e-05,5.687612475408232e-05
DPR,C13,MON,FILM,45,44.00034125464481,8.826130976788855,0.020632965824043715,0.004977008099381316,0.020344114877595628,0.005172593649807563,,,,,,,7.741348524590165e-05,6.309839512324014e-05
DPR,C13,MON,FILM,55,37.727886350819674,4.868269505888504,0.04131260258797814,0.04424153670037512,0.016220602100983608,0.003969276707307225,,,,,,,0.0015846995781420763,0.0020602163459449894
DPR,C13,MON,FILM,65,37.71674139781421,9.225395805379065,0.05169064526448087,0.05231877440955967,0.018440065287868852,0.009121048391643169,,,,,,,0.0006420765464480875,0.00041593819973451346
DPR,C13,MON,LEG,5,61.70084812941317,10.415902430182467,0.03835837439593728,0.014129379847736967,0.003465346820156807,0.0008191515579900442,,,,,,,0.0006987012462817771,0.0007516331346481713
DPR,C13,MON,LEG,15,41.28468890457835,4.4587341152674,0.02702772561982474,0.009890099324555776,0.0073972789877423326,0.002562061834984344,,,,,,,0.0003073565614532565,0.0003072485050804541
DPR,C13,MON,LEG,25,37.90442190921663,0.7630812383348725,0.023837221227166805,0.008173844295502854,0.008988297554187744,0.0028447344114857246,,,,,,,0.00023598088465473144,0.0003383514313537838
DPR,C13,MON,LEG,35,33.66831176738514,4.854262837203769,0.02370780690327363,0.0020963754934852784,0.01065882369464076,0.003045655475314483,,,,,,,0.0008783858109997976,0.0008980109594837168
DPR,C13,MON,LEG,45,35.89274865658159,4.103632765833083,0.01784998863679417,0.007394498288872233,0.014488095787163311,0.004391502251465007,,,,,,,0.0002771437357128035,0.00043515040422936865
DPR,C13,MON,LEG,55,33.03242351965557,3.9902201410123177,0.018935677115274527,0.006022947975446463,0.01444674143295011,0.007087766182181292,,,,,,,0.00017741822439855227,0.0002618361814536021
DPR,C13,MON,LEG,65,32.755172975681766,5.609494520730004,0.021937316326268358,0.007269233870110316,0.019068948039603243,0.010754522828070904,,,,,,,0.00025906647928935854,0.0004149831955697954
DPR,C13,PRED,FILM,5,52.97870351038252,12.823079755864406,0.027916479531147547,0.011759394060884845,0.004317003129595628,0.001474045056125891,,,,,,,0.00036429875300546445,0.0003416211428549236
DPR,C13,PRED,FILM,15,41.394526852459016,7.483476891915572,0.02262606847213115,0.014883948669666656,0.00914296448,0.0009829887712676892,,,,,,,0.0006602914918032787,0.0011436584116087277
DPR,C13,PRED,FILM,25,34.315469052287575,5.1066817867302285,0.014108207688453162,0.004819408668637711,0.016718024978213508,0.0034228562238022417,,,,,,,0.0007307553235294116,0.0012539315454715156
DPR,C13,PRED,FILM,35,40.281619328961746,8.195297610631277,0.009650565535519124,0.0025804092229950327,0.01758383393431694,0.0026544649802588143,,,,,,,0.0006193078819672132,0.0010726727170950825
DPR,C13,PRED,FILM,45,43.350226242622945,12.130053510092242,0.014711256815300547,0.006889278350924954,0.01802106683431694,0.0056769673196683,,,,,,,0.00017759564262295082,0.00017759564262295082
DPR,C13,PRED,FILM,55,46.22183740218579,4.881835937251806,0.01244803114535519,0.002201749471060646,0.017820908189617485,0.002777964819013285,,,,,,,0.0,0.0
DPR,C13,PRED,FILM,65,44.3119925989071,6.332343644182393,0.008380834844808742,0.0018932860434713484,0.02730540075125683,0.0007955394874065703,,,,,,,5.46448131147541e-05,9.464759268486022e-05
DPR,C13,PRED,LEG,5,61.881604719125676,13.458041338789782,0.04957445988415301,0.00922486389289605,0.0024862742308852455,0.000775973928534725,,,,,,,0.0006511840218579235,0.0005485501911375493
DPR,C13,PRED,LEG,15,44.26973881202186,4.059001441769524,0.02501906966885246,0.01269612722096772,0.00404660287809836,0.0015819617774756622,,,,,,,0.0003688524885245902,0.00041458994861783585
