family,run_name,factor1,factor2,goal_conditioning,seed,window_low_m,window_high_m,samples,coverage_auc,option_success,action_sensitivity,target_rate,shuffle_rate,target_advantage,reachable_pairs
DPR,DPR_C05_DIR_FILM_S123,C05,DIR,FILM,123,5,15,305,39.10712726885246,0.20120493219672128,0.004850617036393442,,,,0.0076639346819672135
DPR,DPR_C05_DIR_FILM_S123,C05,DIR,FILM,123,15,25,305,32.112662272131146,0.24468606144262298,0.006045799021639344,,,,0.028483606829508196
DPR,DPR_C05_DIR_FILM_S123,C05,DIR,FILM,123,25,35,306,29.6151017124183,0.3397196259803921,0.01091470910130719,,,,0.03604302881045752
DPR,DPR_C05_DIR_FILM_S123,C05,DIR,FILM,123,35,45,305,36.08508355737705,0.29741008136393443,0.013052788456393441,,,,0.04815573880655737
DPR,DPR_C05_DIR_FILM_S123,C05,DIR,FILM,123,45,55,305,61.49236429508198,0.16370938553442624,0.009422528775409836,,,,0.03407103906229508
DPR,DPR_C05_DIR_FILM_S123,C05,DIR,FILM,123,55,65,305,66.96386214754098,0.12265641382950819,0.008197048918032787,,,,0.02030054727213115
DPR,DPR_C05_DIR_FILM_S123,C05,DIR,FILM,123,65,75,305,50.843894999999996,0.11891895055081968,0.00611201988,,,,0.020136612498360656
DPR,DPR_C05_DIR_FILM_S8,C05,DIR,FILM,8,5,15,305,49.26678302622951,0.1315315811213115,0.006415089748196722,,,,0.0010109290393442623
DPR,DPR_C05_DIR_FILM_S8,C05,DIR,FILM,8,15,25,305,51.934926216393436,0.21227678891803278,0.01748160152295082,,,,0.0028005466688524588
DPR,DPR_C05_DIR_FILM_S8,C05,DIR,FILM,8,25,35,306,48.48815387908497,0.2560956851633987,0.028222411081699345,,,,0.007312092022875816
DPR,DPR_C05_DIR_FILM_S8,C05,DIR,FILM,8,35,45,305,42.81157423278688,0.28644873140983607,0.03674086575409836,,,,0.011188525321311473
DPR,DPR_C05_DIR_FILM_S8,C05,DIR,FILM,8,45,55,305,40.1952745147541,0.29418767599999995,0.0453195704,,,,0.014357924078688522
DPR,DPR_C05_DIR_FILM_S8,C05,DIR,FILM,8,55,65,305,36.38515418360655,0.30532668550819675,0.04761701184590165,,,,0.02353825191803279
DPR,DPR_C05_DIR_FILM_S8,C05,DIR,FILM,8,65,75,305,30.813865616393443,0.2963819781967213,0.05034337081311475,,,,0.023415300986885247
DPR,DPR_C05_DIR_FILM_S99,C05,DIR,FILM,99,5,15,305,88.15203507868853,0.21134780236065573,0.004192827718360655,,,,0.003989071331147541
