run_name,base,capacity,seed,target_env_steps,reliable_pairs_with_20_prospective_attempts,pairs_at_80,targets_at_80,distinct_target_peaks_at_80,mono_targets_at_80,pairs_also_current_posterior_80,pairs_at_90,targets_at_90,distinct_target_peaks_at_90,mono_targets_at_90,pairs_also_current_posterior_90
DGC_DIRECT_WORKER_F64_S99,DIRECT_WORKER,64,99,5000000,0,0,0,0,0,0,0,0,0,0,0
DGC_DIRECT_WORKER_F64_S99,DIRECT_WORKER,64,99,25000000,0,0,0,0,0,0,0,0,0,0,0
DGC_DIRECT_WORKER_F64_S99,DIRECT_WORKER,64,99,75000000,0,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F16_S123,WAYPOINT_DG,16,123,5000000,8,1,1,1,0,1,0,0,0,0,0
DGC_WAYPOINT_DG_F16_S123,WAYPOINT_DG,16,123,25000000,9,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F16_S8,WAYPOINT_DG,16,8,5000000,11,1,1,1,0,1,0,0,0,0,0
DGC_WAYPOINT_DG_F16_S8,WAYPOINT_DG,16,8,25000000,12,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F16_S8,WAYPOINT_DG,16,8,75000000,10,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F16_S99,WAYPOINT_DG,16,99,5000000,0,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F16_S99,WAYPOINT_DG,16,99,25000000,21,1,1,1,0,1,1,1,1,0,1
DGC_WAYPOINT_DG_F32_S123,WAYPOINT_DG,32,123,5000000,3,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F32_S123,WAYPOINT_DG,32,123,25000000,3,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F32_S8,WAYPOINT_DG,32,8,5000000,6,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F32_S8,WAYPOINT_DG,32,8,25000000,16,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F32_S99,WAYPOINT_DG,32,99,5000000,4,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F32_S99,WAYPOINT_DG,32,99,25000000,10,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F64_S123,WAYPOINT_DG,64,123,5000000,5,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F64_S123,WAYPOINT_DG,64,123,25000000,11,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F64_S8,WAYPOINT_DG,64,8,5000000,4,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F64_S8,WAYPOINT_DG,64,8,25000000,12,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F64_S99,WAYPOINT_DG,64,99,5000000,4,0,0,0,0,0,0,0,0,0,0
DGC_WAYPOINT_DG_F64_S99,WAYPOINT_DG,64,99,25000000,22,1,1,1,0,0,0,0,0,0,0
