condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,mean_lifetime_hoyer_sparsity,mean_active_unit_lifetime_hoyer_sparsity,mean_population_hoyer_sparsity,mean_lifetime_kurtosis,mean_active_unit_lifetime_kurtosis,best_corr_to_latent_probs,best_corr_to_latent_values,best_corr_to_latent_samples,best_weight_alignment_to_latent_vectors,mean_weight_row_entropy_to_latents,mean_weight_row_effective_latents,mean_weight_row_participation_latents,mean_weight_col_entropy_over_rows,mean_weight_col_effective_rows,mean_weight_col_participation_rows
no_learning,0.5,0,0.3193359375,0.3203125,0.013776109355142466,2.5546875,1.7004530359124153,1.0,0.09765625,1.4342105263157894,1.6378685177934162,0.5698297441417766,0.5698297441417766,0.7808708317374409,7.228502801431562,7.228502801431562,0.06891602487535728,0.4763974996113979,0.24052203083911589,0.3333846769519655,0.8994030282055496,6.507844337177997,5.872643650754575,0.9042892528198263,6.5811317637756295,5.979040874415422
encourage,0.5,0,0.358642578125,0.357421875,0.011552263832344707,2.869140625,3.210162215367723,1.0,0.439453125,1.4959266802443991,1.2944755536178716,0.5162005758865186,0.5162005758865186,0.6988003972937424,4.513920931161369,4.513920931161369,0.05952931435844809,0.36742908911727035,0.23792481004497087,0.6816910152085238,0.8519912214449995,5.899945250821341,5.079116590389158,0.9329196543279159,7.07408935094446,6.709018927643921
punish,0.5,0,0.297119140625,0.296875,0.0006459353786778786,2.376953125,3.654045287972323,1.0,0.701171875,1.475151515151515,1.6407993546296633,0.6086448726882269,0.6086448726882269,0.7044088776918283,12.014302456592635,12.014302456592635,0.093462409433066,0.20111059536474712,0.23153242990303877,0.45129681857136517,0.9609194476332488,7.3755894458301405,6.868618473995584,0.9999998815309965,7.999998029205425,7.999996058604956
no_learning,0.5,1,0.3193359375,0.318359375,0.019965867480723508,2.5546875,1.754719501043899,1.0,0.126953125,1.4813137032842583,1.5801635459298662,0.5719065299600612,0.5719065299600612,0.7822336703344912,7.485105920902212,7.485105920902212,0.07526699647110993,0.46566126612643055,0.22491149884442901,0.3513158254044144,0.874400619741885,6.186375268899777,5.464308848649427,0.8829198890793893,6.321488022673208,5.611985606243479
encourage,0.5,1,0.359130859375,0.361328125,0.012096669083825678,2.873046875,3.2723832720286197,1.0,0.462890625,1.4888663967611335,1.2946587642100102,0.5165112172775865,0.5165112172775865,0.6969699422376072,4.4985489609044365,4.4985489609044365,0.06508421189283348,0.3844527430565038,0.24054707017069024,0.6749939884531613,0.8620905671346821,6.017442818373027,5.150533738034323,0.962270838851,7.4416112196584425,7.158328597113423
punish,0.5,1,0.299072265625,0.298828125,0.0018105953337635896,2.392578125,3.6491897101646393,1.0,0.697265625,1.4310747663551402,1.6396557738642965,0.6078389479051198,0.6078389479051198,0.7029379731060481,11.964509469743042,11.964509469743042,0.09276584968338572,0.18638811806058372,0.24971133020367953,0.4482095016523112,0.9616026844565524,7.38607574050352,6.884221540544747,0.9999999082891957,7.9999984743421635,7.999996948935854
no_learning,0.5,2,0.32373046875,0.3271484375,0.012872486646937567,2.58984375,1.427866625629277,1.0,0.060546875,1.5085324232081911,1.5525698153388685,0.5663570825393456,0.5663570825393456,0.7783902410693907,7.386750248796675,7.386750248796675,0.07974146757596216,0.5081128243860903,0.2882279093985358,0.3678558992000701,0.8608087849158435,6.036047780616844,5.159506036889731,0.8783309748424382,6.241163721894184,5.468286449338152
encourage,0.5,2,0.369140625,0.37109375,0.014810303601663185,2.953125,3.3192369581539367,1.0,0.4296875,1.5475946775844422,1.2931491002359474,0.5126547348743175,0.5126547348743175,0.6954742861980864,4.534724861583003,4.534724861583003,0.05636154498390948,0.3825923029223909,0.24660055582815169,0.6899799083927209,0.8346266094761622,5.684423463302495,4.8244393571222135,0.9469888917320282,7.224424249703176,6.858837067617756
punish,0.5,2,0.2958984375,0.294921875,0.0021836601342771385,2.3671875,3.631720265913077,1.0,0.6953125,1.4343195266272188,1.6370860977943076,0.6073019612688579,0.6073019612688579,0.7067278179658335,11.953752082893043,11.953752082893043,0.08820748007039785,0.18141146023686067,0.23598934773769287,0.4475305761264974,0.9621577417195745,7.39460576447666,6.898952326821236,0.9999998982377775,7.999998307131507,7.999996614078434
no_learning,0.5,3,0.312255859375,0.3076171875,0.010980901437523935,2.498046875,1.2484349944241127,1.0,0.048828125,1.4370786516853933,1.6561829826692451,0.5764749155611684,0.5764749155611684,0.789190419453871,7.531052840168661,7.531052840168661,0.09150593514258339,0.4465641213006537,0.24912982493220837,0.39865431182173505,0.8683421168510053,6.107996151663319,5.236479543750497,0.872637347970775,6.16395689899332,5.351842437925228
encourage,0.5,3,0.36328125,0.3623046875,0.009959022487485907,2.90625,3.110434806823638,1.0,0.388671875,1.5356037151702786,1.3023484264463128,0.5133177097531588,0.5133177097531588,0.704038916910196,4.402781951010389,4.402781951010389,0.05381848881916121,0.4010233854219126,0.25516821617761165,0.6895032540909098,0.8346225657540162,5.677647581774872,4.8666984814301415,0.9237472070388902,6.9670850208365795,6.489985329711531
punish,0.5,3,0.298828125,0.2978515625,0.0033829117335329633,2.390625,3.6357263179968595,1.0,0.69140625,1.4485207100591715,1.6385736470773105,0.6076983785159282,0.6076983785159282,0.7031039468092128,11.951269312863344,11.951269312863344,0.09314739109355291,0.1897413696849411,0.23903892009795485,0.44882646244993696,0.9617335298156894,7.3880856637401155,6.887841668657935,0.9999999447848382,7.999999081466459,7.999998162951502
no_learning,0.5,4,0.326904296875,0.3271484375,0.015376983638671618,2.615234375,1.2741427662622267,1.0,0.044921875,1.4977628635346756,1.6086517266396714,0.5691921534064628,0.5691921534064628,0.7742581010065434,7.7486913548820135,7.7486913548820135,0.0631688191073329,0.4826011848770764,0.284739727227379,0.3790602964953185,0.8872815258196018,6.345833385737031,5.515753908023148,0.8988672351677156,6.495703090997843,5.742376573395396
encourage,0.5,4,0.363037109375,0.361328125,0.014267090169616192,2.904296875,2.9824717579325433,1.0,0.390625,1.5361570247933884,1.3224191313851426,0.51397267784601,0.51397267784601,0.7002903753621788,4.490787243365743,4.490787243365743,0.056530020124121866,0.3937707099925941,0.24345095897557517,0.6858686353468129,0.8562009433367295,5.9575280809054085,5.067670221580071,0.9449857804775094,7.2032269348938645,6.79617637471693
punish,0.5,4,0.296875,0.296875,0.001953125,2.375,3.6416642829893036,1.0,0.69921875,1.442467378410439,1.6380877533569762,0.6079566836160005,0.6079566836160005,0.7044731441529928,12.020657458709685,12.020657458709685,0.0877707432403384,0.1760539801175513,0.24432333027055408,0.44714190867480164,0.961732869580182,7.388075512322173,6.89001769349354,0.9999999294069895,7.999998825647807,7.999997651249979
no_learning,0.5,5,0.3193359375,0.32421875,0.012391189004345235,2.5546875,1.6180553227080186,1.0,0.111328125,1.4663677130044843,1.6081794570382906,0.5676434646546965,0.5676434646546965,0.7753149944372844,7.131502063953634,7.131502063953634,0.08659569203030243,0.4825034210176057,0.2865422408915501,0.381980726323998,0.892448228676409,6.42498073524659,5.621989471144506,0.8986470916340029,6.507278015181993,5.790228473982725
encourage,0.5,5,0.370849609375,0.3701171875,0.00621000846776216,2.966796875,3.160558799878628,1.0,0.431640625,1.5675954592363261,1.3163984361250896,0.5113220231687159,0.5113220231687159,0.6893575640867535,4.553710517890369,4.553710517890369,0.053456159196909686,0.3864213403119911,0.23345180617671846,0.6881525336518075,0.8577635524565312,5.953972224669117,5.041311537934637,0.95130080214138,7.2851100072419515,6.97751252556277
punish,0.5,5,0.298095703125,0.298828125,0.0016737437989260361,2.384765625,3.6409136612694293,1.0,0.697265625,1.4466824644549763,1.6394123359149722,0.6081604359913642,0.6081604359913642,0.7038198446985648,11.990722340259921,11.990722340259921,0.09331935516572598,0.19646702150346906,0.24609152210181015,0.4494088347535838,0.9613929989731782,7.382855892943303,6.8792842047218095,0.9999999486007674,7.999999144946462,7.999998289868531
no_learning,0.5,6,0.307861328125,0.314453125,0.016222037685918178,2.462890625,1.1068809304921237,1.0,0.03125,1.4461009174311927,1.6637758426491907,0.5786429830372868,0.5786429830372868,0.7936652268815441,7.923236167251794,7.923236167251794,0.0719962417758173,0.5039282344293942,0.22029441990145446,0.33780691729936707,0.8847676476117494,6.315331735880198,5.513702297924225,0.8911873114860467,6.390515721075693,5.689882720661829
encourage,0.5,6,0.364013671875,0.365234375,0.00822503932027491,2.912109375,3.022391993609881,1.0,0.384765625,1.5579937304075235,1.301646427691249,0.519652375354586,0.519652375354586,0.711967299526167,4.736190955918417,4.736190955918417,0.05599656916760527,0.37285557431342875,0.2332571576060567,0.6783637273872288,0.8474114528020669,5.8402547919624235,4.9699731961095654,0.9326365875768757,7.072810180602888,6.746460368107488
punish,0.5,6,0.29638671875,0.296875,0.0033474875978520722,2.37109375,3.627017807884452,1.0,0.693359375,1.4349881796690307,1.637622069328255,0.6072276113596446,0.6072276113596446,0.7067723741166696,11.915782325889763,11.915782325889763,0.08720417298813757,0.17720094108508463,0.24953991398100273,0.44743874856932314,0.9620845054960765,7.393479737781821,6.897151244284192,0.9999999166325872,7.999998613138924,7.999997226322252
no_learning,0.5,7,0.324951171875,0.322265625,0.01642650988184019,2.599609375,1.0125385041627353,1.0,0.017578125,1.4642464246424642,1.638284336650217,0.5657108301026943,0.5657108301026943,0.7813111960380684,7.037537602282418,7.037537602282418,0.07880917281624708,0.4863721902492488,0.2507436161901181,0.33514894802760564,0.861457076142512,6.029029357739601,5.253955671064075,0.8569043897672746,5.994611202412614,5.132662948189619
encourage,0.5,7,0.3662109375,0.3701171875,0.010961886875314282,2.9296875,3.1079122658697673,1.0,0.38671875,1.5641293013555788,1.3086914304290942,0.5103689136780404,0.5103689136780404,0.699802334580873,4.411308192988004,4.411308192988004,0.05215243091810213,0.39893716589825234,0.232313257628295,0.7012967084710627,0.8602085637351596,5.996113680121308,5.088837635528004,0.9491246328806334,7.25451937344962,6.869594569954629
punish,0.5,7,0.297607421875,0.296875,0.0032296768933893927,2.380859375,3.639714859913426,1.0,0.6953125,1.4477434679334917,1.6384271692249683,0.6076296790717202,0.6076296790717202,0.7052589460287533,11.94178588469097,11.94178588469097,0.09171057941972045,0.1999144339524133,0.2419376196911449,0.4489486217666496,0.9619340340359114,7.391166667808222,6.891436801475525,0.9999999473187197,7.999999123618922,7.999998247285728
no_learning,0.5,8,0.31005859375,0.3173828125,0.027023621293011155,2.48046875,1.3833586050888749,1.0,0.07421875,1.4871194379391102,1.6299118386769431,0.5743736924003339,0.5743736924003339,0.7877185644172211,7.4332919655456955,7.4332919655456955,0.09503713435261418,0.4704790353684891,0.23586522110648836,0.3763862837609744,0.8998306471040332,6.529938926632012,5.834796575634252,0.9038950807858925,6.556629890945677,5.880000775058254
encourage,0.5,8,0.365966796875,0.3740234375,0.02161575375494195,2.927734375,3.060690208832537,1.0,0.400390625,1.5549792531120332,1.3070414183655363,0.5173864982744482,0.5173864982744482,0.70321258794194,4.837601630470841,4.837601630470841,0.06326478213269773,0.3891851119328469,0.2537948915249537,0.6661563059963137,0.8417094785426864,5.774580058793401,4.929089588322968,0.9319464344357137,7.008095443212941,6.69976020024119
punish,0.5,8,0.30029296875,0.30078125,0.0008457279333832408,2.40234375,3.6580169842191737,1.0,0.697265625,1.4608076009501187,1.6411340116385889,0.6082926926911365,0.6082926926911365,0.7017376221949851,11.98330990373988,11.98330990373988,0.09552792314161498,0.19483594057695372,0.2608492128755253,0.449577899959754,0.9609175246433617,7.3755599419319235,6.869003536090624,0.9999999312127281,7.999998855687237,7.9999977113683425
no_learning,0.5,9,0.333251953125,0.328125,0.01082785003004721,2.666015625,1.3403945546949447,1.0,0.0234375,1.485310119695321,1.6079877305984467,0.5571912828758048,0.5571912828758048,0.7704794099827255,6.651540606787404,6.651540606787404,0.08635189501200888,0.4685441196430917,0.26195305352140474,0.4199332716374553,0.8531323598131274,5.945599633478172,5.064254404460268,0.8681245091582706,6.111660052118568,5.353052089914168
encourage,0.5,9,0.366943359375,0.36328125,0.011777096772648767,2.935546875,3.1501714508384673,1.0,0.423828125,1.5383828045035823,1.2928106822398644,0.5132873094771551,0.5132873094771551,0.6960348822027392,4.524366018568689,4.524366018568689,0.054571554911235415,0.3852300808318476,0.22432707341898916,0.6884665442387417,0.8751978597482772,6.178691631232361,5.2691303686561906,0.9645063236185827,7.453112968235711,7.09356806987566
punish,0.5,9,0.296630859375,0.296875,0.0020571654719668845,2.373046875,3.6346176420708596,1.0,0.6953125,1.419392523364486,1.6401510870894773,0.6079075336903854,0.6079075336903854,0.7048047739231833,11.969857306689363,11.969857306689363,0.08847721106756615,0.19182986840134908,0.2492789577385005,0.4488520574440967,0.9614977253408437,7.384463888555697,6.881429060181996,0.9999999197610474,7.9999986651824635,7.999997330287162
no_learning,1.0,0,0.172119140625,0.171875,0.01329838264784797,1.376953125,1.35658697345682,1.0,0.314453125,1.1989795918367347,0.668198106452337,0.7014612212785953,0.7014612212785953,0.9046988622079221,15.158823666193648,15.158823666193648,0.0729483740894041,0.4115112096697315,0.20832960731857442,0.3333846769519655,0.8994030282055496,6.507844337177997,5.872643650754575,0.9042892528198263,6.5811317637756295,5.979040874415422
encourage,1.0,0,0.164306640625,0.1640625,0.007716543276015189,1.314453125,1.4005949118777115,1.0,0.373046875,1.1765734265734267,0.44840905128579617,0.6970561945807139,0.6970561945807139,0.905242967991772,12.690883993645986,12.690883993645986,0.07299527042749349,0.3954480436334853,0.17469264468103363,0.5832692585112511,0.8794850544043445,6.243010883088454,5.565814129113178,0.9093054081652834,6.700392698909335,6.103061539095197
punish,1.0,0,0.1689453125,0.1669921875,0.005258950006967289,1.3515625,2.8561606762564584,1.0,0.796875,1.3206106870229009,0.6993587704207358,0.7325177359223223,0.7325177359223223,0.8455485748899954,23.954400098326687,23.954400098326687,0.10418547743735675,0.21011626905197228,0.19766007828523458,0.4126121806508958,0.9694048504976114,7.506957677802725,7.07314694724691,0.9997274034188578,7.995467091265087,7.9910410387618125
