run_name,policy_id,target_env_steps,actual_env_steps,snapshot_path,unit_id,active_fraction,spatial_information,active_observation_count,active_bin_count,field_eligible,mono_field_score,mono_field,dominant_peak_x,dominant_peak_y,secondary_peak_x,secondary_peak_y,primary_secondary_peak_distance,dominant_peak_nearest_neighbor_distance
N8_CPD_GATE_CA3_BPTT_S123,0,5000000,5013504,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000005000000_actual_000005013504.npz,11,0.053029999136924744,0.08589399605989456,5303,194,1,0.32715409994125366,0,150.0,950.0,1950.0,1950.0,2059.1259765625,0.0
N8_CPD_GATE_CA3_BPTT_S123,0,5000000,5013504,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000005000000_actual_000005013504.npz,12,0.05900999903678894,0.33291831612586975,5901,247,1,1.0,1,1750.0,1450.0,nan,nan,nan,100.0
N8_CPD_GATE_CA3_BPTT_S123,0,5000000,5013504,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000005000000_actual_000005013504.npz,13,0.05987999960780144,0.14623688161373138,5988,215,1,0.2391476184129715,0,1550.0,1750.0,1950.0,1550.0,447.2135925292969,200.0
N8_CPD_GATE_CA3_BPTT_S123,0,5000000,5013504,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000005000000_actual_000005013504.npz,14,0.06893999874591827,0.27496322989463806,6894,266,1,0.8570294380187988,1,1850.0,1450.0,nan,nan,nan,0.0
N8_CPD_GATE_CA3_BPTT_S123,0,5000000,5013504,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000005000000_actual_000005013504.npz,15,0.03691999986767769,0.17312800884246826,3692,194,1,1.0,1,1750.0,1750.0,nan,nan,nan,200.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,0,0.09585999697446823,0.4212602376937866,9586,92,1,0.28830602765083313,0,1250.0,150.0,350.0,150.0,900.0,100.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,1,0.04399000108242035,0.10298928618431091,4399,105,1,0.40536990761756897,0,650.0,150.0,nan,nan,nan,400.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,2,0.06504999846220016,0.3339351713657379,6505,249,1,0.2523455023765564,0,250.0,1750.0,1850.0,1750.0,1600.0,984.8858032226562
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,3,0.10606999695301056,0.17566776275634766,10607,180,1,0.18873246014118195,0,1350.0,1950.0,150.0,1450.0,1300.0,400.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,4,0.07308000326156616,0.4360714852809906,7308,253,1,0.1931120753288269,0,1450.0,1350.0,550.0,950.0,984.8858032226562,200.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,5,0.0814799964427948,0.2245917022228241,8148,212,1,0.1677829474210739,0,1750.0,1950.0,1150.0,1250.0,921.9544677734375,400.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,6,0.065420001745224,0.2215338945388794,6542,218,1,0.21104636788368225,0,1350.0,350.0,250.0,350.0,1100.0,200.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,7,0.09933999925851822,0.1499260514974594,9934,166,1,0.2629950940608978,0,1150.0,1350.0,950.0,850.0,538.5164794921875,300.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,8,0.0384799987077713,0.09992224723100662,3848,182,1,0.213981032371521,0,1450.0,1150.0,850.0,1950.0,1000.0,200.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,9,0.08110000193119049,0.17929446697235107,8110,155,1,0.1289779096841812,0,1950.0,350.0,1950.0,1650.0,1300.0,600.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,10,0.0864500030875206,0.3605203628540039,8645,83,1,0.41699421405792236,0,1350.0,150.0,1650.0,1950.0,1824.8287353515625,100.0
N8_CPD_GATE_CA3_BPTT_S123,0,25000000,25001984,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/analysis/online_spatial/intrmotiv_navigation8_algorithm_screen_20260909/N8_CPD_GATE_CA3_BPTT_S123/policy_00/snapshot_target_000025000000_actual_000025001984.npz,11,0.07553999871015549,0.1931113600730896,7554,143,1,0.2851575016975403,0,1150.0,350.0,1650.0,350.0,500.0,0.0
