seed,policy_id,target_env_steps,valid_sample_count__mean,valid_sample_count__sd,valid_sample_count__n,in_bounds_fraction__mean,in_bounds_fraction__sd,in_bounds_fraction__n,visited_cell_fraction__mean,visited_cell_fraction__sd,visited_cell_fraction__n,active_unit_fraction__mean,active_unit_fraction__sd,active_unit_fraction__n,silent_unit_fraction__mean,silent_unit_fraction__sd,silent_unit_fraction__n,active_unit_mean_spatial_information__mean,active_unit_mean_spatial_information__sd,active_unit_mean_spatial_information__n,active_only_map_cosine__mean,active_only_map_cosine__sd,active_only_map_cosine__n,unique_active_peak_bins__mean,unique_active_peak_bins__sd,unique_active_peak_bins__n,mean_physical_step_distance__mean,mean_physical_step_distance__sd,mean_physical_step_distance__n,stationary_step_fraction__mean,stationary_step_fraction__sd,stationary_step_fraction__n,path_efficiency__mean,path_efficiency__sd,path_efficiency__n,mean_absolute_circular_yaw_change__mean,mean_absolute_circular_yaw_change__sd,mean_absolute_circular_yaw_change__n,mono_field_unit_fraction__mean,mono_field_unit_fraction__sd,mono_field_unit_fraction__n,mean_primary_secondary_peak_distance__mean,mean_primary_secondary_peak_distance__sd,mean_primary_secondary_peak_distance__n,median_dominant_peak_nearest_neighbor_distance__mean,median_dominant_peak_nearest_neighbor_distance__sd,median_dominant_peak_nearest_neighbor_distance__n,graph_reliable_global_efficiency__mean,graph_reliable_global_efficiency__sd,graph_reliable_global_efficiency__n,graph_grounded_controllability__mean,graph_grounded_controllability__sd,graph_grounded_controllability__n
123,0,25000000,100000.0,0.0,6,1.0,0.0,6,0.8347183748845799,0.04916930019530185,6,1.0,0.0,6,0.0,0.0,6,0.11746617282430331,0.05664945099583928,6,0.199819748548229,0.07655749039187515,6,14.666666666666666,0.816496580927726,6,13.84340532620748,4.753884549239322,6,0.1541465824151562,0.23391308566319383,6,0.3632768883584882,0.3046893459650356,6,5.7341147263844805,3.3992315912097535,6,0.03125,0.05229125165837972,6,1121.2440287272136,174.22743005339603,6,201.07492065429688,35.76791986239604,6,0.3436574134975672,0.37457157483633663,6,0.0,0.0,6
123,0,5000000,100000.0,0.0,6,1.0,0.0,6,0.8730378578024007,0.019224988747605736,6,1.0,0.0,6,0.0,0.0,6,0.08941772828499477,0.03270741050410128,6,0.21582177193129015,0.11823719217547321,6,14.166666666666666,1.4719601443879744,6,13.794751087824503,4.740537332520503,6,0.11653413652095318,0.14684613546615627,6,0.376361273712388,0.1997613980657353,6,5.7854341467221575,2.9389909553737987,6,0.14583333333333334,0.12289901003127188,6,1215.6361083984375,104.28886258106643,6,197.56836700439453,53.55644640839488,6,0.3042824089837571,0.33024164260891437,6,0.0015488572729130585,0.0037939100030356626,6
123,0,75000000,100000.0,0.0,6,1.0,0.0,6,0.8638042474607571,0.018821622447497275,6,1.0,0.0,6,0.0,0.0,6,0.1192956380546093,0.08712313704232963,6,0.21872571379011438,0.07879060357559224,6,15.0,1.2649110640673518,6,13.360456625620523,5.336959815674963,6,0.17562842872465698,0.2296209154355574,6,0.34066347612407966,0.18454009396961685,6,6.39547993739446,2.6814614506278236,6,0.052083333333333336,0.04704829079431756,6,1210.5376790364583,132.4569655767943,6,196.1385930379232,45.20826588264054,6,0.3317476824546854,0.36651083812459156,6,0.0,0.0,6
8,0,25000000,100000.0,0.0,6,1.0,0.0,6,0.8573407202216067,0.02729621391927981,6,1.0,0.0,6,0.0,0.0,6,0.08546517478923003,0.04746837621315818,6,0.3086725332588303,0.13552306585408808,6,13.0,0.6324555320336759,6,13.426997979482016,3.4044986071868393,6,0.1065887326337296,0.09580882175679514,6,0.27143968703839494,0.10995227460290001,6,7.20131270090739,1.6133656290993534,6,0.020833333333333332,0.05103103630798288,6,1236.1832682291667,198.07864178608196,6,237.43685913085938,159.21209251563585,6,0.3358912045756976,0.36981204072725626,6,0.0012503738980740309,0.0030627780379761578,6
8,0,5000000,100000.0,0.0,6,1.0,0.0,6,0.8771929824561404,0.007769412361205049,6,1.0,0.0,6,0.0,0.0,6,0.047495791067679725,0.014870762737787957,6,0.33202638989001315,0.045342955356139976,6,14.5,1.6431676725154984,6,12.314870357513428,2.9120910815422305,6,0.06993478641289967,0.036011321614151943,6,0.3917343763878464,0.12109621081071185,6,5.711682955423991,1.282678815546399,6,0.041666666666666664,0.07569125885243728,6,1218.5691935221355,166.7998226371554,6,267.1266682942708,39.585987271824116,6,0.23798610968515277,0.2569967462969565,6,0.0,0.0,6
8,0,75000000,100000.0,0.0,6,1.0,0.0,6,0.8499538319482918,0.03605012444063609,6,1.0,0.0,6,0.0,0.0,6,0.09458463018139203,0.033505635688877836,6,0.25780309445652777,0.13472608921260842,6,12.833333333333334,2.562550812504343,6,10.983704805374146,4.4807226948309244,6,0.23371109516390806,0.20285745723022566,6,0.36138995977273075,0.23257217350055728,6,5.444412211577098,3.8109394314789498,6,0.15625,0.1926379375927805,6,1120.4016927083333,165.338310616154,6,151.96723429361978,106.10979304395207,6,0.3488078700999419,0.38882795080564647,6,0.023758309582869213,0.05819573562910542,6
99,0,25000000,100000.0,0.0,6,1.0,0.0,6,0.8642659279778394,0.023764665473160373,6,1.0,0.0,6,0.0,0.0,6,0.09956441322962443,0.08360052673395064,6,0.3203393082456027,0.13077992746459127,6,14.0,1.5491933384829668,6,12.671472589174906,5.676020895122615,6,0.17310176320671103,0.2674819226516359,6,0.2977066415479222,0.2025783614070925,6,6.611932595570882,1.6380700717748715,6,0.03125,0.07654655446197431,6,1214.5687967936199,174.5636039755847,6,149.1076863606771,119.55088444706206,6,0.37644675684471923,0.40214140204446086,6,0.0009307146538048983,0.002279775997953095,6
99,0,5000000,100000.0,0.0,6,1.0,0.0,6,0.8771929824561404,0.009047053528285057,6,1.0,0.0,6,0.0,0.0,6,0.07299191194276015,0.041086372766855346,6,0.29632251593624126,0.10535019149589528,6,15.333333333333334,1.0327955589886444,6,13.52254549662272,2.9239251636594408,6,0.05987586881735731,0.045326197408754515,6,0.34116788545056137,0.1927185904040566,6,5.841257651646932,2.2230937838529776,6,0.08333333333333333,0.11636866703140784,6,1081.9777730305989,88.86053376042135,6,178.04214986165366,64.2142379644791,6,0.2792824059724808,0.29813573618530004,6,0.00972429538766543,0.02381956180788024,6
99,0,75000000,100000.0,0.0,6,1.0,0.0,6,0.8642659279778394,0.023570135607958616,6,1.0,0.0,6,0.0,0.0,6,0.09012468159198761,0.060120517022034484,6,0.32992667501954276,0.11497453268910167,6,14.333333333333334,1.3662601021279464,6,14.432398398717245,4.03292749692932,6,0.10708570175393362,0.16167908149316096,6,0.36309809790322706,0.21438839976856724,6,5.785619775454204,2.5734528398389704,6,0.0625,0.05590169943749474,6,1248.9295450846355,236.09619692289166,6,203.98924001057944,61.368775007248374,6,0.32622685345510644,0.3790837545254459,6,0.0,0.0,6
