source,repeat,prefix_seed,command,target,initial_action_probabilities,commanded,deadline,hit,hit_time,first_distinct,censored,timeout,elapsed,path_length,start_position,endpoint,exact_start_verified
15,0,31000,1,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,64,False,,13,False,True,64,833.613847933445,"[1150.0, 1850.0, 25.125]","[494.6206970214844, 1983.8746337890625, 25.125]",True
15,0,31000,1,4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,64,False,,13,False,True,64,833.613847933445,"[1150.0, 1850.0, 25.125]","[494.6206970214844, 1983.8746337890625, 25.125]",True
15,0,31000,1,11,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,64,False,,13,False,True,64,833.613847933445,"[1150.0, 1850.0, 25.125]","[494.6206970214844, 1983.8746337890625, 25.125]",True
15,0,31000,4,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,64,False,,8,False,True,64,711.2228623737653,"[1150.0, 1850.0, 25.125]","[923.162353515625, 1968.603271484375, 25.125]",True
15,0,31000,4,4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,64,False,,8,False,True,64,711.2228623737653,"[1150.0, 1850.0, 25.125]","[923.162353515625, 1968.603271484375, 25.125]",True
15,0,31000,4,11,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,64,False,,8,False,True,64,711.2228623737653,"[1150.0, 1850.0, 25.125]","[923.162353515625, 1968.603271484375, 25.125]",True
15,0,31000,11,1,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,64,False,,10,False,True,64,881.6828596066118,"[1150.0, 1850.0, 25.125]","[717.7616577148438, 1980.3941650390625, 25.125]",True
15,0,31000,11,4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",False,64,False,,10,False,True,64,881.6828596066118,"[1150.0, 1850.0, 25.125]","[717.7616577148438, 1980.3941650390625, 25.125]",True
15,0,31000,11,11,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",True,64,False,,10,False,True,64,881.6828596066118,"[1150.0, 1850.0, 25.125]","[717.7616577148438, 1980.3941650390625, 25.125]",True
