condition,family,schedule,feedback,half_life,seed,target_frames,checkpoint_frames,checkpoint,run_dir,label_suffix,unit,spatial_information_bits,active_fraction,connected_components_half_peak,field_eligible,mono_field,mono_score,field_components_30pct,field_components_50pct,field_components_70pct,dominant_component_mass_30pct,dominant_component_mass_50pct,dominant_component_mass_70pct,field_spread
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,10,0.2529932069423359,0.030496950304969503,3,True,False,0.6485462188720703,6,4,2,0.8530727624893188,0.6485462188720703,0.7405818104743958,0.3514537811279297
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,11,0.05777751639909311,0.0410958904109589,5,True,False,0.3175937533378601,5,5,3,0.3392516076564789,0.3175937533378601,0.3414716124534607,0.6824062466621399
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,12,0.2109576598891169,0.013898610138986101,2,True,False,0.30323484539985657,6,4,1,0.30323484539985657,0.46986526250839233,1.0,0.6967651546001434
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,13,0.13665170458278217,0.029097090290970903,4,True,False,0.30850082635879517,6,2,1,0.30850082635879517,0.5979539155960083,1.0,0.6914991736412048
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,14,0.21828305325953,0.017298270172982702,2,True,False,0.3821355402469635,4,2,1,0.3821355402469635,0.6473531723022461,1.0,0.6178644597530365
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,8,100000000,100040704,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8/checkpoint_p0/checkpoint_000006106_100040704.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S8,c15_topology_ucb_direct_o1__s8__100m,15,0.3345331494189604,0.0542945705429457,15,True,False,0.6647969484329224,4,5,4,0.868311882019043,0.6647969484329224,0.6855452656745911,0.33520305156707764
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,99,5000000,6258688,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99/checkpoint_p0/milestones/checkpoint_000000382_6258688.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99,c15_topology_ucb_direct_o1__s99__006m,0,0.0665644745794226,0.0337966203379662,1,True,False,0.2448585033416748,11,7,2,0.2448585033416748,0.400158166885376,0.7458504438400269,0.7551414966583252
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,99,5000000,6258688,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99/checkpoint_p0/milestones/checkpoint_000000382_6258688.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99,c15_topology_ucb_direct_o1__s99__006m,1,0.14943433094314842,0.027597240275972403,1,True,False,0.20636887848377228,13,5,3,0.20636887848377228,0.36439865827560425,0.3724486827850342,0.7936311215162277
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,99,5000000,6258688,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99/checkpoint_p0/milestones/checkpoint_000000382_6258688.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99,c15_topology_ucb_direct_o1__s99__006m,2,0.0895019616025693,0.033896610338966106,14,True,False,0.6150503158569336,7,9,6,0.7757749557495117,0.708289384841919,0.6150503158569336,0.3849496841430664
c15_topology_ucb_direct_o1,topology,sim,encourage,10000,99,5000000,6258688,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99/checkpoint_p0/milestones/checkpoint_000000382_6258688.pth,/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_corrected_core_reevaluation_20260901/CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99_/00_CCR_C15_TOPOLOGY_UCB_DIRECT_O1_S99,c15_topology_ucb_direct_o1__s99__006m,3,0.11629969030899984,0.039196080391960805,12,True,False,0.23116622865200043,7,9,6,0.3762291967868805,0.23116622865200043,0.31759312748908997,0.7688337713479996
