base,throughput_fps__mean,throughput_fps__sd,throughput_fps__n,td_loss__mean,td_loss__sd,td_loss__n,realized_her_fraction__mean,realized_her_fraction__sd,realized_her_fraction__n,q_out_of_range_fraction__mean,q_out_of_range_fraction__sd,q_out_of_range_fraction__n
DDQN,808.7919587953629,39.695609501253074,3,0.002309380317462348,0.00049245775729178,3,0.0,0.0,3,0.05261642963174851,0.031518237458832615,3
DDQN_HER,782.5976413815915,10.391828370433336,3,0.0023020286920968384,0.0007296599385755484,3,0.3543833067164222,0.015561472389822853,3,0.16590343612332842,0.16996566856308487,3
