condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,best_corr_to_latent_probs,best_corr_to_latent_samples
no_learning,0.0,0,0.50152587890625,0.5068359375,0.04650666640035922,16.048828125,2.4936557379095023,1.0,0.0,2.3003919372900334,12.97175953962461,0.2706304066725608,0.5178311014772397
encourage,0.0,0,0.504150390625,0.5078125,0.012165456546192376,16.1328125,15.770879559804005,1.0,0.453125,2.314373774166433,14.24746961143584,0.21834156344121247,0.843803962650965
punish,0.0,0,0.4168701171875,0.416015625,0.003552644582728332,13.33984375,15.476978063420066,1.0,0.544921875,1.8281584582441113,11.875674033759992,0.12058307797981485,0.5638835800568505
no_learning,0.0,1,0.48541259765625,0.4853515625,0.04793863743025726,15.533203125,2.9126058010809213,1.0,0.0,2.212239221140473,12.912243971953362,0.2736445341683543,0.464576398207078
encourage,0.0,1,0.50927734375,0.51171875,0.01109161786289116,16.296875,15.864100281275803,1.0,0.47265625,2.326177864510733,14.264769345645224,0.2111787649600439,0.8353971560129981
punish,0.0,1,0.419189453125,0.419921875,0.0036457970027021676,13.4140625,15.569791135275185,1.0,0.560546875,1.8442534908700323,11.883601989696716,0.11912402310963292,0.5737073384703613
no_learning,0.0,2,0.4913330078125,0.49609375,0.042125225021259365,15.72265625,2.7409713961177955,1.0,0.0,2.298686464877213,12.920687888362789,0.28799948364869066,0.4869251466670031
encourage,0.0,2,0.508056640625,0.51171875,0.010627831474452596,16.2578125,15.837675656953067,1.0,0.466796875,2.321249302844395,14.262999128878388,0.21299172282761805,0.8374189506475336
punish,0.0,2,0.4200439453125,0.419921875,0.003415788227449517,13.44140625,15.533119994787297,1.0,0.548828125,1.8480128893662728,11.876193460791551,0.12209615308150121,0.571009115713556
no_learning,0.0,3,0.496826171875,0.4814453125,0.046180023661954755,15.8984375,2.4160590449311767,1.0,0.0,2.355324074074074,12.893609623005323,0.28259075531663097,0.48169393136739214
encourage,0.0,3,0.50750732421875,0.51171875,0.014469194500153113,16.240234375,15.814442270281566,1.0,0.4765625,2.312934631432545,14.269705200071508,0.2125764663435039,0.838510896679528
punish,0.0,3,0.4202880859375,0.4208984375,0.004098000569236943,13.44921875,15.53478202340311,1.0,0.546875,1.8485906040268456,11.870973038774135,0.11915307477340512,0.5738888784979663
no_learning,0.0,4,0.4947509765625,0.5009765625,0.03561923030510024,15.83203125,2.656637724459893,1.0,0.0,2.264245810055866,13.08372054675966,0.2613097993455813,0.4798405524245694
encourage,0.0,4,0.50787353515625,0.509765625,0.008478176473087986,16.251953125,15.877245045907767,1.0,0.484375,2.3275524475524474,14.270459993965389,0.21351395566564257,0.8376536815335005
punish,0.0,4,0.41900634765625,0.4189453125,0.0034174237497972214,13.408203125,15.561476218011588,1.0,0.55078125,1.8248272195640616,11.861564269562212,0.11820082549384303,0.5656531326336511
no_learning,0.0,5,0.49810791015625,0.4990234375,0.03919802045677461,15.939453125,2.0363508295300528,1.0,0.0,2.311243273860096,12.89338693913697,0.26580270722079247,0.499877123900606
encourage,0.0,5,0.50830078125,0.51171875,0.014185389693685498,16.265625,15.821629960575333,1.0,0.47265625,2.317195325542571,14.268340741705538,0.2125236120598696,0.8371698144745123
punish,0.0,5,0.41748046875,0.41796875,0.003049315428905468,13.359375,15.529450034028088,1.0,0.548828125,1.817698644698379,11.861533961357537,0.12010934900067582,0.5668195338137116
no_learning,0.0,6,0.49798583984375,0.4912109375,0.044332830177346357,15.935546875,5.000561110483276,1.0,0.0,2.2803242034656233,12.966193846345353,0.2612958413894524,0.4713850040092846
encourage,0.0,6,0.50335693359375,0.51171875,0.016232942101224397,16.107421875,15.61043645020124,1.0,0.390625,2.297854555586514,14.230815158480144,0.21982018999975958,0.8448440908155637
punish,0.0,6,0.4195556640625,0.419921875,0.0033273957935642117,13.42578125,15.507255086802063,1.0,0.537109375,1.8340448239060831,11.846540479567203,0.12117181709297747,0.5632425777013308
no_learning,0.0,7,0.50482177734375,0.513671875,0.046304368655344534,16.154296875,3.1302488877667916,1.0,0.0,2.355739105667901,12.842580918685037,0.28780378607095614,0.4624242426077829
encourage,0.0,7,0.50714111328125,0.51171875,0.013386472247269385,16.228515625,15.832760221582681,1.0,0.484375,2.313840155945419,14.270770689325484,0.21362986676103085,0.8390731203644777
punish,0.0,7,0.41925048828125,0.419921875,0.0035751183216815112,13.416015625,15.510227766694976,1.0,0.54296875,1.816234796404019,11.843831092770706,0.1198531181574566,0.5534934313569864
no_learning,0.0,8,0.50439453125,0.5107421875,0.0361987363141614,16.140625,2.8524506322415117,1.0,0.0,2.3357829282080274,13.019788752486313,0.2786366007838741,0.4790749752852219
encourage,0.0,8,0.50848388671875,0.51171875,0.010226075687580471,16.271484375,15.88823658746089,1.0,0.482421875,2.323849372384937,14.268063962341584,0.21254455282495852,0.8366945258643379
punish,0.0,8,0.4205322265625,0.421875,0.0034331936304749103,13.45703125,15.530907609876618,1.0,0.544921875,1.8348868175765647,11.842717600048667,0.11830889997005323,0.5657473538158605
