condition,theta,n_seeds,mean_unit_temporal_density_mean,mean_unit_temporal_density_std,median_active_unit_temporal_density_mean,median_active_unit_temporal_density_std,std_unit_temporal_density_mean,std_unit_temporal_density_std,mean_population_density_mean,mean_population_density_std,std_population_density_mean,std_population_density_std,unit_coverage_mean,unit_coverage_std,zero_activity_time_fraction_mean,zero_activity_time_fraction_std,mean_field_width_mean,mean_field_width_std,mean_total_activation_mean,mean_total_activation_std,best_corr_to_latent_probs_mean,best_corr_to_latent_probs_std,best_corr_to_latent_samples_mean,best_corr_to_latent_samples_std
encourage,0.0,20,0.50762939453125,0.0019221714070328188,0.51142578125,0.0011177268693612888,0.011893237009572816,0.002928956224668518,16.244140625,0.0615094850250502,15.823896215147181,0.0719605671689805,1.0,0.0,0.4703125,0.02232550883466181,2.317596271253813,0.009863866891040698,14.265281332302362,0.011419446451901578,0.21370003525695438,0.002196876468181106,0.838133038887508,0.0032167960969270307
no_learning,0.0,20,0.5009307861328125,0.00683833148453656,0.50048828125,0.008915646598674767,0.04196052340487689,0.004313863800400381,16.02978515625,0.2188266075051699,2.754067701109375,0.6374011800044493,1.0,0.0,0.0,0.0,2.3146722373950075,0.05071665178175459,12.928232185126646,0.07596407222713226,0.27138792481736046,0.013616526100735367,0.4829812713445597,0.01185174216849949
punish,0.0,20,0.419305419921875,0.0009185537543871012,0.419482421875,0.0012148296195922587,0.003428478469627628,0.00035054021436337686,13.4177734375,0.029393720140387238,15.528381860861057,0.024469826665880125,1.0,0.0,0.547265625,0.005747632409985219,1.8358259924282425,0.008996039969847578,11.867931334782245,0.01485366788609771,0.11949723787290245,0.0016071370306774831,0.5680694554794499,0.004965603404697944
encourage,0.5,20,0.31923828125,0.012747253388598369,0.339990234375,0.033492356695233205,0.06829440972791276,0.0030494393975537878,10.215625,0.4079121084351478,8.588959572190813,0.6684084461904994,1.0,0.0,0.20458984375,0.023775837546757522,1.8833059818555369,0.01823816138428577,7.146619285362701,0.096509566054401,0.3905912169014746,0.02647733834843726,0.8665309397506118,0.017697354663357975
no_learning,0.5,20,0.318170166015625,0.004487927116586347,0.3203125,0.00555010634311829,0.03250319512087764,0.003873014884294407,10.1814453125,0.14361366773076312,2.706783371817046,0.5786324857519113,1.0,0.0,0.0,0.0,1.6817332081124001,0.026544712342517332,6.391261962766082,0.10310019440378576,0.2662360811544497,0.015570475970297868,0.47576040743802056,0.012921564382228006
punish,0.5,20,0.248291015625,0.0024326166239477093,0.248388671875,0.0025517075450105313,0.011327916824776175,0.0013335951969347948,7.9453125,0.0778437319663267,12.326855765438824,0.1345072258466165,1.0,0.0,0.599609375,0.011653463976700232,1.3801929559594288,0.008337186047373175,6.857640722180086,0.02008567205768864,0.11231180254387163,0.0031547548067477646,0.48294804932768043,0.004005407144247468
encourage,1.0,20,0.1892303466796875,0.0043936527221758205,0.196240234375,0.005388598959727778,0.02760665049110613,0.002694687010970275,6.05537109375,0.14059688710962626,4.444652316154615,0.3094632483243023,1.0,0.0,0.1744140625,0.018836268013483492,1.5552896482762746,0.04006718459231622,3.53387715372102,0.1453996068962673,0.3999044626748932,0.02677122716704285,0.8430139087163269,0.02218276328470534
no_learning,1.0,20,0.1641265869140625,0.0035012308132152544,0.167333984375,0.00470653483832067,0.02365165638384503,0.003338365185214565,5.25205078125,0.11203938602288814,2.383017405518438,0.42404432951880566,1.0,0.0,0.0056640625,0.005451283490997212,1.325550847829061,0.0197545104246331,2.58915191243714,0.11010497576659045,0.23847124459154379,0.018094680008220648,0.4310094535542294,0.020859630753567865
punish,1.0,20,0.1346771240234375,0.0024971864932128267,0.13720703125,0.0030336376107439585,0.018060394234570062,0.0025158427890368917,4.30966796875,0.07990996778281045,7.271090447340654,0.1940496303028788,1.0,0.0,0.53037109375,0.02050757998380092,1.1841519395456424,0.008315829384309754,3.195231719059708,0.08411380297752712,0.11463037132593992,0.0037952839186408383,0.32557804881359464,0.0054603610880411945
encourage,1.5,20,0.09078369140625,0.00454449264145351,0.097314453125,0.00761640495780005,0.03126360548675821,0.002701237096420511,2.905078125,0.14542376452651232,2.059763842300587,0.3604844730477935,1.0,0.0,0.1375,0.045902177374230434,1.2972633021755917,0.03160665048116288,1.3868980848548054,0.12199402531927016,0.2962774132511794,0.027499048229877178,0.5893308839561775,0.035148675006905564
