         80673619 function calls (75728166 primitive calls) in 128.229 seconds

   Ordered by: cumulative time
   List reduced from 678 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   468984    1.890    0.000    3.932    0.000 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/numpy/core/shape_base.py:443(<listcomp>)
      316    0.031    0.000    3.856    0.012 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/custom_core.py:807(forward)
  4818417    3.829    0.000    3.829    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
    78824    1.158    0.000    3.414    0.000 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/hrl_controllable_graph.py:167(current_dg_from_activity)
   418145    2.833    0.000    2.833    0.000 {method 'item' of 'torch._C.TensorBase' objects}
    38144    0.144    0.000    2.827    0.000 /home/fr/fr_xl1014/SF_git_XXL/SF_hipposlam_controller_compatibility_20260912/sf_working_directories/IntrMotiv/dmlab/controller_learner.py:199(_example)
7541820/2658420    2.417    0.000    2.706    0.000 /work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/runtime/torch_cuda_2_9_1/torch/nn/modules/module.py:2823(named_modules)


{"checkpoint": "/work/classic/fr_xl1014-train/IntrMotiv/SF_hipposlam/train_dir/intrmotiv_full_system_controller_preflight_20260912_r4/FSCP_WAYPOINT_F64_DDQN_HER_S99_/00_FSCP_WAYPOINT_F64_DDQN_HER_S99/checkpoint_p0/checkpoint_000000048_393216.pth", "before": {"learning_starts": 16384, "cadence": 64, "target_interval": 100, "completed": 1277, "main_positions": 326912, "auxiliary_positions": 123, "target_at": 1200}, "after": {"learning_starts": 16384, "cadence": 64, "target_interval": 100, "completed": 1280, "main_positions": 327680, "auxiliary_positions": 243, "target_at": 1200}, "peak_gpu_bytes": 10563412480, "seconds": 128.41643261397257, "goal_modulation_norm": 0.04512627795338631, "stats": {"main_loss": 0.11000311374664307, "auxiliary_loss": 0.18681703507900238, "q_mean": 0.21189869940280914, "q_abs_max": 1.3342117071151733, "auxiliary_q_mean": 0.265712171792984, "auxiliary_q_abs_max": 1.803918719291687, "main_compute_seconds": 127.22702213504817, "her_compute_seconds": 1.1242439490160905, "her_overhead_ratio": 0.008836518611767355}, "rejected": {"missing_successor_context": 3379, "her_budget_expired": 326869, "history_recognition_changed": 1511879, "successor_events_changed": 5018, "restart_pending_tail": 128, "her_no_future_achievement": 568, "no_compatible_main_replay": 8, "current_recognition_changed": 33023}}
