window,reward_method,perf/_fps__mean,perf/_sample_throughput__mean,train/entropy__mean,train/version_diff_avg__mean,train/distance_metric__mean,train/reward_for_advantage_mean__mean,train/reward_for_advantage_nonzero_frac__mean,train/intrinsic_reward_mean__mean,train/intrinsic_reward_nonzero_frac__mean,train/hrl_active_target_frac__mean,train/hrl_source_frac__mean,train/hrl_target_hit_rate__mean,train/hrl_tctrl_update_rate__mean,train/hrl_option_reset_rate__mean,train/hrl_option_timeout_rate__mean,train/hrl_option_success_fraction__mean,train/hrl_learned_deadline_fraction__mean,train/hrl_selected_deadline_mean__mean,train/hrl_elapsed_on_hit_mean__mean,train/hrl_elapsed_on_timeout_mean__mean,train/hrl_node_coverage_fraction__mean,train/hrl_selected_target_visit_mean__mean,train/hrl_known_edge_fraction__mean,train/hrl_known_controllability_time_mean__mean,train/dg_density__mean,train/dg_multi_activation_rate__mean,train/dg_silent_unit_frac__mean,train/encoder_loss__mean,train/decoder_loss__mean,train/batch_reward_loss__mean,train/encoder_punishment__mean,len/len__mean,len/len_min__mean,len/len_max__mean,perf/_fps__std,perf/_sample_throughput__std,train/entropy__std,train/version_diff_avg__std,train/distance_metric__std,train/reward_for_advantage_mean__std,train/reward_for_advantage_nonzero_frac__std,train/intrinsic_reward_mean__std,train/intrinsic_reward_nonzero_frac__std,train/hrl_active_target_frac__std,train/hrl_source_frac__std,train/hrl_target_hit_rate__std,train/hrl_tctrl_update_rate__std,train/hrl_option_reset_rate__std,train/hrl_option_timeout_rate__std,train/hrl_option_success_fraction__std,train/hrl_learned_deadline_fraction__std,train/hrl_selected_deadline_mean__std,train/hrl_elapsed_on_hit_mean__std,train/hrl_elapsed_on_timeout_mean__std,train/hrl_node_coverage_fraction__std,train/hrl_selected_target_visit_mean__std,train/hrl_known_edge_fraction__std,train/hrl_known_controllability_time_mean__std,train/dg_density__std,train/dg_multi_activation_rate__std,train/dg_silent_unit_frac__std,train/encoder_loss__std,train/decoder_loss__std,train/batch_reward_loss__std,train/encoder_punishment__std,len/len__std,len/len_min__std,len/len_max__std,perf/_fps__count,perf/_sample_throughput__count,train/entropy__count,train/version_diff_avg__count,train/distance_metric__count,train/reward_for_advantage_mean__count,train/reward_for_advantage_nonzero_frac__count,train/intrinsic_reward_mean__count,train/intrinsic_reward_nonzero_frac__count,train/hrl_active_target_frac__count,train/hrl_source_frac__count,train/hrl_target_hit_rate__count,train/hrl_tctrl_update_rate__count,train/hrl_option_reset_rate__count,train/hrl_option_timeout_rate__count,train/hrl_option_success_fraction__count,train/hrl_learned_deadline_fraction__count,train/hrl_selected_deadline_mean__count,train/hrl_elapsed_on_hit_mean__count,train/hrl_elapsed_on_timeout_mean__count,train/hrl_node_coverage_fraction__count,train/hrl_selected_target_visit_mean__count,train/hrl_known_edge_fraction__count,train/hrl_known_controllability_time_mean__count,train/dg_density__count,train/dg_multi_activation_rate__count,train/dg_silent_unit_frac__count,train/encoder_loss__count,train/decoder_loss__count,train/batch_reward_loss__count,train/encoder_punishment__count,len/len__count,len/len_min__count,len/len_max__count
common_50_60m,encourage,2195.4437263176465,274.56340149626857,1.2855129379229044,5.566321391725938,7.053021753507373,0.009507467368622529,0.0013832666257139854,0.009509029305218377,0.0013834038274139692,0.9987135485050728,0.9987135485050728,0.0025306824740794712,0.04828698837280496,0.02055862210404097,0.01674056450349869,0.16981563160092514,0.013986479761917551,74.12411530289027,29.71204207586057,73.86456080053811,0.5295120389066648,0.18856146187476733,0.08064808639170715,24.416999905198676,0.03038952885110367,0.05250700743017537,0.005208333333333333,-6.406355379555517,0.10674446582998638,0.0,7.622402259749165,6138.970940924785,327.9401011158764,7200.0,279.2388572685157,34.94936843396142,0.14801720472064187,0.189196020043988,5.269638314531053,0.01228672298876382,0.0011397812897389339,0.01228719238212768,0.0011397406235321317,5.9193889009734576e-05,5.9193889009734576e-05,0.0015833375390800226,0.028696495249389692,0.009889843586868757,0.009951111267129232,0.13122852329245943,0.01948812830599578,40.311785575593916,14.426998406587979,39.998846379540325,0.16556919917975815,0.2954851716778059,0.0495546934751461,10.31089757167787,0.007672064316821913,0.03634407442241916,0.017645615705414997,3.6522201667054,0.04528793205568957,0.0,3.672342946557689,219.45854163957827,81.1425478305752,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
common_50_60m,mean,2187.270999662272,273.4253541955483,1.1515028851338516,5.5390847291658005,4.106017083876298,0.0004327857663235716,0.00011004341686144589,0.0004327857663235716,0.00011004341686144589,0.9988129682515351,0.9988129682515351,0.00023869373180283754,0.004362795113717504,0.019282078689427194,0.017853280961306423,0.012566433763308257,0.0,74.66666666666667,7.212955779635288,74.66666666666667,0.12257793771387082,0.0,0.0077682411686355105,28.79653262813976,0.00270071170780369,0.00352205064039823,0.7308595448806144,0.0002065514222882417,0.011300322759663068,-0.0004982190307104547,0.0006350699972220438,6614.929543082285,569.3524508221542,7200.0,260.63790572287724,32.80320924207442,0.5135829782570319,0.14866421606353156,2.47472889598919,0.0005219628765232504,0.00012279112927552054,0.0005219628765232504,0.00012279112927552054,8.218007061086602e-05,8.218007061086602e-05,0.0002601250326099861,0.002747820654039441,0.009960331568381237,0.009784036569266946,0.012560644853078593,0.0,40.769411665318785,6.407895457085791,40.769411665318785,0.059322572077347806,0.0,0.004462689518070685,13.395406273802145,0.0027250772243708333,0.004219096068023539,0.1471902195713965,0.0006942963964739014,0.01681449697520721,0.0009611522216701757,0.0007909285979319279,384.5830913198017,426.38419368862156,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
common_50_60m,punish,2270.9862717366573,283.9401136705631,1.1755504757804867,5.496612986461252,3.5647348139913397,0.0003939585125364374,8.61248457434202e-05,0.0003939585125364374,8.61248457434202e-05,0.998806292877724,0.998806292877724,0.00021067645250804872,0.003961047165372013,0.01928121300240693,0.017874503678498726,0.012348008676824803,0.0,74.66666666666667,6.921527195864815,74.66666666666667,0.11026419113189583,0.0,0.007107431820396329,29.89228311107948,0.0015107280956497496,0.002055419025087391,0.7571156521707981,0.0005103812586392559,0.007812438245941657,-0.0002996795298981334,-0.009911577955347778,6593.1987747359235,618.9263037659656,7200.0,207.27108320515183,25.85982401277331,0.4951192376611388,0.13092833726993464,2.043158295526843,0.0003622918755907183,7.821112656940791e-05,0.0003622918755907183,7.821112656940791e-05,6.174917811821917e-05,6.174917811821917e-05,0.00018633606954060293,0.00249448716714866,0.009920864514783346,0.0098407152731643,0.011106899867093102,0.0,40.769411665318785,6.0531000577362315,40.769411665318785,0.05080296622864442,0.0,0.004195187558131999,15.496301986028966,0.0011410179814762937,0.002149020764455868,0.10900386984402431,0.0010552637657269288,0.01099959743297178,0.0003731958071939918,0.007806414444795544,356.88557262906346,569.4124013919811,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
early_5_15m,encourage,2183.874880868014,272.8372444390082,1.4467503750788488,5.604129446439974,8.162564673180107,0.010033180414111763,0.0015075471001689828,0.010033180414111763,0.0015075471001689828,0.9987003197259664,0.9987003197259664,0.0025855404927551747,0.04943556482802844,0.02057860391226622,0.01669100122556972,0.161139649959925,0.014658533200376715,74.1909493150895,30.315575492487678,73.98699960253117,0.5537769782300922,0.19813296473017494,0.08208151570342433,24.702394521825312,0.031321191060308076,0.070514474049155,0.014882049970795973,-5.525618865641644,0.11404762713234856,-2.4961527916809796e-06,7.639610558137091,6172.224861981237,352.28117074436506,7200.0,295.599586492022,36.936459176167766,0.0920972500302834,0.2187609688421939,5.067649558995214,0.012256922793912701,0.0013288681617222029,0.012256922793912701,0.0013288681617222029,5.8414007297609274e-05,5.8414007297609274e-05,0.00188033521139968,0.033265590414049945,0.010186960528440508,0.009830492257548392,0.12153614413197254,0.02202665187615632,40.453159864881016,15.256796335548847,40.2415821797109,0.15361161131805803,0.345956576423901,0.05295601402488978,10.594141819572,0.008170262096221367,0.04691807986172718,0.030363632058876048,3.2759858690855226,0.05022641118677476,1.1648852801276043e-05,3.723059899011585,242.99728608135695,71.67063310007046,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
early_5_15m,mean,2147.2004750285546,268.33533402640154,1.2213462240038597,5.478904075278039,5.573021181743873,0.0006430564600432505,0.00013451397547418892,0.0006430564600432505,0.00013451397547418892,0.9988009174496844,0.9988009174496844,0.00021139761024134478,0.005321444483110386,0.0193242416884304,0.017912360036910716,0.012579508319753829,0.0,74.66666666666667,7.929358458476905,74.66666666666667,0.14325975211267913,0.0,0.01038018448336823,28.7846056261851,0.0028647537629164217,0.00913837390808775,0.7463467991091014,0.004336243185193429,0.012861852694843794,-0.00028385312043931714,0.0009080347300998477,6776.732069504734,525.5020706958788,7200.0,262.11270560877483,32.72142020753058,0.45943918492323554,0.17782655208904577,3.964324248797318,0.0006454254455163117,0.0001323388023674932,0.0006454254455163117,0.0001323388023674932,4.4340339483406493e-05,4.4340339483406493e-05,0.00020055622249829985,0.003463212301988532,0.009922364500869639,0.009806464077085943,0.011841970735449027,0.0,40.769411665318785,6.792186242383095,40.769411665318785,0.06426711371675543,0.0,0.006460730066838176,14.23013003252451,0.0016193900780089646,0.0053624059599676165,0.11588968410913483,0.005397017229137283,0.014387882221159916,0.0003533056971379255,0.001282303453208415,181.42961226407533,335.1506730788897,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
early_5_15m,punish,2242.991812668488,280.2694550884529,1.2879944337622355,5.508494897819617,5.7415548208194735,0.0005355200447398149,0.00011312928828321554,0.0005355200447398149,0.00011312928828321554,0.9988055914101398,0.9988055914101398,0.00018415567490720998,0.005720120406709449,0.019293773692635185,0.01791522054609628,0.011946287073460522,0.0,74.66666666666667,7.827182294181188,74.66666666666667,0.15077683923291094,0.0,0.011317723834135507,29.223027498405994,0.003056533234151448,0.009700378992230389,0.72891588732604,0.004200464570897355,0.008935010525479641,-0.00025359932214506965,-0.02666552641861074,6780.781855915943,526.1170333972804,7200.0,211.85969620073988,26.347366945449494,0.38426325027918234,0.18049006225922945,3.4752486058055747,0.00046193622856447337,8.030028179285057e-05,0.00046193622856447337,8.030028179285057e-05,3.335431650215462e-05,3.335431650215462e-05,0.00013300137808744432,0.003874338599165188,0.009919851642379716,0.009859732966409646,0.012227990203477326,0.0,40.769411665318785,7.545709638967664,40.769411665318785,0.064631352967785,0.0,0.008037043783718282,14.52546275902977,0.0016758738950439478,0.005836056877362071,0.11665377996456529,0.004099976653555587,0.0084971341734299,0.0004539906740403551,0.015833444160120676,172.3875986207082,254.70015653244266,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
mature_80_90m,encourage,2374.10645338744,296.7901014033449,1.2195376983054258,5.554092035324599,5.718944275093859,0.005543772322662888,0.0010940442115351628,0.005543772322662888,0.0010940442115351628,0.998717905518714,0.998717905518714,0.002025105532214482,0.041114539158964326,0.022793766144755596,0.019485663575001897,0.12622660727612903,0.008776997902552711,63.686485355459745,25.397735223741854,63.61338552813407,0.48154078815831347,0.11085844339895481,0.06765440330221535,22.03217485112057,0.029631273266750635,0.049232534194460637,0.0,-5.590250935539891,0.09385297120005845,0.0,6.737052397854004,6130.040891265637,352.3451705475004,7200.0,145.03218083894316,18.239636689973683,0.1686539891343681,0.1412363827833118,4.907945438185585,0.008467827704702297,0.0007758615537206402,0.008467827704702297,0.0007758615537206402,7.347899506165206e-05,7.347899506165206e-05,0.0011084884779165587,0.022073083673658248,0.009880961472949314,0.010107011009193999,0.1089022235799737,0.01110791690918449,37.67884426111208,13.032123284296265,37.55173109367822,0.14212685480408452,0.16237684226128807,0.035997238353146256,10.155687472644912,0.008486333522916702,0.03606243848481999,0.0,4.24820203454179,0.03974236489243158,0.0,3.4984637742449003,339.8904642819064,122.2386918719536,0.0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
mature_80_90m,mean,2324.7532068304527,290.3056926624324,1.2304477662703228,5.508778012122998,3.6018339299954847,0.0004925172770692216,0.00017230214912993867,0.0004925172770692216,0.00017230214912993867,0.9987475547673331,0.9987475547673331,0.0004234296824580538,0.007110272606845706,0.021615795826710506,0.019941511939955955,0.019317251329663394,4.856254860777596e-06,65.99999514372662,9.656622286074178,65.99999005746359,0.1728252092208152,9.638930240533117e-06,0.012451502978688384,27.49204838756614,0.002597310840451761,0.002433285852628539,0.6465460380563745,0.00029409554099769843,0.020570703441174395,-0.00025934413842146526,0.0006754856373236694,6414.093807527331,438.28526149826456,7200.0,183.1238266443782,23.011830472240863,0.3733114007566277,0.11715626963173509,1.602311036500373,0.00044634887251439613,0.0001921858709859201,0.00044634887251439613,0.0001921858709859201,8.935196038028187e-05,8.935196038028187e-05,0.0003467368397078016,0.004815549519318912,0.01026766989521417,0.009976778879902257,0.010851993254082268,1.9425019443110385e-05,39.57103762739536,4.823181923568375,39.571042288946025,0.09760835823566695,3.855572096213247e-05,0.00814853003829295,14.190584485620445,0.0017606282370968382,0.0032508720769013847,0.21781092172040056,0.0003326785591895876,0.025874468349390937,0.0003653138082213675,0.0008933015204420808,472.8848054882454,261.8981197491707,0.0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
mature_80_90m,punish,2371.512340440555,296.40134142840105,1.262340321645763,5.497876273448335,3.5165555844540073,0.00037861516990912,0.00010813533354218558,0.00037861516990912,0.00010813533354218558,0.9987950482957313,0.9987950482957313,0.00024960389617013006,0.004813710756296141,0.02019346141275436,0.018738938993933148,0.01471123173563027,0.0,68.8,8.873246253037975,68.8,0.1301001913080056,0.0,0.008511438310820848,29.688914220509524,0.001901969314620891,0.002326520666670375,0.7413288030746481,0.0002488162460832449,0.010528949457174865,-0.000286127890067925,-0.010146896575217222,6574.6083697453405,508.2044664953402,7200.0,129.23652468376415,16.04753887035273,0.40398046210132355,0.12420208291887094,1.723070079524847,0.0002742058019265095,9.63269977562415e-05,0.0002742058019265095,9.63269977562415e-05,7.630963118466122e-05,7.630963118466122e-05,0.0002098464735231639,0.003779861978290892,0.009644665411778853,0.009537706532004328,0.013157963466319476,0.0,37.82730843131579,7.8457076023923245,37.82730843131579,0.07180085589794777,0.0,0.006437781557631731,16.667822090407775,0.0011328094922018854,0.0029670626404605504,0.13741640545489933,0.00046865990883207824,0.01323799340738937,0.00045141471614100037,0.008289343344821605,330.64380938353054,333.0826039454096,0.0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
terminal_10m,encourage,2231.386531467407,278.88235135310896,1.217692610106537,5.584429794086649,6.978417293392426,0.00860463277076273,0.0012107576943026365,0.008606159041523611,0.0012108915777026455,0.9987109995766219,0.9987109995766219,0.002234472980769679,0.04263528607779437,0.020359353391335547,0.016835952243855683,0.15973363885659977,0.010831510649758675,74.15557868627819,29.418437444037135,73.92932018218599,0.5054284981085401,0.14349928860948244,0.07112958977530955,24.364951310466086,0.03023921192720763,0.05169840079933543,0.0026041666666666665,-6.498082522892994,0.10066698771426935,0.0,7.657046683695531,6150.438369037983,350.1502976838617,7200.0,290.473268259813,36.34276177544834,0.1628076043328484,0.205256289828428,5.330472274910914,0.012032878746564519,0.0008795366451205992,0.012033461479308475,0.0008795119591341197,6.679623728852885e-05,6.679623728852885e-05,0.0012540884456997635,0.021515151208409362,0.009658522893421936,0.010063964597520965,0.13133539920498472,0.013492410431225661,40.24186722367067,14.28333656413945,39.94757092695891,0.15026404004436314,0.19531228563628858,0.03665587804106322,10.356102301282537,0.008200444671655456,0.037754728388614864,0.01275775907699572,4.124145889661447,0.03877436504986955,0.0,3.666073214163392,317.9932984183402,105.63218821633164,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
