window,L,threshold,reward_method,perf/_fps__mean,perf/_sample_throughput__mean,train/entropy__mean,train/version_diff_avg__mean,train/distance_metric__mean,train/reward_for_advantage_mean__mean,train/reward_for_advantage_nonzero_frac__mean,train/intrinsic_reward_mean__mean,train/intrinsic_reward_nonzero_frac__mean,train/hrl_active_target_frac__mean,train/hrl_source_frac__mean,train/hrl_target_hit_rate__mean,train/hrl_tctrl_update_rate__mean,train/hrl_option_reset_rate__mean,train/hrl_option_timeout_rate__mean,train/hrl_option_success_fraction__mean,train/hrl_learned_deadline_fraction__mean,train/hrl_selected_deadline_mean__mean,train/hrl_elapsed_on_hit_mean__mean,train/hrl_elapsed_on_timeout_mean__mean,train/hrl_node_coverage_fraction__mean,train/hrl_selected_target_visit_mean__mean,train/hrl_known_edge_fraction__mean,train/hrl_known_controllability_time_mean__mean,train/dg_density__mean,train/dg_multi_activation_rate__mean,train/dg_silent_unit_frac__mean,train/encoder_loss__mean,train/decoder_loss__mean,train/batch_reward_loss__mean,train/encoder_punishment__mean,len/len__mean,len/len_min__mean,len/len_max__mean,perf/_fps__std,perf/_sample_throughput__std,train/entropy__std,train/version_diff_avg__std,train/distance_metric__std,train/reward_for_advantage_mean__std,train/reward_for_advantage_nonzero_frac__std,train/intrinsic_reward_mean__std,train/intrinsic_reward_nonzero_frac__std,train/hrl_active_target_frac__std,train/hrl_source_frac__std,train/hrl_target_hit_rate__std,train/hrl_tctrl_update_rate__std,train/hrl_option_reset_rate__std,train/hrl_option_timeout_rate__std,train/hrl_option_success_fraction__std,train/hrl_learned_deadline_fraction__std,train/hrl_selected_deadline_mean__std,train/hrl_elapsed_on_hit_mean__std,train/hrl_elapsed_on_timeout_mean__std,train/hrl_node_coverage_fraction__std,train/hrl_selected_target_visit_mean__std,train/hrl_known_edge_fraction__std,train/hrl_known_controllability_time_mean__std,train/dg_density__std,train/dg_multi_activation_rate__std,train/dg_silent_unit_frac__std,train/encoder_loss__std,train/decoder_loss__std,train/batch_reward_loss__std,train/encoder_punishment__std,len/len__std,len/len_min__std,len/len_max__std,perf/_fps__count,perf/_sample_throughput__count,train/entropy__count,train/version_diff_avg__count,train/distance_metric__count,train/reward_for_advantage_mean__count,train/reward_for_advantage_nonzero_frac__count,train/intrinsic_reward_mean__count,train/intrinsic_reward_nonzero_frac__count,train/hrl_active_target_frac__count,train/hrl_source_frac__count,train/hrl_target_hit_rate__count,train/hrl_tctrl_update_rate__count,train/hrl_option_reset_rate__count,train/hrl_option_timeout_rate__count,train/hrl_option_success_fraction__count,train/hrl_learned_deadline_fraction__count,train/hrl_selected_deadline_mean__count,train/hrl_elapsed_on_hit_mean__count,train/hrl_elapsed_on_timeout_mean__count,train/hrl_node_coverage_fraction__count,train/hrl_selected_target_visit_mean__count,train/hrl_known_edge_fraction__count,train/hrl_known_controllability_time_mean__count,train/dg_density__count,train/dg_multi_activation_rate__count,train/dg_silent_unit_frac__count,train/encoder_loss__count,train/decoder_loss__count,train/batch_reward_loss__count,train/encoder_punishment__count,len/len__count,len/len_min__count,len/len_max__count
common_50_60m,32,2.0,encourage,2290.368518300304,286.535644519436,1.2501403078555802,5.610406500537631,3.5080362004118064,0.008023716801006891,0.002372998992021584,0.008023716801006891,0.002372998992021584,0.9987336052006297,0.9987336052006297,0.0037876572862188245,0.0792689041227655,0.034339611418378754,0.02928490886309477,0.11026088936687785,0.030792046215040364,31.600044045552572,14.950568462379318,31.553900426909987,0.6331756896882049,0.446596002644561,0.13048517404890664,12.58789105699444,0.03528429932217966,0.08240587705407171,0.0,-2.2922531580486716,0.1335658129069255,0.0,3.5475597034641173,6183.0798232255775,308.93424318266455,7200.0,138.9531214064277,16.96009093350124,0.12137338001954842,0.09695114761800859,0.4593345305793645,0.007144780507854927,0.0019139841539466441,0.007144780507854927,0.0019139841539466441,9.007862902977209e-05,9.007862902977209e-05,0.0025814538949352215,0.0453171602778001,0.001910090910684004,0.0006601612165972682,0.06753250777344671,0.03572427646452387,0.5154588416239543,0.7163712696034313,0.5818042528042132,0.20632520772173915,0.6005691995997052,0.07985522941533743,0.8608421049460021,0.008545935745441715,0.044221721307872316,0.0,0.6329329755018438,0.06048851991473208,0.0,0.2596082212958589,169.3351027891642,30.128172851188477,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
common_50_60m,32,2.0,mean,2283.107497364436,285.48884855430697,1.5806040335072926,5.471255005472261,2.418256112348184,0.0003862597900191833,0.00017063483735100333,0.0003862597900191833,0.00017063483735100333,0.9987844255020514,0.9987844255020514,0.000323320926027041,0.007034396204067478,0.032286054391416595,0.030745216970059573,0.010270463570090422,0.0,32.0,6.4884407407586115,32.0,0.1938075858907598,0.0,0.012353831388311944,14.41925616293599,0.0027516313967244272,0.006888584734534116,0.5839342009806935,0.0003677297153812871,0.01558286062205546,-0.00013788400197685996,0.0003178145791700654,6584.412536684203,373.0895145068418,7200.0,258.66114778471655,32.49117903303671,0.016137941630879143,0.09632948173469931,0.1526776212176478,0.0001833693501941864,6.138056052113962e-05,0.0001833693501941864,6.138056052113962e-05,4.4799670264962594e-05,4.4799670264962594e-05,4.674262626734933e-05,0.0019334665449819172,1.7325942634672342e-05,7.345848942603183e-05,0.0014952172627498408,0.0,0.0,1.7799110199565913,0.0,0.036341807726954445,0.0,0.0024635721380559922,0.5317360616520631,0.0006319016359242584,0.004200754375365406,0.11880631072917856,0.00022421962824233858,0.007475533436532734,8.681597362871738e-05,0.0003436977235714336,196.3264885752577,61.63036702056939,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
common_50_60m,32,2.0,punish,2394.064185684987,299.4176278090781,1.490115457721361,5.59473803450394,1.9314202344664697,0.0003098365686472863,0.0001328376941303734,0.0003098365686472863,0.0001328376941303734,0.9987934831279067,0.9987934831279067,0.00040782967574764313,0.006205564420920663,0.03227269920598657,0.030656491816848274,0.012947202412080454,0.0,32.0,7.0720623310116935,32.0,0.16545416637083965,0.0,0.011351150769202381,14.841801018899167,0.0016019968895299504,0.0019606393514804065,0.6438022648143118,0.00010342740815364201,0.011750310519910106,-0.00012849938905588152,-0.007350691279471259,6516.015654364992,332.78161675065843,7200.0,55.69918201662845,6.586006456687506,0.13636497543200288,0.08203976375945353,0.39948070053095586,0.00014943242217838978,6.307034012576675e-05,0.00014943242217838978,6.307034012576675e-05,3.068998495178226e-05,3.068998495178226e-05,0.00014712668681354636,0.0027478653981467967,2.8502607482940923e-05,0.0001581414563356175,0.0046473740804898874,0.0,0.0,1.7477281588181257,0.0,0.034338357001666646,0.0,0.004513604801385217,0.4685465406964507,0.00038505277408584147,0.0009505696065626356,0.09394896212790967,0.0001115047141018365,0.007607143939007574,4.390672082143349e-05,0.0035976194802102577,212.2158551558977,77.47888614077189,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
common_50_60m,32,2.43,encourage,2341.453209201425,292.96729671243224,1.197309188090401,5.605374896166014,3.388984446637675,0.002088928431485301,0.0007549865761209835,0.002088928431485301,0.0007549865761209835,0.9987132297878727,0.9987132297878727,0.0015545222901115685,0.04823193654322548,0.032889894072038066,0.030051976903263444,0.04848644709912102,0.007202107180886987,31.916548108718757,13.768530357600545,31.91880319841143,0.45943092869541224,0.0888065596065683,0.07736710817167564,12.740074911390867,0.023933005913063014,0.03174064596822433,0.0,-2.3892931949478613,0.06465351307221391,0.0,3.7016660813563664,6250.5189086485225,372.5544597920713,7200.0,113.95376443637889,14.132917550010479,0.2187521148391186,0.27286754425497284,1.2553301270741268,0.00230410155183144,0.000649391237157862,0.00230410155183144,0.000649391237157862,8.580260019369405e-05,8.580260019369405e-05,0.0007415761669124957,0.030265964606885035,0.0003623024110674089,0.00039644507412743525,0.022576014986842415,0.0045029939236585406,0.05459894951473949,1.56739302703659,0.05474954447469155,0.16204279524035817,0.06630563173325653,0.049055164722270284,0.4460707604545918,0.004143435857648869,0.013132246026960554,0.0,0.47419423764328067,0.03885106641997747,0.0,0.18842572747392788,266.02187712069724,107.23866945777142,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
common_50_60m,32,2.43,mean,2394.8510908482954,299.37819836060623,1.415950123082336,5.5750485563562675,1.6304560534059365,0.00048180208833987587,0.00021655929988037721,0.00048180208833987587,0.00021655929988037721,0.9987572224601298,0.9987572224601298,0.0005513554620042447,0.006929373441753701,0.032352435703696135,0.03055115565427495,0.017466929090947103,0.0,32.0,8.088363662651041,32.0,0.16150699043294278,0.0,0.011459832068895458,14.33732382636208,0.0012743496466990495,0.00052287698343624,0.6587340005919157,-8.166643828401806e-05,0.02161144318582696,-0.00022284189848346457,2.4297215591515446e-05,6212.6115265304425,280.9118520491884,7200.0,75.33362561743635,9.54350588945887,0.09616226627656208,0.12159577683109686,0.2827282509707877,0.00047938344304851617,0.00022500377485533011,0.00047938344304851617,0.00022500377485533011,6.501961172400994e-05,6.501961172400994e-05,0.0004623503893266312,0.0034747905911090976,0.00016131067960949586,0.0003462454736632564,0.014565712782751051,0.0,0.0,5.457843122289421,0.0,0.07017837950809985,0.0,0.005853044197627152,1.4415775001805182,0.00045571462964152503,0.0003784080757746118,0.16464271597496377,0.00020935425066687734,0.02692609647696708,0.00024111612000792272,3.913694172468735e-05,323.75158484802427,18.49500911106559,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
common_50_60m,32,2.43,punish,2268.169163089705,283.5960779477945,1.2734037373125575,5.417168624322892,1.8045165614986438,0.00011874318705464994,5.829489606049433e-05,0.00011874318705464994,5.829489606049433e-05,0.9987707418861269,0.9987707418861269,0.0001291827064088778,0.006482427940286565,0.03224046949043465,0.030879600158092085,0.004115776099914401,0.0,32.0,3.404261438774891,32.0,0.15938741668290585,0.0,0.011219737987219841,14.687381222466122,0.001722893727148842,0.0027305150711062383,0.6694732089870554,0.0001382330480872353,0.0013355249762215357,-0.0004480866845212725,-0.007161402216716975,6365.379953497802,477.0277283984815,7200.0,240.91088554834585,30.254416509919952,0.27297160903861056,0.07940763114255286,0.3167854422343987,9.004083251238299e-05,5.885925618148603e-05,9.004083251238299e-05,5.885925618148603e-05,7.61330134115794e-05,7.61330134115794e-05,7.823709402986285e-05,0.0008974060007440099,1.8287191031423413e-05,0.00014379671321348484,0.0025189139969717155,0.0,0.0,2.298402671836054,0.0,0.022697826206791647,0.0,0.0019146238075348511,0.21843180135027418,0.0008259668927953968,0.0039986079740547045,0.060842702077051065,0.00012096696851262419,0.00522103056057029,0.0007086243459903757,0.004016058682183473,431.1956359327895,191.37928967426987,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
common_50_60m,64,2.0,encourage,2069.5788224043126,258.8550664599093,1.3102020215981094,5.537723108049409,4.718093487333819,0.003642096049482525,0.0010114963955765428,0.003642096049482525,0.0010114963955765428,0.9987057642256961,0.9987057642256961,0.002101872390140522,0.034087654790350475,0.017624560812328948,0.01422610666370156,0.12553814915415326,0.007165447828716497,63.80701860908312,27.071757228395093,63.79712240171747,0.44889607899987316,0.07838481806960412,0.055306325770494914,22.798289024108108,0.030500547301045237,0.030313183864346484,0.0,-6.454630052321042,0.08672091347252397,0.0,6.834789786420096,6138.575799472033,393.22473883918434,7200.0,410.94183192911345,51.66441794703099,0.09015475542710522,0.122081234549345,2.132226765211258,0.007023402124516149,0.000569921713693172,0.007023402124516149,0.000569921713693172,5.105319153151094e-05,5.105319153151094e-05,0.0006946173989042723,0.009706705082240853,0.0004325733303948417,0.00025448248993772043,0.03783716210150395,0.0021583914725477596,0.08848795783000014,2.1961304645124025,0.09857254704651405,0.02596919548625037,0.0480638008719914,0.016407919627528782,3.8476838939594793,0.0013779370583524252,0.001297180931186674,0.0,0.29260875914811363,0.005595107955899043,0.0,0.2749526231973766,312.95482034463384,104.9375355466897,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
common_50_60m,64,2.0,mean,2096.413786798462,261.9121582565069,1.2615940622017867,5.618532026484431,3.596225663928728,0.00048620883656745996,0.00010812547642401653,0.00048620883656745996,0.00010812547642401653,0.9988121386763062,0.9988121386763062,0.000214625706516401,0.004999115812091093,0.01663495476474843,0.015229433337110403,0.01354058335396233,0.0,64.0,8.554552577978388,64.0,0.13422499470297883,0.0,0.008904494660499935,28.14886609179951,0.0024189866505053125,0.0012840560445046213,0.6913319397934439,0.00022603140469018126,0.013426139954041266,-0.0001863868452928346,0.0005597519568609072,6443.729485299575,432.2198365964132,7200.0,349.27136818560564,44.226327495048835,0.35932163650288185,0.2750092101365582,0.3570471446227104,0.00047822892923570534,9.403656770296236e-05,0.00047822892923570534,9.403656770296236e-05,0.00011838952509815592,0.00011838952509815592,0.00017500513166970755,0.0016045401749179276,8.921277096526629e-05,0.00016419232197766124,0.010953997436392252,0.0,0.0,4.7949135118958095,0.0,0.0420923139199053,0.0,0.002736444560367876,2.790209379924804,0.0016391529588959091,0.0008465333976720801,0.11620558859968512,0.0001235788473872235,0.01653719426245108,0.00010625546552522555,0.000512680706294357,532.4966600191186,122.84436227431809,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
common_50_60m,64,2.0,punish,2311.912630127095,288.9991536895655,1.189864114933912,5.475224227399856,3.3926843850752864,0.0006288692705516182,0.00014316272167584168,0.0006288692705516182,0.00014316272167584168,0.9988206148865704,0.9988206148865704,0.0003524145125714579,0.00460975933672118,0.016728004215786848,0.015195285758371781,0.02181007684930799,0.0,64.0,10.89744142685978,64.0,0.11991671450780748,0.0,0.00788529332427457,28.87580007410608,0.0015155574180195554,0.002564531462240627,0.7311524758662031,0.0004491015126496405,0.017060595906909126,-0.0003182492228119013,-0.011478849608235758,6577.8719166623105,534.6331113749848,7200.0,94.51812592865521,11.373617953012593,0.389739558539452,0.06981726935135098,0.6574618610430031,0.0005460112497456339,0.00013034333175365915,0.0005460112497456339,0.00013034333175365915,6.134241230414544e-05,6.134241230414544e-05,0.00025272237313343424,0.001509532989745732,6.177637972396013e-05,0.0002627383135772396,0.015924368410779058,0.0,0.0,6.100527195197121,0.0,0.02513380545339118,0.0,0.0018923119723838486,0.4526781148215651,0.001151707732508777,0.003326821048847647,0.05691063691106824,0.0007652810632767068,0.01868999010018323,0.00040693859611398145,0.009202494201757222,444.88596905779,192.60750877452014,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
common_50_60m,64,2.43,encourage,2256.1754482691185,282.08963438004406,1.4079253234519409,5.46488146309432,3.1300355453356934,0.00015841745320455906,0.0006154915693042639,0.00015841745320455906,0.0006154915693042639,0.9987286362153851,0.9987286362153851,0.0013377771693781687,0.023383286173425964,0.017120768754195763,0.01451136157004164,0.08242940779159406,0.0028159395462174857,63.914968290164715,26.709884907646988,63.91437371490715,0.3597283471242706,0.02931701011554624,0.03719503829661433,25.48483581715479,0.02554338473323206,0.02643209242472368,0.0,-6.149926480202474,0.07468980929403944,0.0,7.024258751469671,6002.111753453937,291.91817235331666,7200.0,257.1343193886175,32.11777622702622,0.13041091303525404,0.13540994041714308,2.064296419453972,0.004838204337097,0.0003509562422184359,0.004838204337097,0.0003509562422184359,6.492252914534957e-05,6.492252914534957e-05,0.00042758716381955167,0.011026615942717182,0.000186588466446061,0.00023308937321764919,0.025432713925186368,0.0020279253955300097,0.06565281851466473,3.05562008891879,0.07389030431041035,0.08208781054363937,0.023929670068267316,0.016569530885806268,2.0859596121172377,0.0061337400158222805,0.005990402197267871,0.0,1.4755624785708774,0.03600314574936346,0.0,0.20059607250860742,140.36191326956776,25.55893183967467,0.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
