window,threshold,perf/_fps__mean,perf/_sample_throughput__mean,train/entropy__mean,train/version_diff_avg__mean,train/distance_metric__mean,train/reward_for_advantage_mean__mean,train/reward_for_advantage_nonzero_frac__mean,train/intrinsic_reward_mean__mean,train/intrinsic_reward_nonzero_frac__mean,train/hrl_active_target_frac__mean,train/hrl_source_frac__mean,train/hrl_target_hit_rate__mean,train/hrl_tctrl_update_rate__mean,train/hrl_option_reset_rate__mean,train/hrl_option_timeout_rate__mean,train/hrl_option_success_fraction__mean,train/hrl_learned_deadline_fraction__mean,train/hrl_selected_deadline_mean__mean,train/hrl_elapsed_on_hit_mean__mean,train/hrl_elapsed_on_timeout_mean__mean,train/hrl_node_coverage_fraction__mean,train/hrl_selected_target_visit_mean__mean,train/hrl_known_edge_fraction__mean,train/hrl_known_controllability_time_mean__mean,train/dg_density__mean,train/dg_multi_activation_rate__mean,train/dg_silent_unit_frac__mean,train/encoder_loss__mean,train/decoder_loss__mean,train/batch_reward_loss__mean,train/encoder_punishment__mean,len/len__mean,len/len_min__mean,len/len_max__mean,perf/_fps__std,perf/_sample_throughput__std,train/entropy__std,train/version_diff_avg__std,train/distance_metric__std,train/reward_for_advantage_mean__std,train/reward_for_advantage_nonzero_frac__std,train/intrinsic_reward_mean__std,train/intrinsic_reward_nonzero_frac__std,train/hrl_active_target_frac__std,train/hrl_source_frac__std,train/hrl_target_hit_rate__std,train/hrl_tctrl_update_rate__std,train/hrl_option_reset_rate__std,train/hrl_option_timeout_rate__std,train/hrl_option_success_fraction__std,train/hrl_learned_deadline_fraction__std,train/hrl_selected_deadline_mean__std,train/hrl_elapsed_on_hit_mean__std,train/hrl_elapsed_on_timeout_mean__std,train/hrl_node_coverage_fraction__std,train/hrl_selected_target_visit_mean__std,train/hrl_known_edge_fraction__std,train/hrl_known_controllability_time_mean__std,train/dg_density__std,train/dg_multi_activation_rate__std,train/dg_silent_unit_frac__std,train/encoder_loss__std,train/decoder_loss__std,train/batch_reward_loss__std,train/encoder_punishment__std,len/len__std,len/len_min__std,len/len_max__std,perf/_fps__count,perf/_sample_throughput__count,train/entropy__count,train/version_diff_avg__count,train/distance_metric__count,train/reward_for_advantage_mean__count,train/reward_for_advantage_nonzero_frac__count,train/intrinsic_reward_mean__count,train/intrinsic_reward_nonzero_frac__count,train/hrl_active_target_frac__count,train/hrl_source_frac__count,train/hrl_target_hit_rate__count,train/hrl_tctrl_update_rate__count,train/hrl_option_reset_rate__count,train/hrl_option_timeout_rate__count,train/hrl_option_success_fraction__count,train/hrl_learned_deadline_fraction__count,train/hrl_selected_deadline_mean__count,train/hrl_elapsed_on_hit_mean__count,train/hrl_elapsed_on_timeout_mean__count,train/hrl_node_coverage_fraction__count,train/hrl_selected_target_visit_mean__count,train/hrl_known_edge_fraction__count,train/hrl_known_controllability_time_mean__count,train/dg_density__count,train/dg_multi_activation_rate__count,train/dg_silent_unit_frac__count,train/encoder_loss__count,train/decoder_loss__count,train/batch_reward_loss__count,train/encoder_punishment__count,len/len__count,len/len_min__count,len/len_max__count
common_50_60m,2.0,2227.8756983322332,278.57821732278103,1.1757522957603517,5.563200925563069,5.541407581280285,0.004795801950476783,0.0007085569174408405,0.004795801950476783,0.0007085569174408405,0.9987899037360071,0.9987899037360071,0.0013007726829430547,0.02303350664789927,0.019905804723965484,0.017392883441148036,0.08130032865585367,0.0077322943321299475,74.35491856877596,15.754781792921623,74.19628489087282,0.28816051104127777,0.10506870826463716,0.039195376340654314,27.3634650424572,0.013519797505137592,0.0266367568229778,0.4725087250848347,-2.316773510834419,0.05001632653983984,-0.00024046386857736105,2.479653014727426,6501.851783472423,542.3595387580308,7200.0,254.39035221089628,31.941404053148425,0.44452540108127836,0.14028800199845323,4.438215207915058,0.01048419970730981,0.0011536815332748955,0.01048419970730981,0.0011536815332748955,8.056968180763618e-05,8.056968180763618e-05,0.0018176205633331386,0.03201259996761447,0.009901677848912013,0.009783743467307923,0.12850762175290784,0.017558212589881772,40.20571377334384,13.896158234140922,40.021177283769234,0.25122708050017534,0.25995334758224653,0.0544670441102184,13.531644054550766,0.016395614082779193,0.04094080757643838,0.35366743710928433,4.084190940387242,0.060903261993494696,0.0007024252677449149,4.102587218661847,386.97733735851955,529.2130887227095,0.0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
common_50_60m,2.43,2207.92496681215,276.04102891880564,1.2326252367978099,5.5048118126722585,4.27444151963639,0.0020936724811782418,0.00034439967477172716,0.002094713772242141,0.00034449114257171647,0.9987653026868808,0.9987653026868808,0.0006859290893171836,0.014707047120030382,0.019508804473284583,0.017586015987721186,0.04851972070485178,0.0015920255091484187,74.61671385537312,13.476234907985495,74.60231119837482,0.2200756007936765,0.020638932985207727,0.024487129913171687,28.04041205382141,0.009547514931233814,0.012086227907462856,0.5229469618383292,-1.9536521204153072,0.033888491350554245,-0.00029146850516169776,2.595764153133268,6396.214389022905,468.45303171130007,7200.0,249.22977510695856,31.166370718430542,0.3956752110218235,0.17195768140435677,3.0538670416401312,0.004858376057280721,0.00047296788816483863,0.004860790005698487,0.0004731101207380421,8.172561943619191e-05,8.172561943619191e-05,0.0008048188294753896,0.019490023465123622,0.009837070495762011,0.009821077704105986,0.07585608277550707,0.0033646011900622425,40.44770323353211,15.050252446408109,40.42791061806325,0.18596962664616784,0.04886980511037981,0.03179274396206045,13.181522621896486,0.011561663923313616,0.01511508643406854,0.38157987946153626,3.2834265991022447,0.045741083136991025,0.0005386425620670303,4.314744246295806,395.0933738292295,295.33772827376,0.0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
early_5_15m,2.0,2195.513379484557,274.41550388607186,1.2919041272368577,5.534141594731878,7.051556007648464,0.00529713529013357,0.0007892222071326687,0.00529713529013357,0.0007892222071326687,0.998755544023381,0.998755544023381,0.0013241900395981263,0.025544982825521364,0.019978384552333465,0.017409020503781854,0.0794300553344867,0.008636686514990315,74.37925643040154,15.754708113505096,74.24610772439009,0.32591009082023087,0.11873953520072093,0.043735071877754744,26.801190000338007,0.014812304141922075,0.03940048967241835,0.48131968701009803,-2.029489357393514,0.05226706909224584,-7.740136259578361e-05,2.476970498531439,6550.388697487434,481.8201126760362,7200.0,279.75536488895915,34.977408704194616,0.39945559114966733,0.19460887993231782,4.866765810591768,0.01090528794940716,0.0013022209063762744,0.01090528794940716,0.0013022209063762744,7.661103456212501e-05,7.661103456212501e-05,0.0020188352818365563,0.03475086270994543,0.010016358332866342,0.009757305589916406,0.12487287274523216,0.019532248138113287,40.27828715752136,14.787668222020281,40.143460829506395,0.24586788792556116,0.29969553210856464,0.05566385858122425,12.739059340122488,0.016710035177613013,0.050411909738451645,0.35763476387075765,3.622402948865499,0.06581347405359857,0.00011269053575464297,4.131343517969195,383.83802146945686,301.3592704048501,0.0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
early_5_15m,2.43,2187.198066225481,273.2125184831699,1.3454898946597718,5.526877351626542,5.933204442847172,0.002177369322462983,0.00038090470215158936,0.002177369322462983,0.00038090470215158936,0.9987823417004793,0.9987823417004793,0.0006632058123376933,0.01477310365304415,0.019486028309887733,0.017603367368602622,0.04434690823427287,0.0011356689519274924,74.63693200188034,14.960036049925419,74.63411423285291,0.2392989555635573,0.013349107952729049,0.02545121080286396,28.338828430606263,0.010016014562995224,0.020168328293897076,0.5121101372605268,-1.6485654145301885,0.038295924476202156,-0.0002825643676549282,2.5989315457676145,6602.770494113841,454.1134038823133,7200.0,238.68144182881193,29.69789824613064,0.3141123902595375,0.20398910759450575,3.7000772805582227,0.003997793722281916,0.0005197234571876221,0.003997793722281916,0.0005197234571876221,5.364670608201569e-05,5.364670608201569e-05,0.0008171409599764745,0.018955239456660992,0.009891539039471965,0.009800175143415675,0.06167043641313059,0.002571101477680981,40.46787620402267,15.226295413148348,40.46401957944457,0.17975377389554165,0.03266526487726341,0.031019640959180774,13.80212393026421,0.011139176466134462,0.02151076896909967,0.35900436919725165,2.7991756625603808,0.04773498774081778,0.0004646805985467583,4.336370168527483,315.2768647455194,205.84819637903811,0.0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
mature_80_90m,2.0,2378.3797723062244,297.30598831262097,1.2364993827147246,5.525378017155726,4.683126129506012,0.002667206127770655,0.0005523837395175495,0.002667206127770655,0.0005523837395175495,0.9987768993167656,0.9987768993167656,0.001046576364741615,0.0188734047411167,0.021397345330150776,0.0191291218529634,0.05975808548337547,0.003890304022332145,67.40493558494502,15.57401759426045,67.3539196606508,0.2733931498586622,0.05171752700985915,0.03152635136049343,26.73911851869832,0.012642943408960971,0.024720233766220442,0.47292657836104557,-1.8441316090779625,0.04581682551357015,-0.00015764950336947148,1.9618876952150937,6464.223249438275,425.6795610995993,7200.0,123.08983107652034,15.476330382294572,0.3370909808373842,0.12658877329866133,3.6469973055480285,0.0058438735842148894,0.0007666768292762395,0.0058438735842148894,0.0007666768292762395,8.437913453502577e-05,8.437913453502577e-05,0.0012359793124016452,0.02289539630089444,0.01006113371717156,0.009838630012162543,0.0911986317669532,0.009456427543846155,38.860609957601454,11.60289112361722,38.77994764105186,0.2060650234268714,0.13918260927752513,0.037354622091020424,14.403568056533972,0.01606898444713653,0.039811264280482886,0.3504126959872033,3.9282217401280293,0.05002035482819572,0.00023233840289915705,3.668203631098187,424.66314461461036,182.04597076501904,0.0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
mature_80_90m,2.43,2338.6652009927484,292.14363155505123,1.2407468862755748,5.5143119939101055,3.8687794823716684,0.0016009598588671945,0.0003591842925030306,0.0016009598588671945,0.0003591842925030306,0.9987336244435606,0.9987336244435606,0.0007393070583173529,0.016315494580987452,0.02156597882125871,0.01955920834214743,0.04673745477431129,0.0019639056933612336,65.12679251497724,13.653023726676578,65.12907220697257,0.2464194931244044,0.022193813881438446,0.027260021725258703,26.23237058987275,0.010059252092563378,0.011266751510659393,0.459344261283212,-1.8823437607790896,0.03674109025692392,-0.00020798249722689684,2.5223646381206435,6293.495430492301,445.38957163129123,7200.0,174.16930784169634,21.79448161622035,0.32457190041075556,0.13192652807643854,2.8143379129429267,0.004938597598625359,0.0004888327503641541,0.004938597598625359,0.0004888327503641541,8.074496416797992e-05,8.074496416797992e-05,0.0008183578498207355,0.01977536196376301,0.00968883359444093,0.009711497884531104,0.07128579226929611,0.004986193547942724,37.06826579214412,12.405214812589804,37.07363970587565,0.17682283233617097,0.055558625817162026,0.03219568833978002,14.187443334881642,0.011632667778720041,0.01404837058116936,0.3833995733913731,3.285316489199988,0.0436695853455149,0.00045338869752139935,3.91986007311838,402.5743038178741,325.471201926248,0.0,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
terminal_10m,2.0,2245.3063189137943,280.60499844795214,1.1949329437960412,5.532410671669841,5.41992313509329,0.004262238654011324,0.0006192142339065883,0.004262238654011324,0.0006192142339065883,0.9987822962280478,0.9987822962280478,0.0011662452998887414,0.020354844422797298,0.019769228295585237,0.017386359235950877,0.07649180804900463,0.005419912573054488,74.39267079474284,16.567442374502555,74.2491160922715,0.28648471212378673,0.07277288857498038,0.034470870115598566,27.71675276352498,0.013701776479573581,0.027023478567615375,0.4643467857822873,-2.3984894307454843,0.0482245450630568,-0.0001400592207076184,2.5035537290264753,6478.015755699704,463.5759947437764,7200.0,263.2439411838778,33.005782797632754,0.3930930617968639,0.1407868418510931,4.168102935477776,0.00987247847946219,0.0009021676558536325,0.00987247847946219,0.0009021676558536325,8.299056083583826e-05,8.299056083583826e-05,0.0014456831800697214,0.024445125621714244,0.009804705396839272,0.009785640599198724,0.12075216184389209,0.01201720943401693,40.18140389567865,13.168961138984201,39.99724958141574,0.2272984036580961,0.17224386210854795,0.04121492426728169,13.665393626023958,0.016453031380472032,0.041586779740684254,0.3645482853190368,4.286740108320553,0.05345914103528696,0.00020943408607339438,4.133063487148796,418.7165280783662,250.79193816578035,0.0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
terminal_10m,2.43,2219.366949936268,277.3777841213256,1.2811219799319848,5.52408451307676,4.343788908036534,0.0020488149055337287,0.000350142654617285,0.0020498835568531176,0.00035024133358555566,0.9987389641266363,0.9987390024126069,0.000700601016008558,0.014724915113874908,0.019533919747744644,0.017572625965130644,0.050790653310352055,0.001803252862278307,74.59993505998779,14.415821657374888,74.59264849916966,0.22746499714723928,0.022897587800337047,0.024793911890172708,28.823477280421212,0.009120852867246268,0.010744515375602939,0.5083801267853689,-1.9332744766615744,0.03551703065517052,-0.00022049556124705818,2.595627589798829,6326.379527860069,441.72048754536087,7200.0,260.4702363313336,32.49298531504456,0.3082699813286953,0.19264870965821088,3.1671579450075926,0.005087354681717574,0.00047293573697075586,0.0050895923432165155,0.0004730672074991818,8.361324200407115e-05,8.365971855412657e-05,0.0008160205554259714,0.018995809829819417,0.009802328943395404,0.009848249640551117,0.07797888563959297,0.004701728150000791,40.42607995298256,14.424963340514857,40.41801204377192,0.18379826505525224,0.05944564036088666,0.031179994714418114,14.275461918223288,0.011422483309237168,0.013856124703176244,0.3818381114076755,3.46320815928255,0.045356984116500736,0.00035811966568020297,4.310100247681345,391.93298701029346,287.8207391055751,0.0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36
