window,perf/_fps__mean,perf/_sample_throughput__mean,train/entropy__mean,train/version_diff_avg__mean,train/distance_metric__mean,train/reward_for_advantage_mean__mean,train/reward_for_advantage_nonzero_frac__mean,train/intrinsic_reward_mean__mean,train/intrinsic_reward_nonzero_frac__mean,train/hrl_active_target_frac__mean,train/hrl_source_frac__mean,train/hrl_target_hit_rate__mean,train/hrl_tctrl_update_rate__mean,train/hrl_option_reset_rate__mean,train/hrl_option_timeout_rate__mean,train/hrl_option_success_fraction__mean,train/hrl_learned_deadline_fraction__mean,train/hrl_selected_deadline_mean__mean,train/hrl_elapsed_on_hit_mean__mean,train/hrl_elapsed_on_timeout_mean__mean,train/hrl_node_coverage_fraction__mean,train/hrl_selected_target_visit_mean__mean,train/hrl_known_edge_fraction__mean,train/hrl_known_controllability_time_mean__mean,train/dg_density__mean,train/dg_multi_activation_rate__mean,train/dg_silent_unit_frac__mean,train/encoder_loss__mean,train/decoder_loss__mean,train/batch_reward_loss__mean,train/encoder_punishment__mean,len/len__mean,len/len_min__mean,len/len_max__mean,perf/_fps__std,perf/_sample_throughput__std,train/entropy__std,train/version_diff_avg__std,train/distance_metric__std,train/reward_for_advantage_mean__std,train/reward_for_advantage_nonzero_frac__std,train/intrinsic_reward_mean__std,train/intrinsic_reward_nonzero_frac__std,train/hrl_active_target_frac__std,train/hrl_source_frac__std,train/hrl_target_hit_rate__std,train/hrl_tctrl_update_rate__std,train/hrl_option_reset_rate__std,train/hrl_option_timeout_rate__std,train/hrl_option_success_fraction__std,train/hrl_learned_deadline_fraction__std,train/hrl_selected_deadline_mean__std,train/hrl_elapsed_on_hit_mean__std,train/hrl_elapsed_on_timeout_mean__std,train/hrl_node_coverage_fraction__std,train/hrl_selected_target_visit_mean__std,train/hrl_known_edge_fraction__std,train/hrl_known_controllability_time_mean__std,train/dg_density__std,train/dg_multi_activation_rate__std,train/dg_silent_unit_frac__std,train/encoder_loss__std,train/decoder_loss__std,train/batch_reward_loss__std,train/encoder_punishment__std,len/len__std,len/len_min__std,len/len_max__std,perf/_fps__count,perf/_sample_throughput__count,train/entropy__count,train/version_diff_avg__count,train/distance_metric__count,train/reward_for_advantage_mean__count,train/reward_for_advantage_nonzero_frac__count,train/intrinsic_reward_mean__count,train/intrinsic_reward_nonzero_frac__count,train/hrl_active_target_frac__count,train/hrl_source_frac__count,train/hrl_target_hit_rate__count,train/hrl_tctrl_update_rate__count,train/hrl_option_reset_rate__count,train/hrl_option_timeout_rate__count,train/hrl_option_success_fraction__count,train/hrl_learned_deadline_fraction__count,train/hrl_selected_deadline_mean__count,train/hrl_elapsed_on_hit_mean__count,train/hrl_elapsed_on_timeout_mean__count,train/hrl_node_coverage_fraction__count,train/hrl_selected_target_visit_mean__count,train/hrl_known_edge_fraction__count,train/hrl_known_controllability_time_mean__count,train/dg_density__count,train/dg_multi_activation_rate__count,train/dg_silent_unit_frac__count,train/encoder_loss__count,train/decoder_loss__count,train/batch_reward_loss__count,train/encoder_punishment__count,len/len__count,len/len_min__count,len/len_max__count
common_50_60m,2217.9003325721915,277.30962312079333,1.204188766279081,5.534006369117663,4.907924550458337,0.0034447372158275123,0.0005264782961062837,0.003445257861359462,0.0005265240300062785,0.9987776032114439,0.9987776032114439,0.0009933508861301192,0.018870276883964827,0.019707304598625033,0.017489449714434613,0.06491002468035273,0.004662159920639184,74.48581621207454,14.61550835045356,74.39929804462382,0.25411805591747716,0.06285382062492245,0.031841253126912994,27.701938548139303,0.011533656218185702,0.01936149236522033,0.497727843461582,-2.135212815624863,0.04195240894519704,-0.0002659661868695294,2.5377085839303466,6449.033086247665,505.4062852346654,7200.0,250.24529357232595,31.359283355504967,0.4188159237059722,0.1585641143054715,3.8359468943527055,0.00822629433766625,0.0008944333210640197,0.008226910580457292,0.0008944609622442986,8.152275035311091e-05,8.152275035311091e-05,0.0014295981545192618,0.026646169744663693,0.009801716055027786,0.009733638149856345,0.10606499625891286,0.012927234157368789,40.04210772285779,14.42802334818252,39.94130165256029,0.2221194695180036,0.19051638472080995,0.04489491586847273,13.267707360770173,0.014227087189727986,0.03150507822987159,0.36617027132829016,3.6838554016108653,0.0540907971009099,0.00062202105664325,4.180658121340711,391.91880523112644,427.1342342312757,0.0,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
early_5_15m,2191.3557228550185,273.8140111846208,1.3186970109483147,5.53050947317921,6.4923802252478175,0.0037372523062982766,0.0005850634546421291,0.0037372523062982766,0.0005850634546421291,0.9987689428619303,0.9987689428619303,0.0009936979259679098,0.02015904323928276,0.0197322064311106,0.017506193936192238,0.06188848178437978,0.004886177733458905,74.50809421614093,15.357372081715258,74.44011097862149,0.2826045231918941,0.06604432157672498,0.03459314134030936,27.570009215472137,0.012414159352458648,0.029784408983157713,0.49671491213531244,-1.8390273859618513,0.045281496784223996,-0.00017998286512535593,2.5379510221495263,6576.579595800638,467.9667582791747,7200.0,258.22691516582074,32.22161354189199,0.3578059810630833,0.1979790809799434,4.329187105832196,0.008304895053363171,0.0010056686442302325,0.008304895053363171,0.0010056686442302325,6.70378039360491e-05,6.70378039360491e-05,0.001564949426372897,0.028316850486419114,0.009886904643006263,0.009710148209115239,0.0993664144959429,0.014338439209004471,40.08807642420175,14.907885798307,40.01969785402754,0.21824240662464178,0.2182156725221881,0.04567819263849044,13.210077779074991,0.014305424739978685,0.039681895762443735,0.35612550373182655,3.2199059952338196,0.057514842742042493,0.00035124739482996886,4.205615684884853,349.74797431276954,256.6166388900172,0.0,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
mature_80_90m,2358.5224866494864,294.72480993383607,1.2386231344951497,5.519845005532916,4.27595280593884,0.0021340829933189248,0.00045578401601029003,0.0021340829933189248,0.00045578401601029003,0.9987552618801631,0.9987552618801631,0.000892941711529484,0.017594449661052076,0.021481662075704743,0.019344165097555415,0.05324777012884338,0.0029271048578466898,66.26586404996114,14.613520660468513,66.24149593381168,0.2599063214915333,0.0369556704456488,0.029393186542876065,26.48574455428554,0.011351097750762176,0.01799349263843992,0.4661354198221288,-1.8632376849285261,0.04127895788524703,-0.00018281600029818415,2.2421261666678682,6378.859339965288,435.5345663654453,7200.0,150.71716913867482,18.902528544551508,0.32776118787576664,0.12818144955094551,3.2525778871662787,0.005385871834919655,0.0006442696996677653,0.005385871834919655,0.0006442696996677653,8.466481358585267e-05,8.466481358585267e-05,0.0010497601699804438,0.021228850134664638,0.009783487738462533,0.009685044664233838,0.08134006962747126,0.007550507279938767,37.632621047737466,11.936344765185606,37.59356650996429,0.19066809604035714,0.10601618071818787,0.03460720417845941,14.162714176892903,0.013955407731292547,0.030338679143246516,0.36385986368071366,3.5867936609090454,0.046732430704690485,0.00035772616795486757,3.7707597881103903,418.803869728713,261.386822024483,0.0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
terminal_10m,2232.336634425031,278.9913912846389,1.238027461864013,5.528247592373301,4.8818560215649125,0.003155526779772526,0.0004846784442619366,0.003156061105432221,0.000484727783746072,0.998760630177342,0.9987606493203273,0.0009334231579486497,0.017539879768336104,0.019651574021664942,0.01747949260054076,0.06364123067967835,0.0036115827176663976,74.49630292736532,15.491632015938722,74.42088229572057,0.256974854635513,0.04783523818765871,0.02963239100288564,28.270115021973094,0.011411314673409926,0.018883996971609154,0.4863634562838281,-2.165881953703529,0.04187078785911366,-0.0001802773909773383,2.549590659412652,6402.197641779886,452.6482411445686,7200.0,260.3379546815373,32.55950590700029,0.3534149833190702,0.1675823932103945,3.7151842432869207,0.007876987090146864,0.0007278978553563658,0.007877623529483775,0.000727930722914018,8.55429501008734e-05,8.556043408783778e-05,0.001188909856475124,0.021920054292669557,0.009734954577319132,0.00974806728224015,0.1017489717034949,0.009241386587747124,40.01922668750901,13.756365574270552,39.92439558644721,0.2073753727417994,0.13037521409713038,0.036610964880881953,13.88618726124617,0.014250705606467535,0.03184931931560419,0.37131767045788394,3.8763347579266823,0.04963761756389886,0.00029408228429096483,4.192924664862986,409.8541259293002,268.2600701362835,0.0,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
