window,L,perf/_fps__mean,perf/_sample_throughput__mean,train/entropy__mean,train/version_diff_avg__mean,train/distance_metric__mean,train/reward_for_advantage_mean__mean,train/reward_for_advantage_nonzero_frac__mean,train/intrinsic_reward_mean__mean,train/intrinsic_reward_nonzero_frac__mean,train/hrl_active_target_frac__mean,train/hrl_source_frac__mean,train/hrl_target_hit_rate__mean,train/hrl_tctrl_update_rate__mean,train/hrl_option_reset_rate__mean,train/hrl_option_timeout_rate__mean,train/hrl_option_success_fraction__mean,train/hrl_learned_deadline_fraction__mean,train/hrl_selected_deadline_mean__mean,train/hrl_elapsed_on_hit_mean__mean,train/hrl_elapsed_on_timeout_mean__mean,train/hrl_node_coverage_fraction__mean,train/hrl_selected_target_visit_mean__mean,train/hrl_known_edge_fraction__mean,train/hrl_known_controllability_time_mean__mean,train/dg_density__mean,train/dg_multi_activation_rate__mean,train/dg_silent_unit_frac__mean,train/encoder_loss__mean,train/decoder_loss__mean,train/batch_reward_loss__mean,train/encoder_punishment__mean,len/len__mean,len/len_min__mean,len/len_max__mean,perf/_fps__std,perf/_sample_throughput__std,train/entropy__std,train/version_diff_avg__std,train/distance_metric__std,train/reward_for_advantage_mean__std,train/reward_for_advantage_nonzero_frac__std,train/intrinsic_reward_mean__std,train/intrinsic_reward_nonzero_frac__std,train/hrl_active_target_frac__std,train/hrl_source_frac__std,train/hrl_target_hit_rate__std,train/hrl_tctrl_update_rate__std,train/hrl_option_reset_rate__std,train/hrl_option_timeout_rate__std,train/hrl_option_success_fraction__std,train/hrl_learned_deadline_fraction__std,train/hrl_selected_deadline_mean__std,train/hrl_elapsed_on_hit_mean__std,train/hrl_elapsed_on_timeout_mean__std,train/hrl_node_coverage_fraction__std,train/hrl_selected_target_visit_mean__std,train/hrl_known_edge_fraction__std,train/hrl_known_controllability_time_mean__std,train/dg_density__std,train/dg_multi_activation_rate__std,train/dg_silent_unit_frac__std,train/encoder_loss__std,train/decoder_loss__std,train/batch_reward_loss__std,train/encoder_punishment__std,len/len__std,len/len_min__std,len/len_max__std,perf/_fps__count,perf/_sample_throughput__count,train/entropy__count,train/version_diff_avg__count,train/distance_metric__count,train/reward_for_advantage_mean__count,train/reward_for_advantage_nonzero_frac__count,train/intrinsic_reward_mean__count,train/intrinsic_reward_nonzero_frac__count,train/hrl_active_target_frac__count,train/hrl_source_frac__count,train/hrl_target_hit_rate__count,train/hrl_tctrl_update_rate__count,train/hrl_option_reset_rate__count,train/hrl_option_timeout_rate__count,train/hrl_option_success_fraction__count,train/hrl_learned_deadline_fraction__count,train/hrl_selected_deadline_mean__count,train/hrl_elapsed_on_hit_mean__count,train/hrl_elapsed_on_timeout_mean__count,train/hrl_node_coverage_fraction__count,train/hrl_selected_target_visit_mean__count,train/hrl_known_edge_fraction__count,train/hrl_known_controllability_time_mean__count,train/dg_density__count,train/dg_multi_activation_rate__count,train/dg_silent_unit_frac__count,train/encoder_loss__count,train/decoder_loss__count,train/batch_reward_loss__count,train/encoder_punishment__count,len/len__count,len/len_min__count,len/len_max__count
common_50_60m,32,2328.6689440815253,291.230615650609,1.3679204745949214,5.5456652695598345,2.446944934794786,0.001901547811092198,0.0006177187159274694,0.001901547811092198,0.0006177187159274694,0.9987587846607862,0.9987587846607862,0.0011256447244196999,0.02569210044550323,0.032730194046991797,0.03036155839427218,0.03392461793983854,0.006332358899321226,31.919432025711888,8.962037832196016,31.912117270886906,0.29546046296017753,0.08923376037518821,0.04237280573903532,13.93562136650811,0.011094696149224157,0.02104152319380884,0.4259906125623294,-0.7801697715438657,0.041416577547192246,-0.00015621866233957976,1.2058426338531762,6352.003067158589,357.549902446651,7200.0,156.33521095852728,19.535281299913315,0.20357113012067118,0.14672919117702754,0.9298741680448034,0.003956892925825665,0.0011126849199975515,0.003956892925825665,0.0011126849199975515,6.731211066167344e-05,6.731211066167344e-05,0.001633621907721283,0.0350720654476908,0.0010434229035147027,0.0006415295981049367,0.046029778284084555,0.0173546310319551,0.2393799743879449,4.818536373432504,0.2687742809713409,0.2135449216264566,0.27453310908066675,0.05810593407506648,1.1574638211990793,0.014219863386578838,0.034446613220096296,0.32007883820956445,1.163223092354195,0.05453895067202928,0.00031397905001452397,1.751544695041343,293.31157500314816,108.72767807295685,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
common_50_60m,64,2165.3406742627017,270.71427269717475,1.1967367043384967,5.485393939027264,3.5291628950651543,0.0009251162673994847,0.00033675441590436675,0.0009251162673994847,0.00033675441590436675,0.998781594409678,0.998781594409678,0.0007191473852407188,0.012230610562284633,0.016906143474998057,0.014967133301616085,0.043796129485703154,0.0016635645624889972,63.95366448320797,14.163590215365739,63.95191601943744,0.20807001999263577,0.017950304697525062,0.020176707050930005,26.45838533482792,0.010847346418137576,0.011248504849540196,0.5016643278949249,-2.100626345227109,0.03441246766787109,-0.00030343229080148274,2.306994248582754,6405.224553229341,479.97584523168956,7200.0,269.2709743518935,33.782403883118285,0.4119017029782782,0.15189085266366145,1.330853016319836,0.003339155210555712,0.0004428196834156357,0.003339155210555712,0.0004428196834156357,8.36342140241227e-05,8.36342140241227e-05,0.0008270635354338497,0.013492637024906152,0.0004095117356671102,0.0004834780855961458,0.049162791196341885,0.0029265449925316984,0.08412789090767424,10.331448543015094,0.08944369960068273,0.15001776064483993,0.035465732883140234,0.021412496971998214,2.9808455644772582,0.012852740144716442,0.012939781769533436,0.37096050972615796,3.08446989676386,0.03782075225859582,0.0005969494038553741,3.3416572885964313,435.99887020197707,256.251175263376,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
common_50_60m,128,2159.6913793723484,269.9839810145962,1.0479091199038246,5.570959898765892,8.747665821515072,0.007507547568990854,0.0006249617564870153,0.0075091095055867035,0.0006250989581869992,0.9987924305638679,0.9987924305638679,0.0011352605487299388,0.01868811964410662,0.009485576273885242,0.00713965744741557,0.1170093266155165,0.005990556300107328,127.58435212730375,20.720897003798918,127.33386084354713,0.25882368479961804,0.08137739680205404,0.03297424659077367,42.711808943081884,0.012658926087195375,0.025794449052311954,0.5655285899274917,-3.524842330103615,0.05002818162052778,-0.0003382476074675256,4.1002888693551105,6589.871638355064,678.6931080256558,7200.0,277.74924294928087,34.77414744251707,0.5261673489849149,0.17023827151941,4.370255438637569,0.012480373680598815,0.0009894819139447811,0.01248109695364492,0.0009895447877521788,9.151293594451276e-05,9.151293594451276e-05,0.0016847796208445478,0.026174369311342004,0.0010654486132481433,0.0007176737849150183,0.16091147298616298,0.013856014617755241,1.0032518615414825,20.980635575065982,1.7688397296843426,0.28315254936211826,0.17953066029111622,0.046131101818526074,9.935878059748761,0.01598185240857006,0.03993999797295711,0.4045442763642618,5.205107704101284,0.06707666830893219,0.0008485038719910495,5.93839971689918,406.82453341040406,656.4209909520731,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
early_5_15m,32,2315.0956484395733,289.2310590605168,1.4080963590045619,5.547425737764015,3.099420356268597,0.0024116617034988038,0.0007755882567148896,0.0024116617034988038,0.0007755882567148896,0.9987661027678332,0.9987661027678332,0.0012839252048044577,0.02906564909663101,0.032835182879633384,0.03031648849701059,0.03811782592347962,0.008283172472202829,31.90022579641128,8.860345716901053,31.883501255574043,0.3317241764588101,0.12031105223919285,0.04872336804186309,13.46911065900793,0.013466699313942386,0.03820145355105795,0.43390251737283797,-0.6657069528417708,0.04843991756565058,-0.0002393114510384082,1.1917395172034184,6540.2506479182775,416.5166504808313,7200.0,145.90325695004785,18.285543838830208,0.23651695529151914,0.21290313422754575,1.0313334729434356,0.004693585488403822,0.0013311337275028927,0.004693585488403822,0.0013311337275028927,5.960069158021418e-05,5.960069158021418e-05,0.0020051821283320775,0.03939834609865469,0.0012791701541030511,0.0007983111213807995,0.056447199699712826,0.021140522382564485,0.25864383678876285,4.289696130131189,0.31140108176673503,0.22602157169198198,0.3345838026126919,0.061875177007997106,0.7549331779294581,0.015466455760119206,0.051349048896321914,0.3204260174557079,1.0335267853228172,0.06081232926546807,0.0004990121499412922,1.744121043174499,339.11019009336445,139.71209676145307,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
early_5_15m,64,2133.3949525914604,266.58891544350405,1.2543954745653325,5.507883503557536,4.762959791572582,0.0015358793734758177,0.0003704527009431034,0.0015358793734758177,0.0003704527009431034,0.9987693423780479,0.9987693423780479,0.0006831891300423908,0.012921778428576893,0.016981123053313497,0.015064778507778568,0.041270338630335156,0.0017320924423970896,63.95194350446993,12.259919674808826,63.94717299172881,0.23127763269651114,0.016328382811039783,0.02232304408185029,25.18067586388897,0.010669791174180555,0.0173620936921315,0.5236057332873434,-1.7781798555099197,0.03679716712173603,-0.0001266335809093732,2.2972254395251954,6607.379526400117,469.4717183100075,7200.0,298.01921576820126,37.158664189815944,0.41941562003125915,0.17620226540314876,1.4639970941444131,0.0036210235133529497,0.0005509776816534219,0.0036210235133529497,0.0005509776816534219,6.239544888855694e-05,6.239544888855694e-05,0.0009294233767759204,0.01449141875905137,0.00042650502362316363,0.0005686600144329307,0.05485498528877296,0.003115720257502923,0.08953521506559342,11.22047199977446,0.1035166673243418,0.16801515003499842,0.031743846666563824,0.023399108146474876,1.956377854189431,0.012195421336341916,0.015732021941023036,0.38150478249269754,2.6783323727127137,0.04621765869356398,0.00020780110135160208,3.338691587367582,313.85499884034533,254.22700373067406,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
early_5_15m,128,2125.576567534023,265.62205904984177,1.29359919927505,5.536219178216079,11.614760527902275,0.007264215841920208,0.0006091494062683942,0.007264215841920208,0.0006091494062683942,0.9987713834399096,0.9987713834399096,0.0010139794430568808,0.018489702192640362,0.009380313360384918,0.0071373148037875535,0.10627728079932457,0.004643268285776794,127.67211334754161,24.951850853435896,127.48965868856165,0.284811760420361,0.06149352967994232,0.03273301189721467,44.06024112351951,0.013105987569253004,0.03378967970628368,0.532636485745756,-3.0731953495338638,0.050607405665285383,-0.0001740035634282863,4.124888109719966,6582.108613083517,517.9119060466855,7200.0,267.84461721281735,33.426543067190025,0.387358710921309,0.20917379704322883,3.4835523940010193,0.012565792596436368,0.0009798042840530397,0.012565792596436368,0.0009798042840530397,8.00796894022022e-05,8.00796894022022e-05,0.0015769109707670361,0.023930877889993332,0.001031232208372005,0.0006728421777234539,0.14558517416992453,0.012471444611750291,0.9437455843294065,19.790047977159144,1.6060157408933526,0.24988878140269066,0.1684259005482432,0.04118026947523258,6.091584216765109,0.015458352048772632,0.04153280300906375,0.3702265939340852,4.553404660714099,0.06528542702008983,0.000286317819388078,5.985933128895086,402.12950572225134,337.28946651249163,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
mature_80_90m,32,2391.9597004201237,298.8814460175247,1.3165485345800891,5.540743861310411,2.688849611493978,0.0016491619493346323,0.0005819497704741832,0.0016491619493346323,0.0005819497704741832,0.9987520746673034,0.9987520746673034,0.001065643739236047,0.024356779447472533,0.0326347684903324,0.030321741951110825,0.03296362533905877,0.003836368064761776,31.947330917045846,10.751827006535363,31.94845680668949,0.32583827189340275,0.04988486163468975,0.03976426406188293,13.941420018063047,0.012337880223568527,0.022764152773161482,0.33556514987523933,-0.8551660975073246,0.05144076518226855,-0.00017555821665222709,1.3346415179749884,6255.184159147839,358.260811242903,7200.0,92.95419782247168,11.753757664752003,0.31117422890147595,0.14460625326074858,1.068147578875065,0.0025408482154331683,0.0007279600258170096,0.0025408482154331683,0.0007279600258170096,8.174177176470546e-05,8.174177176470546e-05,0.0010756975477448716,0.025041118536259458,0.0006521875006894737,0.00045694126139533034,0.03175092619141133,0.00961608662112767,0.13702449242124326,4.006741070258433,0.13212672893688618,0.15905355497460413,0.13866686293279376,0.03917475534261129,1.3027846629473678,0.014282213806360043,0.03508819143065119,0.2871206402986553,1.238833989541347,0.04118911608610224,0.00024930673630931265,1.8171779820261984,318.7944826409557,161.6830306524322,0.0,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
mature_80_90m,64,2274.8764391605278,284.2308700732081,1.2690785916420206,5.50304976786277,3.2451819995014874,0.0003762043568279393,0.00029737563293982957,0.0003762043568279393,0.00029737563293982957,0.9987465128107968,0.9987465128107968,0.0006035843534548959,0.010732871702098527,0.016870976420989815,0.015013996830414565,0.03721084467558937,0.000777935380160845,63.977685525960986,12.790981835234982,63.97505908031692,0.19715179244284609,0.005340690784215381,0.017822447042678612,26.619656468112407,0.009316056688266442,0.009438206925187506,0.5354560931404146,-1.7090774953201888,0.028179847995344197,-0.00023550667589014818,2.2009253687457977,6375.5037169913485,469.8083440095403,7200.0,209.2681982293472,26.193907157113742,0.2661449931702268,0.1208809201898147,1.2485875914199271,0.0035962874293473455,0.0004535427763506919,0.0035962874293473455,0.0004535427763506919,9.814961977109947e-05,9.814961977109947e-05,0.0007309934064851132,0.011604647401742638,0.00030411874669045467,0.000508133801803568,0.04458548663148216,0.0015448783340418991,0.04699533786310221,11.10424688959071,0.05277365837417804,0.1380400338772077,0.01034594008601771,0.01858298289607405,3.104870829931434,0.01127788357045745,0.011576882299708052,0.38114813766949307,2.73856835506408,0.03917748008219234,0.000531574587045441,3.340571334370423,498.542711211665,322.9128090639198,0.0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
mature_80_90m,128,2424.1883481368855,303.02779943466544,1.062237558521364,5.509024596965829,8.4683309290232,0.005523925844163783,0.0004737926837128361,0.005523925844163783,0.0004737926837128361,0.998773442726384,0.998773442726384,0.0010235836495196984,0.016178967039426485,0.009345868715533594,0.007095434812744424,0.11101336774323473,0.004529445590454316,127.68764257920262,23.812405127081316,127.58835447328005,0.24004733249798932,0.0612820094770591,0.02875321308792228,47.518884049222784,0.01265544896504519,0.022423946914433886,0.5857856618055239,-3.7945160330688976,0.043226906144760914,-0.00011808895444924105,3.8380859691111535,6593.060171849037,516.2130923237627,7200.0,41.44596521224488,5.14132969016438,0.39046640571675817,0.11261121416302003,4.1290463140657145,0.00892450321951387,0.0007267039313051205,0.00892450321951387,0.0007267039313051205,7.08400067803128e-05,7.08400067803128e-05,0.0013545904410019942,0.023033190290470493,0.0007771700187204382,0.0006157187109293323,0.14035351280798403,0.008647742627789655,0.6073284339852741,17.08652261143146,0.8499388382803383,0.27033059812691773,0.11532685143384493,0.040943800490691774,10.034664792397383,0.01738451975655559,0.039125114288405385,0.4101084270056529,6.078165763634264,0.06252423501985623,0.00015340921553677205,6.0007706775504674,382.40540341049683,282.3917819933334,0.0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
terminal_10m,32,2351.520386860367,293.9038693417015,1.3314316671520459,5.526503993362062,2.665892541337967,0.0015157739182826465,0.0005390167191660952,0.0015157739182826465,0.0005390167191660952,0.998757136736344,0.998757136736344,0.0009865016244584035,0.022808112105022555,0.03259587507057343,0.03036696636824633,0.03054253056413178,0.003431488163592042,31.95464411533594,10.12051926916852,31.95499284455276,0.31083068684797743,0.045282881934496366,0.03728167986161186,13.942595873403143,0.011529754774002513,0.02152609884317387,0.36682539253093194,-0.7864815888592376,0.04748671087083776,-0.00019731036764906486,1.2226646970295616,6292.0240729317675,368.1572828034373,7200.0,164.11261952725175,20.56312457353248,0.3036949863010326,0.1482544062611133,1.015293566687014,0.0024248941421239605,0.0006984538419655846,0.0024248941421239605,0.0006984538419655846,8.066646625957486e-05,8.066646625957486e-05,0.0010510259086765068,0.02452801548752398,0.0006255631468500824,0.00046810692239379403,0.0311226418987058,0.0091846154815521,0.12604592676869059,4.368693988282669,0.12371155739362243,0.15919699502631535,0.13315105950352013,0.03836238575278497,1.2552302342624801,0.013760704037120557,0.03306175475161517,0.2940571451410058,1.2112600637006719,0.04055778222578968,0.0002779078694615607,1.7769796174689745,322.29480589765933,154.4560649986741,0.0,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
