frame,agent,x,y,z,rot_x,rot_y,rot_z,num_traj
0,0,744.51171875,1826.776123046875,25.125,0.0,-13.4912109375,0.0,0
1,0,762.1691284179688,1793.4034423828125,25.125,0.0,-30.38818359375,0.0,0
2,0,796.4268188476562,1766.924072265625,25.125,0.0,-13.4912109375,0.0,0
3,0,835.9066772460938,1750.913330078125,25.125,0.0,3.40576171875,0.0,0
4,0,879.4085083007812,1746.6409912109375,25.125,0.0,20.302734375,0.0,0
5,0,920.2550048828125,1750.45361328125,25.125,0.0,3.40576171875,0.0,0
6,0,961.70751953125,1754.168701171875,25.125,0.0,3.40576171875,0.0,0
7,0,1002.2442016601562,1757.1136474609375,25.125,0.0,3.40576171875,0.0,0
8,0,1044.19677734375,1757.89404296875,25.125,0.0,-13.4912109375,0.0,0
9,0,1084.88671875,1755.359619140625,25.125,0.0,3.40576171875,0.0,0
10,0,1110.0814208984375,1777.6058349609375,25.125,0.0,3.40576171875,0.0,0
11,0,1122.0601806640625,1777.3572998046875,25.125,0.0,3.40576171875,0.0,0
12,0,1129.2320556640625,1742.392333984375,25.125,0.0,3.40576171875,0.0,0
13,0,1134.006103515625,1701.0028076171875,25.125,0.0,3.40576171875,0.0,0
14,0,1159.56787109375,1672.9078369140625,25.125,0.0,-13.4912109375,0.0,0
15,0,1199.9742431640625,1656.4093017578125,25.125,0.0,3.40576171875,0.0,0
16,0,1228.4453125,1626.1688232421875,25.125,0.0,3.40576171875,0.0,0
17,0,1262.574462890625,1599.2520751953125,25.125,0.0,-13.4912109375,0.0,0
18,0,1292.6771240234375,1609.427734375,25.125,0.0,-13.4912109375,0.0,0
19,0,1330.12548828125,1625.1207275390625,25.125,0.0,3.40576171875,0.0,0
20,0,1372.5135498046875,1630.922119140625,25.125,0.0,-13.4912109375,0.0,0
21,0,1413.66162109375,1626.57568359375,25.125,0.0,-30.38818359375,0.0,0
22,0,1453.99951171875,1615.0198974609375,25.125,0.0,-13.4912109375,0.0,0
23,0,1483.873779296875,1630.344482421875,25.125,0.0,-13.4912109375,0.0,0
24,0,1483.8740234375,1648.4481201171875,25.125,0.0,3.40576171875,0.0,0
25,0,1483.8740234375,1656.4779052734375,25.125,0.0,3.40576171875,0.0,0
26,0,1483.8743896484375,1661.3603515625,25.125,0.0,20.302734375,0.0,0
27,0,1483.8741455078125,1673.3056640625,25.125,0.0,20.302734375,0.0,0
28,0,1483.8743896484375,1691.4444580078125,25.125,0.0,20.302734375,0.0,0
29,0,1475.7459716796875,1726.4339599609375,25.125,0.0,20.302734375,0.0,0
30,0,1488.1180419921875,1761.9146728515625,25.125,0.0,37.1942138671875,0.0,0
31,0,1514.70703125,1783.874267578125,25.125,0.0,54.0911865234375,0.0,0
32,0,1550.834716796875,1771.25830078125,25.125,0.0,54.0911865234375,0.0,0
33,0,1583.8714599609375,1750.8985595703125,25.125,0.0,54.0911865234375,0.0,0
34,0,1583.874267578125,1723.29541015625,25.125,0.0,54.0911865234375,0.0,0
35,0,1583.8746337890625,1721.906982421875,25.125,0.0,54.0911865234375,0.0,0
36,0,1583.874755859375,1753.7801513671875,25.125,0.0,70.9881591796875,0.0,0
37,0,1583.875,1794.997802734375,25.125,0.0,87.8851318359375,0.0,0
38,0,1584.0399169921875,1836.617431640625,25.125,0.0,87.8851318359375,0.0,0
39,0,1582.969970703125,1877.50634765625,25.125,0.0,104.7821044921875,0.0,0
40,0,1577.203369140625,1918.0157470703125,25.125,0.0,104.7821044921875,0.0,0
41,0,1595.13818359375,1950.2813720703125,25.125,0.0,104.7821044921875,0.0,0
42,0,1613.55712890625,1983.8743896484375,25.125,0.0,87.8851318359375,0.0,0
