condition,theta,seed,mean_unit_temporal_density,median_active_unit_temporal_density,std_unit_temporal_density,mean_population_density,std_population_density,unit_coverage,zero_activity_time_fraction,mean_field_width,mean_total_activation,mean_lifetime_hoyer_sparsity,mean_active_unit_lifetime_hoyer_sparsity,mean_population_hoyer_sparsity,mean_lifetime_kurtosis,mean_active_unit_lifetime_kurtosis,best_corr_to_latent_probs,best_corr_to_latent_values,best_corr_to_latent_samples,best_weight_alignment_to_latent_vectors,mean_weight_row_entropy_to_latents,mean_weight_row_effective_latents,mean_weight_row_participation_latents,mean_weight_col_entropy_over_rows,mean_weight_col_effective_rows,mean_weight_col_participation_rows
no_learning,0.5,0,0.32958984375,0.33203125,0.021255662948905192,2.63671875,1.852168116937131,1.0,0.09375,1.7023959646910467,1.5478730766241067,0.560853224547313,0.560853224547313,0.7808084756885947,8.29656628775553,8.29656628775553,0.2624794469064402,0.38780602980935086,0.4025334388044812,0.38435300158074776,0.8641372794036337,6.09435338576707,5.354308005026873,0.8656759640430811,6.094881703598925,5.403733949665149
encourage,0.5,0,0.306884765625,0.302734375,0.011817515928008738,2.455078125,2.8432234391877267,1.0,0.326171875,1.6388526727509778,1.7883019733732444,0.5495886735934761,0.5495886735934761,0.7553450012515641,4.50696600686957,4.50696600686957,0.2866938960185734,0.5498515522889826,0.6887813719596321,0.910306879498125,0.7119198972351455,4.48741520328467,3.5421440240785316,0.7876085122353078,5.554595533709297,4.811951748543716
punish,0.5,0,0.266845703125,0.2685546875,0.007869512432268652,2.134765625,3.30178135274254,1.0,0.65234375,1.541607898448519,1.6450241000364232,0.6378536933171588,0.6378536933171588,0.7588405422550422,13.58963237779913,13.58963237779913,0.21697739345426625,0.1908878237088573,0.3073446354349403,0.5075591294234528,0.9547962309157806,7.282738167689997,6.759371020903571,0.9992798575775297,7.9880423442445885,7.976463317099206
no_learning,0.5,1,0.327392578125,0.328125,0.0448574765560036,2.619140625,1.142855201447064,1.0,0.017578125,1.7017766497461928,1.5782798105408773,0.5662187730765307,0.5662187730765307,0.7805789153352649,7.724002959611828,7.724002959611828,0.26451886510056943,0.3158283682121843,0.3676684605979469,0.3943427788317718,0.867681898815313,6.1355165377519105,5.499444414592363,0.8678151792296378,6.125086490271332,5.509418864402964
encourage,0.5,1,0.306640625,0.3037109375,0.027273906335486212,2.453125,2.015988339344997,1.0,0.2734375,1.739612188365651,1.7641969162047588,0.5559475452069493,0.5559475452069493,0.7445705116018668,5.046790649384242,5.046790649384242,0.34376909199839534,0.5231021337133221,0.6443298355028291,0.8870539320144566,0.7541998929821934,4.9227357211704925,3.989279092649039,0.8199004849412745,5.655167394052133,4.974739312908511
punish,0.5,1,0.271240234375,0.271484375,0.0028366577242730103,2.169921875,3.320220012498642,1.0,0.646484375,1.5560224089635855,1.6444494407784744,0.6372812280198493,0.6372812280198493,0.755525163869195,14.086193921787817,14.086193921787817,0.19781639816838487,0.2008412749978062,0.30211063543580186,0.4973674550701913,0.9531397005128633,7.257905424828237,6.7373860742445615,0.9993261630217082,7.988808618933469,7.977933140103492
no_learning,0.5,2,0.321533203125,0.3330078125,0.030303939711767567,2.572265625,1.5381389499792792,1.0,0.0703125,1.7260812581913498,1.6604381633355982,0.5665884380673416,0.5665884380673416,0.7880612019450584,7.792964577165496,7.792964577165496,0.28913726322675437,0.3173122718945171,0.33455366338340686,0.34335768969580327,0.9217844068189475,6.825705425480994,6.190715279462253,0.9200522874446055,6.787580673192485,6.127841360257262
encourage,0.5,2,0.296630859375,0.302734375,0.01436700681621533,2.373046875,1.8986776066654218,1.0,0.197265625,1.7234042553191489,1.7705738231809716,0.5643433911949491,0.5643433911949491,0.7600161887476198,5.019752633963512,5.019752633963512,0.3462969552899784,0.5232746319565968,0.6535296801228372,0.8930024191704916,0.7687142697663432,5.077196674422953,4.096261642152209,0.8042773439185444,5.52405736396997,4.691557153844732
punish,0.5,2,0.271728515625,0.271484375,0.00511531416986254,2.173828125,3.374285021742974,1.0,0.662109375,1.5479833101529903,1.6274626391340148,0.638411247307652,0.638411247307652,0.7507916095123736,14.083919112908571,14.083919112908571,0.2165893630909977,0.1911413426465996,0.2903910133867182,0.5221451481501752,0.9520174440258966,7.240467409422008,6.684308327961768,0.9997245839530814,7.99542087151144,7.99089752142428
no_learning,0.5,3,0.324462890625,0.318359375,0.029514773985113523,2.595703125,1.3282614245189968,1.0,0.041015625,1.6738035264483626,1.578684936035613,0.5727808180790737,0.5727808180790737,0.7809365883602908,8.710063786923726,8.710063786923726,0.2665151461025761,0.30050702711903365,0.34450357621375904,0.3743617025032193,0.8821900544722541,6.316723065584268,5.518692276334297,0.8874738137160643,6.349479580198594,5.58264139901049
